"";"";"";"";"environ";""
"1";"environ";"-0.0311200969830204";"-0.292276500202336";"0.849161244984472";"156"
"2";"notre";"-0.517116474886072";"-0.126353361640334";"0.845034343617528";"171"
"3";"que";"-0.0480918410584255";"-0.149617420764116";"0.842349571932688";"179"
"4";"comme";"-0.467647988367335";"0.208007162493497";"0.840949002183786";"184"
"5";"pourtant";"-0.675689801929805";"0.238934412397238";"0.840774450464338";"185"
"6";"bien";"-0.645869826537513";"0.200458939919561";"0.840034683653345";"189"
"7";"cette";"-0.102581211650649";"-0.0985059046133849";"0.839132833102865";"190"
"8";"entre";"0.166083041336659";"-0.133444030248105";"0.839124521116224";"191"
"9";"2025";"-0.640205902708334";"0.419325384938071";"0.838530214071438";"193"
"10";"600";"0.0797665009404477";"-0.49269609466279";"0.837964998979893";"198"
"11";"sans";"0.0975796395960878";"-0.212196593208748";"0.837802915240405";"200"
"12";"autres";"-0.115107035060609";"-0.26971999114733";"0.836024150099366";"205"
"13";"certains";"0.248995357653205";"-0.76570078035101";"0.835916094273041";"207"
"14";"devoir";"0.398230913143226";"-0.094552800812366";"0.833730041786624";"215"
"15";"aussi";"-0.361236168866594";"0.15913050109073";"0.832287912104519";"220"
"16";"avant";"-0.298591678666817";"0.392718090828117";"0.830766818549332";"230"
"17";"39";"-0.00637389484703823";"0.166736160942861";"0.830434339083717";"232"
"18";"diverses";"-0.00614505655014855";"-0.0620798293763372";"0.829877435978812";"237"
"19";"trop";"0.138282770345383";"0.335280381746085";"0.829628076379601";"240"
"20";"celui";"-0.394869186504222";"-0.0276535847794019";"0.829291440920666";"241"
"21";"près";"-0.02767174028912";"-0.768807377850366";"0.829291440920666";"242"
"22";"autre";"-0.336530510767264";"0.123994414241199";"0.829266504960745";"243"
"23";"aux";"-0.229433669047038";"-0.130380266809079";"0.82892571350849";"246"
"24";"celui_ci";"0.172693250512966";"-0.043063150337218";"0.82848102222323";"251"
"25";"mais";"-0.151630953600549";"0.0687712569457664";"0.828352186430304";"260"
"26";"avoir";"-0.00324224267933925";"0.159514146450063";"0.828015550971369";"261"
"27";"cela";"-0.380708739400578";"-0.270024933715476";"0.827616575612631";"264"
"28";"certaine";"-0.243250412207532";"0.792129009810564";"0.827184352307332";"267"
"29";"ensuite";"-0.38789365731207";"0.756447013181076";"0.826432117516378";"273"
"30";"15";"0.105822704555129";"-0.0627290912569763";"0.82623262983701";"274"
"31";"92";"-0.0955994578141257";"-0.0675035890358395";"0.825725598651947";"278"
"32";"plupart";"0.351109627526189";"0.0225174912686131";"0.825725598651947";"279"
"33";"elle";"-0.411688127154406";"0.0308989648950904";"0.825513642992618";"283"
"34";"toute";"-0.0180946474734105";"0.716732578858076";"0.824832060088107";"284"
"35";"autant";"-0.722150071545716";"0.0750289641148753";"0.82444139671601";"287"
"36";"ici";"0.0686704297388434";"-0.432210502038211";"0.82399254943743";"288"
"37";"36";"-0.691850518197232";"0.335501965642346";"0.823277718586358";"293"
"38";"quasi";"-0.964030826477551";"0.841469042131549";"0.822812247334497";"297"
"39";"jusqu";"0.157944092858773";"-0.129996086642379";"0.822729127468093";"300"
"40";"30";"-0.532036177626275";"-0.424227276307521";"0.822118196450026";"302"
"41";"180";"0.162528754995083";"0.0170464427703038";"0.821889616817416";"303"
"42";"neuf";"0.126787716057614";"0.19463354321762";"0.821582073311722";"306"
"43";"falloir";"-0.408512633845123";"-0.496168091229688";"0.821432457552196";"309"
"44";"73";"-0.686991932056872";"0.136276905289957";"0.821345181692472";"314"
"45";"dehors";"-0.19776950308782";"0.39670644100076";"0.821050106166738";"316"
"46";"plus";"-0.354988317364173";"-0.0689665166057347";"0.821004390240216";"319"
"47";"cinq";"0.209492962916379";"0.0197126015482373";"0.820659442794641";"320"
"48";"pour";"-0.0891388745997886";"-0.0107897567783039";"0.820451643128632";"321"
"49";"hors";"-0.253274750479343";"0.676797370852054";"0.820314495349066";"322"
"50";"divers";"-0.381487046077721";"-0.437111356616502";"0.820218907502701";"323"
"51";"elle_même";"-0.0915202418448421";"-0.0392263024433876";"0.820218907502701";"326"
"52";"tandis_qu";"-0.712674118347769";"-0.536050501701024";"0.820218907502701";"327"
"53";"davantage";"-0.58193828645579";"-0.58972910807319";"0.820164879589539";"328"
"54";"quand";"-0.824436316697786";"0.0187242869089046";"0.819225625099177";"329"
"55";"beaucoup";"-0.517024404690791";"0.191554832314078";"0.819225625099177";"330"
"56";"jusqu_au";"0.0798455984509307";"0.0891544433388854";"0.818814181760479";"336"
"57";"car";"-0.238521248703883";"-0.316658343515265";"0.81861053808779";"338"
"58";"contre";"0.124803175252261";"-0.185803261376469";"0.818593914114509";"340"
"59";"un";"-0.0725931599268751";"0.0535091501024837";"0.818357022495258";"341"
"60";"99";"-0.516564299994288";"-0.445837915127188";"0.818211562729052";"342"
"61";"tant";"-0.348991309042138";"0.285761508898176";"0.818190782762451";"346"
"62";"toutes";"-0.762698218529778";"-0.257662950014275";"0.818028699022964";"347"
"63";"55";"-0.50905695591871";"-0.0926714721434151";"0.817999607069723";"348"
"64";"au";"-0.0252331386205066";"0.19421435838734";"0.817895707236718";"349"
"65";"être";"-0.0275580440791002";"-0.0187147038883599";"0.817675439590748";"350"
"66";"croire";"-0.746995860577248";"0.235815627337052";"0.817313868171892";"353"
"67";"19";"-0.349648719015001";"0.0729188581838562";"0.817085288539282";"356"
"68";"000";"-0.264532257215068";"-0.12343182337664";"0.817031260626119";"357"
"69";"maintenant";"0.0630179412906196";"-0.511015862326901";"0.816906580826514";"358"
"70";"18";"-0.0661077895517331";"-0.278522254040758";"0.816790213013549";"359"
"71";"d_abord";"-0.870573446671466";"0.287626303938663";"0.816495137487815";"360"
"72";"2028";"-0.0979160652829114";"-0.576327441891381";"0.816495137487815";"361"
"73";"tandis_que";"0.0481240880876986";"-0.206303113260468";"0.816428641594692";"362"
"74";"jamais";"-0.791948812829503";"0.864067989527782";"0.816083694149117";"366"
"75";"quatre";"0.121632818193767";"0.0791970208123487";"0.815983950309433";"367"
"76";"nous";"-0.412467635816889";"0.420691805786276";"0.815801086603344";"368"
"77";"s";"0.0147633650091827";"0.141365846750087";"0.815734590710221";"369"
"78";"46";"0.740496035099245";"-0.176173510114364";"0.815377175284686";"374"
"79";"aujourd_hui";"-0.31861882886543";"-0.367237967705641";"0.814994823899229";"376"
"80";"parmi";"-0.24792508728714";"0.194358718507155";"0.814745464300017";"378"
"81";"cependant";"-0.0246574471435221";"-0.546366772432075";"0.814745464300017";"379"
"82";"anti";"0.435588090202768";"-0.63008586436873";"0.814483636720846";"380"
"83";"400";"0.0170381728294558";"-0.0952651496281998";"0.814342332947959";"381"
"84";"peu";"-0.2973335699121";"0.385859425569866";"0.814047257422226";"383"
"85";"2020";"-0.852703838683024";"0.270484157736158";"0.813706465969971";"384"
"86";"100";"-0.372532337900102";"0.412426355649434";"0.813669062030089";"385"
"87";"lui_même";"-0.868103450328474";"0.288673457795978";"0.813660750043449";"387"
"88";"certaines";"-0.087455124651092";"-0.530043441264201";"0.813340738557795";"390"
"89";"elles";"0.00941589295159608";"-0.502864344620574";"0.813220214751509";"391"
"90";"en";"-0.0410183343923725";"-0.0346159997952367";"0.812837863366052";"392"
"91";"aucune";"0.022637443804857";"0.240500439372879";"0.812754743499649";"393"
"92";"12";"-0.180991263096372";"-0.609728265914756";"0.812754743499649";"394"
"93";"lorsqu";"-0.627253642662096";"-0.119092584099317";"0.81255109982696";"395"
"94";"encore";"0.268769648584248";"0.265259186620693";"0.812513695887078";"396"
"95";"24";"-0.681017098262949";"0.315692875584802";"0.812035756655257";"400"
"96";"par";"0.0156068641145498";"0.0443120677548696";"0.811470541563711";"401"
"97";"dix";"-0.0883824766922244";"0.0615112943314438";"0.811246117924421";"402"
"98";"40";"0.169801415028126";"-0.270980870686499";"0.810926106438767";"403"
"99";"les";"-0.0500705211121964";"-0.0878217618153239";"0.810909482465486";"404"
"100";"57";"0.316231242386318";"-0.654081272998373";"0.810714150779438";"405"
"101";"quinze";"0.0260799376927823";"-0.715507993096999";"0.810714150779438";"406"
"102";"des";"-0.0105315964974222";"-0.103724222065581";"0.810668434852916";"408"
"103";"pendant";"-0.0692047000694245";"0.123397915578587";"0.810660122866275";"409"
"104";"celle_ci";"-0.480322975290089";"-0.885269699328506";"0.81032764340066";"410"
"105";"dans";"-0.0133335262642424";"0.055574515913558";"0.809833080195558";"413"
"106";"plein";"0.0346206713357243";"-0.0990355603098961";"0.809749960329155";"414"
"107";"le";"-0.0479179824803205";"-0.0035693254335561";"0.809725024369234";"415"
"108";"2021";"-0.379216282932858";"0.469409744604701";"0.809550472649786";"417"
"109";"et";"-0.0760258068352856";"-0.0384637360361539";"0.809363452950377";"418"
"110";"huit";"-0.414489520589063";"-0.613270047130916";"0.808823173818753";"419"
"111";"auparavant";"0.75138415845024";"0.300325705524312";"0.808681870045867";"421"
"112";"autour";"0.197107905996372";"0.269932005861677";"0.808677714052547";"422"
"113";"une";"-0.0750373200690874";"-0.0764972871536911";"0.808411730480055";"423"
"114";"70";"-0.381736867633035";"-0.611948666825314";"0.807514035922895";"424"
"115";"dommage";"0.242066595164622";"-0.968358275126923";"0.807489099962974";"425"
"116";"ainsi";"-0.0674234637214868";"-0.225312595864144";"0.80739766810993";"426"
"117";"trois";"-0.0697018952512512";"0.150953488016679";"0.80717324447064";"427"
"118";"chacun";"0.0139218148507917";"-0.599849726362136";"0.806641277325656";"428"
"119";"vite";"-0.679177882410347";"-0.156676239023188";"0.806641277325656";"429"
"120";"20";"-0.126939706142357";"0.0794218419729277";"0.806342045806603";"430"
"121";"différents";"0.0117330743260217";"-0.681866981670846";"0.806109310180672";"432"
"122";"la";"-0.0472450066224415";"-0.0439946121900478";"0.805182523670271";"433"
"123";"longtemps";"0.0395285380151936";"-0.103862336117745";"0.80290919532413";"436"
"124";"de";"-0.0571950497567556";"-0.0537630529120757";"0.8";"437"
