"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
",";0,095;0,098;0,082;0,079;0,101;0,095;0,086;0,117;0,114;0,12;0,082;0,092;-9,293;-12,188;0,126;0,086;0,11;0,076;0,073;0,114;0,089;0,095
".";0,047;0,049;0,041;0,04;0,05;0,047;0,043;0,058;0,057;0,06;0,041;0,046;-20,514;0,038;0,063;0,043;0,055;0,038;0,037;0,057;0,044;0,047
"emji_main_qui_écrit";-0,479;-1,147;0,191;-0,027;-8,021;-2,714;1,034;6,291;-1,124;-0,001;2,117;2,684;3,076;3,432;0,292;4,074;-22,265;0,635;0,517;-0,032;0,01;-2,714
"suisse";0,209;-1,354;9,459;-2,569;-7,503;-0,446;-9,106;1,548;-0,473;-6,797;-2,966;-4,247;10,706;12,194;2,241;-0,434;6,676;2,018;0,576;5,876;-2,447;-3,215
"emji_appareil_photo";-0,082;1,758;-2,908;3,043;0,521;-0,082;-1,294;-37,617;-0,722;1,214;2,159;0,103;-0,767;2,622;0;1,449;0,158;0,635;-0,035;0,032;1,772;0,007
"rts";2,024;-2,655;-0,001;-0,373;1,907;2,024;-0,045;-9,966;2,692;0,089;-0,167;-4,18;-0,041;0;-0,12;-4,448;27,127;0,604;0,033;-0,481;-0,157;-0,56
"keystone";-0,956;5,853;0,022;1,306;4,847;-0,064;-5,421;-11,655;-8,69;-0,081;-16,782;-6,965;20,799;14,234;10,31;2,154;-2,122;0,328;-16,772;4,241;1,56;-0,379
"info";3,152;-1,641;0,405;-0,132;1,12;1,096;0,209;-28,941;4,369;0,013;0,062;-4,422;0,024;0,044;-0,03;-4,909;24,873;1,03;0;-0,869;-0,711;-0,169
"rtsinfo";-0,101;2,964;0,471;1,586;-0,357;-0,101;0,27;-21,114;-3,219;-0,128;0,086;2,891;0,989;2,092;-0,875;1,671;-9,339;-0,35;-2,828;6,903;1,252;2,33
":";7,32;-0,131;-0,574;-0,04;-1,64;1,015;7,339;11,322;-0,649;-0,042;-0,093;0,482;-0,131;3,18;-2,243;-1,68;0,219;-2,248;-0,21;-1,432;-1,903;-1,245
"emji_drapeau_suisse";-2,71;10,388;2,782;1,992;0,634;-0,758;-6,525;0,787;-6,561;-1,764;-13,729;-3,76;10,388;20,905;2,41;-0,273;2,26;-2,027;-0,765;9,969;-9,249;-4,137
"premier";-0,116;-0,748;-0,19;0,383;-0,264;-4,464;-0,278;15,46;-0,18;-0,963;5,744;1,205;-3,021;-0,06;-0,54;5,101;-0,571;-0,539;-0,413;0,641;0,57;-0,615
"année";-0,05;0,331;-0,654;-4,783;-0,157;-0,05;-3,361;8,401;0,895;-2,784;-0,654;4,611;7,788;5,494;1,882;-3,361;-2,177;-1,283;3,941;0,282;-2,057;-4,093
