"";"X.rts_a";"X.rts_i"
"pro_per";62,33;45,55
"ver_sup";11,3;12,55
"pre";57,61;53,31
"con";29,62;24,36
"art_def";47,7;43,15
"adj";67,62;42,32
"nom";215,72;270,8
"nr";223,12;277,36
"adj_dem";9,3;2,86
"aux";48,38;33,78
"adv";9,15;7,5
"adj_pos";12,5;12,81
"num";5,42;11,87
"ono";25;29,88
"pro_dem";26,29;17,96
"pro_rel";10,82;7,29
"ver";48,63;32,48
"adj_sup";1,32;0,94
"art_ind";18,47;12,86
"nom_sup";7,84;5,47
"adv_sup";40,32;38,68
"adj_int";6,92;2,29
"pro_pos";0,16;0,16
"adj_ind";2,56;2,5
"pro_ind";11,13;10,57
"adj_num";0,76;0,73
