"";"*rts_a";"*rts_i"
"premier";17;4
"emji_coeur_blanc";87;53
"emji_abeille";22;0
"elles";65;1
"sourire";28;5
"retrouver";41;2
"sublime";20;3
"oui";130;40
"femme";120;9
"début";9;1
"mes";62;31
"tomber";8;3
"homme";111;6
"emji_étoile_brillante";67;21
"emji_coeur_jaune";21;9
"éloquence";23;0
"croire";26;14
"emji_visage_très_souriant_aux_yeux_rieurs";51;9
"40";9;1
"or";26;8
"emji_coeur_violet";49;15
"emji_biceps_contracté_peau_moyennement_claire";15;27
"dommage";24;9
"emji_cent_points";28;9
"emji_visage_soulagé";28;1
"comme";225;24
"cet";56;4
"témoignage";80;18
"bel";19;3
"se";79;18
"force";13;17
"vincent";6;5
"par";52;15
"place";9;1
"emji_visage_envoyant_un_bisou";60;4
"exceptionnel";24;3
"comprendre";76;4
"père";17;1
"raison";102;10
"te";33;12
"danser";10;0
"image";20;1
"emji_applaudissements_peau_moyennement_claire";73;41
"emji_coeur_étincelant";101;11
"emji_explosion";11;2
"emji_étourdissement";26;25
"emji_coeur_brisé";51;93
"jouer";105;6
"âge";25;0
"babibouchettes";19;0
"emji_visage_festif";40;46
"période";10;0
"emji_coeur_grandissant";47;7
"pouvoir";95;28
"enfin";15;42
"emji_pouce_vers_le_haut_peau_claire";38;14
"dame";234;6
"emji_visage_boudeur";2;8
"emji_ok_peau_moyennement_claire";16;4
"emji_visage_avec_un_léger_sourire";15;2
"sûr";8;4
"vivant";10;2
"accent";85;0
"lui";63;14
"ton";15;8
"alors";23;13
"là";72;8
"certains";9;2
"bernard";16;0
"immense";9;5
"ceux";10;2
"mourir";10;0
"fois";18;5
"génération";14;0
"maintenant";44;5
"emji_visage_souriant_avec_auréole";43;11
"héros";7;4
"dont";11;0
"emji_signe_de_la_main";16;3
"chat";37;1
"madame";157;6
"emji_tulipe";15;0
"personne";136;14
"rendre";7;4
"heureux";46;3
"écouter";29;1
"film";10;6
"rêve";21;2
"ou";53;27
"elton";12;0
"john";12;0
"gille";19;1
"surchat";16;0
"chez";40;8
"hiver";33;1
"emji_nuage_avec_neige";16;2
"emji_flocon";28;7
"trouver";29;4
"assez";13;2
"méditer";10;1
"toi";32;34
"quoi";28;13
"ouiiii";26;2
"vouloir";62;17
"préféré";11;1
"fort";31;15
"tcheu";19;5
"envers";12;1
"formidable";52;6
"documentaire";10;0
"sympa";20;2
"découvrir";15;1
"vidéo";37;0
"copain";20;1
"mignon";174;2
"mimi";33;3
"tres";13;1
"voix";37;2
"nostalgie";37;1
"changer";37;4
"depuis";26;6
"emji_femme_qui_lève_la_main_peau_claire";9;1
"sagesse";84;0
"courage";26;55
"leurs";25;2
"emji_drapeau_france";12;32
"journée";19;7
"humilité";46;0
"humanité";6;8
"grâce";20;4
"noël";22;25
"emji_sapin_de_noël";14;23
"pépite";36;2
"hier";18;3
"emji_mains_en_prière_peau_claire";93;46
"amour";50;6
"précieux";9;3
"malheureusement";8;2
"manquer";30;6
"vieux";21;0
"fabuleux";23;4
"pays";20;13
"cher";12;1
"haha";11;2
"joie";11;2
"froid";13;1
"papa";10;2
"cela";28;6
"félicitation";10;34
"connaître";29;3
"emji_rose";120;7
"emji_visage_qui_fait_un_câlin";79;3
"beauté";79;5
"emji_biceps_contracté";56;76
"impressionnant";28;6
"accord";33;10
"sentir";13;8
"emji_chat_souriant_aux_yeux_en_coeurs";219;10
"fan";17;3
"emji_pierre_précieuse";15;6
"emji_visage_souriant_avec_yeux_plissés";25;0
"emji_note_de_musique";14;1
"deux";34;3
"emji_coeur_point_d";24;2
"exclamation";24;2
"emji_partition";43;0
"fille";25;5
"vraiment";82;15
"gros";9;2
"bisou";9;1
"emji_visage_pensif";12;6
"emji_coeur_avec_ruban";53;4
"100";10;0
"classe";32;3
"etait";13;0
"avant";58;5
"interview";22;1
"préférer";15;0
"adolescence";11;0
