"";"banalfreq";"X.rts_a";"X.rts_i"
"venir";1378;0,9119;-0,9119
"emji_visage_avec_un_sourire_malin";151;1,5985;-1,5985
"poser";406;1,997;-1,997
"question";1055;-1,0897;1,0897
"parler";2882;-1,661;1,661
"24h";21;-0,6188;0,6188
"stop";91;-0,8386;0,8386
"marathon";25;0,599;-0,599
"alcool";97;-0,5256;0,5256
"nourriture";135;1,7044;-1,7044
"absolument";341;-1,5637;1,5637
"reconnaître";340;-0,538;0,538
"talent";66;0,7715;-0,7715
"sentir";944;-0,6767;0,6767
"coup";755;0,4413;-0,4413
"contrairement";122;-1,9692;1,9692
"rassurer";74;0,6706;-0,6706
"comprendre";1841;0,8691;-0,8691
"acquérir";36;-0,4496;0,4496
"spécial";68;1,3535;-1,3535
"afficher";13;-0,5772;0,5772
"remettre";271;-0,7973;0,7973
"juger";155;-0,5672;0,5672
"sexiste";25;0,4047;-0,4047
"sortir";586;-1,8176;1,8176
"boss";17;-0,7455;0,7455
"chant";10;1,6677;-1,6677
"enfantin";13;0,2785;-0,2785
"emji_trinquer";17;0,8246;-0,8246
"pleurer";165;1,8259;-1,8259
"double";97;0,3317;-0,3317
"inviter";109;-1,3639;1,3639
"gym";11;0,486;-0,486
"célébrer";15;-0,5184;0,5184
"espoir";53;-0,7805;0,7805
"mentalité";138;1,8079;-1,8079
"victoire";51;-0,4896;0,4896
"défaite";17;0,3259;-0,3259
"chance";324;0,5935;-0,5935
"compétition";53;-0,3499;0,3499
"vraiment";1512;1,1031;-1,1031
"insupportable";51;-0,4896;0,4896
"cirque";38;-1,309;1,309
"inculte";25;-0,3494;0,3494
"centime";32;0,258;-0,258
"mourir";232;1,0115;-1,0115
"faim";70;-0,3792;0,3792
"survie";28;-0,2552;0,2552
"foire";12;1,0383;-1,0383
"humain";847;0,9164;-0,9164
"devenir";1014;1,4411;-1,4411
"pathétique";43;0,2862;-0,2862
"siècle";139;1,0887;-1,0887
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";37;-0,5162;0,5162
"oser";190;0,3036;-0,3036
"couper";360;0,5968;-0,5968
"pr";74;-0,7025;0,7025
"constructif";34;-1,1644;1,1644
"moin";42;0,3336;-0,3336
"lèvre";10;0,3428;-0,3428
"origine";184;0,892;-0,892
"bout";202;0,4013;-0,4013
"nati";26;0,9906;-0,9906
"espérer";527;-0,9141;0,9141
"oublier";565;0,4853;-0,4853
"racine";35;1,4475;-1,4475
"emji_drapeau_suisse";455;1,6252;-1,6252
"croiser";67;1,465;-1,465
"doigt";144;1,8307;-1,8307
"pffff";18;-1,2649;1,2649
"nage";10;1,0725;-1,0725
"payant";29;0,2927;-0,2927
"avion";118;-0,282;0,282
"gonfler";19;0,8279;-0,8279
"analyse";83;-1,5484;1,5484
"correct";80;-1,7544;1,7544
"faute";310;-0,3896;0,3896
"traduction";23;1,5359;-1,5359
"ego";34;0,4022;-0,4022
"correction";15;1,2202;-1,2202
"honnêtement";70;-0,4862;0,4862
"emji_visage_avec_les_sourcils_relevés";72;0,5297;-0,5297
"rue";334;-1,1681;1,1681
"avertir";14;-0,2261;0,2261
"voiture";402;-0,3753;0,3753
"amande";17;-0,2775;0,2775
"avouer";90;1,0655;-1,0655
"min";36;0,5799;-0,5799
"religieux";66;0,6223;-0,6223
"historien";15;-0,2989;0,2989
"musée";52;-1,6507;1,6507
"temp";15;0,3032;-0,3032
"passer";1729;-0,3004;0,3004
"dur";293;-0,8151;0,8151
"boiter";33;0,8776;-0,8776
"ptn";28;0,5199;-0,5199
"my";30;1,6538;-1,6538
"ahahah";18;0,9949;-0,9949
"imaginer";341;0,3207;-0,3207
"court";62;1,1157;-1,1157
"horreur";170;1,9323;-1,9323
"arrivée";68;0,9521;-0,9521
"finalement";159;1,0574;-1,0574
"allure";10;0,6407;-0,6407
"france";1146;1,4938;-1,4938
"relire";91;-1,165;1,165
"explication";67;-1,0788;1,0788
"nettement";33;-0,2776;0,2776
"conditionner";12;0,3685;-0,3685
"délire";38;0,594;-0,594
"amitié";29;0,4391;-0,4391
"emji_visage_mécontent";11;1,9502;-1,9502
"irréprochable";10;0,3428;-0,3428
"complexe";75;-1,3109;1,3109
"colonie";21;0,3673;-0,3673
"romand";95;1,7648;-1,7648
"science";108;1,9087;-1,9087
"rivière";23;1,1541;-1,1541
"commentaire";1136;-1,5388;1,5388
"vachement";31;0,641;-0,641
"marrant";89;1,7497;-1,7497
"moitié";192;1,4123;-1,4123
"marine";12;1,5595;-1,5595
"troupe";12;-0,7957;0,7957
"emji_poing_levé";33;0,3258;-0,3258
"rouler";157;1,7932;-1,7932
"1er";120;1,5528;-1,5528
"acheter";425;-0,3724;0,3724
"pot";47;0,3136;-0,3136
"kilomètre";26;0,3346;-0,3346
