"";"*rts_a";"*rts_i"
"nom_sup";15453;17276
"ver";53396;79533
"pro_per";53921;59891
"pro_dem";21292;24483
"nom";121039;148969
"nr";29236;32044
"pre";64197;95002
"con";32107;46117
"art_def";52599;74262
"adj_ind";2453;4132
"aux";42267;48363
"adv_sup";42602;54801
"num";5759;7926
"ver_sup";14828;20722
"adj";34970;44888
"pro_ind";10256;13817
"adj_dem";3713;3620
"adv";7224;10669
"adj_int";1487;1093
"art_ind";19295;28853
"ono";8138;7418
"adj_pos";8598;9213
"pro_rel";14351;22974
"adj_sup";977;1487
"adj_num";733;815
"pro_pos";134;132
