"";"X.rts_a";"X.rts_i"
"venir";0,9119;-0,9119
"organiser";-3,9398;3,9398
"emji_visage_avec_un_sourire_malin";1,5985;-1,5985
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";Inf;-Inf
"emji_visage_riant_aux_larmes";Inf;-Inf
"drogue";-6,5517;6,5517
"voir";2,6555;-2,6555
"tête";21,449;-21,449
"poser";1,997;-1,997
"question";-1,0897;1,0897
"lancer";-2,6275;2,6275
"truc";4,4192;-4,4192
"penser";2,1386;-2,1386
"parler";-1,661;1,661
"aller";-37,9309;37,9309
"danser";9,705;-9,705
"24h";-0,6188;0,6188
"stop";-0,8386;0,8386
"emji_visage_grimaçant";8,5849;-8,5849
"nouveau";-10,7425;10,7425
"marathon";0,599;-0,599
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";49,6326;-49,6326
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";6,9131;-6,9131
"alcool";-0,5256;0,5256
"nourriture";1,7044;-1,7044
"eau";2,0421;-2,0421
"couleur";5,8152;-5,8152
"cas";-12,0142;12,0142
"archive";102,2985;-102,2985
"absolument";-1,5637;1,5637
"magnifique";73,7716;-73,7716
"reconnaître";-0,538;0,538
"emji_visage_souriant_avec_une_goutte_de_sueur";63,0208;-63,0208
"talent";0,7715;-0,7715
"changer";24,2766;-24,2766
"emji_visage_faisant_un_clin_d_oeil";44,4442;-44,4442
"idée";-5,4657;5,4657
"super";8,9169;-8,9169
"sentir";-0,6767;0,6767
"nostalgique";8,364;-8,364
"coup";0,4413;-0,4413
"fin";2,7777;-2,7777
"enfant";9,6697;-9,6697
"tiktok";3,0108;-3,0108
"époque";Inf;-Inf
"style";3,5903;-3,5903
"contrairement";-1,9692;1,9692
"mettre";-11,6474;11,6474
"musique";6,6881;-6,6881
"ami";9,7728;-9,7728
"rassurer";0,6706;-0,6706
"petit";54,742;-54,742
"comprendre";0,8691;-0,8691
"acquérir";-0,4496;0,4496
"spécial";1,3535;-1,3535
"emji_visage_avec_lunettes_de_soleil";10,7098;-10,7098
"afficher";-0,5772;0,5772
"remettre";-0,7973;0,7973
"système";-29,0771;29,0771
"plutôt";-3,7358;3,7358
"juger";-0,5672;0,5672
"terme";-3,9177;3,9177
"sexiste";0,4047;-0,4047
"sortir";-1,8176;1,8176
"boss";-0,7455;0,7455
"emji_coeur_rouge";Inf;-Inf
"incroyable";22,0495;-22,0495
"dimanche";15,3381;-15,3381
"dieu";75,3059;-75,3059
"possible";-2,6215;2,6215
"grand";4,7053;-4,7053
"temps";12,1496;-12,1496
"chant";1,6677;-1,6677
"école";17,7261;-17,7261
"enfantin";0,2785;-0,2785
"oreille";12,7516;-12,7516
"grave";-2,3628;2,3628
"meilleur";7,3386;-7,3386
"terrain";-3,5053;3,5053
"emji_ok";13,5082;-13,5082
"emji_trinquer";0,8246;-0,8246
"emji_trèfle_à_quatre_feuilles";9,2678;-9,2678
"emji_applaudissements";52,9202;-52,9202
"emji_feu";34,1212;-34,1212
"suisse";-81,3897;81,3897
"pleurer";1,8259;-1,8259
"rire";18,2755;-18,2755
"français";28,8357;-28,8357
"budget";-10,4535;10,4535
"journaliste";3,645;-3,645
"rts";-8,8335;8,8335
"double";0,3317;-0,3317
"emji_mains_levées";15,4031;-15,4031
"inviter";-1,3639;1,3639
"gym";0,486;-0,486
"profil";-3,0168;3,0168
"laisser";-9,6637;9,6637
"célébrer";-0,5184;0,5184
"espoir";-0,7805;0,7805
"euro";9,1239;-9,1239
"cousin";6,1724;-6,1724
"belge";14,6672;-14,6672
"beau";207,6642;-207,6642
"mentalité";1,8079;-1,8079
"victoire";-0,4896;0,4896
"défaite";0,3259;-0,3259
"chance";0,5935;-0,5935
"rester";-6,0393;6,0393
"compétition";-0,3499;0,3499
"vraiment";1,1031;-1,1031
"insupportable";-0,4896;0,4896
"gens";-2,8087;2,8087
"cirque";-1,309;1,309
"pareil";8,9172;-8,9172
"inculte";-0,3494;0,3494
"tellement";73,0641;-73,0641
"bas";-4,5771;4,5771
"rapporter";-3,2944;3,2944
"centime";0,258;-0,258
"payer";-97,9817;97,9817
"loyer";-20,6404;20,6404
"facture";-6,2562;6,2562
"mois";-5,88;5,88
"sport";3,1285;-3,1285
"chose";3,1129;-3,1129
"nécessaire";-5,455;5,455
"monde";-9,3592;9,3592
"mourir";1,0115;-1,0115
"faim";-0,3792;0,3792
"battre";3,9799;-3,9799
"survie";-0,2552;0,2552
"maladie";-7,2912;7,2912
"foire";1,0383;-1,0383
"bête";13,4145;-13,4145
"sauvage";26,5734;-26,5734
"humain";0,9164;-0,9164
"devenir";1,4411;-1,4411
"pathétique";0,2862;-0,2862
"siècle";1,0887;-1,0887
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";-0,5162;0,5162
"souvenir";301,334;-301,334
"oser";0,3036;-0,3036
"viser";-8,506;8,506
"couper";0,5968;-0,5968
"pr";-0,7025;0,7025
"réponse";4,5485;-4,5485
"échange";-2,5679;2,5679
"constructif";-1,1644;1,1644
"plaisir";15,7723;-15,7723
"chanter";7,4131;-7,4131
"purée";4,8387;-4,8387
"moin";0,3336;-0,3336
"lèvre";0,3428;-0,3428
"emji_se_rouler_par_terre_de_rire";85,2837;-85,2837
"ya";3,1297;-3,1297
"origine";0,892;-0,892
"ds";3,2786;-3,2786
"équipe";-3,5432;3,5432
"gars";3,4118;-3,4118
"bout";0,4013;-0,4013
"rêver";4,123;-4,123
"emji_coeur_cartes";37,0443;-37,0443
"nati";0,9906;-0,9906
"adorer";125,9843;-125,9843
"offrir";-3,7567;3,7567
"match";2,3816;-2,3816
"espérer";-0,9141;0,9141
"gagner";-8,4696;8,4696
"europe";-23,6794;23,6794
"vivre";4,8935;-4,8935
"apprendre";16,2886;-16,2886
"oublier";0,4853;-0,4853
"racine";1,4475;-1,4475
"emji_drapeau_suisse";1,6252;-1,6252
"croiser";1,465;-1,465
"doigt";1,8307;-1,8307
"suède";-2,6323;2,6323
"dernier";9,9916;-9,9916
"pffff";-1,2649;1,2649
"aimer";173,6462;-173,6462
"hippie";4,4597;-4,4597
"nage";1,0725;-1,0725
"payant";0,2927;-0,2927
"avion";-0,282;0,282
"gonfler";0,8279;-0,8279
"femme";27,7351;-27,7351
"prendre";-6,3139;6,3139
"analyse";-1,5484;1,5484
"correct";-1,7544;1,7544
"genre";-2,9646;2,9646
"clip";3,4455;-3,4455
"faute";-0,3896;0,3896
"traduction";1,5359;-1,5359
"ego";0,4022;-0,4022
"vrai";7,43;-7,43
"emji_drapeau_états_unis";-2,7011;2,7011
"correction";1,2202;-1,2202
"honnêtement";-0,4862;0,4862
"regarder";5,9283;-5,9283
"emji_visage_avec_les_sourcils_relevés";0,5297;-0,5297
"fier";3,3788;-3,3788
"raison";4,658;-4,658
"rue";-1,1681;1,1681
"police";-115,0264;115,0264
"avertir";-0,2261;0,2261
"voiture";-0,3753;0,3753
"amande";-0,2775;0,2775
"argent";-47,2122;47,2122
"attendre";-3,5742;3,5742
"emji_coeur_enflammé";3,1379;-3,1379
"parent";18,2004;-18,2004
"avouer";1,0655;-1,0655
"meuf";9,5702;-9,5702
"vidéo";63,014;-63,014
"vendre";-3,6944;3,6944
"rêve";7,0394;-7,0394
"apercevoir";2,2112;-2,2112
"min";0,5799;-0,5799
"emji_visage_envoyant_un_bisou";10,4052;-10,4052
"publier";-3,2856;3,2856
"reportage";58,6251;-58,6251
"tecktonik";15,5865;-15,5865
"religieux";0,6223;-0,6223
"historien";-0,2989;0,2989
"représenter";-18,1903;18,1903
"musée";-1,6507;1,6507
"enseigner";4,2352;-4,2352
"histoire";-2,0478;2,0478
"temp";0,3032;-0,3032
"fesait";3,1282;-3,1282
"erreur";-2,3108;2,3108
"passer";-0,3004;0,3004
"dur";-0,8151;0,8151
"boiter";0,8776;-0,8776
"air";16,7766;-16,7766
"détester";13,1616;-13,1616
"anniversaire";4,6223;-4,6223
"photo";-2,2981;2,2981
"seigneur";4,2277;-4,2277
"ptn";0,5199;-0,5199
"pensée";4,5886;-4,5886
"my";1,6538;-1,6538
"vie";30,7357;-30,7357
"ahahah";0,9949;-0,9949
"chaud";7,163;-7,163
"imaginer";0,3207;-0,3207
"revoir";9,881;-9,881
"mtn";2,2632;-2,2632
"compte";-8,503;8,503
"jeunesse";23,3993;-23,3993
"heureusement";11,3109;-11,3109
"période";5,6931;-5,6931
"court";1,1157;-1,1157
"mulet";5,4369;-5,4369
"horreur";1,9323;-1,9323
"emji_visage_qui_hurle_de_peur";8,88;-8,88
"disparaître";3,7539;-3,7539
"arrivée";0,9521;-0,9521
"finalement";1,0574;-1,0574
"élève";19,4328;-19,4328
"allure";0,6407;-0,6407
"calme";3,0991;-3,0991
"vieux";53,3441;-53,3441
"france";1,4938;-1,4938
"partir";-22,6529;22,6529
"clairement";-5,3347;5,3347
"relire";-1,165;1,165
"explication";-1,0788;1,0788
"interviewer";10,0001;-10,0001
"rajeunir";4,1239;-4,1239
"nettement";-0,2776;0,2776
"conditionner";0,3685;-0,3685
"délire";0,594;-0,594
"amitié";0,4391;-0,4391
"hypocrisie";-6,8311;6,8311
"emji_visage_mécontent";1,9502;-1,9502
"irréprochable";0,3428;-0,3428
"vocabulaire";23,1453;-23,1453
"choisir";-2,9216;2,9216
"phrase";5,6638;-5,6638
"complexe";-1,3109;1,3109
"camp";-3,2862;3,2862
"vacance";3,2541;-3,2541
"emji_soleil";8,8198;-8,8198
"moniteur";3,6246;-3,6246
"nombreux";-2,1451;2,1451
"colonie";0,3673;-0,3673
"romand";1,7648;-1,7648
"étudiant";-2,862;2,862
"science";1,9087;-1,9087
"éducation";5,2136;-5,2136
"claude";5,6728;-5,6728
"cabane";5,0744;-5,0744
"bois";4,8897;-4,8897
"bain";22,3918;-22,3918
"rivière";1,1541;-1,1541
"génial";44,0718;-44,0718
"frère";3,2863;-3,2863
"soeur";10,3442;-10,3442
"importer";-3,9032;3,9032
"emji_visage_avec_un_léger_sourire";4,1931;-4,1931
"commentaire";-1,5388;1,5388
"emji_visage_rieur";17,2597;-17,2597
"vachement";0,641;-0,641
"classe";6,7599;-6,7599
"ancien";26,4255;-26,4255
"marrant";1,7497;-1,7497
"trésor";5,0012;-5,0012
"saut";3,269;-3,269
"patrimoine";-2,6125;2,6125
"extraordinaire";13,7772;-13,7772
"connaître";28,3263;-28,3263
"papa";7,8951;-7,8951
"maître";2,7258;-2,7258
"alpage";6,8455;-6,8455
"maison";10,1731;-10,1731
"gamin";27,3162;-27,3162
"copain";16,0514;-16,0514
"ville";-4,3053;4,3053
"piscine";3,7665;-3,7665
"merveilleux";35,7453;-35,7453
"moitié";1,4123;-1,4123
"vélomoteur";4,4597;-4,4597
"puch";4,3495;-4,3495
"part";-3,8107;3,8107
"selle";3,987;-3,987
"blanc";13,1733;-13,1733
"voler";-5,1162;5,1162
"bleu";2,5301;-2,5301
