"";"X.rts_a";"X.rts_i"
"avec";2,1145;-2,1145
"ou";-13,0301;13,0301
"sans";-2,1531;2,1531
"drogue";-4,8351;4,8351
"à";-0,7964;0,7964
"voir";4,0595;-4,0595
"la";-3,8055;3,8055
"tête";8,9024;-8,9024
"de";-16,1278;16,1278
"certains";0,3336;-0,3336
"je";47,3519;-47,3519
"me";51,1632;-51,1632
"poser";2,42;-2,42
"question";-0,3019;0,3019
"quand";2,784;-2,784
"on";0,3862;-0,3862
"avoir";113,8326;-113,8326
"lancer";-1,1128;1,1128
"ce";1,0377;-1,0377
"truc";2,0913;-2,0913
"jamais";7,2895;-7,2895
"penser";0,9332;-0,9332
"qu";0,9508;-0,9508
"en";-1,9757;1,9757
"parler";-0,4692;0,4692
"40";2,6827;-2,6827
"an";27,9326;-27,9326
"plus";-7,7665;7,7665
"tard";4,1457;-4,1457
"et";-0,464;0,464
"ils";-1,4348;1,4348
"gagner";-7,2522;7,2522
"rien";-0,3179;0,3179
"emji_visage_en_pleine_réflexion";2,11;-2,11
"emji_visage_souriant_avec_yeux_rieurs";31,5181;-31,5181
"elles";3,2718;-3,2718
"même";3,6028;-3,6028
"couleur";4,1269;-4,1269
"tout";5,2359;-5,2359
"cas";-7,6576;7,6576
"tu";0,6326;-0,6326
"ne";-2,2704;2,2704
"pas";-3,5;3,5
"changer";22,7401;-22,7401
"presque";1,5487;-1,5487
"emji_visage_faisant_un_clin_d_oeil";25,3314;-25,3314
"être";18,6288;-18,6288
"le";-1,5311;1,5311
"fin";2,942;-2,942
"c";18,6484;-18,6484
"un";-2,649;2,649
"mieux";1,3322;-1,3322
"avant";11,8912;-11,8912
"aujourd_hui";218,3494;-218,3494
"les";-6,6745;6,6745
"enfant";23,5107;-23,5107
"faire";-2,638;2,638
"des";-19,397;19,397
"danser";4,2835;-4,2835
"sur";-15,6327;15,6327
"tiktok";2,8358;-2,8358
"l";0,3709;-0,3709
"époque";Inf;-Inf
"du";-0,8846;0,8846
"style";1,2316;-1,2316
"grâce";0,9328;-0,9328
"contrairement";-0,8245;0,8245
"pouvoir";-13,029;13,029
"mettre";-6,4062;6,4062
"musique";5,5304;-5,5304
"dehors";0,4796;-0,4796
"aller";-23,3988;23,3988
"mon";28,3385;-28,3385
"ami";8,7404;-8,7404
"rassurer";-0,3395;0,3395
"moi";26,8082;-26,8082
"ça";12,7683;-12,7683
"t";0,651;-0,651
"petit";29,1145;-29,1145
"plein";0,7403;-0,7403
"qui";-17,1201;17,1201
"s";-0,4249;0,4249
"afficher";-0,2265;0,2265
"juste";-1,8009;1,8009
"peut_être";-0,7723;0,7723
"remettre";0,3183;-0,3183
"système";-25,5769;25,5769
"plutôt";-3,772;3,772
"que";-16,0173;16,0173
"juger";1,0199;-1,0199
"coup";0,6579;-0,6579
"terme";-2,4092;2,4092
"sexiste";0,3876;-0,3876
"nous";4,2095;-4,2095
"deux";-0,3184;0,3184
"sortir";-1,0405;1,0405
"suisse";-75,823;75,823
"deuxième";-0,5256;0,5256
"slide";-2,0526;2,0526
"français";8,5534;-8,5534
"budget";-9,8494;9,8494
