"";"X.rts_a";"X.rts_i"
"emji_coeur_brisé";-5,8944;5,8944
"emji_chat_souriant_aux_yeux_en_coeurs";11,6134;-11,6134
"emji_note_de_musique";0,8684;-0,8684
"emji_mains_levées_peau_légèrement_mate";-0,5003;0,5003
"emji_coeur_point_d_exclamation";2,6615;-2,6615
"emji_visage_souriant_avec_une_larme";-2,7416;2,7416
"emji_globe_tourné_sur_l_afrique_et_l_europe";-1,5461;1,5461
"emji_explosion";-0,7048;0,7048
"emji_index_pointant_vers_le_haut";-1,0842;1,0842
"emji_partition";5,7735;-5,7735
"emji_flocon";1,3545;-1,3545
"emji_nuage_avec_neige";1,7742;-1,7742
"emji_mains_en_prière_peau_légèrement_mate";0,3241;-0,3241
"emji_visage_triste_mais_soulagé";4,202;-4,202
"emji_visage_effrayé";0,3924;-0,3924
"emji_coeur_avec_ruban";2,4818;-2,4818
"emji_coeur_étincelant";2,2292;-2,2292
"emji_visage_en_colère";-1,4944;1,4944
"emji_visage_anxieux_avec_goutte_de_sueur";-0,2783;0,2783
"emji_feuille";-0,5229;0,5229
"emji_visage_avec_un_monocle";-4,9874;4,9874
"emji_femme_qui_hausse_les_épaules_peau_claire";-4,93;4,93
"emji_personne_avec_la_paume_sur_le_visage";-8,5916;8,5916
"emji_visage_sans_expression";-2,9469;2,9469
"emji_fleur_de_cerisier";4,259;-4,259
"emji_v_de_la_victoire";-1,0584;1,0584
"emji_visage_confus";-0,3773;0,3773
"emji_symbole_de_paix";-0,9028;0,9028
"emji_visage_nauséeux";7,9881;-7,9881
"emji_visage_qui_tire_la_langue_les_yeux_plissés";0,451;-0,451
"emji_visage_retenant_ses_larmes";9,7012;-9,7012
"emji_homme_qui_hausse_les_épaules_peau_claire";-1,8024;1,8024
"emji_points_d_exclamation_et_d_interrogation";-3,4273;3,4273
"emji_visage_qui_regarde_entre_ses_doigts";-0,3824;0,3824
"emji_visage_rouge_et_chaud";0,6979;-0,6979
"emji_visage_sans_bouche";-0,4269;0,4269
"emji_visage_endormi";-1,6042;1,6042
"emji_femme_avec_la_paume_sur_le_visage_peau_moyennement_claire";-1,2092;1,2092
"emji_main_avec_index_pointant_à_droite";-0,5087;0,5087
"emji_colombe";-10,8409;10,8409
"emji_applaudissements_peau_claire";-3,6033;3,6033
"emji_visage_avec_yeux_ouverts_et_main_sur_la_bouche";-0,3995;0,3995
"emji_visage_déconcerté";0,4005;-0,4005
"emji_mains_en_prière_peau_mate";-1,0842;1,0842
"emji_mains_qui_forment_un_coeur";-0,8567;0,8567
"emji_tête_de_mort";-0,9662;0,9662
"emji_visage_fatigué";-0,5059;0,5059
"emji_visage_qui_fond";-0,8869;0,8869
"emji_visage_qui_tire_la_langue";-1,2252;1,2252
"emji_visage_aux_yeux_en_spirales";-0,6404;0,6404
"emji_visage_légèrement_mécontent";0,3264;-0,3264
"emji_mains_qui_forment_un_coeur_peau_moyennement_claire";-0,3192;0,3192
"emji_croix_latine";-0,8144;0,8144
"emji_verre_de_vin";1,428;-1,428
"emji_tas_de_crotte";-2,0717;2,0717
"emji_trace_de_rouge_à_lèvres";0,531;-0,531
"emji_mains_qui_forment_un_coeur_peau_claire";-0,9574;0,9574
"emji_homme_qui_hausse_les_épaules";-12,1148;12,1148
"emji_décamper";-0,6086;0,6086
"emji_homme_qui_hausse_les_épaules_peau_légèrement_mate";-3,8177;3,8177
"emji_visage_neutre";-0,57;0,57
"emji_bout_des_doigts_joints";-0,3505;0,3505
"emji_crâne";-2,056;2,056
"emji_coeur_bleu_clair";-0,6405;0,6405
"emji_signe_appel_téléphonique_avec_les_doigts";-0,3505;0,3505
"emji_visage_avec_bouche_en_diagonale";-0,6822;0,6822
"emji_mains_levées_peau_moyennement_claire";-1,1075;1,1075
"emji_coeur_orange";1,2408;-1,2408
"emji_coeur_rose";2,648;-2,648
"emji_visage_étourdi";0,2741;-0,2741
"emji_cornes_avec_les_doigts";0,2805;-0,2805
"emji_point_d_exclamation_rouge";-0,7406;0,7406
"emji_sac_plein_d_argent";-8,1678;8,1678
"emji_hibiscus";0,7513;-0,7513
"emji_pouce_vers_le_bas";-1,9612;1,9612
"emji_ogre";-0,9729;0,9729
"emji_femme_qui_hausse_les_épaules_peau_moyennement_claire";-1,2366;1,2366
"emji_visage_avec_bouche_fermeture_éclair";-0,5316;0,5316
"emji_visage_expirant";-5,3183;5,3183
"emji_ampoule";-0,3505;0,3505
"emji_femme_avec_la_paume_sur_le_visage_peau_claire";-1,1726;1,1726
"emji_visage_souriant_avec_des_cornes";-0,9729;0,9729
