"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"user_utilisateurice";-692,886;-1847,573;-237,71;-62,133;-134,186;-104,971;-487,24;-383,232;-11,939;10657,358
"emji_visage_riant_aux_larmes";-147,327;-522,446;-52,349;-12,465;-143,466;-75,059;-193,086;-929,952;-67,216;6460,682
"emji_coeur_rouge";15,906;12348,933;-19,214;-57,253;-87,505;-29,276;-340,888;-932,043;-83,096;-1451,567
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";131,097;1061,54;150,974;-22,456;-40,867;-0,678;-57,961;-191,233;-40,299;-141,241
"emji_applaudissements";-17,483;6032,01;-18,557;-14,095;-55,427;-18,521;-141,807;-359,328;-42,671;-614,875
"emji_se_rouler_par_terre_de_rire";-50,424;-135,197;-13,691;-5,45;-27,031;-12,491;-55,148;-194,123;-7,295;1534,594
"voir";-179,924;-266,445;-14,858;-0,225;18,209;0,002;75,924;805,905;12,369;-210,464
"emji_feu";-9,506;3363,922;-11,139;-14,216;-33,351;-7,406;-61,951;-229,206;-29,314;-318,82
"aller";-120,115;-249,504;-11,88;19,472;13,924;-6,639;444,695;171,751;29,215;-140,342
"époque";-151,156;-67,505;2,644;-12,505;-22,55;3,517;8,306;876,095;4,005;-242,844
"beau";-142,863;453,128;20,185;-14,09;-1,367;-0,186;-0,43;55,52;-3,58;-255,44
"emji_visage_souriant_avec_coeurs";510,811;318,294;122,465;-9,327;-7,948;-3,739;-64,119;-119,373;-14,659;-134,775
"suisse";-115,716;-98,822;-10,766;-12,029;-18,688;-8,24;52,263;-2,882;1,373;234,225
"aimer";-86,617;-9,383;-0,157;-2,302;92,118;-0,255;24,593;106,148;7,019;-100,198
"emji_visage_qui_pleure";-3,88;1,604;-3,652;-4,216;-0,565;21102,891;-50,803;-143,426;-15,684;-205,166
"femme";-111,836;-49,367;-21,487;-0,045;-22,021;-3,157;-46,504;1718,814;-1,59;-362,662
"parler";-92,048;-140,705;-10,699;-5,635;0,121;-3,961;-19,572;702,91;62,681;-66,12
"emji_mains_en_prière";-44,613;2043,746;-6,963;-9,613;-11,909;-2,803;-31,7;-78,883;-12,948;-232,137
"homme";-99,233;-41,402;-18,846;-4,408;-1,184;-3,028;-56,058;1527,173;-14,374;-298,548
"enfant";-97,329;-98,228;6,716;-8,062;-10,581;-5,215;0,158;1161,943;-5,793;-281,569
"vie";-96,829;-35,86;-15,065;-4,385;-0,186;5,695;-2,298;1045,773;-12,947;-288,21
"souvenir";-85,885;4,724;4870,542;-12,782;-16,85;-1,027;44,127;-62,877;-8,139;-110,489
"petit";-92,074;-33,555;-0,916;15,736;48,778;-4,887;60,106;146,415;5,291;-121,953
"the";7734,836;-119,86;-13,373;-11,418;-29,734;-9,047;-104,645;-251,629;-21,458;-255,843
"gens";-93,334;-137,361;-19,632;20,842;12,913;-0,137;6,556;803,189;13,731;-285,265
"emji_visage_souriant_avec_une_goutte_de_sueur";-28,31;-101,018;-2,862;-0,198;-3,824;-10,251;-7,776;-45,746;-6,375;555,348
"année";-82,617;-113,31;137,219;-0,477;-1,287;-3,146;601,912;46,542;-0,072;-165,424
"emji_mains_levées";5,918;1771,328;-6,267;-5,687;-22,766;-8,708;-41,663;-123,137;-22,621;-210,125
"i";7511,978;-133,503;-12,939;-11,094;-26,832;-8,79;-80,348;-230,988;-20,793;-271,507
