"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"user_utilisateurice";1;1;1;1;1;1;1;1;1;0
"emji_visage_riant_aux_larmes";1;1;1;1;1;1;1;1;1;0
"emji_coeur_rouge";0;0;1;1;1;1;1;1;1;1
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0;0;0;1;1;1;1;1;1;1
"emji_applaudissements";1;0;1;1;1;1;1;1;1;1
"emji_se_rouler_par_terre_de_rire";1;1;1;1;1;1;1;1;1;0
"voir";1;1;1;1;0;0,963;0;0;0;1
"emji_feu";1;0;1;1;1;1;1;1;1;1
"aller";1;1;1;0;0;1;0;0;0;1
"époque";1;1;0,104;1;1;0,061;0,004;0;0,045;1
"beau";1;0;0;1;1;1;1;0;1;1
"emji_visage_souriant_avec_coeurs";0;0;0;1;1;1;1;1;1;1
"suisse";1;1;1;1;1;1;0;1;0,241;0
"aimer";1;1;1;1;0;1;0;0;0,008;1
"emji_visage_qui_pleure";1;0,205;1;1;1;0;1;1;1;1
"femme";1;1;1;1;1;1;1;0;1;1
"parler";1;1;1;1;0,727;1;1;0;0;1
"emji_mains_en_prière";1;0;1;1;1;1;1;1;1;1
"homme";1;1;1;1;1;1;1;0;1;1
"enfant";1;1;0,01;1;1;1;0,691;0;1;1
"vie";1;1;1;1;1;0,017;1;0;1;1
"souvenir";1;0,03;0;1;1;1;0;1;1;1
"petit";1;1;1;0;0;1;0;0;0,021;1
"the";0;1;1;1;1;1;1;1;1;1
"gens";1;1;1;0;0;1;0,01;0;0;1
"emji_visage_souriant_avec_une_goutte_de_sueur";1;1;1;1;1;1;1;1;1;0
"année";1;1;0;1;1;1;0;0;1;1
"emji_mains_levées";0,015;0;1;1;1;1;1;1;1;1
"i";0;1;1;1;1;1;1;1;1;1
"tellement";1;0;0;0,341;0,328;0;1;0;1;1
"temps";1;1;1;1;1;0,719;0;0;1;1
"adorer";1;0;0;1;0,236;1;1;1;1;1
"penser";1;1;1;1;0,002;1;1;0;0,833;1
"monde";1;1;1;1;1;0,037;0,003;0;0,262;1
"vrai";1;1;1;1;1;1;0,92;0;1;1
"comprendre";1;1;1;0,913;0,086;1;1;0;0,613;1
"chose";1;1;1;1;0,903;0,288;1;0;1;1
"grand";1;1;1;1;0,995;1;0;0;1;1
"it";0;1;1;1;1;1;1;1;1;1
"passer";1;1;0;0,596;1;1;0;0;0,364;1
"français";1;1;1;0;1;1;1;0;0;1
"connaître";1;1;1;1;1;1;0;0;0;1
"prendre";1;1;1;0;0;1;0;0;0,001;1
"emji_visage_faisant_un_clin_d_oeil";1;1;1;0,077;1;1;0,084;0,505;1;0
"vraiment";1;1;1;0,952;0,791;1;0,011;0;1;1
"jour";1;1;0,671;0;0;1;0;0;1;1
"we";0;1;1;1;1;1;1;1;1;1
"changer";1;1;1;1;1;0;1;0;0;1
"vivre";1;1;1;1;0,66;1;0,155;0;1;1
"trouver";1;1;1;0;0,016;1;0;0;0,41;1
"jeune";1;1;0,899;1;1;1;1;0;0,275;1
"venir";1;1;1;0,89;0;1;0;0;0,01;1
"mettre";1;1;0,307;0,247;0,002;1;0;0;0,001;1
"emji_visage_avec_bouche_ouverte";1;1;1;1;1;0;1;1;1;0
"magnifique";1;0;1;1;1;1;1;1;1;1
"france";1;1;1;0;1;0,718;0;0;0;1
"emji_pouce_vers_le_haut";1;0;1;1;1;1;1;1;1;1
"donner";1;1;1;1;0;1;0;0;0,041;1
"this";0;1;1;1;1;1;1;1;1;1
"emji_visage_qui_pleure_à_chaudes_larmes";1;1;1;1;0,726;1;1;1;1;0
"vidéo";1;1;1;1;1;0,956;0;0;0,995;1
"accent";1;1;1;1;1;1;1;1;1;0
"and";0;1;1;1;1;1;1;1;1;1
"bidet";0;1;1;0;1;1;1;1;1;1
"raison";1;0,118;1;1;0;1;1;0;0,866;1
"exister";1;1;1;0;0,049;1;0,314;0;0,001;1
"emji_drapeau_suisse";1;0;1;1;1;1;1;1;1;1
"animal";1;1;1;1;0;1;1;1;1;1
"rester";1;1;1;0,004;0;1;0;0;0;1
"emji_visage_souriant_avec_yeux_rieurs";1;1;0,923;1;1;1;0,006;1;1;0
"jouer";1;1;0;1;1;1;1;1;1;1
"seul";1;1;0;0,795;0;1;0,002;0;1;1
"devenir";1;1;1;1;0,001;0,709;0;0;0,816;1
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";0;0;0;1;1;1;1;1;1;1
"fois";1;1;1;0;0,122;1;0;0;1;1
"commentaire";1;1;1;1;1;1;1;0;0;1
"dieu";1;1;1;1;1;0,911;1;0;1;1
"played";0;1;1;1;1;1;1;1;1;1
"emji_coeur_cartes";1;0;1;1;1;1;1;1;1;1
