"";"";"";"";"plastique";""
"122";"espèce";"-0.487412470185172";"0.674161226839538";"0.825805503255791";"365"
"123";"sucre";"-0.47688999846914";"0.755457984153609";"0.825560615253739";"366"
"124";"écouter";"-0.451918451458979";"0.207483964945135";"0.825543517921965";"367"
"125";"boîte";"-0.470876581512197";"0.679977332658688";"0.825411326356788";"368"
"126";"problème";"-0.472536139450082";"0.530943021017761";"0.825346481598475";"369"
"127";"taille";"-0.441135571717881";"0.2586061509005";"0.825333762851668";"370"
"128";"façon";"-0.460054695393851";"0.30130114351671";"0.825289559993912";"371"
"129";"mdr";"-0.376947652032328";"0.201280864136195";"0.825136830780201";"372"
"130";"nuit";"-0.462218923133287";"0.554239403848184";"0.825082619728236";"373"
"131";"rasciste";"-0.480583469043383";"0.924900456631488";"0.824949698398898";"374"
"132";"offensant";"-0.497428778249491";"1.02233015453947";"0.824740777344784";"375"
"133";"babtou";"-0.497428778249491";"1.02233015453947";"0.824740777344784";"376"
"134";"fois";"-0.452811346985738";"0.548775257243197";"0.824625161851266";"377"
"135";"boucle";"-0.439814000178263";"0.226339325213145";"0.824462841451438";"378"
"136";"suisse";"-0.389892808849906";"0.0988723309799247";"0.824399351969425";"380"
"137";"espagnol";"-0.470660722337392";"0.897349032010273";"0.824358276672359";"381"
"138";"boulangerie";"-0.475814684661576";"0.846517459522904";"0.824358276672359";"382"
"139";"moment";"-0.415309844972789";"0.152312858640936";"0.824283632223883";"383"
"140";"parent";"-0.42926258464594";"0.552338656272989";"0.824243912203116";"385"
"141";"emji_mains_qui_forment_un_coeur";"0.0867883073569956";"-3.21282819591778";"0.824077317470346";"386"
"142";"gentil";"-0.419694205374064";"-0.321193604633751";"0.823583267133299";"389"
"143";"gant";"-0.437954446048666";"1.08897878927396";"0.823551991526396";"390"
"144";"refuge";"-0.510557064971038";"0.851856735672871";"0.823549697981889";"391"
"145";"dîner";"-0.425883993638411";"-0.0891865403846417";"0.823543964120624";"392"
"146";"organisme";"-0.512714366984871";"0.879363413677767";"0.823500491027028";"393"
"147";"reproduire";"-0.496267117126946";"0.76572830738318";"0.823413127831746";"394"
"148";"vol";"-0.463797209853915";"0.600796947997617";"0.823390713646798";"396"
"149";"alimentaire";"-0.501861342645483";"0.835174563142597";"0.8233277454249";"397"
"150";"malheureusement";"-0.454939102509422";"0.404644062687901";"0.823320030775197";"398"
"151";"actuel";"-0.474048027482779";"0.492615835641769";"0.823221825369521";"399"
"152";"invention";"-0.279623153363137";"0.770121029456609";"0.823200245200758";"400"
"153";"ablution";"-0.355728078918632";"0.532388164588786";"0.823109754444785";"402"
"154";"verre";"-0.472392760335836";"0.702002736258924";"0.823102873811266";"403"
"155";"vendre";"-0.450823045299572";"0.504576558804494";"0.823016136128122";"405"
"156";"jet";"-0.439036712894341";"1.10471438514201";"0.822993617691151";"407"
"157";"faute";"-0.480374840723873";"0.551309028899031";"0.82294993609351";"408"
"158";"prendre";"-0.464626266205303";"0.626158927480785";"0.822883423302829";"410"
"159";"simple";"-0.278494328269599";"0.162862983878551";"0.822814304211573";"411"
"160";"route";"-0.472919592508878";"0.649935752775521";"0.822609031978266";"413"
"161";"adulte";"-0.476939666710643";"0.478779166452105";"0.822604653393299";"414"
"162";"copain";"-0.418353513398755";"-0.0399903735331632";"0.822586826297364";"415"
"163";"travailler";"-0.469569643411166";"0.537872544063687";"0.822557322974852";"416"
"164";"infini";"-0.406766478753298";"-0.381580920707243";"0.822388643201621";"417"
"165";"serviette";"-0.419872720768239";"1.30300670694351";"0.822342146799359";"418"
"166";"chiotte";"-0.419872720768239";"1.30300670694351";"0.822342146799359";"419"
"167";"malheureux";"-0.476045952172232";"0.534698647453064";"0.822258119668812";"421"
"168";"poser";"-0.457022305196491";"0.56765981353562";"0.822173779782197";"423"
"169";"bonjour";"-0.437194487045274";"0.463490609298171";"0.822076616896751";"424"
"170";"france";"-0.254817267903214";"0.535462949602548";"0.822069527759186";"425"
"171";"fermer";"-0.465416672160727";"0.607176547070173";"0.821794406670461";"427"
"172";"claque";"-0.450572240153834";"0.525445164464878";"0.821644179505303";"428"
"173";"emji_jeu_vidéo";"-0.385626511091987";"-0.567837244436843";"0.82161081885794";"429"
"174";"multiple";"-0.484101592870956";"0.809731389979777";"0.821448602710136";"430"
"175";"empaillé";"-0.508759313292844";"0.828934504002124";"0.821413261274335";"431"
"176";"empailler";"-0.509463041077576";"0.866062853911754";"0.821413261274335";"432"
"177";"cauchemar";"-0.500146185481117";"0.733548903997061";"0.821413261274335";"433"
"178";"prédateur";"-0.505734860469529";"0.790371220132514";"0.821390117325227";"434"
"179";"musique";"-0.453056004577873";"0.423189097475336";"0.821320685477902";"435"
"180";"police";"-0.423613382832055";"0.561306643109282";"0.821286803570423";"436"
"181";"vérité";"-0.458038421187653";"0.259700612003381";"0.821280548449043";"437"
"182";"étymologie";"-0.497428778249491";"1.02233015453947";"0.821203297699992";"438"
"183";"rac";"-0.497428778249491";"1.02233015453947";"0.821203297699992";"439"
"184";"effacement";"-0.497428778249491";"1.02233015453947";"0.821203297699992";"440"
"185";"emji_visage_épuisé";"-0.40647909706179";"-0.102045404771496";"0.821198814863003";"441"
"186";"devenir";"-0.460027102825613";"0.375247389557772";"0.821093833075831";"442"
"187";"droit";"-0.471899383691876";"0.482913182296131";"0.820983117427394";"443"
"188";"tique";"-0.510341334769655";"0.849106067872381";"0.820961641510654";"444"
"189";"grippe";"-0.512714366984871";"0.879363413677767";"0.820886788558132";"446"
"190";"entendre";"-0.432291636302037";"0.320850362483048";"0.820886475802063";"447"
"191";"couille";"-0.433571374621356";"0.656559441841713";"0.820781285510845";"448"
"192";"cheval";"-0.478005409479816";"0.803584503365371";"0.820781285510845";"449"
"193";"interdire";"-0.473672125475137";"0.518086561592495";"0.82064846843353";"451"
"194";"maison";"-0.455408098227861";"0.611467224130886";"0.820645966384978";"452"
"195";"ski";"-0.432887200902389";"0.363429421377985";"0.820642004808103";"453"
"196";"chanceux";"-0.428902776968364";"0.00392282750712372";"0.820462587076502";"455"
"197";"mettre";"-0.27642620189499";"0.525924480721566";"0.820386900107797";"456"
"198";"genou";"-0.422052711288865";"0.105499546878319";"0.820372096320529";"457"
"199";"adopter";"-0.476922796128615";"0.513769805414445";"0.820337380396867";"458"
"200";"raison";"-0.416755596631998";"-0.370107422865734";"0.820288903206167";"459"
"201";"mémé";"-0.449696640426453";"0.394938929066236";"0.820109589726589";"461"
"202";"fumer";"-0.45661594280812";"0.588910921219855";"0.820058506235314";"462"
"203";"poulet";"-0.480642598446704";"0.714122326700182";"0.819995850769484";"463"
"204";"écrire";"-0.465836055571513";"0.514204924117415";"0.81987554393493";"464"
"205";"sorcier";"-0.480317197514366";"0.849864297956354";"0.819783385146589";"466"
"206";"ouest";"-0.462445114916989";"0.776602996459242";"0.819783385146589";"467"
"207";"porc";"-0.41164475128227";"1.17439072543508";"0.81974324811773";"468"
"208";"concevoir";"-0.441452265462251";"1.27929696907242";"0.81974324811773";"469"
"209";"nokia";"-0.14547675623138";"-0.117006388877631";"0.819698002739743";"470"
"210";"emji_visage_avec_bouche_en_diagonale";"0.0969371935088439";"-0.0680183717463291";"0.819698002739743";"471"
"211";"emji_visage_ébahi";"-0.4811998468645";"0.408395859555639";"0.819606156707471";"472"
"212";"voler";"-0.426579239366595";"0.633670397197003";"0.819604488675103";"473"
"213";"emji_mains_en_prière_peau_moyennement_claire";"-0.190425053760984";"-3.24640853943676";"0.819571128027739";"474"
"214";"classe";"-0.401744691300707";"0.0245451615696533";"0.819500966416253";"475"
"215";"manquer";"-0.449922948519811";"0.250626907207927";"0.819424236927318";"476"
"216";"grand";"-0.361811117352268";"-0.092959103455544";"0.819380972337768";"477"
"217";"seul";"-0.46681016295515";"0.489958461621489";"0.819212084060491";"478"
"218";"avis";"-0.474640659012461";"0.44744047454896";"0.819179348925266";"479"
"219";"jaune";"-0.451176698476767";"0.69525771470324";"0.819132852523003";"480"
"220";"orient";"-0.410493197516001";"1.33704358762294";"0.819117006215506";"481"
"221";"dinguerie";"-0.444870700017711";"0.2912793063272";"0.819080518007452";"483"
"222";"africain";"-0.465075057010821";"0.744457485844948";"0.819080518007452";"484"
"223";"prêt";"-0.439878051323261";"0.285965501314082";"0.81907249060168";"485"
"224";"offrir";"-0.446857262344781";"0.196983346292602";"0.81907249060168";"486"
"225";"incontournable";"-0.412577453409829";"-0.229157754673273";"0.818997637649159";"488"
"226";"ciseau";"-0.394705370812452";"-0.302419056170385";"0.818997637649159";"489"
"227";"cetait";"-0.415157235017907";"-0.240800901562343";"0.818997637649159";"490"
"228";"sportif";"-0.430480566388658";"0.152330915758844";"0.818959898416829";"491"
"229";"netflix";"-0.423357830336966";"-0.093685958767845";"0.818952705027241";"492"
"230";"asiatique";"-0.496182376478608";"0.965996275477941";"0.81891632107121";"493"
"231";"argot";"-0.495552170823539";"0.923321221447124";"0.81891632107121";"494"
"232";"poussin";"-0.477627236129175";"0.350272073174694";"0.81888514971633";"495"
"233";"réguler";"-0.495384940281006";"0.785138504735584";"0.81888514971633";"496"
"234";"porteur";"-0.508399762957205";"0.824350057667974";"0.81888514971633";"497"
"235";"attraper";"-0.481737562967678";"0.801050252222161";"0.818878998846973";"498"
"236";"emji_visage_qui_pleure_à_chaudes_larmes";"-0.173814455745739";"-0.0225947928341276";"0.818746703029772";"500"
"237";"bonheur";"-0.439637387740345";"-0.0874611567319564";"0.818630149268047";"501"
"238";"journaliste";"-0.455377998081825";"0.292867003757219";"0.818620975090022";"502"
"239";"endroit";"-0.459427199598095";"0.492508558154562";"0.818600020433397";"503"
"240";"rouler";"-0.422765894752233";"0.198341151535794";"0.818600020433397";"504"
"241";"enseignant";"-0.484173377430448";"0.54645356057585";"0.818588761214911";"505"
"242";"retrouver";"-0.422301192966351";"0.237747276278627";"0.818509112669331";"507"
"243";"manière";"-0.48254787487138";"0.531947358252254";"0.818479713598842";"508"
"244";"lundi";"-0.435134736615889";"0.156020630706885";"0.818477628558382";"509"
"245";"genre";"-0.458348876415178";"0.360478038938253";"0.818457612169964";"510"
"246";"traverser";"-0.449507616399651";"0.383333541797726";"0.818454484609274";"511"
"247";"regarder";"-0.452270511007034";"0.441241612015989";"0.818427796091383";"512"
"248";"pesticide";"-0.51007766452352";"0.845744140560672";"0.818379423152706";"514"
"249";"social";"-0.134023859798798";"0.469134559519337";"0.818357530227874";"515"
"250";"voleur";"-0.463436841798525";"0.622577137099557";"0.818285909088066";"516"
"251";"espagne";"-0.435250166446677";"0.561122680795217";"0.818276839162064";"517"
"252";"laisser";"-0.474310493601874";"0.503930369580553";"0.818241497726263";"518"
"253";"journée";"-0.450453541377103";"0.443016701642505";"0.818241289222217";"519"
"254";"recevoir";"-0.467958500110864";"0.500932068960205";"0.818124005696331";"520"
"255";"demander";"-0.46891309835873";"0.542032894380032";"0.818120669631594";"521"
"256";"cas";"-0.442353517549111";"0.512203440697455";"0.818118271835065";"522"
"257";"garçon";"-0.419910177161349";"-0.357949931470005";"0.818103259543752";"523"
"258";"sujet";"-0.471723554328408";"0.530765836893803";"0.818102946787682";"524"
"259";"vidéo";"-0.438829946825724";"0.278076599311462";"0.817964604353148";"525"
"260";"déprimant";"-0.430323325418285";"0.0702622826504967";"0.817942502924269";"526"
"261";"ca";"-0.435245559813976";"0.526959500293095";"0.817936143550866";"527"
"262";"rester";"-0.457114738211291";"0.467523887511225";"0.817907995504653";"528"
"263";"connaître";"-0.452152911269019";"0.418089001533498";"0.817670405144212";"530"
"264";"renommer";"-0.497428778249491";"1.02233015453947";"0.817665922307222";"531"
"265";"racial";"-0.497428778249491";"1.02233015453947";"0.817665922307222";"532"
"266";"protectorat";"-0.497428778249491";"1.02233015453947";"0.817665922307222";"533"
"267";"confiserie";"-0.497428778249491";"1.02233015453947";"0.817665922307222";"534"
"268";"banque";"-0.47006850384077";"0.642519520161518";"0.817554893902716";"535"
"269";"augmenter";"-0.468750329792282";"0.645849993551634";"0.817549055789428";"537"
"270";"orange";"-0.458793920478586";"0.448244728643949";"0.817549055789428";"538"
"271";"réseau";"-0.474208889869606";"0.452552286049987";"0.817369846561873";"540"
"272";"emji_visage_souriant_aux_yeux_rieurs";"-0.182253448228601";"0.060009816627971";"0.817346285604672";"541"
"273";"employé";"-0.467007454249047";"0.620416453825926";"0.817309901648642";"542"
"274";"unique";"-0.410437768188282";"0.567187229252708";"0.817200020016388";"543"
"275";"vignette";"-0.402686323588822";"-0.322611398779995";"0.817118807690463";"544"
"276";"violence";"-0.405968749619487";"0.577623010484071";"0.817113073829198";"545"
"277";"tunisien";"-0.418891951646057";"0.339730047328672";"0.817078670661604";"546"
"278";"partie";"-0.441423934008333";"0.629475313881658";"0.817051982143714";"547"
"279";"marché";"-0.454706747748899";"0.56232204960663";"0.816884761898805";"548"
"280";"ferrari";"-0.462920377537998";"0.620114044220395";"0.816812723750904";"549"
"281";"propreté";"-0.455001943302733";"1.08150831159719";"0.81671285031286";"552"
"282";"clope";"-0.461679530630968";"0.519200432391438";"0.816617146955737";"553"
"283";"universel";"-0.424385586244757";"-0.138602044414062";"0.816491836024078";"554"
"284";"vaudois";"-0.353640073416905";"-0.0526229821193871";"0.81641051944613";"555"
"285";"milliard";"-0.471584390491065";"0.637745408847651";"0.81635787217451";"556"
"286";"simplement";"-0.458334293359143";"0.28312319151178";"0.816339419566437";"557"
"287";"propos";"-0.474501431138099";"0.435211756286779";"0.816333581453148";"558"
"288";"reuf";"-0.397065059708083";"-0.0526512370793774";"0.816269362206974";"559"
"289";"angoissant";"-0.420397028661055";"-0.039193454766534";"0.816269362206974";"560"
"290";"mystère";"-0.445809645205292";"0.446085484396893";"0.816252786135315";"561"
"291";"nauséabond";"-0.427524913371073";"1.51294911954587";"0.816204100440569";"564"
"292";"mollet";"-0.385626511091987";"-0.567837244436843";"0.816203057920339";"569"
"293";"enrouler";"-0.385626511091987";"-0.567837244436843";"0.816203057920339";"570"
"294";"battre";"-0.467892803639564";"0.610595182238989";"0.816131124024462";"571"
"295";"hôtel";"-0.447106642517267";"1.01915840666023";"0.816012485222276";"573"
"296";"noble";"-0.377176210038852";"0.156791623960692";"0.81596379952753";"575"
"297";"origine";"-0.391485904809727";"0.619236950115389";"0.815717869005248";"576"
"298";"sécurité";"-0.478043876689581";"0.675709985610269";"0.815641660776427";"578"
"299";"frérot";"-0.459526832535748";"0.803113334246507";"0.81558703271637";"579"
"300";"facho";"-0.493060285988227";"0.921132858338517";"0.81558703271637";"580"
"301";"iphone";"-0.376361097324174";"0.416828187606345";"0.815572541685171";"581"
"302";"fumeur";"-0.468106561201547";"0.677396420969192";"0.815452651858709";"583"
"303";"restaurant";"-0.252848203522408";"0.590576429310393";"0.815452651858709";"584"
"304";"féminin";"-0.461325144697308";"0.452545309004967";"0.815448898785881";"585"
"305";"appellation";"-0.47362121209287";"0.730459338870654";"0.815445562721145";"586"
"306";"régional";"-0.478424111466271";"0.823861571478349";"0.815445562721145";"587"
"307";"fragile";"-0.477735275984743";"0.745334900645345";"0.815406468212516";"588"
"308";"bois";"-0.444873298701194";"0.282421948170967";"0.815380509458786";"589"
"309";"maman";"-0.441342334956645";"0.241299259782822";"0.815340268177904";"590"
"310";"retraite";"-0.446842069263809";"0.337000868084674";"0.815152927292554";"593"
"311";"coûter";"-0.461942945441481";"0.446028304983663";"0.815037937311174";"595"
"312";"emji_applaudissements_peau_moyennement_claire";"0.101308394903885";"-3.70673544369688";"0.815026886596735";"596"
"313";"signification";"-0.477299406047967";"0.751634823719879";"0.814976428617597";"597"
"314";"pari";"-0.384126398518083";"0.444771507691534";"0.814682542164731";"598"
"315";"maghrébin";"-0.496021322680027";"0.94807345472021";"0.814545450754472";"600"
"316";"choper";"-0.472160814440329";"0.876185607677495";"0.814545450754472";"601"
"317";"chinois";"-0.475247094593144";"0.910775842195818";"0.814306296613686";"604"
"318";"annees";"-0.441190644304454";"0.123314511446224";"0.814291701330464";"605"
"319";"emji_étoile_brillante";"-0.0907055943550681";"-3.41190677415548";"0.814199542542123";"607"
"320";"regroupement";"-0.497428778249491";"1.02233015453947";"0.814128651166476";"610"
"321";"nonne";"-0.497428778249491";"1.02233015453947";"0.814128651166476";"611"
"322";"killer";"-0.497428778249491";"1.02233015453947";"0.814128651166476";"612"
"323";"tapette";"-0.396218514099196";"-0.258182691459308";"0.814124689589601";"614"
"324";"chorégraphie";"-0.372358005859498";"-0.330070538502024";"0.814124689589601";"615"
"325";"pauvre";"-0.468131046720972";"0.498382435164564";"0.814029194736524";"616"
"326";"emji_visage_faisant_un_clin_d_oeil";"-0.366851447065537";"0.253022054562901";"0.813928174526227";"617"
"327";"cours";"-0.450466333099039";"0.325521527575962";"0.813914517511212";"618"
"328";"schneck";"-0.356249051486273";"0.188108080022693";"0.81360207419825";"619"
"329";"tragique";"-0.364764059278448";"-0.611220826215954";"0.813451638529046";"621"
"330";"dégénéré";"-0.435783251715024";"0.113899356640849";"0.813451638529046";"622"
"331";"câlin";"-0.442748050616476";"0.150744594945911";"0.813451638529046";"623"
"332";"blues";"-0.407967689783299";"-0.00841740007750949";"0.813451638529046";"624"
"333";"emji_fleur_de_cerisier";"-0.0976697924758541";"-3.93224353079464";"0.813401389053955";"626"
"334";"routine";"-0.406866820949056";"-0.0736388580353776";"0.812984797970005";"628"
"335";"amuser";"-0.418661374468158";"-0.153383061014476";"0.812206556618231";"632"
"336";"roooo";"-0.410769752280144";"-0.0985802750073063";"0.812092087896966";"634"
"337";"reprise";"-0.411465894527168";"-0.281680444421655";"0.811991901702853";"635"
"338";"emji_femme_qui_lève_la_main";"-0.411465894527168";"-0.281680444421655";"0.811991901702853";"636"
"339";"aisselle";"-0.406951276713031";"-0.261304937365783";"0.811991901702853";"637"
"340";"obésité";"-0.433312643002605";"-0.0340579504031129";"0.811986689101702";"640"
"341";"série";"-0.447296156345186";"0.222934613012879";"0.811656418692805";"641"
"342";"suicide";"-0.442573100603891";"0.12515865845595";"0.811439261728874";"642"
"343";"emji_miam";"-0.291949038588496";"0.10614180074747";"0.811382548628356";"643"
