"";"";"";"";"plastique";""
"1";"plastique";"-0.489315983502926";"0.72199122320432";"0.881261741384092";"149"
"2";"monde";"-0.467286900407423";"0.408907055941026";"0.878957980179605";"155"
"3";"chose";"-0.465122076334192";"0.441255468932975";"0.878927642840909";"156"
"4";"emji_visage_soulagé";"-0.321987047907875";"0.0849383885126576";"0.873963161505149";"166"
"5";"mercredi";"-0.40122558053053";"-0.302433223492671";"0.870234900658247";"176"
"6";"caissier";"-0.471227193181415";"0.655271896900777";"0.86983884722283";"179"
"7";"vivre";"-0.467640947443614";"0.405817405234094";"0.868450835788468";"183"
"8";"servir";"-0.23014691005532";"0.786673520997903";"0.868308114768967";"185"
"9";"choco";"-0.484245492783841";"0.946080825741919";"0.867440529433474";"188"
"10";"chasser";"-0.498253417206737";"0.69596361656753";"0.866844937626015";"191"
"11";"memories";"2.79438738021022";"0.255383800384539";"0.864449434641279";"196"
"12";"terme";"-0.440989671570493";"0.753006042767532";"0.864000838186265";"197"
"13";"jeune";"-0.457447474065477";"0.275110811160724";"0.862266188775393";"203"
"14";"question";"-0.475155456839109";"0.522386437715823";"0.861994508003428";"205"
"15";"école";"-0.453972816642314";"0.2712304184243";"0.86064506981758";"208"
"16";"faune";"-0.510287733075209";"0.859969158570944";"0.860107442134915";"209"
"17";"insulter";"-0.484678515437531";"0.789207400552851";"0.859613287545845";"210"
"18";"voiture";"-0.454968225850669";"0.504910578822682";"0.858904790797466";"211"
"19";"surconsommation";"-0.400544435146595";"-0.258104929600596";"0.858453900797945";"212"
"20";"vaccin";"-0.49766511515242";"0.667908425897166";"0.858168146002873";"213"
"21";"gâteau";"-0.466655479594783";"0.799851020040071";"0.857908245709508";"215"
"22";"emji_visage_souriant_avec_une_goutte_de_sueur";"-0.265892844744415";"0.140725045825822";"0.857877074354628";"216"
"23";"caisse";"-0.462622714589437";"0.505835638519818";"0.85637042411808";"219"
"24";"compagnie";"-0.502114955937154";"0.842641116824662";"0.85617891315181";"220"
"25";"temps";"-0.458318954096362";"0.354026169862157";"0.853912891179653";"224"
"26";"changer";"-0.432259681527762";"0.45539103153156";"0.853605556215818";"225"
"27";"noël";"-0.443653555120972";"0.244928344424982";"0.853456475822913";"226"
"28";"nuisible";"-0.496590168592959";"0.652804498198552";"0.853045410096183";"228"
"29";"voisin";"-0.434058933089927";"0.470315008418118";"0.852870370949548";"229"
"30";"jour";"-0.451043604122562";"0.491111401133188";"0.852756736244467";"230"
"31";"propre";"-0.456260604790805";"0.826430379527482";"0.852528841322166";"231"
"32";"dimanche";"-0.439609887351639";"0.226117307579744";"0.851294601621745";"238"
"33";"triste";"-0.408461237752838";"0.17915049676273";"0.851270310900383";"239"
"34";"bête";"-0.479035647420038";"0.57062179194001";"0.850901154486903";"241"
"35";"écosystème";"-0.509866728326611";"0.843054598711304";"0.850039407264698";"242"
"36";"désigner";"-0.488613140417864";"0.885449989641835";"0.849345297295494";"244"
"37";"peau";"-0.472925347619545";"0.65351081814084";"0.849000118847306";"245"
"38";"poubelle";"-0.474852207803945";"0.485522572193875";"0.848523270094056";"246"
"39";"aujourd";"-0.410337240073633";"-0.276586567657687";"0.848035057870298";"247"
"40";"aller";"-0.416363777162481";"0.490452508639689";"0.846341275252446";"252"
"41";"oiseau";"-0.47821019936961";"0.510943098459667";"0.845821161909647";"253"
"42";"musulman";"-0.445118615078097";"0.958392485501345";"0.845677294117892";"255"
"43";"travail";"-0.465684507086118";"0.511572999940842";"0.84534858748934";"256"
"44";"primaire";"-0.44300464743639";"0.161177632282104";"0.844843903445946";"257"
"45";"commentaire";"-0.45161216337556";"0.463835069994997";"0.844787190345429";"258"
"46";"heure";"-0.44025634108574";"0.194391612675008";"0.844591717802284";"260"
"47";"hérisson";"-0.494335393679506";"0.60222033055711";"0.844537506750319";"261"
"48";"lynx";"-0.512714366984871";"0.879363413677767";"0.844413134086867";"262"
"49";"apprendre";"-0.461616990719472";"0.449013293825828";"0.843512083851987";"268"
"50";"frère";"-0.478045964307436";"0.751081621542328";"0.842696624527999";"271"
"51";"faim";"-0.505182382993858";"0.80411062674497";"0.840942792744893";"272"
"52";"covid";"-0.483541539700064";"0.765368145825675";"0.840119723023225";"273"
"53";"match";"-0.456462812002374";"0.424445051167817";"0.839940930803762";"274"
"54";"élevage";"-0.508866523923145";"0.861235882867171";"0.839774231818968";"275"
"55";"maltraitance";"-0.502507032894648";"0.81559924908644";"0.839774231818968";"276"
"56";"semaine";"-0.461610945300524";"0.469904538687547";"0.838028427441635";"278"
"57";"passer";"-0.460830018017379";"0.461870592603199";"0.838022589328346";"279"
"58";"tete";"-0.269855985296651";"0.573136669461328";"0.837857766879966";"280"
"59";"génération";"-0.467320634579386";"0.384193319544442";"0.837416780822632";"282"
"60";"ville";"-0.468578343867147";"0.624536921499073";"0.83674039369734";"284"
"61";"âge";"-0.454855745097186";"0.185934818856517";"0.836688476189881";"285"
"62";"album";"-0.14280248158349";"0.0489902123836574";"0.836623944187637";"286"
"63";"errant";"-0.512714366984871";"0.879363413677768";"0.836570150143764";"287"
"64";"mois";"-0.456570100573831";"0.532688890009784";"0.836385936819104";"288"
"65";"vraiment";"-0.435360948635318";"0.0940719893341416";"0.836223199411185";"289"
"66";"appartement";"-0.448704977924189";"1.13502434307174";"0.836018448437992";"290"
"67";"penser";"-0.427366020391992";"0.382531737808477";"0.836001455358241";"291"
"68";"argent";"-0.468893143118564";"0.588415311952582";"0.835667536128539";"292"
"69";"fille";"-0.459238343186668";"0.340423481212837";"0.835563284105528";"293"
"70";"connotation";"-0.496725050464759";"0.985201804629841";"0.835459240586564";"294"
"71";"légume";"-0.494735375827697";"0.75444702995941";"0.835280239863055";"295"
"72";"baignoire";"-0.430383526765756";"1.49709626006783";"0.835218522665432";"296"
"73";"canard";"-0.363093374698686";"0.75603732472795";"0.835217167389133";"297"
"74";"exprimer";"-0.470074870998521";"0.32177883600655";"0.834298081554273";"298"
"75";"cygne";"-0.501588142212181";"0.830436710990424";"0.83393716105061";"300"
"76";"lausanne";"-0.406250474816691";"0.362791357150114";"0.833790165698165";"302"
"77";"sympa";"-0.43355356932986";"0.119840339159824";"0.8334700077355";"303"
"78";"emji_visage_avec_des_symboles_dans_la_bouche";"-0.488278860767541";"0.75397576748213";"0.833369717289364";"304"
"79";"français";"-0.407702196806342";"0.49993038755617";"0.83317080442946";"305"
"80";"répondre";"-0.472391171578934";"0.479367790246658";"0.832621604772241";"306"
"81";"super";"-0.31243715937194";"-0.439202176730028";"0.832327822571397";"307"
"82";"immigration";"-0.473302075702415";"0.816079649255931";"0.832036229663037";"308"
"83";"xénophobie";"-0.497428778249491";"1.02233015453947";"0.831816257894485";"310"
"84";"vrai";"-0.416116258779058";"0.0080106740662753";"0.831686464125836";"311"
"85";"dépendant";"-0.509748076715851";"0.841541731421035";"0.831633712602193";"312"
"86";"salaire";"-0.471519568228975";"0.638508692347537";"0.831528313806929";"313"
"87";"fruit";"-0.496326095984995";"0.765206833602463";"0.831378503649863";"314"
"88";"niveau";"-0.472587839766739";"0.484742769636428";"0.8312481886211";"315"
"89";"bouteille";"-0.453076227224409";"0.889469374928638";"0.831232029557534";"316"
"90";"stériliser";"-0.487445310743544";"0.6396504278579";"0.831055322378531";"317"
"91";"trouver";"-0.458517791961322";"0.450134071985705";"0.83070347180087";"319"
"92";"bronzé";"-0.491910682761578";"0.894501990917212";"0.830599115525837";"320"
"93";"exister";"-0.447658148505028";"0.447580585863426";"0.829987885914926";"327"
"94";"paire";"-0.450552658000139";"0.53759506381728";"0.829981526541523";"328"
"95";"loup";"-0.500322282119559";"0.768225559690982";"0.829601840673718";"329"
"96";"maladie";"-0.484677432941623";"0.635641394315596";"0.829584534837899";"330"
"97";"vacance";"-0.452244516535281";"0.533150256352381";"0.829171175566662";"331"
"98";"cou";"-0.42470904751952";"-0.0156493727868445";"0.829110188133201";"332"
"99";"empoisonner";"-0.4988022226516";"0.815698615668399";"0.829066715039605";"337"
"100";"heureux";"-0.448368769525085";"0.0633535341976925";"0.828905124403939";"339"
"101";"magasin";"-0.464118641374176";"0.548443405295407";"0.828899494794696";"340"
"102";"matin";"-0.459365044495007";"0.541128976443194";"0.828836630824821";"341"
"103";"carnivore";"-0.512714366984871";"0.879363413677768";"0.828728104468867";"342"
"104";"élève";"-0.475620583468362";"0.422227519382414";"0.828705794535943";"343"
"105";"etais";"-0.404770157994227";"-0.035363073343374";"0.828609152910612";"344"
"106";"équipe";"-0.41987708412405";"0.451470494915964";"0.828394497995234";"345"
"107";"gagner";"-0.459025143665293";"0.538735910296893";"0.82829670959765";"346"
"108";"éducation";"-0.471758199844363";"0.4117582517884";"0.827740942062981";"347"
"109";"père";"-0.448331043599024";"0.391957793516135";"0.827731246624841";"348"
"110";"race";"-0.480476893815385";"0.490192675228364";"0.827545365267813";"350"
"111";"cuisse";"-0.41352813363934";"-0.0576102708521542";"0.827469574047084";"351"
"112";"réponse";"-0.462919235050168";"0.352214385635587";"0.827427351977765";"353"
"113";"domestique";"-0.505934274941396";"0.792913854233807";"0.827099687869443";"354"
"114";"sentir";"-0.424614322096506";"0.485922576385131";"0.827092077471763";"355"
"115";"avion";"-0.471667996934479";"0.658034455736465";"0.827051210678743";"356"
"116";"bougie";"-0.385626511091988";"-0.567837244436843";"0.827018788299587";"357"
"117";"société";"-0.470503803277663";"0.36961330954686";"0.826713642628235";"358"
"118";"poulailler";"-0.512714366984871";"0.879363413677767";"0.826114297747948";"359"
"119";"ignoble";"-0.512714366984871";"0.879363413677767";"0.826114297747948";"360"
"120";"boulot";"-0.467320600645803";"0.67118146893328";"0.826024849512205";"363"
"121";"obligatoire";"-0.442834553096052";"0.860652569878018";"0.825897349288063";"364"
