"";"";"";"";"alors";""
"56";"1955";"-0.449600807955141";"0.351759676776364";"0.802597893233481";"257"
"57";"celles";"-0.460166203012858";"0.55168874369178";"0.802529084463095";"258"
"58";"presque";"-0.440857642919698";"0.413088775525503";"0.802408850190632";"263"
"59";"ben";"-0.38050245116066";"0.294479758855805";"0.802320304167688";"267"
"60";"42";"-0.464915853880435";"0.428322905021983";"0.802315777274899";"268"
"61";"merde";"-0.34955080182857";"0.462199436074689";"0.802278113526899";"270"
"62";"durant";"-0.456496035985004";"0.52113763718842";"0.802255297987245";"272"
"63";"quant";"-0.469646989427027";"0.432800650647235";"0.802234474280417";"273"
"64";"83";"-0.0476814746129813";"0.388808182003836";"0.802145566106051";"276"
"65";"alentour";"-0.409610301227068";"-0.295233354006366";"0.802051406736049";"278"
"66";"haha";"-0.17082378879125";"0.0658617156537717";"0.802009940398106";"280"
"67";"ok";"-0.315113598842821";"0.330199485618423";"0.80193986409774";"281"
"68";"berk";"-0.345820995394522";"0.145462873367617";"0.801935699356375";"282"
"69";"chacune";"-0.472316714854034";"0.798408996754932";"0.801765669263238";"286"
"70";"chut";"-0.403744935344362";"0.5691617842562";"0.801765669263238";"288"
"71";"hein";"-0.427833957301109";"0.37304976042016";"0.801708630414102";"296"
"72";"demi";"-0.449619459334161";"0.15725704298937";"0.801706638581275";"297"
"73";"zut";"-0.404574976075493";"0.277410055273109";"0.801639821643716";"300"
"74";"40";"-0.291238539173652";"0.266122261109814";"0.801611392757005";"302"
"75";"1963";"-0.436068233945627";"0.27789950480521";"0.801549283787946";"304"
"76";"davantage";"-0.439169166588942";"-0.172676714723862";"0.801533892352465";"309"
"77";"120";"-0.437111579599034";"0.400073020993118";"0.801517233387003";"311"
"78";"auparavant";"-0.428634470366784";"0.666799118298277";"0.801458564856464";"313"
"79";"950";"-0.398811099024329";"0.0285708703218129";"0.801447338162348";"314"
"80";"1999";"-0.444394393737694";"0.383377832909357";"0.801442630193848";"316"
"81";"2005";"-0.234248020806283";"0.340680150322145";"0.801442630193848";"317"
"82";"2004";"-0.259917035673978";"0.21882495413291";"0.801364586562174";"320"
"83";"12";"-0.3854439361223";"0.404870366732809";"0.801335614448327";"321"
"84";"ouf";"-0.404096493058848";"-0.0760200341384438";"0.801325655284193";"322"
"85";"heu";"-0.414624293766457";"0.373665188068611";"0.801252681772442";"327"
"86";"2019";"-0.426868468770037";"0.467117279816182";"0.801243446911153";"328"
"87";"1986";"-0.376324253656531";"-0.0429238354323034";"0.801239644321211";"329"
"88";"107";"-0.425446284005841";"0.548154828738112";"0.80122552041571";"333"
"89";"35";"-0.445465272690954";"0.353305265562048";"0.801200169816095";"334"
"90";"tels";"-0.47394020414715";"0.516140101693532";"0.801162143916671";"335"
"91";"1950";"-0.459557759590446";"0.471414925676562";"0.801089532556343";"338"
"92";"quelles";"-0.417956384104512";"-0.430677430302742";"0.801070519606631";"339"
"93";"youpi";"-0.417097093322968";"-0.34815493499221";"0.801060379366785";"340"
"94";"103";"-0.39198414372495";"-0.256496602842969";"0.801051506656919";"341"
"95";"huit";"-0.399437243186662";"0.365246777858962";"0.801051506656919";"342"
"96";"soi_même";"-0.431742729533408";"-0.0911614760796605";"0.800977446690899";"349"
"97";"500";"-0.441407192015935";"0.540947028179626";"0.800918959236071";"353"
"98";"ouh";"-0.39749706556594";"0.339667477128688";"0.800834759030205";"362"
"99";"boum";"-0.39675964913706";"-0.260097165233634";"0.800827878153166";"365"
"100";"bof";"-0.440982572117527";"0.373889220836915";"0.800827878153166";"368"
"101";"1973";"-0.438016281848509";"0.336067538580185";"0.800827878153166";"369"
"102";"180";"-0.377097139939937";"0.273670150987568";"0.800811581339127";"371"
"103";"mince";"-0.415569625899953";"0.357349716488413";"0.800797638509339";"372"
"104";"tiens";"-0.413817598634632";"0.191445201990969";"0.800767579941223";"373"
"105";"82";"-0.412790485264233";"0.462550457056193";"0.800693701050914";"375"
"106";"euh";"-0.412432181376475";"0.27707902736353";"0.800693338899491";"376"
"107";"pardon";"-0.424596337183472";"0.504124941523984";"0.800684647265337";"377"
"108";"lendemain";"-0.447219570772625";"0.418277884289059";"0.800617106024932";"380"
"109";"96";"-0.424495436554823";"0.436859934010798";"0.800596282318105";"384"
"110";"1000";"-0.415259218351214";"-0.0651139017819183";"0.800580347655489";"387"
"111";"160";"-0.403223415282846";"0.417252230814968";"0.800548478330258";"389"
"112";"tien";"-0.426301283680476";"0.428709731188446";"0.800478402029892";"392"
"113";"159";"-0.399474520918491";"0.334294111914837";"0.800461380913007";"395"
"114";"htag_nostalgie";"-0.393542011873917";"0.289238567453048";"0.800392028915487";"401"
"115";"657";"-0.387522521455075";"0.316405910194219";"0.800392028915487";"402"
"116";"47";"-0.387522521455075";"0.316405910194219";"0.800392028915487";"403"
"117";"270";"-0.393542011873917";"0.289238567453048";"0.800392028915487";"404"
"118";"06";"-0.387522521455075";"0.316405910194219";"0.800392028915487";"405"
"119";"33";"-0.37411206112757";"-0.329757904340085";"0.800262378706023";"412"
"120";"2007";"-0.357976475719468";"-0.494432885704669";"0.800250065557638";"413"
"121";"hum";"-0.414392774904194";"0.374710085866349";"0.800250065557638";"414"
"122";"67";"-0.420189373378362";"-0.055814100782906";"0.800249522330504";"415"
"123";"1978";"-0.406221413984421";"0.0940828266408661";"0.800195742844176";"420"
"124";"1997";"-0.417402520113615";"0.361126414495763";"0.800173470531656";"421"
"125";"41";"-0.388471059090712";"-0.216439421844585";"0.800167495033176";"424"
"126";"1987";"-0.134908274018212";"0.0664806808616196";"0.800167132881752";"425"
"127";"octante";"-0.412887902299483";"0.381501921551642";"0.800149749613445";"427"
"128";"1995";"0.0818383385508356";"-0.25522965595419";"0.800116250606809";"429"
"129";"alerte";"-0.389040181672094";"-0.536146621067868";"0.800046355382155";"433"
"130";"81";"-0.428107130806128";"0.420559528366095";"0.800046355382155";"434"
"131";"bis";"-0.428107130806128";"0.420559528366095";"0.800046355382155";"435"
