"";"";"";"";"alors";""
"1";"alors";"-0.451532983131221";"0.495256134368616";"0.827848539056467";"110"
"2";"maintenant";"-0.44014385100682";"0.371805871683918";"0.825415786871912";"114"
"3";"parce_que";"-0.459053835464748";"0.593765637806064";"0.822943560182241";"117"
"4";"mal";"-0.41742493841752";"0.465070212423112";"0.819779081047349";"123"
"5";"ceux";"-0.467038876558342";"0.504641706380274";"0.819622993784";"124"
"6";"pourquoi";"-0.449206546421056";"0.460708703713687";"0.819045724415607";"126"
"7";"contre";"-0.432698854847312";"0.426721770938811";"0.817009528039327";"134"
"8";"ainsi";"-0.474820550641134";"0.475478614936405";"0.816351317827875";"139"
"9";"mes";"-0.436001432365119";"0.293910225988258";"0.815826198264406";"140"
"10";"quelques";"-0.463801535101765";"0.526111238030673";"0.814796601768583";"144"
"11";"entre";"-0.356775211258467";"0.471373184662262";"0.814685421281697";"146"
"12";"malgré";"-0.466177572286858";"0.4090984074512";"0.813469497878698";"152"
"13";"chez";"-0.433803548515332";"0.37003033156914";"0.813448493096159";"153"
"14";"pendant";"-0.45616642883866";"0.387460383549044";"0.812999063180114";"155"
"15";"deux";"-0.430304014005976";"0.204336557119573";"0.812856013367997";"156"
"16";"tant";"-0.446427430890531";"0.217884412289325";"0.812812011970092";"157"
"17";"surtout";"-0.446137425190097";"0.364192912764587";"0.812078293186928";"160"
"18";"toutes";"-0.432664844190402";"0.0337770178550473";"0.811376805880417";"167"
"19";"loin";"-0.456182304683254";"0.426307532883775";"0.811034572785605";"169"
"20";"oui";"-0.407199950613433";"0.176351378722635";"0.811022440712931";"170"
"21";"plusieurs";"-0.461278452262159";"0.556100641618471";"0.809202629811943";"178"
"22";"million";"-0.396742045336702";"0.554112035294348";"0.808895706480881";"180"
"23";"ta";"-0.406619963951599";"0.386384318846644";"0.808824724801957";"182"
"24";"dessus";"-0.460902774562873";"0.543416086251879";"0.808585885938434";"184"
"25";"combien";"-0.448134520520857";"0.326742837682631";"0.808322420778142";"185"
"26";"certaine";"-0.461732944760558";"0.427349722439096";"0.80826701161041";"186"
"27";"envers";"-0.458281446550008";"0.300436239895516";"0.807807441454519";"188"
"28";"dommage";"-0.427099656910693";"0.242928512038975";"0.807785893444845";"189"
"29";"vite";"-0.417446642695912";"0.356019998627733";"0.807493637246418";"191"
"30";"autour";"-0.452648326990045";"0.329824923885404";"0.806838324246351";"195"
"31";"nonante";"-0.259205632205111";"0.0891549692221038";"0.806413158475652";"198"
"32";"parfois";"-0.461700034650917";"0.52565268658546";"0.806393783374517";"199"
"33";"dessous";"-0.458468768613122";"0.471670340946372";"0.80635068735517";"200"
"34";"11";"-0.356223918108958";"0.536279228089934";"0.806067847093743";"203"
"35";"soi";"-0.460574592938555";"0.409235924595227";"0.806018594500204";"204"
"36";"comment";"-0.371483761451134";"0.27482224511913";"0.805884598473663";"207"
"37";"1500";"-0.457083243121406";"0.634729900241038";"0.805761648065527";"209"
"38";"quatre_vingt";"-0.356046927497249";"0.176271950671638";"0.805613165982063";"212"
"39";"ailleurs";"-0.457577316580067";"0.573003952430417";"0.805239787864865";"219"
"40";"50";"-0.380844181347878";"0.333720774853344";"0.805137299012133";"220"
"41";"mêmes";"-0.441049045244482";"0.356125393642292";"0.804876006760379";"222"
"42";"néanmoins";"-0.44154553327743";"0.153983726952687";"0.804744364718089";"223"
"43";"puisqu";"-0.486130813833691";"0.679970886586041";"0.804675012720569";"225"
"44";"partout";"-0.440599718086975";"0.440224330828831";"0.804406477440353";"226"
"45";"2024";"-0.350593158925856";"0.425496577971728";"0.804016259281982";"228"
"46";"501";"-0.345820995394522";"0.145462873367617";"0.803922280987692";"232"
"47";"soixante";"-0.421605613858884";"0.225882102101068";"0.803671672202919";"235"
"48";"jadis";"-0.385814851499337";"0.118050331536995";"0.803671672202919";"236"
"49";"trois";"-0.453054250234183";"0.452827130916001";"0.803466875573166";"241"
"50";"72";"-0.463787588466818";"0.667870727270485";"0.803408207042627";"243"
"51";"hélas";"-0.450826594934818";"0.324711087119206";"0.803322920382491";"245"
"52";"pouce";"-0.448512043166969";"0.22241489834484";"0.802843250822619";"251"
"53";"auxquels";"-0.442492552748127";"0.249582241086011";"0.802843250822619";"253"
"54";"ouais";"-0.421752465651969";"0.480786997417786";"0.802735148622829";"255"
"55";"100";"-0.177548392111543";"0.0458259383059996";"0.802602782277692";"256"
