"";"X.rts_a";"X.rts_i"
"user_utilisateurice";22,8821;-22,8821
"venir";0,931;-0,931
"on";1,9564;-1,9564
"organiser";-3,926;3,926
"ça";29,3222;-29,3222
"emji_visage_avec_un_sourire_malin";1,6076;-1,6076
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";Inf;-Inf
"emji_visage_riant_aux_larmes";Inf;-Inf
"avec";5,9246;-5,9246
"ou";-19,317;19,317
"sans";-8,2234;8,2234
"drogue";-6,5327;6,5327
"à";-2,4794;2,4794
"voir";2,712;-2,712
"la";-13,8764;13,8764
"tête";21,5056;-21,5056
"de";-49,3644;49,3644
"certains";-0,885;0,885
"je";117,2919;-117,2919
"me";84,5628;-84,5628
"poser";2,0136;-2,0136
"question";-1,0699;1,0699
"quand";1,9036;-1,9036
"avoir";97,8511;-97,8511
"lancer";-2,6167;2,6167
"ce";-0,7587;0,7587
"truc";4,4434;-4,4434
"jamais";4,6169;-4,6169
"penser";2,1739;-2,1739
"qu";-1,3293;1,3293
"en";-2,3809;2,3809
"parler";-1,6164;1,6164
"40";5,9817;-5,9817
"an";36,95;-36,95
"plus";-10,5993;10,5993
"tard";8,3631;-8,3631
"aller";-37,4038;37,4038
"danser";9,7203;-9,7203
"24h";-0,6169;0,6169
"non";-10,993;10,993
"stop";-0,8338;0,8338
"emji_visage_grimaçant";8,6045;-8,6045
"moi";109,1116;-109,1116
"dire";36,8373;-36,8373
"le";-4,5232;4,5232
"nouveau";-10,6925;10,6925
"marathon";0,6011;-0,6011
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";49,6955;-49,6955
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";6,9321;-6,9321
"l";-0,3179;0,3179
"alcool";-0,5219;0,5219
"c";52,8604;-52,8604
"être";19,6435;-19,6435
"nourriture";1,7133;-1,7133
"et";-11,4697;11,4697
"eau";2,0588;-2,0588
"elles";4,3455;-4,3455
"même";4,3138;-4,3138
"couleur";5,8333;-5,8333
"tout";4,4884;-4,4884
"cas";-11,9305;11,9305
"ces";-2,9099;2,9099
"archive";102,3751;-102,3751
"absolument";-1,5498;1,5498
"magnifique";73,8595;-73,8595
"tu";-0,316;0,316
"reconnaître";-0,531;0,531
"emji_visage_souriant_avec_une_goutte_de_sueur";63,1117;-63,1117
"du";-4,2325;4,2325
"talent";0,7754;-0,7754
"m";26,0701;-26,0701
"ne";-34,4532;34,4532
"pas";-18,4322;18,4322
"changer";24,355;-24,355
"presque";2,7786;-2,7786
"emji_visage_faisant_un_clin_d_oeil";44,5302;-44,5302
"y";1,2026;-1,2026
"idée";-5,4266;5,4266
"quelle";40,7687;-40,7687
"super";8,956;-8,956
"se";-7,8885;7,8885
"sentir";-0,663;0,663
"nostalgique";8,3755;-8,3755
"coup";0,4504;-0,4504
"ils";-10,1177;10,1177
"fin";2,8011;-2,8011
"un";-4,2908;4,2908
"mieux";2,3788;-2,3788
"avant";13,5988;-13,5988
"aujourd_hui";235,8815;-235,8815
"les";-28,4147;28,4147
"enfant";9,742;-9,742
"faire";-6,1535;6,1535
"des";-78,0146;78,0146
"sur";-27,2174;27,2174
"tiktok";3,0182;-3,0182
"époque";Inf;-Inf
"style";3,6029;-3,6029
"grâce";0,6441;-0,6441
"contrairement";-1,9598;1,9598
"pouvoir";-23,9041;23,9041
"mettre";-11,5324;11,5324
"musique";6,7078;-6,7078
"dehors";0,5383;-0,5383
"mon";69,527;-69,527
"ami";9,809;-9,809
"rassurer";0,6744;-0,6744
"t";0,7236;-0,7236
"petit";54,8314;-54,8314
"comprendre";0,8904;-0,8904
"où";0,5021;-0,5021
"acquérir";-0,4476;0,4476
"ton";-2,2204;2,2204
"si";-10,1805;10,1805
"spécial";1,3591;-1,3591
"emji_visage_avec_lunettes_de_soleil";10,7302;-10,7302
"plein";0,8767;-0,8767
"qui";-53,1632;53,1632
"s";-2,8082;2,8082
"afficher";-0,5757;0,5757
"juste";-3,9824;3,9824
"peut_être";-1,1275;1,1275
"remettre";-0,7892;0,7892
"système";-28,9848;28,9848
"plutôt";-3,7006;3,7006
"que";-33,6761;33,6761
"juger";-0,5623;0,5623
"terme";-3,8938;3,8938
"sexiste";0,4062;-0,4062
"nous";4,3673;-4,3673
"deux";0,3026;-0,3026
"sortir";-1,7973;1,7973
"boss";-0,7436;0,7436
"emji_coeur_rouge";Inf;-Inf
"incroyable";22,1001;-22,1001
"dimanche";15,3759;-15,3759
"merci";44,4715;-44,4715
"dieu";75,389;-75,389
"possible";-2,6014;2,6014
"il";10,1642;-10,1642
"grand";4,7521;-4,7521
"temps";12,2221;-12,2221
"chant";1,6702;-1,6702
"dès";-1,1163;1,1163
"école";17,7852;-17,7852
"enfantin";0,2794;-0,2794
"peu";3,4323;-3,4323
"mal";1,0289;-1,0289
"aux";-17,3698;17,3698
"oreille";12,7719;-12,7719
"grave";-2,3483;2,3483
"vous";-47,8479;47,8479
"meilleur";7,3793;-7,3793
"terrain";-3,4935;3,4935
"emji_ok";13,5338;-13,5338
"emji_trinquer";0,8267;-0,8267
"emji_trèfle_à_quatre_feuilles";9,2848;-9,2848
"d";-44,6407;44,6407
"hors";-2,6037;2,6037
"emji_applaudissements";53,0032;-53,0032
"emji_feu";34,2014;-34,2014
"suisse";-80,5365;80,5365
"pleurer";1,8361;-1,8361
"comme";5,436;-5,436
"rire";18,3204;-18,3204
"mais";-2,1456;2,1456
"français";28,919;-28,919
"budget";-10,4311;10,4311
"journaliste";3,6648;-3,6648
"rts";-8,7827;8,7827
"double";0,3344;-0,3344
"emji_mains_levées";15,457;-15,457
"inviter";-1,3568;1,3568
"gym";0,4872;-0,4872
"dame";177,8631;-177,8631
"profil";-3,0064;3,0064
"monsieur";65,0999;-65,0999
"laisser";-9,5967;9,5967
"célébrer";-0,517;0,517
"espoir";-0,777;0,777
"pour";-63,4468;63,4468
"tes";-1,7642;1,7642
"20";-0,6949;0,6949
"euro";9,1435;-9,1435
"bravo";2,8537;-2,8537
"nos";0,4258;-0,4258
"cousin";6,1845;-6,1845
"belge";14,6877;-14,6877
"une";-0,8909;0,8909
"très";37,1583;-37,1583
"beau";207,5862;-207,5862
"mentalité";1,8172;-1,8172
"dans";0,7191;-0,7191
"victoire";-0,4871;0,4871
"défaite";0,3271;-0,3271
"bon";13,1288;-13,1288
"chance";0,6008;-0,6008
"rester";-5,9742;5,9742
"compétition";-0,3478;0,3478
"vraiment";1,1254;-1,1254
"insupportable";-0,4871;0,4871
"gens";-2,75;2,75
"cirque";-1,3049;1,3049
"pareil";8,9562;-8,9562
"inculte";-0,348;0,348
"tellement";73,153;-73,153
"bas";-4,5498;4,5498
"rapporter";-3,2858;3,2858
"centime";0,2593;-0,2593
"payer";-97,6081;97,6081
"votre";-30,3599;30,3599
"loyer";-20,6043;20,6043
"ni";-2,654;2,654
"vos";-7,0991;7,0991
"facture";-6,244;6,244
"chaque";-2,3173;2,3173
"mois";-5,8469;5,8469
"rien";-2,8531;2,8531
"sport";3,1443;-3,1443
"ci";-0,6919;0,6919
"loin";1,9691;-1,9691
"chose";3,1538;-3,1538
"nécessaire";-5,4369;5,4369
"monde";-9,2369;9,2369
"mourir";1,0201;-1,0201
"faim";-0,3767;0,3767
"battre";3,9998;-3,9998
"leur";-12,3048;12,3048
"survie";-0,254;0,254
"contre";-37,1746;37,1746
"maladie";-7,259;7,259
"foire";1,0404;-1,0404
"bête";13,4416;-13,4416
"sauvage";26,6094;-26,6094
"humain";0,9315;-0,9315
"devenir";1,4625;-1,4625
"pathétique";0,2878;-0,2878
"siècle";1,0957;-1,0957
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";-0,514;0,514
"souvenir";301,3179;-301,3179
"trop";26,3602;-26,3602
"bien";31,2894;-31,2894
"oser";0,3072;-0,3072
"devoir";-14,9262;14,9262
"viser";-8,4861;8,4861
"couper";0,6045;-0,6045
"pr";-0,6986;0,6986
"réponse";4,5744;-4,5744
"cet";8,1004;-8,1004
"échange";-2,5586;2,5586
"constructif";-1,1608;1,1608
"plaisir";15,8169;-15,8169
"chanter";7,4278;-7,4278
"beaucoup";7,1819;-7,1819
"purée";4,852;-4,852
"au";-1,5112;1,5112
"moin";0,3354;-0,3354
"lèvre";0,3437;-0,3437
"emji_se_rouler_par_terre_de_rire";85,3523;-85,3523
"ya";3,1424;-3,1424
"origine";0,8991;-0,8991
"ds";3,2891;-3,2891
"cette";75,3601;-75,3601
"équipe";-3,5206;3,5206
"aussi";19,9492;-19,9492
"gars";3,4294;-3,4294
"jusqu_au";1,0468;-1,0468
"bout";0,4057;-0,4057
"rêver";4,1341;-4,1341
"emji_coeur_cartes";37,0825;-37,0825
"nati";0,9934;-0,9934
"adorer";126,0749;-126,0749
"offrir";-3,7367;3,7367
"match";2,3934;-2,3934
"j";Inf;-Inf
"espérer";-0,9017;0,9017
"gagner";-8,4302;8,4302
"là";1,2998;-1,2998
"europe";-23,6101;23,6101
"vivre";4,9385;-4,9385
"apprendre";16,3437;-16,3437
"oublier";0,4937;-0,4937
"leurs";-5,1107;5,1107
"racine";1,4517;-1,4517
"hop";0,6671;-0,6671
"emji_drapeau_suisse";1,6408;-1,6408
"croiser";1,4708;-1,4708
"doigt";1,8403;-1,8403
"depuis";-0,632;0,632
"suède";-2,6282;2,6282
"dernier";10,0363;-10,0363
"pffff";-1,2622;1,2622
"ben";1,0048;-1,0048
"elle";156,6683;-156,6683
"chez";4,6306;-4,6306
"pourquoi";-10,642;10,642
"puisqu";0,4875;-0,4875
"aimer";173,6335;-173,6335
"hippie";4,4648;-4,4648
"nage";1,0744;-1,0744
"alors";-14,5364;14,5364
"payant";0,294;-0,294
"avion";-0,2793;0,2793
"gonfler";0,8301;-0,8301
"femme";27,8261;-27,8261
"prendre";-6,2295;6,2295
"analyse";-1,5417;1,5417
"correct";-1,7473;1,7473
"moins";-3,42;3,42
"maintenant";62,3053;-62,3053
"genre";-2,9354;2,9354
"clip";3,4501;-3,4501
"par";-45,8878;45,8878
"faute";-0,3843;0,3843
"traduction";1,5394;-1,5394
"ego";0,404;-0,404
"vrai";7,4877;-7,4877
"emji_drapeau_états_unis";-2,6964;2,6964
"correction";1,2227;-1,2227
"honnêtement";-0,4832;0,4832
"regarder";5,9671;-5,9671
"emji_visage_avec_les_sourcils_relevés";0,5329;-0,5329
"fier";3,393;-3,393
"raison";4,6961;-4,6961
"rue";-1,1566;1,1566
"police";-114,7227;114,7227
"avertir";-0,2253;0,2253
"voiture";-0,3693;0,3693
"amande";-0,2765;0,2765
"100";-7,1602;7,1602
"oui";2,5188;-2,5188
"vôtre";-1,0381;1,0381
"argent";-47,0505;47,0505
"attendre";-3,5455;3,5455
"te";0,8435;-0,8435
"emji_coeur_enflammé";3,1421;-3,1421
"plupart";-2,6087;2,6087
"entre";-7,4072;7,4072
"eux";-8,949;8,949
"parent";18,2554;-18,2554
"avouer";1,071;-1,071
"meuf";9,586;-9,586
"vidéo";63,1011;-63,1011
"oh";29,0332;-29,0332
"vendre";-3,6753;3,6753
"rêve";7,0596;-7,0596
"apercevoir";2,2156;-2,2156
"min";0,5823;-0,5823
"2";-3,9225;3,9225
"34";-0,8303;0,8303
"emji_visage_envoyant_un_bisou";10,433;-10,433
"publier";-3,2761;3,2761
"reportage";58,6969;-58,6969
"2007";-1,1334;1,1334
"vouloir";-11,6628;11,6628
"tecktonik";15,6016;-15,6016
"hé";2,1568;-2,1568
"croire";1,7228;-1,7228
"religieux";0,6257;-0,6257
"historien";-0,2979;0,2979
"représenter";-18,1436;18,1436
"musée";-1,6452;1,6452
"enseigner";4,246;-4,246
"histoire";-2,026;2,026
"temp";0,3042;-0,3042
"fesait";3,1319;-3,1319
"toi";1,1525;-1,1525
"erreur";-2,2986;2,2986
"passer";0,2955;-0,2955
"ouf";3,3193;-3,3193
"dur";-0,8066;0,8066
"boiter";0,8806;-0,8806
"déjà";-6,5315;6,5315
"air";16,8222;-16,8222
"con";19,5457;-19,5457
"détester";13,1861;-13,1861
"anniversaire";4,6319;-4,6319
"encore";2,2093;-2,2093
"photo";-2,2847;2,2847
"seigneur";4,2343;-4,2343
"ptn";0,5219;-0,5219
"hier";4,1962;-4,1962
"pensée";4,6054;-4,6054
"my";1,6579;-1,6579
"jusqu_à";-0,346;0,346
"autre";0,6241;-0,6241
"vie";30,8259;-30,8259
"ahahah";0,9973;-0,9973
"chaud";7,1855;-7,1855
"imaginer";0,3257;-0,3257
"revoir";9,9085;-9,9085
"mtn";2,2708;-2,2708
"compte";-8,4514;8,4514
"jeunesse";23,4369;-23,4369
"heureusement";11,3483;-11,3483
"période";5,7098;-5,7098
"court";1,1204;-1,1204
"mulet";5,4423;-5,4423
"horreur";1,943;-1,943
"emji_visage_qui_hurle_de_peur";8,9034;-8,9034
"disparaître";3,7693;-3,7693
"vite";12,7051;-12,7051
"arrivée";0,9566;-0,9566
"finalement";1,0647;-1,0647
"parfois";2,6204;-2,6204
"élève";19,4694;-19,4694
"allure";0,6421;-0,6421
"calme";3,1094;-3,1094
"vieux";53,419;-53,419
