"";"banalfreq";"X.rts_a";"X.rts_i"
"venir";1378;0,931;-0,931
"on";13729;1,9564;-1,9564
"emji_visage_avec_un_sourire_malin";151;1,6076;-1,6076
"certains";711;-0,885;0,885
"question";1055;-1,0699;1,0699
"quand";3450;1,9036;-1,9036
"ce";10804;-0,7587;0,7587
"qu";9102;-1,3293;1,3293
"parler";2882;-1,6164;1,6164
"24h";21;-0,6169;0,6169
"stop";91;-0,8338;0,8338
"marathon";25;0,6011;-0,6011
"l";19209;-0,3179;0,3179
"alcool";97;-0,5219;0,5219
"nourriture";135;1,7133;-1,7133
"absolument";341;-1,5498;1,5498
"tu";4939;-0,316;0,316
"reconnaître";340;-0,531;0,531
"talent";66;0,7754;-0,7754
"y";6307;1,2026;-1,2026
"sentir";944;-0,663;0,663
"coup";755;0,4504;-0,4504
"grâce";246;0,6441;-0,6441
"contrairement";122;-1,9598;1,9598
"dehors";130;0,5383;-0,5383
"rassurer";74;0,6744;-0,6744
"t";2161;0,7236;-0,7236
"comprendre";1841;0,8904;-0,8904
"où";1820;0,5021;-0,5021
"acquérir";36;-0,4476;0,4476
"spécial";68;1,3591;-1,3591
"plein";586;0,8767;-0,8767
"afficher";13;-0,5757;0,5757
"peut_être";523;-1,1275;1,1275
"remettre";271;-0,7892;0,7892
"juger";155;-0,5623;0,5623
"sexiste";25;0,4062;-0,4062
"deux";898;0,3026;-0,3026
"sortir";586;-1,7973;1,7973
"boss";17;-0,7436;0,7436
"chant";10;1,6702;-1,6702
"dès";236;-1,1163;1,1163
"enfantin";13;0,2794;-0,2794
"mal";935;1,0289;-1,0289
"emji_trinquer";17;0,8267;-0,8267
"pleurer";165;1,8361;-1,8361
"double";97;0,3344;-0,3344
"inviter";109;-1,3568;1,3568
"gym";11;0,4872;-0,4872
"célébrer";15;-0,517;0,517
"espoir";53;-0,777;0,777
"tes";412;-1,7642;1,7642
"20";370;-0,6949;0,6949
"nos";1463;0,4258;-0,4258
"une";12342;-0,8909;0,8909
"mentalité";138;1,8172;-1,8172
"dans";8847;0,7191;-0,7191
"victoire";51;-0,4871;0,4871
"défaite";17;0,3271;-0,3271
"chance";324;0,6008;-0,6008
"compétition";53;-0,3478;0,3478
"vraiment";1512;1,1254;-1,1254
"insupportable";51;-0,4871;0,4871
"cirque";38;-1,3049;1,3049
"inculte";25;-0,348;0,348
"centime";32;0,2593;-0,2593
"ci";69;-0,6919;0,6919
"loin";422;1,9691;-1,9691
"mourir";232;1,0201;-1,0201
"faim";70;-0,3767;0,3767
"survie";28;-0,254;0,254
"foire";12;1,0404;-1,0404
"humain";847;0,9315;-0,9315
"devenir";1014;1,4625;-1,4625
"pathétique";43;0,2878;-0,2878
"siècle";139;1,0957;-1,0957
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";37;-0,514;0,514
"oser";190;0,3072;-0,3072
"couper";360;0,6045;-0,6045
"pr";74;-0,6986;0,6986
"constructif";34;-1,1608;1,1608
"au";5801;-1,5112;1,5112
"moin";42;0,3354;-0,3354
"lèvre";10;0,3437;-0,3437
"origine";184;0,8991;-0,8991
"jusqu_au";101;1,0468;-1,0468
"bout";202;0,4057;-0,4057
"nati";26;0,9934;-0,9934
"espérer";527;-0,9017;0,9017
"là";1742;1,2998;-1,2998
"oublier";565;0,4937;-0,4937
"racine";35;1,4517;-1,4517
"hop";61;0,6671;-0,6671
"emji_drapeau_suisse";455;1,6408;-1,6408
"croiser";67;1,4708;-1,4708
"doigt";144;1,8403;-1,8403
"depuis";1262;-0,632;0,632
"pffff";18;-1,2622;1,2622
"ben";405;1,0048;-1,0048
"puisqu";55;0,4875;-0,4875
"nage";10;1,0744;-1,0744
"payant";29;0,294;-0,294
"avion";118;-0,2793;0,2793
"gonfler";19;0,8301;-0,8301
"analyse";83;-1,5417;1,5417
"correct";80;-1,7473;1,7473
"faute";310;-0,3843;0,3843
"traduction";23;1,5394;-1,5394
"ego";34;0,404;-0,404
"correction";15;1,2227;-1,2227
"honnêtement";70;-0,4832;0,4832
"emji_visage_avec_les_sourcils_relevés";72;0,5329;-0,5329
"rue";334;-1,1566;1,1566
"avertir";14;-0,2253;0,2253
"voiture";402;-0,3693;0,3693
"amande";17;-0,2765;0,2765
"vôtre";46;-1,0381;1,0381
"te";1161;0,8435;-0,8435
"avouer";90;1,071;-1,071
"min";36;0,5823;-0,5823
"34";15;-0,8303;0,8303
"2007";20;-1,1334;1,1334
"croire";1183;1,7228;-1,7228
"religieux";66;0,6257;-0,6257
"historien";15;-0,2979;0,2979
"musée";52;-1,6452;1,6452
"temp";15;0,3042;-0,3042
"toi";1391;1,1525;-1,1525
"passer";1729;0,2955;-0,2955
"dur";293;-0,8066;0,8066
"boiter";33;0,8806;-0,8806
"ptn";28;0,5219;-0,5219
"my";30;1,6579;-1,6579
"jusqu_à";271;-0,346;0,346
"autre";1382;0,6241;-0,6241
"ahahah";18;0,9973;-0,9973
"imaginer";341;0,3257;-0,3257
"court";62;1,1204;-1,1204
"horreur";170;1,943;-1,943
"arrivée";68;0,9566;-0,9566
"finalement";159;1,0647;-1,0647
"allure";10;0,6421;-0,6421
"france";1146;1,5169;-1,5169
"relire";91;-1,1591;1,1591
"explication";67;-1,074;1,074
"ouais";231;0,3169;-0,3169
"surtout";1015;-1,1251;1,1251
"nettement";33;-0,2762;0,2762
"conditionner";12;0,3695;-0,3695
"délire";38;0,5965;-0,5965
"amitié";29;0,4409;-0,4409
"fort";380;-0,6476;0,6476
"emji_visage_mécontent";11;1,953;-1,953
"irréprochable";10;0,3437;-0,3437
"complexe";75;-1,3052;1,3052
"colonie";21;0,3687;-0,3687
"romand";95;1,7725;-1,7725
"science";108;1,9172;-1,9172
"tous";2482;-0,8337;0,8337
"rivière";23;1,1571;-1,1571
"lesquels";26;-0,417;0,417
"commentaire";1136;-1,513;1,513
"vachement";31;0,6433;-0,6433
"marrant";89;1,757;-1,757
"ta";613;0,8201;-0,8201
"comment";992;-0,3169;0,3169
"partout";350;0,5709;-0,5709
"moitié";192;1,4218;-1,4218
"après";1448;0,7203;-0,7203
"marine";12;1,5621;-1,5621
"troupe";12;-0,794;0,794
"emji_poing_levé";33;0,3273;-0,3273
"rouler";157;1,803;-1,803
"1er";120;1,5608;-1,5608
"acheter";425;-0,3664;0,3664
"pot";47;0,3154;-0,3154
"kilomètre";26;0,336;-0,336
"côté";543;-0,7133;0,7133
"vert";92;-0,5112;0,5112
"monter";163;-1,1398;1,1398
"km";56;-0,8138;0,8138
"h";111;-0,5118;0,5118
"évidemment";214;-1,3558;1,3558
"piste";64;0,2811;-0,2811
"réaliser";91;-0,2969;0,2969
"gris";24;0,489;-0,489
