"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"mass";"chi.distance";"inertie"
"retrouver";2,5438199538145;0,913213184363615;0,0254304536008749;-0,0189173249699906;-0,093613578817407;-0,00780786501206717;0,25026234095934;0,936555608828865;0,336216770605055;0,00936270427443089;-0,00696477232129416;-0,0344656162369182;-0,00287461373163023;0,0921388318983219;0,905724911042351;0,089450799209216;6,16313495010165e-05;3,1370505727982e-05;0,000692708926580928;4,50478111822715e-06;0,004034074185508;0,0431513411900677;0,00556116659282551;4,31250660055959e-06;2,38638773443818e-06;5,84385264313867e-05;4,06523964284492e-07;0,000417650075888851;0,00666839871828181;1,590631255465;0,0168717675497001
"archive";2,45274881506482;0,198691628721415;-0,116189511546039;-0,348059789341204;-0,153397217014332;-0,0209086616784403;0,00512762878433176;0,983929844470498;0,0797059291781924;-0,0466098800343629;-0,139625554924129;-0,0615358975823742;-0,00838759195682675;0,00205696847605517;0,979031168713982;0,00492340785980506;0,00149587089238446;0,0123474300062588;0,00216259325455188;3,75602407937252e-05;1,9690322282825e-06;0,0432429263214304;0,000283771036276903;9,70382103788421e-05;0,000870796415291261;0,00016913905027995;3,14239950240138e-06;1,88991416544759e-07;0,00718801420282324;1,47514976395637;0,0156415992523032
"rts";2,84558161743723;0,513786079079693;0,00743762127113087;-0,161941304749869;-0,131800733415248;0,133298237848406;-0,104588148045232;0,97985711880174;0,176918821812208;0,00256109545577973;-0,055763412061296;-0,0453847066303908;0,0459003623298354;-0,0360142337075917;0,970866794551401;0,0242548462614652;4,51601696547959e-06;0,00196929745769662;0,00117625835694776;0,00112473937370149;0,000603547981825973;0,0497887560964981;0,00162313203334043;3,40139683230906e-07;0,000161251755353805;0,000106813177998148;0,000109254164298762;6,72595765583037e-05;0,00614878323374037;1,71859095402615;0,0181607686477436
"miracle";4,1998805924645;1,35161240364987;-0,465415102543336;-0,347887207176037;-0,0691558361054843;0,250380627057713;-0,0327859544848413;0,942140648389899;0,303201235918775;-0,104404512658614;-0,0780399994046146;-0,0155134230209468;0,0561667792993134;-0,0073547282443819;0,914006375188791;0,0725430785244673;0,00764233679382331;0,00392763167774531;0,000139953100845248;0,00171499284361973;2,56318707104072e-05;0,0717963850848809;0,00743589124585676;0,000881677252164624;0,000492612706251572;1,94664323521334e-05;0,000255170307878517;4,37526492938927e-06;0,00407032129557461;2,61422900769339;0,0278173625460536
"jeune";0,397113758308261;0,143856740102513;-0,842849846877141;0,456381843554759;-0,28613666993287;0,226410747825157;-0,367482024580374;0,339866452914878;0,123118574875932;-0,721345916138264;0,390590542630621;-0,24488765001053;0,193771724487593;-0,314506384105583;0,170828429341779;0,0171793613779082;0,52396296991893;0,141307591685781;0,0500872088560663;0,0293163492217703;0,0673180895977641;0,000928687530836097;0,000121870944293642;0,00418350383458004;0,00122658165104339;0,000482155121144757;0,000301879641265333;0,000795265143370482;0,00588897549146965;0,57176314582836;0,00192518320386879
"vie";-0,0605481915475685;0,50570732386296;0,893930765116655;0,188700640212367;0,240025863397999;0,24790359113567;-0,407715466729815;-0,0515527542528079;0,43057612002285;0,761122535210288;0,160666032850429;0,204366043539941;0,211073404267828;-0,34714257724573;0,00403964838308507;0,215951390729763;0,599540976836985;0,0245734683361766;0,0358514568000616;0,0357513443103251;0,0842917146036015;1,90495375405614e-05;0,00132886410708567;0,00415231079668511;0,000185024326404558;0,000299363029877656;0,000319335882036693;0,000863766702056176;0,00519615484541439;0,56690552855479;0,00166995000418803
"monde";0,372698568698567;-1,17695564411172;0,386723472777302;0,310463702900638;1,07808645877051;-0,34550138924905;-0,204345954644782;0,211901845165617;-0,669170996648156;0,219875857684453;0,176517531932899;0,612957840592894;-0,196438591499853;-0,116183126199179;0,0661052219185042;0,505192407994811;0,0484608775391621;0,0287289981593856;0,31237553555279;0,0299920009754831;0,0091449578598639;0,000541325888971007;0,00539838109199706;0,00058283337644948;0,000375634102957037;0,0045295027770239;0,000465203468328228;0,00016273292743448;0,00389711613406079;0,862623211260549;0,00289991739908598
"grand";-0,135390643099051;-0,375549599516621;0,377993598827788;-0,257691052087841;-0,181513549113484;-0,279784990028531;-0,150350757175415;-0,190997409841192;-0,529792895082823;0,53324067793843;-0,363528249526235;-0,256063616644423;-0,394696466348845;-0,212101844934419;0,0546171175036153;0,322034488968182;0,289861312654382;0,123916360280246;0,0554394718807385;0,123136222033092;0,0309950266797431;8,88988541934168e-05;0,000683995851306597;0,000692927427233725;0,000322045724973044;0,000159785350018125;0,000379636258433779;0,000109630173227708;0,00484974452238677;0,344751021674696;0,000576407980337907
"genève";-0,0812334394198722;-1,09406791666291;-0,242416565152938;0,345715227741006;-0,309071366781267;-0,427386662133035;0,322168518571316;-0,0611652273316697;-0,823785294785914;-0,182529072047573;0,260308447454777;-0,232717222684301;-0,321803465845811;0,242578805209388;0,00533502821999659;0,741603735685336;0,0323490487766912;0,0605177195221489;0,0436148212420189;0,0779640685667371;0,038615577987068;2,40021313379446e-05;0,00435380215323347;0,000213749304974715;0,000434727529666984;0,000347454283371413;0,000664388419217728;0,000377525528973269;0,00363730839179008;0,661832027581427;0,00159321976052367
"temps";-0,569843914991303;0,965481482205423;-0,972355758597656;-0,768166422413975;0,584323229134788;-1,89271859948133;-0,312931258347011;-0,218297752994677;0,369859943361211;-0,372493364637477;-0,294271816417465;0,223844538104201;-0,725069104799186;-0,119878775120362;0,077655875117252;0,17083100304613;0,15395108696324;0,0883795172713153;0,0461124614195754;0,452293259665681;0,0107767965168055;0,00123735791529532;0,00355198732737417;0,00360274805024968;0,00224850651347264;0,00130103749793767;0,0136507216298773;0,000373148245243642;0,00381051355330389;1,21688644835759;0,00564265658964574
