"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"artiste";-0,532;-1,853;-0,505;-1,266;-0,39;-0,004;27,276
"arriver";-0,532;0,256;0,651;9,57;-2,271;-1,258;-0,841
"argent";-0,609;-2,119;84,27;-1,448;-2,598;-0,044;-0,962
"annonce";-0,38;-1,321;1,425;-0,903;-0,052;0,092;4,533
"ancien";1,293;1,119;-0,36;2,383;-1,619;-0,897;-0,6
"affronter";-0,609;30,614;-0,577;-1,448;-2,598;-1,439;-0,962
"affaire";-0,303;2,071;-0,288;0,296;-1,294;0,302;-0,479
"accueillir";-0,38;4,672;-0,36;2,383;-1,619;-0,897;-0,6
"étape";-0,227;0,285;-0,216;0,762;-0,97;0,773;-0,359
"élève";-0,532;-1,853;-0,505;-1,266;-2,271;39,418;-0,841
"édition";-0,456;22,921;-0,432;-1,084;-1,945;-1,077;-0,72
"vih";-0,456;-0,063;-0,432;-1,084;-0,195;-1,077;19,842
"vendredi";-0,38;-0,002;22,863;0,088;-1,619;-0,897;-0,6
"vaud";-0,532;-1,853;-0,505;-1,266;-2,271;4,202;15,958
"vache";-0,38;-1,321;1,425;2,383;0,664;-0,897;-0,6
"tradition";-0,532;-0,183;-0,505;0,969;-2,271;-0,004;7,655
"tomber";-0,532;-1,853;-0,505;-0,005;8,451;-1,258;0,097
"terrain";-0,532;2,072;0,651;-1,266;-0,39;-0,004;0,097
"tenter";-0,456;-1,587;0,962;0,009;-0,195;1,549;0,228
"technique";-0,456;-1,587;-0,432;21,645;-1,945;-1,077;0,228
"station";-0,38;1,119;1,425;2,383;-1,619;-0,897;-0,6
"soldat";-0,456;-0,063;-0,432;-1,084;-1,945;21,798;-0,72
"soigner";-0,532;-1,853;-0,505;39,16;-2,271;-1,258;-0,841
"service";-0,532;-0,183;28,718;-1,266;-2,271;-1,258;2,368
"sensible";-0,38;-1,321;70,043;-0,903;-1,619;-0,897;-0,6
"scolaire";-0,456;-0,063;-0,432;-1,084;2,146;1,549;-0,72
"réaction";-0,532;10,932;-0,505;-1,266;-2,271;0,985;-0,841
"pêcheur";-0,38;10,66;-0,36;-0,903;-1,619;-0,897;0,459
"préparer";-0,456;-1,587;6,859;-1,084;5,847;-1,077;-0,72
"pousser";-0,456;-0,063;6,859;-1,084;-0,195;0,011;0,228
"postal";-0,456;-1,587;0,962;-1,084;11,364;-1,077;-0,72
"porte";0,857;-1,587;-0,432;-1,084;-1,945;21,798;-0,72
"plonger";-0,303;15,255;-0,288;-0,722;-1,294;-0,717;-0,479
"plante";-0,456;-1,587;-0,432;21,645;-0,195;-1,077;-0,72
"paysan";-0,456;-1,587;-0,432;12,346;-1,945;0,011;0,228
"participer";-0,532;2,072;5,402;-1,266;-2,271;0,985;-0,841
"parcourir";-0,456;-1,587;-0,432;21,645;-0,195;-1,077;-0,72
"orage";-0,227;11,431;-0,216;-0,541;-0,97;-0,537;-0,359
"nyon";-0,303;15,255;-0,288;-0,722;-1,294;-0,717;-0,479
"méthode";-0,456;-0,063;-0,432;-1,084;-0,195;5,694;0,228
"ménage";-0,456;-1,587;-0,432;-1,084;-1,945;33,758;-0,72
"mère";-0,532;-1,853;-0,505;-1,266;1,303;9,653;-0,841
"montrer";-0,532;-1,853;28,718;0,969;-2,271;-0,004;-0,841
"mauvais";-0,38;1,119;-0,36;-0,903;-1,619;2,41;0,459
"mai";-0,456;-0,063;-0,432;0,009;-0,195;0,011;3,25
"léman";-0,456;-0,063;-0,432;5,64;-0,195;-1,077;0,228
"livre";0,857;-1,587;-0,432;1,528;-1,945;1,549;0,228
"joyeux";-0,456;7,683;-0,432;-1,084;-1,945;0,011;0,228
"jardin";-0,227;0,285;-0,216;0,762;0,131;-0,537;-0,359
"interroger";-0,532;-0,183;0,651;-1,266;-2,271;0,985;7,655
"incroyable";-0,456;3,112;-0,432;1,528;-1,945;-1,077;0,228
"importer";-0,38;1,119;-0,36;0,088;-0,052;-0,897;0,459
"hippie";-0,532;-1,853;-0,505;-1,266;-0,39;-0,004;27,276
"goût";-0,303;-1,056;-0,288;0,296;-1,294;3,789;0,865
"genevoise";3,185;0,285;-0,216;-0,541;0,131;-0,537;-0,359
"gagner";-0,456;0,572;6,859;-1,084;-0,195;-1,077;0,228
"foot";-0,532;26,764;-0,505;-1,266;-2,271;-1,258;-0,841
"fils";5,002;0,256;-0,505;-0,005;-2,271;-0,004;0,097
"façon";-0,532;-0,183;-0,505;27,072;-2,271;-1,258;-0,841
"exprimer";0,568;-1,853;-0,505;-1,266;-2,271;17,34;0,097
"europe";-0,456;0,572;-0,432;12,346;-1,945;-1,077;-0,72
"entourer";-0,456;-1,587;-0,432;5,64;0,262;-1,077;0,228
"enthousiasme";-0,456;3,112;-0,432;1,528;-0,195;-1,077;-0,72
"démonstration";-0,227;-0,791;-0,216;-0,541;0,131;6,206;-0,359
"décennie";-0,532;-1,853;-0,505;-0,005;-0,39;-1,258;27,276
"doute";-0,532;5,631;0,651;-0,005;-0,39;-1,258;-0,841
"dossier";17,043;-1,587;-0,432;0,009;-1,945;0,011;0,228
"dos";-0,456;-1,587;6,859;0,009;-1,945;5,694;-0,72
"demander";-0,38;-1,321;1,425;-0,903;-0,052;2,41;0,459
"crème";-0,532;-1,853;98,228;-1,266;-2,271;-1,258;-0,841
"courir";-0,303;7,142;-0,288;-0,722;0,001;-0,717;-0,479
"courage";-0,532;-1,853;14,758;0,969;0,067;-1,258;-0,841
"couleur";-0,456;3,112;-0,432;-1,084;-1,945;-1,077;9,788
"continuer";0,568;-1,853;-0,505;0,969;-2,271;-1,258;15,958
"consacrer";-0,38;-1,321;-0,36;0,088;-0,052;2,41;0,459
"cochon";-0,38;-0,002;-0,36;-0,903;3,454;-0,897;0,459
"choix";0,857;-1,587;0,962;-1,084;0,262;1,549;-0,72
"cher";-0,38;-0,002;-0,36;-0,903;8,422;-0,897;-0,6
"chanteur";-0,532;5,631;-0,505;0,969;-0,39;-1,258;-0,841
"campagne";-0,227;0,285;-0,216;-0,541;-0,97;0,773;1,621
"bras";-0,532;-0,183;-0,505;4,157;0,067;-0,004;-0,841
"boîte";-0,532;-1,853;-0,505;-0,005;4,098;0,985;-0,841
"beauté";0,857;7,683;-0,432;-1,084;-1,945;-1,077;0,228
"atteindre";-0,532;-1,853;-0,505;27,072;-0,39;-1,258;-0,841
"animer";0,568;0,256;-0,505;9,57;-2,271;-1,258;-0,841
"alpage";-0,227;-0,791;-0,216;0,762;0,131;0,773;-0,359
"alcool";-0,532;-1,853;-0,505;0,969;-2,271;-1,258;27,276
"alain";0,568;0,256;-0,505;-1,266;-2,271;-0,004;7,655
"acteur";0,568;17,977;-0,505;-1,266;-2,271;-1,258;-0,841
"état";-0,38;-0,002;-0,36;0,088;0,664;-0,897;0,459
"écran";-0,303;7,142;-0,288;-0,722;0,001;-0,717;-0,479
"échapper";-0,456;-0,063;-0,432;-1,084;5,847;-1,077;0,228
"âme";-0,456;-1,587;34,756;0,009;-0,195;-1,077;-0,72
"volant";-0,303;0,042;-0,288;0,296;0,001;0,302;-0,479
"victoire";-0,38;-0,002;43,235;-0,903;-1,619;-0,897;-0,6
"veille";-0,227;0,285;3,421;0,762;-0,97;-0,537;-0,359
"vallée";-0,303;7,142;-0,288;-0,722;0,001;-0,717;-0,479
"vague";-0,38;4,672;-0,36;-0,903;-1,619;0,092;0,459
"unique";-0,456;3,112;-0,432;-1,084;-0,195;0,011;0,228
"traditionnel";-0,456;0,572;-0,432;-1,084;2,146;-1,077;0,228
"terminer";-0,456;3,112;-0,432;-1,084;0,262;-1,077;0,228
"tabac";-0,456;14,286;-0,432;0,009;-1,945;-1,077;-0,72
"sûr";-0,456;-1,587;6,859;5,64;-0,195;-1,077;-0,72
"stade";-0,303;2,071;-0,288;0,296;-1,294;-0,717;0,865
"souci";-0,456;-1,587;-0,432;-1,084;-0,195;21,798;-0,72
"sortie";-0,456;3,112;-0,432;-1,084;-1,945;1,549;0,228
"site";32,828;-1,587;-0,432;0,009;-1,945;-1,077;0,228
"sirène";-0,227;0,285;-0,216;-0,541;0,131;0,773;-0,359
"signe";-0,456;-1,587;-0,432;5,64;2,146;-1,077;-0,72
"sexualité";3,185;-0,791;-0,216;-0,541;-0,97;6,206;-0,359
"région";-0,456;-0,063;-0,432;12,346;-0,195;-1,077;-0,72
"règle";-0,227;0,285;3,421;-0,541;-0,97;0,773;-0,359
"rock";-0,456;0,572;-0,432;-1,084;-1,945;1,549;3,25
"revoir";6,387;-0,063;-0,432;0,009;-0,195;0,011;-0,72
"retourner";-0,456;-0,063;-0,432;0,009;-0,195;1,549;0,228
"rentrer";-0,456;-1,587;-0,432;-1,084;-0,195;21,798;-0,72
"rejoindre";-0,38;-1,321;-0,36;0,088;3,454;0,092;-0,6
"regarder";-0,303;15,255;-0,288;-0,722;-1,294;-0,717;-0,479
"rajouter";-0,227;-0,791;17,334;-0,541;0,131;-0,537;-0,359
"prévoir";-0,303;7,142;-0,288;0,296;-1,294;-0,717;-0,479
"professeur";-0,38;-1,321;-0,36;0,088;-1,619;7,852;0,459
"problème";-0,38;-1,321;1,425;-0,903;3,454;-0,897;0,459
"preuve";-0,227;-0,791;3,421;-0,541;0,131;-0,537;1,621
"poser";-0,303;-1,056;-0,288;-0,722;5,576;0,302;-0,479
"pont";6,387;7,683;-0,432;-1,084;-1,945;-1,077;-0,72
"plage";-0,456;-0,063;-0,432;-1,084;11,364;-1,077;-0,72
"pièce";-0,38;-0,002;-0,36;-0,903;-1,619;0,092;12,821
"pionnier";-0,38;1,119;-0,36;-0,903;-0,052;-0,897;4,533
"paraître";-0,38;-0,002;-0,36;-0,903;-1,619;-0,897;25,325
"paix";-0,227;-0,791;-0,216;-0,541;2,916;0,773;-0,359
"officiellement";-0,303;2,071;-0,288;3,754;-1,294;-0,717;-0,479
"oeuvre";-0,38;-1,321;-0,36;0,088;-1,619;-0,897;25,325
"nu";-0,227;0,285;-0,216;-0,541;2,916;-0,537;-0,359
"nouvel";-0,456;14,286;-0,432;-1,084;-0,195;-1,077;-0,72
"notamment";-0,456;-1,587;-0,432;12,346;-0,195;-1,077;0,228
"nom";-0,456;-1,587;-0,432;-1,084;-1,945;5,694;9,788
"neuchâtel";1,293;1,119;-0,36;-0,903;-1,619;0,092;0,459
"militaire";-0,456;-1,587;0,962;-1,084;-1,945;21,798;-0,72
"micro";-0,38;1,119;-0,36;0,088;-0,052;0,092;-0,6
"message";-0,38;-1,321;22,863;0,088;-1,619;-0,897;0,459
"menu";-0,227;-0,791;17,334;-0,541;0,131;-0,537;-0,359
"martin";-0,303;-1,056;12,062;3,754;-1,294;-0,717;-0,479
"malade";-0,303;-1,056;-0,288;-0,722;0,001;0,302;6,515
"maillot";-0,456;7,683;-0,432;-1,084;0,262;-1,077;-0,72
"magasin";-0,38;-1,321;-0,36;0,088;-1,619;7,852;0,459
"lavaux";0,857;3,112;-0,432;-1,084;-1,945;-1,077;3,25
"langue";-0,456;-0,063;-0,432;5,64;-1,945;1,549;-0,72
"kilomètre";-0,303;-1,056;-0,288;22,32;-1,294;-0,717;-0,479
"juillet";1,293;1,119;-0,36;2,383;-1,619;-0,897;-0,6
"intégralité";32,828;-0,063;-0,432;-1,084;-1,945;0,011;-0,72
"internet";-0,38;-1,321;-0,36;-0,903;-0,052;0,092;12,821
"inspirer";-0,303;0,042;-0,288;-0,722;1,428;-0,717;0,865
"info";79,779;-1,587;-0,432;-1,084;-1,945;-1,077;-0,72
"immense";0,857;14,286;-0,432;-1,084;-1,945;-1,077;-0,72
"heureux";-0,303;0,042;-0,288;0,296;-1,294;3,789;-0,479
"heureusement";1,984;-1,056;-0,288;3,754;-1,294;0,302;-0,479
"henriette";-0,227;-0,791;-0,216;-0,541;2,916;-0,537;1,621
"gérard";1,293;10,66;-0,36;-0,903;-1,619;-0,897;-0,6
"groupe";-0,38;-0,002;-0,36;-0,903;-1,619;-0,897;25,325
"genre";-0,303;0,042;2,156;0,296;0,001;-0,717;-0,479
"garder";-0,456;3,112;-0,432;-1,084;-0,195;0,011;0,228
"fumer";-0,303;2,071;-0,288;0,296;-1,294;-0,717;0,865
"françois";-0,38;19,085;-0,36;-0,903;-1,619;-0,897;-0,6
"france";-0,456;-0,063;0,962;1,528;-1,945;0,011;0,228
"filmer";-0,456;-1,587;-0,432;-1,084;-1,945;12,443;3,25
"figure";3,185;0,285;-0,216;0,762;-0,97;-0,537;-0,359
"fameux";-0,303;-1,056;-0,288;11,095;0,001;-0,717;-0,479
"explication";0,857;-0,063;-0,432;-1,084;5,847;-1,077;-0,72
"exercice";-0,456;-1,587;-0,432;-1,084;5,847;0,011;0,228
"exemple";-0,38;-0,002;8,926;-0,903;-1,619;2,41;-0,6
"essayer";-0,38;-0,002;-0,36;0,088;-1,619;2,41;0,459
"entendre";-0,38;-0,002;1,425;-0,903;-1,619;7,852;-0,6
"enfance";1,293;10,66;-0,36;-0,903;-1,619;-0,897;-0,6
"emji_caméra";53,739;-0,063;-0,432;-1,084;-1,945;-1,077;-0,72
"emji_ballon_de_football";-0,456;14,286;-0,432;0,009;-1,945;-1,077;-0,72
"démarrer";-0,456;-0,063;-0,432;-1,084;5,847;-1,077;0,228
"discipline";-0,303;-1,056;-0,288;0,296;-1,294;0,302;6,515
"célèbre";-0,38;-0,002;-0,36;7,787;-1,619;0,092;-0,6
"cigarette";-0,456;0,572;-0,432;1,528;0,262;-1,077;-0,72
"chant";-0,456;0,572;-0,432;12,346;-1,945;-1,077;-0,72
"changement";-0,456;-1,587;-0,432;-1,084;-0,195;5,694;3,25
"carrefour";-0,38;-0,002;-0,36;-0,903;-0,052;7,852;-0,6
"canne";-0,456;22,921;-0,432;-1,084;-1,945;-1,077;-0,72
"boire";-0,38;-1,321;-0,36;-0,903;8,422;-0,897;0,459
"apprécier";0,857;0,572;-0,432;1,528;-0,195;-1,077;-0,72
"américain";-0,456;-1,587;-0,432;-1,084;-1,945;1,549;19,842
"amateur";-0,38;4,672;-0,36;-0,903;-1,619;2,41;-0,6
"aide";-0,303;-1,056;2,156;0,296;0,001;0,302;-0,479
"ados";-0,38;-1,321;-0,36;-0,903;-1,619;28,108;-0,6
"accompagner";-0,456;-0,063;-0,432;12,346;-0,195;-1,077;-0,72
"évolution";1,984;-1,056;-0,288;0,296;-1,294;0,302;0,865
"épreuve";-0,227;0,285;-0,216;0,762;0,131;-0,537;-0,359
"époux";1,293;-0,002;-0,36;0,088;-1,619;2,41;-0,6
"voisin";-0,303;0,042;-0,288;0,296;1,428;-0,717;-0,479
"voie";-0,227;0,285;3,421;-0,541;-0,97;-0,537;1,621
"vitesse";-0,227;0,285;-0,216;-0,541;0,131;-0,537;1,621
"version";1,293;1,119;-0,36;2,383;-1,619;-0,897;-0,6
"valaisans";-0,303;-1,056;-0,288;-0,722;12,445;-0,717;-0,479
"tunnel";-0,38;4,672;-0,36;0,088;-1,619;-0,897;0,459
"tournée";-0,38;-1,321;43,235;-0,903;-1,619;-0,897;0,459
"tourner";-0,38;-1,321;-0,36;-0,903;-1,619;16,418;0,459
"thème";-0,227;0,285;-0,216;-0,541;-0,97;0,773;1,621
"thomas";1,293;1,119;-0,36;2,383;-1,619;-0,897;-0,6
"terme";-0,303;2,071;-0,288;-0,722;1,428;-0,717;-0,479
"susciter";-0,38;1,119;-0,36;0,088;-0,052;-0,897;0,459
"suite";-0,227;0,285;3,421;-0,541;0,131;-0,537;-0,359
"stresser";-0,38;19,085;-0,36;-0,903;-1,619;-0,897;-0,6
"star";-0,38;19,085;-0,36;-0,903;-1,619;-0,897;-0,6
"st";-0,303;2,071;-0,288;3,754;-1,294;-0,717;-0,479
"souffle";-0,227;0,285;-0,216;6,157;-0,97;-0,537;-0,359
"soeur";-0,303;0,042;12,062;0,296;-1,294;-0,717;-0,479
"sida";-0,303;0,042;-0,288;-0,722;0,001;0,302;0,865
"servette";-0,303;15,255;-0,288;-0,722;-1,294;-0,717;-0,479
"sentir";-0,38;4,672;1,425;-0,903;-1,619;0,092;-0,6
"sac";-0,303;-1,056;2,156;-0,722;0,001;3,789;-0,479
"réflexion";1,293;-1,321;-0,36;-0,903;-1,619;7,852;0,459
"reprendre";-0,38;-1,321;-0,36;27,924;-1,619;-0,897;-0,6
"reposer";-0,303;-1,056;12,062;0,296;0,001;-0,717;-0,479
"repas";-0,303;-1,056;-0,288;11,095;0,001;-0,717;-0,479
"remporter";-0,38;-1,321;70,043;-0,903;-1,619;-0,897;-0,6
"recherche";1,293;-1,321;1,425;2,383;-0,052;-0,897;-0,6
"rapport";-0,38;4,672;-0,36;-0,903;-0,052;-0,897;0,459
"raison";-0,38;-1,321;-0,36;-0,903;3,454;2,41;-0,6
"qualité";-0,227;-0,791;-0,216;6,157;0,131;-0,537;-0,359
"professionnel";-0,227;11,431;-0,216;-0,541;-0,97;-0,537;-0,359
"produire";-0,38;4,672;-0,36;0,088;-0,052;-0,897;-0,6
"poste";-0,38;-1,321;43,235;-0,903;-0,052;-0,897;-0,6
"possible";-0,303;-1,056;-0,288;-0,722;5,576;-0,717;0,865
"pleuvoir";-0,303;-1,056;-0,288;0,296;5,576;-0,717;-0,479
"play";40,921;-1,321;-0,36;-0,903;-1,619;-0,897;0,459
"plaire";-0,227;-0,791;3,421;0,762;0,131;-0,537;-0,359
"personnage";-0,303;-1,056;-0,288;0,296;-1,294;0,302;6,515
"peau";3,185;-0,791;-0,216;-0,541;0,131;-0,537;1,621
"payer";1,293;-1,321;-0,36;-0,903;0,664;0,092;0,459
"passionné";-0,38;4,672;-0,36;-0,903;0,664;-0,897;-0,6
"partenaire";-0,227;-0,791;-0,216;-0,541;9,326;-0,537;-0,359
"part";-0,38;-1,321;1,425;16,301;-1,619;-0,897;-0,6
"ouvrier";-0,227;-0,791;-0,216;-0,541;-0,97;16,836;-0,359
"ordre";-0,38;-1,321;-0,36;-0,903;-1,619;0,092;25,325
"objet";-0,303;0,042;-0,288;-0,722;0,001;0,302;0,865
"numéro";-0,38;-1,321;43,235;-0,903;-1,619;0,092;-0,6
"new";-0,227;3,832;-0,216;0,762;-0,97;-0,537;-0,359
"neuchâtelois";-0,303;15,255;-0,288;-0,722;-1,294;-0,717;-0,479
"nendaz";-0,227;0,285;-0,216;-0,541;-0,97;-0,537;9,896
