"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;4;7;9;10;12;14;16;18;20;23;25;26;26;26;26;26;26;26
"2";3;4;7;9;10;12;14;16;18;20;23;24;24;24;24;24;24;24;24
"3";3;4;7;9;10;12;14;16;19;19;19;19;19;19;30;30;30;37;38
"4";3;4;7;9;10;12;14;16;18;20;23;25;26;26;26;26;26;26;26
"5";3;4;7;9;10;12;14;16;19;19;19;19;19;19;30;30;30;37;38
"6";3;4;7;9;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15
"7";3;4;7;9;10;12;14;16;18;20;23;25;27;28;28;33;34;34;34
"8";3;4;7;9;10;12;14;16;18;20;23;25;26;26;26;26;26;26;26
"9";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"10";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"11";3;4;7;9;10;12;14;16;19;19;19;19;19;19;31;31;31;31;31
"12";3;4;7;9;10;12;14;16;18;20;23;25;26;26;26;26;26;26;26
"13";3;4;7;9;10;12;14;16;18;20;23;25;26;26;26;26;26;26;26
"14";3;4;7;9;10;12;14;16;18;20;23;25;26;26;26;26;26;26;26
"15";3;4;7;9;10;12;14;16;18;20;23;25;26;26;26;26;26;26;26
"16";3;4;7;9;10;12;14;16;18;20;23;25;26;26;26;26;26;26;26
"17";3;4;7;9;10;12;14;16;19;19;19;19;19;19;30;30;30;37;39
"18";3;4;7;9;10;12;14;16;18;20;23;25;26;26;26;26;26;26;26
"19";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"20";3;4;7;9;10;12;14;16;18;20;23;25;27;28;28;33;34;34;34
"21";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"22";3;4;7;9;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15
"23";3;4;7;9;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15
"24";3;4;7;9;10;12;14;17;17;17;17;17;17;17;17;17;17;17;17
"25";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"26";3;4;7;9;10;12;14;16;19;19;19;19;19;19;30;30;30;37;38
"27";3;4;7;9;10;12;14;16;19;19;19;19;19;19;30;30;30;37;38
"28";3;4;7;9;10;12;14;16;18;21;21;21;21;21;21;21;21;21;21
"29";3;4;7;9;10;12;14;16;18;20;23;25;27;28;28;33;34;34;34
"30";3;4;7;9;10;12;14;16;18;20;23;25;27;28;28;33;34;34;34
"31";3;4;7;9;10;12;14;16;19;19;19;19;19;19;30;30;30;37;38
"32";3;4;7;9;10;12;14;16;18;20;23;25;27;28;28;33;34;34;34
"33";3;4;7;9;10;12;14;16;19;19;19;19;19;19;31;31;31;31;31
"34";3;4;7;9;10;12;14;16;18;20;23;25;26;26;26;26;26;26;26
"35";3;4;7;9;10;12;14;16;18;20;23;25;26;26;26;26;26;26;26
"36";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"37";3;4;7;9;10;12;14;16;19;19;19;19;19;19;30;30;30;37;38
"38";3;4;7;9;10;12;14;16;18;20;23;24;24;24;24;24;24;24;24
"39";3;4;7;9;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15
"40";3;4;7;9;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15
"41";3;4;7;9;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15
"42";3;4;7;9;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15
"43";3;4;7;9;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15
"44";3;4;7;9;10;12;14;16;19;19;19;19;19;19;30;30;30;37;39
"45";3;4;7;9;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15
"46";3;4;7;9;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15
"47";3;4;7;9;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15
"48";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"49";3;4;7;9;10;12;14;16;18;20;23;25;27;29;29;29;29;29;29
