"";"";"";"";"*postDate_29-9-2025";""
"1";"*postDate_29-9-2025";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"8"
"2";"*a_0809";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"9"
"3";"*a_0741";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"10"
"4";"*postDate_10-11-2024";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"11"
"5";"*a_0696";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"12"
"6";"*postLikes_263";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"13"
"7";"*postDate_29-8-2024";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"14"
"8";"*postLikes_971";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"15"
"9";"*a_0439";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"16"
"10";"*postLikes_454";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"17"
"11";"*postDate_16-6-2023";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"18"
"12";"*postDate_15-5-2022";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"19"
"13";"*postDate_13-8-2021";"-0.838301003961984";"4.48210837532346";"2.22202382329132";"20"
"14";"*a_0594";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"42"
"15";"*postLikes_789";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"43"
"16";"*postDate_13-3-2024";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"44"
"17";"*postLikes_171";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"45"
"18";"*a_0410";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"46"
"19";"*a_0397";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"47"
"20";"*postLikes_832";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"48"
"21";"*postDate_7-4-2023";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"49"
"22";"*postDate_19-2-2023";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"51"
"23";"*a_0143";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"52"
"24";"*postLikes_691";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"53"
"25";"*postDate_28-1-2022";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"54"
"26";"*a_0093";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"55"
"27";"*postDate_8-11-2021";"-0.267846910642623";"0.382368374589108";"1.65353995605412";"56"
"28";"*postDate_24-10-2025";"2.99637087364848";"0.548712799278021";"1.63308430669596";"61"
"29";"*postComments_63";"-0.558934366844866";"0.282981564598539";"1.62947149300335";"63"
"30";"*postDate_30-9-2025";"-0.201942607739154";"-2.5882834770927";"1.57624609691222";"66"
"31";"*postReposts_45";"0.603127787849711";"-2.05158872897351";"1.52693882271308";"69"
"32";"*postDate_13-11-2025";"0.603127787849711";"-2.05158872897351";"1.52693882271308";"70"
"33";"*postComments_90";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"71"
"34";"*a_0929";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"72"
"35";"*postReposts_83";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"73"
"36";"*a_0926";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"75"
"37";"*postLikes_8000";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"76"
"38";"*postReposts_81";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"77"
"39";"*postDate_8-9-2025";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"78"
"40";"*a_0923";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"79"
"41";"*postDate_3-9-2025";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"80"
"42";"*a_0910";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"81"
"43";"*postComments_74";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"82"
"44";"*postReposts_140";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"83"
"45";"*postDate_13-8-2025";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"84"
"46";"*a_0871";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"85"
"47";"*postLikes_46900";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"86"
"48";"*postComments_110";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"87"
"49";"*postReposts_394";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"88"
"50";"*a_0853";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"89"
"51";"*postDate_16-5-2025";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"90"
"52";"*a_0839";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"91"
"53";"*postDate_23-4-2025";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"92"
"54";"*a_0830";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"93"
"55";"*postDate_7-4-2025";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"94"
"56";"*a_0771";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"95"
"57";"*postDate_30-12-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"96"
"58";"*a_0760";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"97"
"59";"*postDate_13-12-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"98"
"60";"*a_0749";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"99"
"61";"*postComments_60";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"100"
"62";"*postDate_24-11-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"101"
"63";"*a_0724";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"102"
"64";"*postDate_13-10-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"103"
"65";"*a_0722";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"104"
"66";"*postLikes_541";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"105"
"67";"*postDate_9-10-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"106"
"68";"*postDate_4-9-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"108"
"69";"*a_0694";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"109"
"70";"*postDate_26-8-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"110"
"71";"*a_0661";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"111"
"72";"*postDate_1-7-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"112"
"73";"*a_0641";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"113"
"74";"*postLikes_405";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"114"
"75";"*postDate_30-5-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"115"
"76";"*a_0627";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"116"
"77";"*postDate_6-5-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"117"
"78";"*a_0621";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"118"
"79";"*postLikes_483";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"119"
"80";"*postDate_26-4-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"120"
"81";"*a_0576";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"121"
"82";"*postDate_11-2-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"122"
"83";"*a_0565";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"123"
"84";"*postDate_22-1-2024";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"124"
"85";"*a_0532";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"125"
"86";"*postLikes_837";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"126"
"87";"*a_0511";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"127"
"88";"*postDate_25-10-2023";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"128"
"89";"*a_0501";"-0.838301003961984";"4.48210837532346";"1.51040129524691";"129"
"90";"*a_0934";"4.62847976579404";"0.631885011622477";"1.47371342662195";"133"
"91";"*postComments_240";"4.62847976579404";"0.631885011622477";"1.47371342662195";"135"
"92";"*postReposts_218";"4.62847976579404";"0.631885011622477";"1.47371342662195";"136"
"93";"*postDate_27-8-2025";"4.62847976579404";"0.631885011622477";"1.47371342662195";"137"
"94";"*postLikes_718";"4.62847976579404";"0.631885011622477";"1.47371342662195";"139"
"95";"*postDate_15-9-2024";"4.62847976579404";"0.631885011622477";"1.47371342662195";"140"
"96";"*a_0701";"4.62847976579404";"0.631885011622477";"1.47371342662195";"141"
"97";"*postDate_6-9-2024";"4.62847976579404";"0.631885011622477";"1.47371342662195";"142"
"98";"*a_0666";"4.62847976579404";"0.631885011622477";"1.47371342662195";"143"
"99";"*postDate_11-7-2024";"4.62847976579404";"0.631885011622477";"1.47371342662195";"144"
"100";"*a_0521";"4.62847976579404";"0.631885011622477";"1.47371342662195";"145"
"101";"*postDate_10-11-2023";"4.62847976579404";"0.631885011622477";"1.47371342662195";"146"
"102";"*a_0491";"4.62847976579404";"0.631885011622477";"1.47371342662195";"147"
"103";"*postDate_22-9-2023";"4.62847976579404";"0.631885011622477";"1.47371342662195";"148"
