"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
".";1;1;1;0,059;0,018;0,723;0,174
",";1;0;0,903;0,01;1;0,201;0
"?";1;1;1;1;0;0;1
"!";1;1;0,007;1;0;1;1
"suisse";0;0,046;1;1;1;0,658;0,155
":";1;0,015;1;1;1;1;0
"émission";0;0,549;1;1;1;1;1
"petit";1;1;1;0,089;0;1;1
"année";1;1;1;0,058;0,1;0,196;1
"retrouver";0;1;1;1;1;1;1
"archive";0;1;1;1;1;1;1
"rts";0;1;1;1;1;1;1
"miracle";0;1;1;1;1;1;0,094
"jeune";1;1;1;1;1;0;0
"vie";1;1;1;0,001;1;0,337;0,008
"monde";1;0,005;1;1;0,721;1;0
"grand";1;0,752;1;1;1;0,568;0
"genève";1;0,239;0,61;1;0,594;0,108;1
"temps";1;1;1;1;1;1;0
"bio";0;1;1;1;1;1;1
"lien";0;1;1;1;1;1;1
"diffuser";0;1;1;1;1;1;1
"aller";1;1;1;1;0,018;0,018;1
"samedi";0;1;1;1;1;1;1
"fête";1;0,081;0,151;1;0,064;1;1
"aimer";1;1;1;0,924;0,003;1;0,299
"heure";1;1;1;1;0,582;0,002;0,769
"clip";0;1;1;1;1;1;1
"passer";1;0,66;1;0,017;1;0,136;1
"femme";1;0,883;1;1;1;0,01;0
"jour";1;0;1;0,249;1;1;1
"18h45";0;1;1;1;1;1;1
"romand";1;0;1;1;1;1;0,632
"premier";1;0;1;1;1;1;0,977
"enfant";1;1;1;1;1;0;1
"homme";1;1;1;1;1;0;0,008
"rencontre";1;1;1;0,002;1;1;0,357
"beau";1;1;1;1;0;1;0,077
"amour";1;1;1;0,518;0,06;0,878;0,318
"prendre";1;1;1;0;1;1;1
"souvenir";0,128;0,05;1;0,697;1;1;1
"question";1;1;1;1;1;0;1
"occasion";1;0,2;1;1;0,187;1;1
"lausanne";1;1;0,884;0,429;1;0,002;1
"télévision";1;0;1;1;1;0,059;0,581
"suivre";1;0,207;0,073;1;1;0,091;0,431
"partir";1;1;1;1;1;1;0
"nombreux";1;1;0,745;1;0,001;1;1
"fin";1;1;1;0,844;0,013;1;0,769
"âge";1;0,083;1;1;1;0,044;0,466
"trouver";1;1;1;1;0,019;0,008;1
"noël";0,702;1;1;0,029;1;0,005;1
"ski";1;1;1;1;0,001;1;1
"raconter";0,848;0,017;1;1;1;1;0,029
"journée";0,925;0,115;0,884;0,988;1;1;1
"jeu";1;1;0,6;0,02;1;0,265;1
"jean";1;0;1;1;1;1;1
"histoire";0,389;0;1;1;0,954;1;1
"vacance";1;1;1;0,781;0;1;1
"public";0,132;0,004;1;1;1;1;0,026
"découvrir";0,03;0,155;0,6;1;1;1;1
"connaître";1;1;1;1;1;0;0,103
"voir";1;1;1;0;1;0,763;1
"vaudois";1;0,453;1;1;0,068;0,69;1
"mode";1;1;1;1;1;0;1
"mettre";1;0,001;0,55;0,221;1;1;1
"devenir";1;0,734;1;0,624;0,335;1;0,588
"vivre";1;1;1;0,624;0,012;1;0,21
"rue";1;1;1;1;0;0,599;1
"pays";1;1;1;0,064;0,265;1;1
"passion";1;0;0,349;1;1;1;0,811
"école";1;1;1;1;1;0;1
"voiture";1;1;1;1;1;1;0
"soleil";1;1;0,449;1;0,002;0,857;1
"musique";1;0,023;1;0,073;1;1;1
"festival";1;0;1;1;1;1;1
"venir";0,986;0,956;0,946;0,517;0,714;1;0,659
"place";0,925;0,003;0,884;1;1;0,423;1
"parler";1;1;1;1;1;0;1
"lancer";1;0,188;1;0,406;0,149;1;1
"fois";1;0,782;1;0,338;0,104;1;1
