"";"";"";"";"décennie";""
"1";"décennie";"-0.354432496504724";"0.373567600727656";"0.891818059626089";"136"
"2";"alcool";"-0.348736261116577";"0.340908504786954";"0.891818059626089";"137"
"3";"magnifique";"-0.267846910642623";"0.382368374589112";"0.884704148365358";"151"
"4";"salaire";"-0.267846910642623";"0.382368374589112";"0.884704148365358";"152"
"5";"répondre";"-0.454454298398301";"0.539312599513087";"0.87928969034417";"156"
"6";"connaître";"-0.381330147464967";"0.00455896205550268";"0.877719395550831";"158"
"7";"pierre";"-0.369099090951325";"0.435578518029429";"0.876278259203698";"167"
"8";"véritable";"-0.496548054348143";"0.740132620874879";"0.875350357734907";"172"
"9";"animal";"-0.422656456093052";"0.702304903998578";"0.87534016101547";"174"
"10";"varié";"-0.550959637301463";"0.237258830281558";"0.874973079115728";"177"
"11";"sauter";"-0.550959637301463";"0.237258830281558";"0.874973079115728";"178"
"12";"récréation";"-0.550959637301463";"0.237258830281558";"0.874973079115728";"179"
"13";"soldat";"-0.426794811354469";"0.29333186976941";"0.873198849933644";"182"
"14";"souci";"-0.491609924234359";"0.802357866262607";"0.873198849933644";"184"
"15";"jeunesse";"-0.557605245254301";"0.275361108879045";"0.872678817242344";"190"
"16";"lever";"-0.503774182858323";"0.261443754332817";"0.872678817242344";"191"
"17";"technique";"-0.503774182858323";"0.261443754332817";"0.872678817242344";"192"
"18";"parcourir";"-0.557605245254301";"0.275361108879045";"0.872678817242344";"194"
"19";"témoignage";"-0.353844501373783";"0.11211751711025";"0.869320697641004";"195"
"20";"travail";"-0.38563052739148";"0.152341306271423";"0.868083495682616";"197"
"21";"profiter";"-0.525272381260671";"0.349507284494073";"0.867529473926525";"199"
"22";"américain";"-0.335819691120926";"0.544797229440019";"0.866550588860548";"201"
"23";"quotidien";"-0.446639603766096";"0.739755621717132";"0.865989769291498";"203"
"24";"portrait";"-0.38050644218757";"0.483809231486362";"0.864273321519558";"206"
"25";"matière";"-0.31882649600135";"0.504190015727292";"0.858345628620029";"230"
"26";"htag_été";"-0.575949780900872";"0.516345306525895";"0.858250459238614";"231"
"27";"fond";"-0.450228879020758";"0.317980531497563";"0.858046524849869";"232"
"28";"bidet";"-0.471765252077532";"0.869654939141833";"0.856333475984408";"257"
"29";"orientation";"-0.471765252077532";"0.869654939141833";"0.856333475984408";"258"
"30";"recrue";"-0.471765252077532";"0.869654939141833";"0.856333475984408";"261"
"31";"lunette";"-0.471765252077532";"0.869654939141833";"0.856333475984408";"262"
"32";"enseignant";"-0.471765252077532";"0.869654939141833";"0.856333475984408";"263"
"33";"interdiction";"-0.550959637301463";"0.237258830281558";"0.855959596271709";"265"
"34";"auprès_de";"-0.550959637301463";"0.237258830281558";"0.855959596271709";"267"
"35";"vallon";"-0.550959637301463";"0.237258830281558";"0.855959596271709";"268"
"36";"jurassien";"-0.550959637301463";"0.237258830281558";"0.855959596271709";"269"
"37";"horizon";"-0.550959637301463";"0.237258830281558";"0.855959596271709";"270"
"38";"tourner";"-0.43098158379055";"0.772197626231289";"0.854912733076149";"272"
"39";"adolescent";"-0.385644958404864";"0.499532435093418";"0.854749585565153";"276"
"40";"vivant";"-0.430229703019343";"0.926585647749002";"0.853349236095769";"280"
"41";"parole";"-0.316694393494958";"0.0972142713639159";"0.853349236095769";"281"
"42";"vaud";"-0.355240485543298";"0.591205473683135";"0.853349236095769";"282"
"43";"fleur";"-0.590833285018492";"0.465872501866475";"0.852027061475404";"290"
"44";"neuchâtelois";"-0.201942607739153";"-2.58828347709271";"0.85095980484097";"300"
"45";"fc";"-0.201942607739153";"-2.58828347709271";"0.85095980484097";"303"
"46";"utile";"-0.201942607739153";"-2.58828347709271";"0.85095980484097";"307"
"47";"février";"-0.201942607739153";"-2.58828347709271";"0.85095980484097";"311"
"48";"but";"-0.201942607739153";"-2.58828347709271";"0.85095980484097";"314"
"49";"vacance";"-0.268459346647935";"0.491887289484066";"0.850796657329974";"315"
"50";"plutôt";"-0.254483866902536";"0.60348660281235";"0.850796657329974";"316"
"51";"neige";"-0.613899292932544";"0.886719413185593";"0.846765554245775";"320"
