"";"";"";"";"htag_journeeinternationaledesdroitsdesfemmes";""
"1";"htag_journeeinternationaledesdroitsdesfemmes";"-1.19228276198874";"1.56045958065405";"0.837759858168197";"100"
"2";"htag_etreunefemme";"-1.19228276198874";"1.56045958065405";"0.837759858168197";"101"
"3";"htag_assurancemaladie";"-1.19228276198874";"1.56045958065405";"0.837759858168197";"102"
"4";"htag_backtoschool";"-1.17578541423266";"1.30344560403935";"0.823945554888336";"151"
"5";"htag_kids";"-0.813723510568257";"0.688720975419942";"0.823799719767808";"154"
"6";"htag_police";"-1.09844795960862";"1.44526924693059";"0.820445511995654";"168"
"7";"2005";"-0.869899896703259";"0.418650623370936";"0.820445511995654";"170"
"8";"htag_fitness";"-1.1482898346392";"0.875088976348183";"0.820030882731406";"174"
"9";"htag_swiss";"-1.00516814712729";"0.98796146570488";"0.820030882731406";"175"
"10";"htag_drague";"-1.00516814712729";"0.98796146570488";"0.820030882731406";"176"
"11";"htag_seventies";"-1.06603007855994";"0.827129382350808";"0.819410368591118";"189"
"12";"htag_valaiswallis";"-0.778413563120744";"0.476257383758207";"0.816622344228075";"207"
"13";"htag_montagne";"-0.740533490399622";"0.470296992459662";"0.816622344228075";"208"
"14";"htag_fashion";"-0.591373898635839";"0.242128150513629";"0.816487947156215";"211"
"15";"htag_rentreescolaire";"-1.16588700557902";"1.14923721807053";"0.815904606674101";"218"
"16";"htag_dog";"-0.884042923290136";"1.44351925721451";"0.815404192044837";"229"
"17";"htag_lifestyle";"-0.420226782154543";"0.418958552471696";"0.815404192044837";"235"
"18";"htag_language";"-0.884042923290136";"1.44351925721451";"0.815404192044837";"236"
"19";"htag_igersgeneva";"-0.546493691224947";"0.438826523466843";"0.815404192044837";"238"
"20";"htag_collection";"-0.906039386964902";"1.78620455936744";"0.815404192044837";"239"
"21";"htag_cadeaudenoel";"-0.82784371831481";"1.6902126145979";"0.815404192044837";"240"
"22";"htag_archive";"-0.420226782154543";"0.418958552471696";"0.815404192044837";"241"
"23";"htag_animaldecompagnie";"-0.906668108204014";"1.76523685815487";"0.815404192044837";"242"
"24";"surtout";"-0.859839450433981";"0.502117405952071";"0.813456864258957";"271"
"25";"htag_rtsxarchives";"-0.453413961295919";"0.767603983249281";"0.813316748162763";"272"
"26";"htag_switzerland";"-0.471831287199589";"-0.672643092432123";"0.812973606702697";"273"
"27";"htag_rtsarchives";"-0.375258890903705";"0.138873177474495";"0.812759143290155";"277"
"28";"htag_jetdeaudegeneve";"-0.473820091747938";"-1.15526419235972";"0.812596151096623";"286"
"29";"htag_fridaythe13th";"-0.473191370508826";"-1.13429649114715";"0.812596151096623";"290"
"30";"htag_bistrot";"-0.394995701858733";"-1.23028843591669";"0.812596151096623";"294"
"31";"htag_ajoie";"-0.394995701858733";"-1.23028843591669";"0.812596151096623";"295"
"32";"htag_mondaymood";"-1.11408709333864";"1.4644676358845";"0.812596151096623";"296"
"33";"htag_retrogaming";"-1.11408709333864";"1.4644676358845";"0.812596151096623";"298"
"34";"htag_rentreedesclasses";"-1.17028629831397";"1.21777427850111";"0.812596151096623";"299"
"35";"htag_centenaire";"-1.17028629831397";"1.21777427850111";"0.812596151096623";"301"
"36";"faire";"-0.540955520453679";"0.429862846718899";"0.8123101998799";"306"
"37";"htag_pollution";"-1.10064131498902";"0.974437668847492";"0.812244431100054";"312"
"38";"htag_innovation";"-0.733038902854609";"1.03733996849773";"0.811592462325927";"320"
"39";"htag_chien";"-0.9837280592715";"1.28119835988338";"0.811592462325927";"323"
"40";"celles";"-0.836860523286453";"0.646861861489476";"0.811592462325927";"324"
"41";"htag_vintage";"-0.779969381430754";"0.229423157932471";"0.811057733550656";"338"
"42";"monsieur";"-0.480557395181494";"0.684409787987095";"0.81097194818564";"341"
"43";"htag_enfants";"-0.853211087586118";"1.02176359507297";"0.810726030139258";"346"
"44";"htag_love";"-0.665292480230267";"1.21832165113792";"0.810708873066255";"348"
"45";"htag_champignons";"-0.971594127065838";"1.55637242402863";"0.81063166623774";"349"
"46";"htag_courseapied";"-0.347553182677533";"-1.17513216335487";"0.81063166623774";"350"
"47";"celle";"-0.563977190905571";"0.28511836190243";"0.81063166623774";"351"
"48";"htag_travel";"-1.02779333204116";"1.30967906664524";"0.81063166623774";"354"
"49";"htag_plage";"-0.563977190905571";"0.28511836190243";"0.81063166623774";"355"
"50";"htag_newyork";"-0.690244099975976";"0.304986332897577";"0.81063166623774";"356"
"51";"htag_myvaud";"-0.347553182677533";"-1.17513216335487";"0.81063166623774";"357"
"52";"htag_fusee";"-1.02779333204116";"1.30967906664524";"0.81063166623774";"359"
"53";"pouvoir";"-0.435364378340848";"0.249032372324313";"0.809916788195934";"367"
"54";"htag_securiteroutiere";"-0.447066507017122";"-0.747423406304271";"0.809891052586429";"369"
"55";"htag_protectioncivile";"-0.356222589139259";"-0.405755062672049";"0.809891052586429";"373"
"56";"htag_telephone";"-0.800333213657165";"1.11063262063767";"0.809793829172743";"375"
"57";"htag_archives";"-0.426443336545353";"-0.397479124285358";"0.809682308198221";"378"
"58";"htag_avion";"-0.707940958915894";"0.719234787763644";"0.808847330645392";"380"
"59";"htag_voyage";"-0.96157442389412";"1.45702856216497";"0.808847330645392";"381"
"60";"htag_insolite";"-0.716511064447435";"0.698544157869596";"0.808792999914215";"387"
"61";"attention";"-0.44750129027324";"0.751605297679516";"0.808512767721827";"389"
"62";"htag_armeesuisse";"-0.00903331216132231";"-0.545384999315417";"0.808252552114609";"391"
"63";"1980";"-0.961889461959712";"0.989560898775264";"0.808252552114609";"392"
"64";"ils";"-0.381265523753314";"0.61799655530912";"0.807789311143519";"399"
"65";"tout";"-0.431510614380928";"0.244698814498765";"0.807789311143519";"400"
"66";"htag_velo";"-0.648559158183921";"-0.39989293139617";"0.807746418461011";"401"
"67";"htag_mountain";"-0.994140980564717";"1.28468420529857";"0.807746418461011";"402"
"68";"dire";"-0.766088912947673";"0.503142398051006";"0.807663492608161";"403"
"69";"htag_80s";"-0.739272875284673";"0.246136642964871";"0.807529095536302";"404"
"70";"chacun";"-0.757017846144342";"0.0948041728980373";"0.807248863343914";"408"
"71";"moins";"-0.195805866986669";"0.302938465248114";"0.80710874724772";"409"
"72";"quatre";"-0.606278024853518";"-0.245463673164173";"0.807080152126047";"410"
"73";"htag_ecology";"-0.948968942151961";"1.23465482308827";"0.807080152126047";"412"
"74";"htag_sms";"-0.628274488528283";"0.0972216289887581";"0.807080152126047";"413"
"75";"htag_france";"-0.611419710086772";"0.229962089340603";"0.807080152126047";"414"
"76";"peut_être";"-0.948968942151961";"1.23465482308827";"0.807080152126047";"416"
"77";"htag_tricot";"-1.09209062966388";"1.12178233373157";"0.807080152126047";"417"
"78";"htag_patois";"-0.628274488528283";"0.0972216289887581";"0.807080152126047";"418"
"79";"htag_mobylette";"-0.970965405826727";"1.5773401252412";"0.807080152126047";"419"
"80";"htag_migros";"-0.970965405826727";"1.5773401252412";"0.807080152126047";"420"
"81";"contre";"-0.437779155853536";"0.748250620293825";"0.80702582139487";"423"
"82";"certains";"-0.471991552237111";"0.70572086034603";"0.80702582139487";"424"
"83";"htag_vendredi13";"-0.545622952744866";"-0.375953106179327";"0.806808498470161";"429"
"84";"htag_superstition";"-0.545622952744866";"-0.375953106179327";"0.806808498470161";"431"
"85";"htag_raclette";"-0.652964218378803";"-0.46060747319685";"0.806808498470161";"434"
"86";"htag_premieraout";"-0.652964218378803";"-0.46060747319685";"0.806808498470161";"435"
"87";"htag_fetenationale";"-0.652964218378803";"-0.46060747319685";"0.806808498470161";"437"
"88";"htag_femmes";"-0.815282224549832";"0.634580420746121";"0.806808498470161";"440"
"89";"htag_paysan";"-1.06844414859872";"1.38809997105687";"0.806808498470161";"441"
"90";"d_abord";"-0.815282224549832";"0.634580420746121";"0.806808498470161";"444"
"91";"htag_food";"-1.06891568952806";"1.37237419514744";"0.806516828229104";"445"
"92";"htag_automne";"-0.84795093186946";"0.205192342627316";"0.806516828229104";"446"
"93";"aucun";"-0.333464939377416";"-1.15186879731469";"0.805927768722656";"458"
"94";"htag_chanson";"-0.665459580722991";"-0.383021927325169";"0.805847702381974";"460"
"95";"2000";"-0.440583967188956";"0.418383655592923";"0.80572760287095";"461"
"96";"depuis";"0.0176103339009298";"-0.0362517761730969";"0.805430213605559";"464"
"97";"htag_recette";"-0.739494119437612";"-0.0836513633274185";"0.804892625318121";"468"
"98";"force";"-0.645375859178564";"-0.197467700779402";"0.804892625318121";"469"
"99";"1962";"-0.856133512772387";"0.580103669125306";"0.804892625318121";"470"
"100";"htag_commeunlundi";"-0.940170825076474";"0.825192647007491";"0.804778244831432";"471"
"101";"1983";"-0.784030716843577";"0.420298780518251";"0.804778244831432";"472"
"102";"devoir";"-0.366029643652654";"0.496026014417263";"0.804340739469847";"473"
"103";"htag_foodporn";"-0.625329735007099";"-0.344101813904785";"0.804114838008636";"475"
"104";"1975";"-0.671869903453687";"-0.273926026315519";"0.803585828257699";"476"
"105";"personne";"-0.168357982216706";"-0.417700732146012";"0.803528638014355";"477"
"106";"htag_retro";"-0.649892675491964";"-0.018408059800759";"0.803025363872923";"478"
"107";"quel";"-0.320910167774809";"-0.0571271670943302";"0.803011066312087";"479"
"108";"croire";"-0.80390875927101";"0.160207786332463";"0.802976752166081";"481"
"109";"htag_swissfood";"0.133886414976857";"0.148630087400091";"0.802868090703726";"484"
"110";"htag_environnement";"-1.02716461080205";"1.33064676785781";"0.801921592176375";"486"
"111";"htag_cuisine";"-0.810740602574014";"-0.129603757399483";"0.801921592176375";"487"
"112";"vite";"-0.810740602574014";"-0.129603757399483";"0.801921592176375";"488"
"113";"htag_women";"-0.324927997763655";"-1.49684976429523";"0.801921592176375";"490"
