"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"mass";"chi.distance";"inertie"
"jour";0,388145823067755;0,300334216390179;-0,0656660883508662;-0,842756039027373;0,560476394516931;0,624232742252235;0,440704970553778;0,267907205273923;0,321067401955594;0,272539954441958;0,210882273588327;-0,0461080131845258;-0,591748458522279;0,393543359091547;0,438310431347615;0,309444815476231;0,188113366628402;0,225440259565799;0,108569557419555;0,0551178912992772;0,00247533974214222;0,383044940754318;0,152772707810582;0,163604244417274;0,0748763970540682;0,02467123391545;0,0348676875873353;0,000364470567497851;0,000218213821714126;1,04316959998044e-05;0,00171821052734739;0,000759953958415561;0,000942683093076737;0,000469860056557375;0,000173636657457334;0,000249381973037782;0,00241920476397246;0,713120750614402;0,0012302653057079
"conseil";-0,94866921072064;1,69232395140337;0,282553194183585;2,6625557151899;-0,643580966901981;0,813218873545542;0,865067484779032;0,258507048891356;0,0354120428508825;-0,26490340597395;0,472559216291524;0,0788992650569871;0,74348368174975;-0,179711524550096;0,227080679935706;0,241558723025496;0,0721846950925869;0,00988834744259094;0,0918794906668903;0,247925218035011;0,00649267550393806;0,541644237244935;0,0285369951786297;0,0393357205825253;0,0408714224035843;0,00325415021695648;6,00901675285486e-05;0,00307043793346025;0,00977097075908087;0,000272377452694255;0,024186226754356;0,00141311366247236;0,00225624164108848;0,00255311683066842;0,000227989838593046;4,27831417641588e-06;0,00341169902611501;1,89464438357426;0,0122468986856599
"novembre";0,115892239289831;-0,370099987899357;-0,575375678176731;0,738302936873938;0,649540246261448;0,636586112025206;0,371363228521526;-0,278793964151119;0,124613914920168;0,0802630346469313;-0,256318700316988;-0,398485681832473;0,511323575809477;0,449849546524668;0,440877952469744;0,257193577931278;-0,193083244755113;0,0863033714079317;0,00932579429014037;0,0806454739258463;0,183110989681615;0,283252704419447;0,197697940096636;0,163936132729793;0,0512278026298371;0,0257423212850918;0,00506084094159;3,99906044367813e-05;0,000407837730293964;0,000985717028087089;0,00162299974422435;0,00125620752513134;0,00120660071615419;0,000410626578990181;0,00023142804872282;4,62362219467206e-05;0,00297748278642764;0,726496672247225;0,00157150771724719
"dernier";0,733347884444187;-0,00811513374668834;0,106733382864265;-0,194950671471779;0,942555496005612;-0,239736184404348;0,603278174213972;-0,099273178955145;-0,0810495667360961;0,530144202384207;-0,00586650783160018;0,0771585837044173;-0,140931705707454;0,681382386493781;-0,173307581517063;0,43611556434347;-0,0717655309188056;-0,0585915072809668;0,381176193712231;3,95787232093634e-05;0,00643191829134916;0,0201596460769448;0,424944715400489;0,0237331893290119;0,137997658166778;0,00333175754634826;0,00218534275363913;0,00150120714489451;1,8382810047136e-07;3,17995580791666e-05;0,00010608891469688;0,00247990129875735;0,000160430786866448;0,00101591123359174;2,75096075115508e-05;1,83367317204206e-05;0,00279139011227591;0,719066985683534;0,00144330871816265
"grand";0,626272414477695;-0,0982293153457516;0,106534623608908;0,666965300602466;-0,0272696827888737;0,660403101726617;-0,314815920673737;-0,637370752349678;0,199790642102056;0,46166890799026;-0,0724116529803168;0,0785340727256787;0,491666461556247;-0,0201023777885534;0,486829008845584;-0,232072687468767;-0,469850263910492;0,14727956306818;0,310671429447686;0,00648069702494997;0,00716127893067085;0,263699302353568;0,000397509775207031;0,201268682129099;0,0419970641915205;0,153483912460775;0,0148401236865255;0,00121647893162869;2,99267985649002e-05;3,52013709679661e-05;0,00137969949819409;2,30641895479745e-06;0,00135268363243637;0,000307391178927029;0,00125997604351713;0,000123802185570225;0,00310154456919546;0,680197161802703;0,00143498597768269
"monde";2,68005739084387;0,772481430815746;0,401487175829259;-0,59679629039826;-0,589562630016124;-0,273065462022645;0,194930046068883;-0,165105360100228;0,357276658116449;0,897760017949527;0,258764213618745;0,13448933422485;-0,199913572825189;-0,197490456403618;-0,0914708971995765;0,0652972590272031;-0,0553066481163942;0,119679787492377;0,849531237688944;0,0598455683162181;0,0151868886154862;0,0315261650509496;0,0277436725503801;0,00513816391013989;0,00240424954682603;0,0015378619776929;0,0070861923433674;0,0227230375615074;0,00188779266848907;0,000509942904914278;0,00112675742347803;0,00109960851251709;0,000235891202408762;0,00012020866359911;8,62383708594454e-05;0,00040381968439785;0,00316357546057937;1,76025914140408;0,00980237730225962
"mettre";-0,58104345406429;0,264405289130375;-0,250599301178023;0,393516760610457;-0,435469315606223;0,0491852455521063;-0,269570846555235;-0,0936779091543841;-0,314210035643393;-0,581799774910521;0,264749454838851;-0,250925496188407;0,394028985517749;-0,43603614846353;0,0492492680039174;-0,269921736061621;-0,0937998459132085;-0,314619030183112;0,431951767835838;0,0758443163611591;0,0640047239731387;0,1482764738505;0,163736701819583;0,00180331236981693;0,0497387289115837;0,0053554535574329;0,059288521320946;0,000816751338311983;0,00016912698467121;0,000151926082766927;0,000374627020307212;0,000458762326688639;5,85251205389359e-06;0,000175799839413667;2,12298539717105e-05;0,000238843118507653;0,00241920476397246;0,535196390276128;0,000692945342746684
"nouveau";0,1319108161831;0,0553758007790461;-0,0161032262161523;0,423481402565435;0,588916728983568;0,643216761211324;0,581054728022997;0,334580654368539;0,0593799415563001;0,110943154408914;0,0465736335663282;-0,013543564995462;0,356167628960056;0,495306461502944;0,540975323497482;0,488694151672937;0,281397949568596;0,0499413028854938;0,0201116702478603;0,00300532952401013;0,000238752209964562;0,155125702335911;0,270525368653554;0,278602670150548;0,208762366337012;0,0617152974736427;0,00191284306749801;4,96508478134244e-05;8,74995647592258e-06;7,39931713302804e-07;0,000511722531025635;0,000989631786435609;0,00118053959974856;0,000963385116311794;0,000319423972258128;1,00610981405969e-05;0,00285342100365982;0,563090925179473;0,000904738163941185
"fédéral";-0,870535549359054;1,10151219126293;0,669954906712326;1,63508164467986;-0,332596252524708;-0,174224687542647;0,907380446179344;-0,243539514684524;0,0197442200116432;-0,351964806962638;0,445350596021375;0,270868374747347;0,661077190772526;-0,134471447952407;-0,0704404990286984;0,366861507053128;-0,0984650636459637;0,00798275336388314;0,161025362024755;0,218607276258955;0,0759707991646214;0,425136017236832;0,0158623985040035;0,00375771549211759;0,0935903135880075;0,00601123885377657;3,887887693179e-05;0,00253848617987005;0,00406424984833736;0,00150346362877661;0,00895531090983973;0,000370541184073438;0,000101676636341665;0,00275791333055429;0,000198673825537484;1,30581527751884e-06;0,0033496681347311;1,3132927877791;0,00577729973992684
"jeudi";0,462666293793223;0,144265803376569;-0,479287720701715;0,510775423425816;-0,0669303554751224;0,260704759628519;0,648414360332299;0,759872014855349;0,2380250544095;0,339935823531859;0,105996730983427;-0,352148121078086;0,375283150148147;-0,0491758872711057;0,191548181382333;0,476410908956239;0,55830243658102;0,17488467168968;0,181484090799981;0,0149621625446679;0,155142123009101;0,165535281915309;0,00256307899130932;0,0335725246437297;0,190694819018146;0,233500377691542;0,0225455413862132;0,000464741857169686;4,51858923662332e-05;0,000498733650055243;0,000566416702509383;9,72573270522415e-06;0,000147561814357282;0,000912811946776259;0,00125359417924518;0,000123004616862018;0,00217108119843682;0,657462174779155;0,000938463984510067
