"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
",";1;0,01;0,109;0,389;0,993;0,784;1;1;0,024;1
".";1;0,241;0,105;0,348;0,772;0,332;0,082;0,524;1;0,101
"suisse";0,013;0;0,011;1;1;0,226;0,136;1;1;1
"emji_drapeau_suisse";0;0,461;1;0,511;1;1;0;1;1;1
"premier";0,06;1;1;0,699;1;1;0,341;1;0,001;1
"année";1;0;1;0,539;1;1;1;1;0,015;0,9
"genève";0,577;1;0;1;1;1;0,777;1;1;0,499
":";1;1;1;0,487;0,105;0,02;0,54;1;1;0,035
"annoncer";1;1;1;0,299;1;1;0,163;0,331;0;1
"!";0;1;1;1;1;1;1;1;1;1
"jour";0,067;1;1;0,008;0,936;0,417;1;0,055;1;1
"conseil";1;1;1;1;1;1;0;1;1;1
"novembre";1;1;1;0,002;1;1;0,106;1;0,131;0,05
"dernier";0,01;0,053;1;0,005;1;1;1;1;1;1
"grand";0,024;1;1;0,821;1;1;0,14;1;0,972;0,003
"monde";0;1;1;1;1;0,921;1;1;1;1
"mettre";1;1;0,888;1;0,481;1;0,018;0,43;0,848;0,936
"nouveau";0,796;1;1;0,001;1;1;0,077;1;1;1
"fédéral";1;0,196;1;1;1;1;0;1;1;1
"jeudi";0,138;1;1;0,099;1;1;0,083;1;0,13;1
"franc";1;1;0;1;1;1;0,022;1;1;1
"pays";1;1;1;0,874;1;0,457;0,005;0,627;0,202;1
"femme";1;0,014;1;1;1;0;1;0,176;0,848;1
"décembre";1;1;1;0;1;1;1;1;1;0,001
"canton";1;0,139;0;1;1;1;0,006;1;1;1
"viser";1;1;0;1;1;1;0,003;1;1;0,251
"notamment";1;1;0,16;1;0,251;0,267;1;0,248;1;1
"face";0,002;1;1;0,865;0,164;1;0,003;1;1;1
"dimanche";0,01;1;0,437;1;1;1;0,093;0,039;1;1
"révéler";1;1;1;1;0,326;0;1;1;1;1
"public";1;1;1;1;1;1;0,003;0,579;0,663;0,004
"projet";1;1;0,392;1;1;1;0,014;1;0,359;0
"enfant";1;0,678;0,585;1;0,082;0,003;0,382;1;1;1
"lausanne";1;1;1;1;1;1;0,338;1;1;0
"mondial";0;1;1;1;1;0,093;1;1;0,042;0,55
"jeune";1;0,432;1;1;1;0;1;0,293;1;0,781
"national";1;1;1;1;1;1;0;1;1;1
"fin";0,041;1;1;0,465;1;1;0,187;1;1;1
"près_de";1;0,029;0,003;1;1;0,974;1;1;1;1
"mardi";1;1;1;0,386;1;1;0,001;0,002;1;1
"lundi";0,641;1;1;0,571;1;1;0,002;0,319;1;0,594
"état";0,026;0,687;1;1;1;1;0,128;0,002;1;0,948
"service";1;0,969;0,038;1;1;1;0;1;1;1
"prendre";0,401;0,07;1;1;0,349;1;0,22;0,293;1;1
"permettre";1;0,891;0,005;0,031;0,001;1;1;1;1;1
"prix";1;0,164;0,04;1;1;1;1;1;0;1
"initiative";1;0,524;1;1;1;1;0;1;1;0,86
"ville";1;1;0,393;1;1;1;1;1;1;0
"social";1;1;1;1;0;0;1;0,603;1;0,74
"noël";1;1;1;0,004;1;1;1;1;0,362;0
"américain";0,241;1;0,626;0,878;1;1;1;1;0,156;0,897
"vendredi";0,096;1;0,185;0,069;1;1;1;1;0,169;1
"président";1;1;1;1;1;1;0;0;1;1
"emji_drapeau_états_unis";1;1;1;1;1;1;1;0;0,024;0,576
"santé";1;1;1;1;0,016;0;1;0,071;1;1
