espérer;38;22;86;97;7;44;7
réalité;28;2;10;145;19;93;4
assurance;2;0;2;2;0;277;2
agir;83;0;14;92;9;86;10
ville;29;6;47;68;5;74;43
créer;46;3;15;55;5;153;9
europe;68;3;25;62;4;68;3
emji_visage_en_pleine_réflexion;35;2;61;61;10;45;5
manquer;17;9;21;114;17;103;4
animal;15;27;28;107;27;53;8
justice;116;13;15;78;7;47;2
fin;56;3;24;106;9;84;4
respecter;131;2;15;51;5;47;24
pauvre;28;10;40;60;4;126;5
santé;8;3;12;20;5;226;2
protéger;84;6;8;59;32;80;8
situation;55;2;1;115;13;88;3
justement;34;1;11;114;17;98;2
emji_visage_souriant_avec_yeux_en_forme_de_coeur;3;186;9;9;0;6;1
rapport;35;3;9;82;63;70;3
seulement;41;4;18;49;15;127;15
frontalier;4;3;18;33;3;169;17
appeler;65;4;31;102;5;49;3
augmenter;8;1;5;12;1;221;6
école;15;1;96;57;1;72;9
extrême;47;1;8;165;5;30;1
mot;65;8;22;97;18;30;2
heure;25;3;40;57;9;91;13
mois;11;3;19;29;7;175;4
dernier;59;5;30;96;9;46;9
essayer;35;4;36;132;2;48;2
normal;16;3;31;50;8;127;11
chercher;37;2;15;95;11;94;6
policier;87;6;14;91;7;34;6
gagner;11;5;12;27;7;169;2
terroriste;228;0;0;7;1;2;0
solution;38;1;17;53;9;120;5
malheureusement;42;2;8;113;15;70;3
liberté;51;0;7;112;19;41;3
civil;186;0;3;15;11;27;0
canton;7;1;12;23;2;159;27
étranger;25;0;14;75;8;103;5
pire;45;3;47;68;5;46;9
manière;30;1;6;117;9;77;4
expliquer;36;3;15;99;10;82;2
emji_mains_levées;16;124;11;27;5;19;2
aide;77;5;11;50;7;91;1
argument;16;1;10;142;19;50;0
simple;24;1;21;59;12;111;2
international;186;0;5;13;1;27;1
apprendre;20;1;23;98;15;25;1
ouvrir;34;6;26;113;4;49;3
étude;1;0;13;78;12;121;1
bas;23;5;25;50;11;111;3
acheter;16;2;19;22;4;159;5
possible;30;7;23;51;9;104;5
propre;26;1;22;99;10;65;2
honte;47;6;22;105;12;33;1
avis;23;0;15;149;7;24;2
triste;25;27;18;116;4;36;1
emji_drapeau_suisse;12;66;27;36;2;36;4
façon;26;2;23;96;14;61;2
terre;95;0;23;44;4;42;10
sécurité;47;1;14;33;7;119;4
interdire;35;1;41;45;6;75;11
emji_visage_roulant_des_yeux;18;4;124;26;1;31;2
voter;12;2;15;113;10;59;4
mauvais;17;0;16;103;14;63;3
voiture;3;5;9;11;0;60;126
choix;15;3;11;61;21;105;1
égalité;1;1;13;9;136;38;0
répondre;22;2;8;134;6;32;5
initiative;8;12;7;76;9;98;1
terme;43;1;5;105;5;42;2
majorité;27;0;6;52;14;114;3
important;23;1;11;91;14;78;0
foutre;33;7;84;53;5;32;2
équipe;0;10;13;21;4;17;1
mériter;31;21;8;58;6;73;2
sembler;37;0;11;90;8;65;0
entendre;43;1;20;103;4;32;6
taxe;3;0;2;6;4;180;0
respect;49;17;13;95;13;20;3
victime;73;16;9;49;28;34;2
super;10;15;69;37;1;68;5
risque;14;2;12;31;7;134;8
également;35;5;10;45;14;81;13
feu;104;5;30;36;0;25;9
emji_mains_en_prière;24;98;6;20;1;12;1
pareil;12;3;23;83;10;67;12
manifestant;175;0;4;16;2;6;1
maladie;1;1;1;5;3;196;0
israel;190;0;2;2;0;1;0
baisser;1;0;11;1;0;181;6
classe;3;1;13;15;0;164;2
taxer;0;0;5;6;0;180;0
nombre;38;0;5;36;7;74;23
occuper;48;1;18;40;8;78;8
nouvelle;17;43;33;42;8;49;4
manger;4;0;25;39;4;117;1
crime;170;0;0;11;1;11;0
arme;107;1;9;35;6;37;3
absolument;26;5;12;94;7;61;0
effet;9;1;21;36;8;117;3
éviter;19;3;18;57;4;93;5
suivre;35;2;10;97;2;54;1
retrouver;22;6;17;68;9;60;8
parent;4;8;17;42;11;107;2
base;25;1;10;58;9;92;1
valoir;17;9;47;61;5;48;6
poser;14;0;11;116;9;47;4
citoyen;43;1;4;55;6;83;2
source;22;1;2;98;2;55;4
langue;2;1;13;5;3;19;0
info;31;5;32;94;3;22;4
eau;35;3;8;11;1;97;30
train;26;2;15;26;3;56;67
rue;56;3;22;56;7;41;11
suffire;24;0;6;84;2;66;10
jouer;9;6;25;78;11;44;0
garder;17;2;19;48;9;97;3
exactement;24;3;12;102;8;49;1
représenter;30;3;12;49;7;69;1
préférer;24;1;28;69;7;65;4
groupe;83;4;15;39;1;31;0
reconnaître;119;1;5;39;0;23;0
face;51;5;13;57;7;50;2
couper;6;3;20;34;4;67;6
clairement;31;2;15;96;8;33;3
ultra;8;0;6;19;1;142;3
oeil;46;7;26;96;5;11;3
profiter;17;2;10;26;6;124;2
média;59;1;9;88;3;27;0
réponse;21;0;16;121;4;18;2
européen;50;0;12;38;5;42;2
imaginer;16;3;29;62;7;66;5
haine;82;1;11;60;12;21;0
fortune;4;0;3;11;0;161;0
peur;23;3;17;90;11;35;3
logique;22;4;19;42;2;81;8
journée;7;6;57;72;16;22;2
ia;2;2;14;78;4;68;1
concerner;16;1;13;55;5;86;5
choisir;17;2;16;73;16;55;2
détruire;68;3;12;36;4;54;4
peine;35;2;20;77;5;36;5
vidéo;43;0;13;104;3;11;0
intérêt;34;0;6;66;2;62;1
facile;18;2;9;80;9;52;4
semaine;17;0;26;40;4;72;7
casser;84;1;21;38;3;31;3
traiter;49;3;17;56;16;32;2
mdr;17;0;82;44;4;25;3
long;11;1;22;75;8;57;2
information;41;6;13;88;6;21;1
économique;26;1;3;15;9;119;0
économie;1;1;3;9;0;164;1
franchement;13;3;54;67;8;31;2
chiffre;13;0;8;42;4;101;6
accepter;31;0;10;43;14;74;0
uniquement;30;1;9;49;11;74;6
fédéral;47;1;12;39;6;66;1
démocratie;67;2;10;58;4;28;1
toucher;12;1;12;28;7;108;7
moyenne;1;1;2;3;3;149;4
financer;42;1;5;16;1;106;4
emji_visage_avec_bouche_ouverte;21;10;95;4;1;10;3
haut;11;6;25;47;6;67;8
rappeler;42;2;8;64;4;55;1
humanité;54;15;7;55;3;38;1
emji_visage_boudeur;30;8;49;5;1;16;2
faute;22;2;12;78;5;44;3
courage;20;84;10;33;3;20;2
tête;15;5;50;59;5;37;2
marcher;26;1;33;81;4;25;3
maison;24;3;59;19;7;54;3
lausanne;13;8;72;9;0;43;25
chance;10;9;20;38;5;79;4
route;8;2;7;11;2;24;111
udc;7;7;10;108;3;15;0
dur;19;10;23;37;3;69;1
contraire;34;2;5;80;12;37;1
voler;44;1;19;38;3;57;2
soutien;113;3;3;19;8;25;0
souhaiter;17;13;9;69;5;50;0
plaindre;13;1;30;77;12;31;3
image;43;1;13;77;2;31;1
valeur;29;2;9;65;5;58;0
truc;13;1;18;73;10;50;2
fonctionner;8;0;11;34;2;109;0
but;38;2;13;50;5;52;2
nom;50;7;21;39;9;30;1
main;27;14;15;39;4;54;8
différence;17;1;11;32;16;77;6
offrir;9;4;12;19;2;107;1
minimum;11;1;5;35;4;94;2
fou;25;1;25;86;7;18;2
juif;143;0;0;4;0;0;0
emji_visage_qui_pleure_à_chaudes_larmes;7;11;75;3;2;12;2
user;44;4;10;42;2;60;0
réel;12;2;14;50;8;73;1
propos;27;1;1;118;6;10;1
massacre;102;0;2;7;0;1;0
cours;23;1;29;55;3;44;1
commettre;127;1;3;8;12;10;2
bref;18;2;11;74;6;46;5
blanc;22;1;15;80;14;17;1
autoriser;120;0;7;8;1;18;5
mesure;24;0;5;35;9;87;2
fait;22;0;2;96;3;33;0
tomber;14;5;14;65;8;40;5
remettre;15;3;2;76;13;47;3
coût;4;0;1;5;1;147;1
corps;37;1;13;34;17;40;2
caisse;2;2;0;3;1;136;5
milliard;8;2;2;2;0;127;5
vendre;19;0;18;16;1;95;6
produire;9;0;10;18;2;113;1
prison;90;1;11;30;3;16;4
preuve;31;2;6;88;2;23;2
tenir;32;0;20;68;8;26;2
pro;98;0;11;20;1;17;0
physique;3;0;5;27;9;104;2
meme;17;2;7;73;4;34;2
écouter;12;3;23;88;6;18;0
recevoir;27;2;12;29;7;66;1
militaire;55;0;5;17;21;52;0
ami;16;16;17;55;5;33;3
allemand;6;3;34;14;0;6;1
libre;25;3;7;74;6;35;2
empêcher;31;0;14;42;9;47;4
débat;10;3;18;89;4;23;2
américain;28;2;15;28;6;50;1
accueillir;33;4;11;17;2;74;1
totalement;17;3;4;67;5;49;7
sauver;15;4;12;58;6;49;1
refuser;40;1;5;36;7;59;1
privé;7;1;3;10;0;119;2
mondial;17;1;11;18;4;73;2
réfléchir;6;1;9;95;3;37;0
raciste;16;1;10;105;6;6;1
cacher;49;3;10;46;4;31;2
poste;4;2;10;27;10;84;1
envoyer;30;3;27;35;6;43;0
emploi;1;0;4;6;0;130;2
culture;10;1;5;66;15;40;1
banque;10;4;3;6;2;109;1
époque;14;7;49;37;9;28;1
charger;12;2;7;18;8;94;1
type;12;1;22;52;8;53;0
résultat;8;1;7;40;4;72;2
réseau;19;0;4;78;5;35;4
prochain;16;6;39;65;1;20;1
obliger;13;8;16;31;15;62;1
manif;103;1;12;17;1;8;0
grave;34;4;16;48;5;34;3
complètement;30;3;18;50;7;30;5
total;42;1;9;31;10;45;5
prime;8;1;2;2;0;126;1
actuel;22;0;9;31;8;70;4
énergie;3;3;2;8;0;109;4
envie;7;4;25;55;7;47;0
porte;18;4;48;35;8;29;0
subir;49;1;7;30;14;36;0
magnifique;3;106;7;7;6;14;1
entier;26;0;12;57;4;45;0
produit;1;0;2;6;0;119;2
personnel;4;0;8;49;2;73;0
millier;76;0;4;13;0;45;1
condition;25;0;0;9;5;99;0
mec;7;2;48;45;24;12;0
marché;3;2;5;9;0;115;1
effectivement;23;2;12;49;5;43;6
difficile;14;4;8;52;3;48;2
responsable;37;1;4;32;6;53;0
criminel;100;0;1;16;6;8;0
arabe;97;0;10;15;0;4;1
imposer;10;0;6;19;8;93;0
étonner;12;4;14;30;4;36;3
partager;16;1;3;65;10;41;1
justifier;53;0;4;29;7;37;2
journaliste;55;3;12;47;0;12;0
acte;65;2;6;36;5;14;4
vérité;24;3;9;81;1;11;0
unir;48;2;2;16;5;49;0
qualité;1;6;10;22;2;82;2
heureusement;16;10;20;65;2;18;3
fermer;24;1;29;52;1;21;6
sérieux;11;4;16;66;9;23;4
projet;8;7;4;16;2;83;10
musulman;102;0;0;16;2;4;0
plaisir;10;12;10;69;6;23;1
décision;18;3;5;60;2;43;2
évidemment;18;0;7;50;4;48;1
réduire;4;0;0;6;3;106;11
photo;13;11;52;49;2;3;1
ordre;68;1;5;28;0;24;6
obligatoire;2;0;15;20;23;59;9
discours;18;2;4;79;8;18;0
clair;26;1;6;56;4;39;2
bosser;0;0;21;21;5;73;4
sûrement;19;1;17;47;5;33;3
soin;12;4;5;15;3;88;1
décider;29;0;7;33;6;52;1
loyer;0;0;1;2;0;123;2
héritage;1;1;1;6;1;114;0
attaquer;65;0;7;22;4;25;3
renseigner;27;1;6;73;2;20;0
prouver;29;1;5;54;6;23;3
proposer;14;2;8;29;5;64;1
national;13;2;7;21;3;31;1
doute;16;4;16;59;3;27;4
cesser;105;0;0;9;1;12;1
air;11;1;30;41;6;27;9
règle;12;0;9;32;9;52;10
rentrer;20;0;30;26;4;41;5
lien;15;0;7;43;1;43;0
suite;29;8;8;44;5;29;2
genocide;113;0;2;2;0;5;0
dénoncer;67;1;0;24;7;25;0
coûter;1;1;3;7;1;103;5
couple;3;0;2;9;61;37;0
blague;20;3;71;21;1;8;3
réussir;11;2;8;30;3;60;0
porter;10;1;43;29;11;30;2
content;12;10;32;33;4;32;4
coeur;13;16;14;60;1;19;1
bloquer;30;1;14;44;0;23;8
augmentation;2;0;3;4;2;99;5
libérer;95;0;2;5;3;17;0
onu;96;0;7;11;0;3;2
action;37;2;6;31;6;37;0
sioniste;102;0;7;6;0;1;1
président;36;9;14;38;2;15;0
nombreux;19;2;2;21;2;62;11
danger;24;1;8;33;11;31;12
conflit;61;1;5;27;4;22;0
climatique;1;0;4;7;0;105;0
battre;15;1;12;28;34;27;2
proche;11;12;10;34;2;44;5
participer;27;5;4;26;5;50;2
intéressant;6;5;10;63;3;33;2
illégal;75;1;3;11;1;21;2
emji_visage_de_clown;18;0;25;19;5;17;0
atteindre;12;2;1;20;6;70;4
titre;14;1;3;69;6;21;3
racisme;14;1;0;85;7;4;1
opinion;22;0;3;72;1;22;0
limite;8;0;15;26;9;47;11
directement;20;1;5;19;2;63;8
billet;2;8;14;11;0;64;15
bcp;18;2;13;22;9;51;0
tourner;7;1;10;23;1;68;8
responsabilité;17;1;1;48;7;43;1
métier;1;5;5;32;3;65;1
mourir;18;1;21;23;16;30;0
général;13;1;2;36;20;45;3
début;24;1;6;44;4;37;1
compter;14;0;9;19;3;62;9
violent;42;1;6;36;22;9;1
zone;22;1;6;7;1;40;24
souci;12;0;7;51;10;31;2
régime;24;0;0;37;1;36;1
sud;9;1;1;1;0;4;0
forcément;5;1;3;46;7;46;3
condamner;54;0;7;39;3;10;1
éducation;6;0;8;28;7;60;0
incroyable;10;23;12;31;2;28;3
différent;16;1;6;47;6;31;1
autorité;77;1;2;10;1;19;1
intéresser;17;1;14;53;8;16;3
gars;3;7;67;23;3;6;0
final;6;1;13;22;7;46;3
attaque;59;1;10;22;2;15;1
post;11;0;11;71;3;9;1
lier;8;1;1;17;3;78;2
forme;13;0;6;42;6;39;2
conseil;11;1;8;40;2;45;0
commun;6;1;16;23;4;40;13
accès;7;1;8;11;8;67;5
svp;11;1;18;56;3;14;6
région;27;0;7;15;1;46;2
mode;9;0;21;44;8;24;1
gérer;15;0;5;18;8;62;2
frontière;20;2;13;26;1;37;12
frais;6;0;1;6;0;91;2
erreur;6;0;4;38;5;42;8
considérer;18;0;5;50;11;20;1
