%%MatrixMarket matrix coordinate integer general
39166 9096 284612
5 1 1
29 1 1
45 1 1
106 1 1
113 1 1
136 1 1
147 1 1
149 1 1
165 1 1
191 1 1
210 1 1
229 1 1
232 1 1
249 1 1
252 1 1
280 1 1
331 1 1
341 1 1
347 1 1
357 1 1
404 1 1
409 1 1
447 1 1
460 1 1
503 1 1
506 1 1
509 1 1
528 1 1
559 1 1
571 1 1
583 1 1
588 1 1
595 1 1
602 1 1
612 1 1
621 1 1
635 1 1
638 1 1
639 1 1
764 1 1
776 1 1
781 1 1
785 1 1
793 1 1
794 1 1
814 1 1
826 1 1
864 1 1
877 1 1
888 1 1
905 1 1
947 1 1
976 1 1
982 1 1
985 1 1
1025 1 1
1036 1 1
1067 1 1
1072 1 1
1091 1 1
1098 1 1
1099 1 1
1118 1 1
1129 1 1
1131 1 1
1133 1 1
1135 1 1
1145 1 1
1160 1 1
1198 1 1
1201 1 1
1221 1 1
1223 1 1
1228 1 1
1257 1 1
1262 1 1
1276 1 1
1285 1 1
1314 1 1
1316 1 1
1333 1 1
1334 1 1
1338 1 1
1340 1 1
1342 1 1
1344 1 1
1364 1 1
1365 1 1
1370 1 1
1371 1 1
1378 1 1
1382 1 1
1391 1 1
1396 1 1
1444 1 1
1456 1 1
1469 1 1
1471 1 1
1483 1 1
1485 1 1
1487 1 1
1493 1 1
1507 1 1
1518 1 1
1534 1 1
1555 1 1
1587 1 1
1591 1 1
1619 1 1
1621 1 1
1623 1 1
1656 1 1
1723 1 1
1726 1 1
1734 1 1
1755 1 1
1756 1 1
1759 1 1
1760 1 1
1763 1 1
1775 1 1
1780 1 1
1791 1 1
1792 1 1
1797 1 1
1798 1 1
1803 1 1
1807 1 1
1818 1 1
1830 1 1
1843 1 1
1895 1 1
1950 1 1
1964 1 1
2003 1 1
2032 1 1
2111 1 1
2118 1 1
2190 1 1
2307 1 1
2310 1 1
2311 1 1
2313 1 1
2337 1 1
2348 1 1
2357 1 1
2366 1 1
2368 1 1
2371 1 1
2394 1 1
2399 1 1
2414 1 1
2415 1 1
2424 1 1
2489 1 1
2512 1 1
2517 1 1
2536 1 1
2589 1 1
2620 1 1
2632 1 1
2642 1 1
2696 1 1
2727 1 1
2757 1 1
2760 1 1
2762 1 1
2771 1 1
2773 1 1
2783 1 1
2794 1 1
2800 1 1
2805 1 1
2815 1 1
2820 1 1
2821 1 1
2822 1 1
2823 1 1
2835 1 1
2841 1 1
2843 1 1
2890 1 1
2947 1 1
3023 1 1
3045 1 1
3064 1 1
3073 1 1
3074 1 1
3075 1 1
3102 1 1
3120 1 1
3123 1 1
3134 1 1
3200 1 1
3217 1 1
3219 1 1
3292 1 1
3296 1 1
3304 1 1
3314 1 1
3320 1 1
3330 1 1
3348 1 1
3349 1 1
3386 1 1
3451 1 1
3456 1 1
3541 1 1
3560 1 1
3593 1 1
3628 1 1
3637 1 1
3645 1 1
3648 1 1
3651 1 1
3715 1 1
3735 1 1
3742 1 1
3754 1 1
3789 1 1
3790 1 1
3793 1 1
3807 1 1
3872 1 1
3885 1 1
3891 1 1
3906 1 1
3927 1 1
3930 1 1
3939 1 1
3986 1 1
4021 1 1
4022 1 1
4062 1 1
4063 1 1
4075 1 1
4081 1 1
4098 1 1
4100 1 1
4169 1 1
4170 1 1
4172 1 1
4180 1 1
4204 1 1
4241 1 1
4280 1 1
4283 1 1
4284 1 1
4288 1 1
4295 1 1
4303 1 1
4320 1 1
4331 1 1
4337 1 1
4354 1 1
4355 1 1
4364 1 1
4374 1 1
4396 1 1
4415 1 1
4488 1 1
4499 1 1
4525 1 1
4531 1 1
4605 1 1
4651 1 1
4658 1 1
4677 1 1
4689 1 1
4692 1 1
4702 1 1
4726 1 1
4736 1 1
4744 1 1
4764 1 1
4783 1 1
4805 1 1
4808 1 1
4812 1 1
4815 1 1
4871 1 1
4877 1 1
4880 1 1
4882 1 1
4890 1 1
4899 1 1
4910 1 1
4921 1 1
4944 1 1
4959 1 1
5044 1 1
5061 1 1
5074 1 1
5097 1 1
5098 1 1
5103 1 1
5104 1 1
5108 1 1
5112 1 1
5114 1 1
5115 1 1
5129 1 1
5131 1 1
5134 1 1
5136 1 1
5137 1 1
5138 1 1
5139 1 1
5141 1 1
5145 1 1
5149 1 1
5150 1 1
5153 1 1
5155 1 1
5171 1 1
5182 1 1
5244 1 1
5274 1 1
5290 1 1
5314 1 1
5339 1 1
5435 1 1
5443 1 1
5447 1 1
5485 1 1
5491 1 1
5501 1 1
5504 1 1
5519 1 1
5526 1 1
5529 1 1
5531 1 1
5535 1 1
5539 1 1
5541 1 1
5545 1 1
5557 1 1
5565 1 1
5566 1 1
5579 1 1
5636 1 1
5666 1 1
5667 1 1
5676 1 1
5691 1 1
5692 1 1
5698 1 1
5704 1 1
5712 1 1
5714 1 1
5715 1 1
5716 1 1
5717 1 1
5718 1 1
5728 1 1
5729 1 1
5735 1 1
5747 1 1
5774 1 1
5775 1 1
5776 1 1
5777 1 1
5783 1 1
5789 1 1
5791 1 1
5793 1 1
5794 1 1
5818 1 1
5838 1 1
5848 1 1
5855 1 1
5866 1 1
5872 1 1
5874 1 1
5875 1 1
5877 1 1
5878 1 1
5892 1 1
5907 1 1
5922 1 1
5926 1 1
5927 1 1
5936 1 1
5946 1 1
5950 1 1
5955 1 1
5961 1 1
5962 1 1
5967 1 1
5973 1 1
5980 1 1
6011 1 1
6048 1 1
6057 1 1
6058 1 1
6090 1 1
6100 1 1
6113 1 1
6133 1 1
6148 1 1
6153 1 1
6158 1 1
6161 1 1
6170 1 1
6179 1 1
6189 1 1
6190 1 1
6192 1 1
6194 1 1
6222 1 1
6236 1 1
6259 1 1
6263 1 1
6264 1 1
6265 1 1
6281 1 1
6287 1 1
6293 1 1
6336 1 1
6353 1 1
6363 1 1
6368 1 1
6411 1 1
6413 1 1
6437 1 1
6444 1 1
6453 1 1
6456 1 1
6481 1 1
6483 1 1
6514 1 1
6525 1 1
6550 1 1
6570 1 1
6578 1 1
6581 1 1
6589 1 1
6602 1 1
6606 1 1
6608 1 1
6610 1 1
6614 1 1
6632 1 1
6642 1 1
6645 1 1
6667 1 1
6727 1 1
6737 1 1
6773 1 1
6803 1 1
6812 1 1
6886 1 1
6925 1 1
6927 1 1
6963 1 1
6965 1 1
6973 1 1
6975 1 1
6976 1 1
6977 1 1
7054 1 1
7069 1 1
7086 1 1
7087 1 1
7114 1 1
7128 1 1
7130 1 1
7135 1 1
7150 1 1
7151 1 1
7158 1 1
7172 1 1
7191 1 1
7196 1 1
7201 1 1
7206 1 1
7207 1 1
7215 1 1
7228 1 1
7264 1 1
7267 1 1
7271 1 1
7273 1 1
7274 1 1
7275 1 1
7276 1 1
7290 1 1
7302 1 1
7309 1 1
7314 1 1
7374 1 1
7553 1 1
7624 1 1
7639 1 1
7641 1 1
7684 1 1
7695 1 1
7751 1 1
7757 1 1
7805 1 1
7830 1 1
7849 1 1
7854 1 1
7881 1 1
7957 1 1
