"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";1,96533676800573;0,268228715125585;0,669239069917875;0,938819607861017;0,128129886567375;0,319688091839402;0,911596983443275;0,0150324699993904;0,0733705465574133;0,717628882999387;0,013367078239228;0,0832124914834624;0,185791547277937;1,14490868889201;0,243538515353769
"classe 2";-0,349256333935077;-5,57168763809304;1,76453076915135;-0,059652496360534;-0,951636503792541;0,301379402626432;0,00409794081175585;0,923297176141618;0,0726048830466013;0,00345755592939075;0,879942215695176;0,0882549561691287;0,0283452722063037;3,03456722005626;0,2610202229871
"classe 3";-0,917589849665223;0,547653656494134;0,980929928315791;-0,632577051735553;0,377546826094086;0,67624305373426;0,474246653214906;0,149558101181338;0,376195245603741;0,271243171513276;0,0966214599692499;0,309982789720886;0,322152578796562;0,741108467490997;0,176939649555819
"classe 4";-0,128613097536484;-0,147358422970982;-1,05747889195231;-0,119593920965018;-0,137024703765665;-0,983321679119374;0,0203719661854074;0,0236757293663408;0,955952304448326;0,0076703895579454;0,0100692460963461;0,518549762626522;0,463710601719198;0,501191891922568;0,116481002100625
