"";"classe 1";"classe 2";"classe 3";"classe 4"
"voiture";1;1;0;1
"choix";1;1;0,02;0,04
"égalité";1;1;1;0
"répondre";1;1;1;0
"initiative";1;0,708;0;0,676
"terme";0,157;1;1;0,003
"majorité";1;1;0;1
"important";1;1;1;0
"foutre";0,942;1;1;0
"équipe";1;0;1;0,027
"mériter";1;0;0,109;1
"sembler";0,983;1;0,934;0,168
"entendre";0,167;1;1;0,001
"taxe";1;1;0;1
"respect";0,005;0,019;1;0,001
"victime";0;0,088;1;1
"super";1;0,137;0,244;0,044
"risque";1;1;0;1
"également";1;1;0;1
"feu";0;1;1;1
"emji_mains_en_prière";1;0;1;1
"pareil";1;1;0,04;0,007
"manifestant";0;1;1;1
"maladie";1;1;0;1
"israel";0;1;1;1
"baisser";1;1;0;1
"classe";1;1;0;1
"taxer";1;1;0;1
"nombre";0,15;1;0;1
"occuper";0,008;1;0,013;1
"nouvelle";1;0;1;1
"manger";1;1;0;1
"crime";0;1;1;1
"arme";0;1;1;1
"absolument";1;1;1;0,001
"effet";1;1;0;1
"éviter";1;1;0;1
"suivre";0,527;1;1;0,106
"retrouver";1;1;0,132;0,397
"parent";1;1;0;1
"base";1;1;0,001;1
"valoir";1;1;0,779;0,02
"poser";1;1;1;0
"citoyen";0,088;1;0,244;1
"source";1;1;1;0,001
"langue";1;1;1;0
"info";1;1;1;0
"eau";0,664;1;0;1
"train";1;1;0;1
"rue";0;1;1;1
"suffire";1;1;0,026;0,326
"jouer";1;1;1;0
"garder";1;1;0;1
"exactement";1;1;1;0
"représenter";1;1;0,01;1
"préférer";1;1;0,039;0,326
"groupe";0;1;1;1
"reconnaître";0;1;1;1
"face";0,001;1;1;0,966
"couper";1;1;0;1
"clairement";0,821;1;1;0
"ultra";1;1;0;1
"oeil";0,01;1;1;0
"profiter";1;1;0;1
"média";0;1;1;0,044
"réponse";1;1;1;0
"européen";0;1;1;1
"imaginer";1;1;0,008;0,255
"haine";0;1;1;1
"fortune";1;1;0;1
"peur";1;1;1;0
"logique";1;1;0;1
"journée";1;1;1;0
"ia";1;1;1;0
"concerner";1;1;0;1
"choisir";1;1;1;0
"détruire";0;1;1;1
"peine";0,277;1;1;0,05
"vidéo";0,005;1;1;0
"intérêt";0,403;1;0,631;0,8
"facile";1;1;0,905;0,005
"semaine";1;1;0;1
"casser";0;1;1;1
"traiter";0;1;1;0,218
"mdr";1;1;1;0
"long";1;1;0,403;0,001
"information";0,019;1;1;0
"économique";1;1;0;1
"économie";1;1;0;1
"franchement";1;1;1;0
"chiffre";1;1;0;1
"accepter";0,839;1;0,035;1
"uniquement";1;1;0,193;0,74
"fédéral";0;1;0,026;1
"démocratie";0;1;1;1
"toucher";1;1;0;1
"moyenne";1;1;0;1
"financer";0,017;1;0;1
"emji_visage_avec_bouche_ouverte";1;0,153;1;0
"haut";1;1;0,019;0,188
"rappeler";0,024;1;1;1
"humanité";0;0,027;1;1
"emji_visage_boudeur";0,016;0,064;1;1
"faute";1;1;1;0,002
"courage";1;0;1;1
"tête";1;1;1;0
"marcher";1;1;1;0
"maison";1;1;0,001;1
"lausanne";1;0,875;0;1
"chance";1;0,804;0;1
"route";1;1;0;1
"udc";1;1;1;0
"dur";1;0,571;0;1
"contraire";0,477;1;1;0,007
"voler";0,003;1;0,146;1
"soutien";0;1;1;1
"souhaiter";1;0,089;1;0,008
"plaindre";1;1;1;0
"image";0,008;1;1;0,013
"valeur";0,987;1;1;0,062
"truc";1;1;1;0
"fonctionner";1;1;0;1
"but";0,066;1;0,524;1
"nom";0;1;1;1
"main";1;0,012;0,095;1
"différence";1;1;0;1
"offrir";1;1;0;1
"minimum";1;1;0;1
"fou";1;1;1;0
"juif";0;1;1;1
"emji_visage_qui_pleure_à_chaudes_larmes";1;0,006;1;0
"user";0,002;1;0,166;1
"réel";1;1;0,333;0,011
"propos";1;1;1;0
"massacre";0;1;1;1
"cours";1;1;1;0,006
"commettre";0;1;1;1
"bref";1;1;1;0,007
"blanc";1;1;1;0
"autoriser";0;1;1;1
"mesure";1;1;0;1
"fait";1;1;1;0
"tomber";1;1;1;0,004
"remettre";1;1;1;0,001
"coût";1;1;0;1
"corps";0,012;1;1;0,218
"caisse";1;1;0;1
"milliard";1;1;0;1
"vendre";1;1;0;1
"produire";1;1;0;1
"prison";0;1;1;1
"preuve";0,225;1;1;0
"tenir";0,378;1;1;0
"pro";0;1;1;1
"physique";1;1;0;1
"meme";1;1;1;0,005
"écouter";1;1;1;0
"recevoir";0,893;1;0;1
"militaire";0;1;1;1
"ami";1;0,001;1;0,224
"allemand";1;1;1;0
"libre";1;1;1;0,063
"empêcher";0,11;1;1;0,574
"débat";1;1;1;0
"américain";0,29;1;0,038;1
"accueillir";0,019;1;0,001;1
"totalement";1;1;0,053;0,521
"sauver";1;1;0,315;0,141
"refuser";0,005;1;0,061;1
