"";"";"";"";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";""
"75";"emji_deux_coeurs";"2.71491565222265";"-0.0759180284702904";"0.83891614661279";"283"
"76";"fortnite";"-0.117746669512276";"-0.692822525024315";"0.838846319936938";"284"
"77";"cardio";"-0.117746669512276";"-0.692822525024315";"0.838846319936938";"285"
"78";"iphone";"-0.321992193233506";"-0.407724563912815";"0.838583754013857";"287"
"79";"vol";"-0.721148159315038";"-0.351668746395808";"0.8384974068311";"288"
"80";"maladie";"-0.696139776118175";"-1.05751060822221";"0.838409077187513";"289"
"81";"macron";"-0.838027949001877";"-1.17545224101371";"0.838408416367237";"290"
"82";"emji_mains_en_prière_peau_moyennement_claire";"2.92860772649588";"-0.252799617868341";"0.838277794225973";"292"
"83";"cygne";"-0.614670315976847";"-1.42567546829788";"0.838260392625366";"293"
"84";"onde";"-0.929405958038885";"-1.81254375119402";"0.837955093657757";"296"
"85";"canard";"-0.666598955524204";"-1.34650863493387";"0.837684597891363";"298"
"86";"rue";"-0.647911738303804";"-0.243597268230291";"0.837474016496677";"300"
"87";"course";"-0.665322502533344";"-0.516893402098055";"0.837410357476736";"301"
"88";"malaise";"-0.249181876069012";"-0.314171957716334";"0.83715285784244";"303"
"89";"sympa";"0.0122465798442032";"-0.073658089577201";"0.836785441768868";"305"
"90";"fumer";"-0.595111660628077";"-0.0529194821093155";"0.836711429897932";"307"
"91";"loup";"-0.863669872949196";"-1.60567710960716";"0.836354146401929";"308"
"92";"délirer";"-0.39135170569111";"-0.320199610651198";"0.836187179145473";"310"
"93";"supporter";"-0.730010586787212";"-0.480153018958077";"0.836137837898183";"311"
"94";"café";"-0.610174691427883";"-0.402381486589921";"0.835812053502012";"312"
"95";"acheter";"-0.587039774530548";"-0.434843606175408";"0.835745971474391";"313"
"96";"simple";"-0.112670017043759";"-0.599813764383284";"0.835710507452901";"314"
"97";"domestique";"-0.847391414720655";"-1.61312605199147";"0.835244849431599";"317"
"98";"reproduire";"-0.646793429554751";"-1.56661903068325";"0.835244849431599";"318"
"99";"connaître";"-0.368588247633097";"-0.177689442059866";"0.835159163069118";"319"
"100";"christie";"-1.20476695388479";"-0.373187708696328";"0.835087574205862";"325"
"101";"agatha";"-1.20476695388479";"-0.373187708696328";"0.835087574205862";"326"
"102";"faute";"-0.554556111074891";"-0.860691232357451";"0.834969948196697";"327"
"103";"détruire";"-0.740739591598909";"-1.13022239093908";"0.834888226755872";"328"
"104";"emji_visage_avec_des_symboles_dans_la_bouche";"-0.816025343123181";"-0.58857540954431";"0.83467940754859";"330"
"105";"chasse";"-0.816542270185435";"-0.9711202240343";"0.83467940754859";"331"
"106";"abandonner";"-0.807061959209218";"-0.490674364133959";"0.83467940754859";"332"
"107";"écouter";"-0.0776928412509658";"-0.554917019745251";"0.834467504513352";"333"
"108";"refaire";"0.101974387618716";"-0.311627408266354";"0.834345693309105";"335"
"109";"pokémon";"-0.246254192647556";"-0.697636025309732";"0.834300977803748";"336"
"110";"exister";"-0.404362101345279";"-0.48722905485109";"0.833650510378533";"340"
"111";"rapidité";"0.0469065430826435";"-0.230750894398824";"0.833494997340198";"341"
"112";"gagner";"-0.593681160621424";"-0.113264977332294";"0.833442792538378";"342"
"113";"tkt";"-0.868343050526517";"-0.601396875184583";"0.833356225082195";"344"
"114";"niveau";"-0.509376494373358";"-0.711501854460763";"0.833199390403308";"346"
"115";"emji_coeur_étincelant";"2.93224648519454";"-0.222666312039688";"0.832915898504814";"349"
"116";"adulte";"-0.391328974413817";"-0.728327872812678";"0.832847613742939";"350"
"117";"trouver";"-0.406105056696818";"-0.297736545887343";"0.832830872962608";"351"
"118";"turc";"-0.70665019214896";"-0.328100271066839";"0.832487907239256";"354"
"119";"vérité";"-0.215499827509706";"-0.651252649258413";"0.83244649583528";"355"
"120";"vidéo";"-0.272954090931937";"-0.321170652484484";"0.832088331245575";"360"
"121";"emji_drapeau_maroc";"0.514498531285985";"-0.586561957591188";"0.83199801914116";"361"
"122";"vrai";"0.0489675775031745";"-0.178784429657712";"0.831963215939946";"362"
"123";"voler";"-0.645043666612273";"-0.555916304437597";"0.831908367857021";"363"
"124";"coûter";"-0.598795060932665";"-0.356478093287162";"0.831900658287132";"364"
"125";"boulot";"-0.677727271139595";"0.0687396065030388";"0.831685451150513";"366"
"126";"bruit";"-0.699168435656111";"-0.451233443727001";"0.831424427141411";"367"
"127";"emji_trèfle_à_quatre_feuilles";"2.80380279113015";"-0.13629183358663";"0.831245565119983";"368"
"128";"demander";"-0.546284319019101";"-0.437386557007441";"0.831126176923415";"370"
"129";"préparation";"-0.117746669512276";"-0.692822525024315";"0.831066262551705";"372"
"130";"mémorisation";"-0.117746669512276";"-0.692822525024315";"0.831066262551705";"374"
"131";"gagnant";"-0.117746669512276";"-0.692822525024315";"0.831066262551705";"376"
"132";"emji_jeu_vidéo";"-0.117746669512276";"-0.692822525024315";"0.831066262551705";"377"
"133";"bachelier";"-0.117746669512276";"-0.692822525024315";"0.831066262551705";"378"
"134";"emji_visage_souriant_avec_yeux_plissés";"-0.137858964267614";"2.26385782706592";"0.830861628539506";"381"
"135";"balai";"-0.412134769621909";"-0.421872033115049";"0.830698626204708";"383"
"136";"officiellement";"-0.956582155382894";"-0.572709244030624";"0.830529235940573";"384"
"137";"gen";"-0.535326386534494";"-0.475044499283364";"0.830529235940573";"385"
"138";"battre";"-0.680777580914924";"-0.353362543471342";"0.830163141507553";"386"
"139";"prime";"-0.60720997507883";"-0.430395169355674";"0.830156313031366";"387"
"140";"signification";"-0.87168411362187";"-0.098781749708693";"0.82926486647876";"389"
"141";"esclavage";"-0.847413721962378";"-0.436730525743694";"0.82926486647876";"391"
"142";"avis";"-0.384267152086621";"-0.804339229042535";"0.829256055541744";"392"
"143";"droite";"-0.680933865266017";"-0.0246487756154487";"0.828952518761539";"394"
"144";"voleur";"-0.709634736280218";"-0.296087232723533";"0.828931152239275";"395"
"145";"évoluer";"-0.595607087698405";"-0.866904573666834";"0.828864409391378";"396"
"146";"route";"-0.647433157973571";"-0.392619900247743";"0.828844364509666";"397"
"147";"sécurité";"-0.743230099511707";"-0.624203462460146";"0.828825420995081";"398"
"148";"prendre";"-0.522782921820539";"-0.0782430654110863";"0.828737972445196";"400"
"149";"fermer";"-0.605589895101184";"-0.179112773447223";"0.828540166909184";"402"
"150";"heureux";"0.126302673171764";"-0.711283987085771";"0.828427166641953";"403"
"151";"coup";"-0.600811658216121";"0.0422892146772732";"0.828346766841681";"404"
"152";"vendre";"-0.599174526407095";"-0.0107156799616491";"0.828209316224229";"405"
"153";"minute";"-0.441179070852216";"-0.168187311195372";"0.828103584980036";"407"
"154";"honte";"-0.521317279374854";"-0.454207009126862";"0.828087284746556";"408"
"155";"manquer";"-0.118089849943321";"-0.248492967895035";"0.82807561025501";"409"
"156";"retrouver";"0.16698177804827";"-0.20043918395101";"0.828065257404016";"410"
"157";"façon";"-0.0919108021102313";"-0.62047280146351";"0.828054243732745";"411"
"158";"musique";"-0.428122736668592";"-0.0112345639131974";"0.827995210454738";"412"
"159";"cas";"-0.535510708304029";"-0.335303923900259";"0.827844983978613";"414"
"160";"bamboula";"-1.07118019374917";"-0.504931480536693";"0.827709075275139";"415"
"161";"provenir";"-1.10915763728785";"-0.376999463843824";"0.827709075275139";"417"
"162";"bannir";"-1.07118019374917";"-0.504931480536693";"0.827709075275139";"419"
"163";"mondial";"-0.59488832027455";"-0.263558988953036";"0.827578893680726";"420"
"164";"dinguerie";"-0.597290694423394";"-0.365140234603888";"0.827543209385811";"421"
"165";"ouin";"-0.911541156210038";"0.200805137430356";"0.827514133293657";"422"
"166";"sujet";"-0.496964692075276";"-0.566079782075749";"0.82747184079598";"423"
"167";"emji_mains_qui_forment_un_coeur";"2.71734325277651";"-0.0966056836423169";"0.827424261736093";"424"
"168";"magasin";"-0.671504575014755";"-0.436119365892153";"0.827421177908137";"426"
"169";"frère";"-0.667804558232038";"-0.328816731313898";"0.827391000448857";"427"
"170";"sûr";"-0.450438656707567";"-0.494467130235909";"0.827138567103345";"429"
"171";"tordre";"-0.847894045971987";"-0.761831850002994";"0.827030853398323";"431"
"172";"social";"-0.415124541229264";"-0.894366064037737";"0.826764983373862";"433"
"173";"milliard";"-0.711299687433646";"-0.321397948697771";"0.826631938224919";"434"
"174";"facho";"-0.97802768084218";"-0.54024977046397";"0.82658347807133";"435"
"175";"problème";"-0.550916954550252";"-0.706393572687806";"0.826539643659675";"437"
"176";"chef";"-0.611475704330715";"-0.319462529341388";"0.82651541358288";"438"
"177";"emji_bouche";"-1.20476695388479";"-0.373187708696328";"0.826302409180516";"440"
"178";"actuel";"-0.479422194696071";"-0.609098800357206";"0.826226414848752";"441"
"179";"écrire";"-0.486873266957299";"-0.521247800389404";"0.82609711434804";"444"
"180";"employé";"-0.730911533145466";"-0.343625511736598";"0.826015392907216";"445"
"181";"police";"-0.428830097195295";"-0.525970232113643";"0.825852831119268";"446"
"182";"élève";"-0.366160587832429";"-0.873289341358541";"0.82577705706093";"447"
"183";"violence";"-0.499454165043109";"-0.901700973827702";"0.825306112477418";"448"
"184";"devenir";"-0.298508068450619";"-0.490187842148673";"0.825299724548082";"449"
"185";"pire";"-0.584860349461421";"-0.261993697420136";"0.825263599706315";"450"
"186";"foot";"-0.480062664577677";"-0.352208043675195";"0.825251704941344";"451"
"187";"fumeur";"-0.708063558573873";"-0.244653762804798";"0.825248180566537";"452"
"188";"assurance";"-0.702497741372864";"-0.314828640715052";"0.825199500139523";"453"
"189";"julien";"2.85897981169478";"-0.0216915703348501";"0.825161172563503";"454"
"190";"journée";"-0.211254341772834";"-0.119591240866215";"0.825121523346931";"455"
"191";"traverser";"-0.328204836698363";"-0.214226852943417";"0.824832744886227";"457"
"192";"automobiliste";"-0.726720370900088";"-0.392246484433809";"0.824767103405457";"458"
"193";"emji_partition";"3.07539113898038";"-0.101211942790313";"0.824685381964633";"462"
"194";"venir";"-0.523751494955513";"0.106654181460766";"0.824674368293363";"463"
"195";"réalité";"-0.330374708127718";"-0.966033889096797";"0.82465916942701";"464"
"196";"reconnaître";"-0.368525452673849";"0.180262410369449";"0.824521057989282";"466"
"197";"emji_mains_qui_forment_un_coeur_peau_claire";"2.96015617283543";"-0.135023041872629";"0.824486695334919";"467"
"198";"journaliste";"-0.226237827943179";"-0.41074987946539";"0.824479646585306";"468"
"199";"stade";"-0.684498714491149";"-0.305650073743331";"0.824478324944754";"469"
"200";"enseignant";"-0.455369796414777";"-0.789125730221304";"0.824348583897192";"470"
"201";"seul";"-0.513484913754175";"-0.563207600340726";"0.82430937522747";"472"
"202";"lieu";"-0.671150951475856";"-0.507350507115184";"0.824189987030902";"474"
"203";"banque";"-0.704706564724371";"-0.126521262904563";"0.824169501602339";"475"
"204";"moto";"-0.538255806114952";"-0.0935105287233902";"0.823991740948039";"477"
"205";"grand";"0.0829241935955759";"-0.236833818303928";"0.823971916339753";"478"
"206";"simplement";"-0.318885064447785";"-0.630465700942544";"0.823793494865176";"479"
"207";"faux";"-0.503800665624695";"-0.480396020589378";"0.823662432177061";"480"
"208";"éduquer";"-0.348224317014859";"-0.788788536067314";"0.823503174490495";"481"
"209";"emji_applaudissements_peau_moyennement_claire";"3.22230334608459";"-0.124397794714017";"0.823395460785473";"482"
"210";"méchant";"-0.569622378543037";"-0.873886465635061";"0.823049851781016";"483"
"211";"classe";"-0.00557982839302248";"-0.492519606421279";"0.823042803031403";"484"
"212";"professeur";"-0.454837205700261";"-0.837603785946392";"0.822978483191185";"486"
"213";"manière";"-0.464033361165752";"-0.858005993149069";"0.822826053980806";"488"
"214";"preuve";"-0.577063476757649";"-0.702422467218832";"0.822741689258877";"489"
"215";"emji_colombe";"3.17246022853466";"-0.152681513094536";"0.821781737670971";"494"
"216";"extraordinaire";"2.46477920877196";"-0.194616573179957";"0.821726889588046";"495"
"217";"laisser";"-0.511004832936827";"-0.822322383669941";"0.821588778150318";"497"
"218";"esprit";"-0.276163910639766";"-0.678796799299265";"0.821553974949104";"498"
"219";"droit";"-0.540339938309792";"-0.689921629912983";"0.821161447705036";"503"
"220";"réseau";"-0.31330566123234";"-0.772615046656861";"0.821118714660508";"504"
"221";"emji_coeur_vert";"3.28079725198192";"-0.146819818626108";"0.820361634897398";"510"
"222";"emji_fleur_de_cerisier";"3.28079725198192";"-0.146819818626108";"0.820361634897398";"511"
"223";"emji_visage_qui_vomit";"-0.609649447209059";"2.55364335128737";"0.81929396960447";"516"
"224";"emji_coeur_bleu";"3.36804587118224";"-0.10217464940701";"0.818974573137636";"520"
"225";"magique";"2.35724678289381";"-0.227534831691067";"0.818882498845817";"522"
"226";"emji_couronne";"3.50722222773793";"-0.0943250183244553";"0.818456710314514";"524"
"227";"impressionnant";"2.61348371628398";"-0.172690191280577";"0.818350538523469";"526"
"228";"emji_visage_festif";"2.70669460083703";"0.11616186382693";"0.818269257629496";"527"
"229";"emji_visage_qui_tire_la_langue_les_yeux_plissés";"-0.246323743595084";"3.16107784616573";"0.818182249626461";"528"
"230";"emji_coeur_brisé";"2.41226391010979";"-0.172173292161433";"0.817139475230604";"538"
"231";"douceur";"2.34592025303588";"-0.321548371428574";"0.816662803538032";"541"
"232";"emji_visage_qui_pleure";"0.797977885698378";"-0.281014479655062";"0.816265210005179";"544"
"233";"emji_biceps_contracté";"2.29114454242936";"-0.0693542397730759";"0.816102427943807";"545"
"234";"emji_coeur_grandissant";"3.16660824475527";"-0.177923641495269";"0.815515399265108";"548"
"235";"benetton";"-0.596953847239796";"3.41313701300564";"0.815066702297562";"554"
"236";"emji_singe_ne_rien_voir";"-0.216765878531973";"2.32320249312974";"0.81434662846992";"558"
