"";"";"";"";"*postComments_1700";""
"1";"*postComments_1700";"-0.165604052506457";"-0.417512985935412";"1.3826968457997";"21"
"2";"*commentDate_9-4-2023";"-0.837210442469347";"-0.345918376794982";"1.35573669231772";"23"
"3";"*postReposts_20";"-0.182528537373833";"-0.363678747265324";"1.33915772819989";"24"
"4";"*commentDate_1-4-2025";"0.509247779746131";"-0.611052046178166";"1.21642978593142";"26"
"5";"*postDate_31-8-2025";"1.03974928349623";"-0.667184747345588";"1.13167129880797";"31"
"6";"*postLikes_22500";"-0.558151106191077";"-0.570176624632013";"1.0923902758372";"36"
"7";"*postDate_29-9-2025";"-0.558151106191077";"-0.570176624632013";"1.0923902758372";"39"
"8";"*a_0823";"-0.608532611234224";"-0.00909385984449999";"1.05463419217375";"42"
"9";"*postLikes_47700";"-0.608532611234224";"-0.00909385984449999";"1.05463419217375";"43"
"10";"*postDate_26-3-2025";"-0.608532611234224";"-0.00909385984449999";"1.05463419217375";"46"
"11";"*commentDate_11-4-2023";"-0.836464168629888";"-0.351803436845603";"1.04964530022034";"47"
"12";"*postComments_2900";"0.356166476009568";"-0.268049041603129";"0.97677527194256";"52"
"13";"*postReposts_86";"0.356166476009568";"-0.268049041603129";"0.97677527194256";"53"
"14";"*postDate_20-10-2024";"0.356166476009568";"-0.268049041603129";"0.97677527194256";"54"
"15";"*commentDate_14-4-2023";"-0.740152637736028";"-0.0708974481886313";"0.95535544233666";"58"
"16";"*postReposts_4900";"0.625606519156588";"-0.0424997290555314";"0.949429382829051";"63"
"17";"*postComments_197";"-0.511636420861024";"-0.203684952389428";"0.928015887689011";"66"
"18";"*postDate_10-2-2025";"-0.511636420861024";"-0.203684952389428";"0.928015887689011";"67"
"19";"*a_0981";"-0.122584847957197";"-0.621309169968316";"0.926553959647331";"68"
"20";"*postComments_397";"-0.122584847957197";"-0.621309169968316";"0.926553959647331";"70"
"21";"*postReposts_288";"-0.122584847957197";"-0.621309169968316";"0.926553959647331";"71"
"22";"*postDate_3-12-2025";"-0.122584847957197";"-0.621309169968316";"0.926553959647331";"72"
"23";"*commentDate_13-3-2025";"-0.0605304172312012";"-0.196068892784745";"0.91884791523333";"74"
"24";"*commentDate_14-3-2025";"-0.149731248089211";"-0.470650038614875";"0.913865691138719";"75"
"25";"*a_0767";"0.62554615282402";"-0.510262491705657";"0.904378661639505";"79"
"26";"*postLikes_59400";"0.62554615282402";"-0.510262491705657";"0.904378661639505";"80"
"27";"*postDate_23-12-2024";"0.62554615282402";"-0.510262491705657";"0.904378661639505";"81"
"28";"*commentDate_31-3-2025";"0.316761313105964";"-0.304545197162016";"0.895933151684695";"90"
"29";"*commentDate_15-4-2023";"-0.831899908994197";"0.0406038906532754";"0.884480437411537";"91"
"30";"*postLikes_115000";"1.42086423604303";"-0.314305925088344";"0.883316562658172";"93"
"31";"*postComments_973";"1.42086423604303";"-0.314305925088344";"0.883316562658172";"94"
"32";"*postDate_23-2-2025";"1.42086423604303";"-0.314305925088344";"0.883316562658172";"95"
"33";"-*kag_ny";"-1.12127522880002";"-0.455527566096566";"0.880862123834261";"96"
