"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;5;5;8;10;12;15;16;18;21;21;21;21;21;21;21;21;37;37;37;43;43;43;43;43;52;54;54;54;54;54;54;54;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69
"2";2;5;5;8;10;12;15;16;18;21;21;21;21;21;21;21;21;37;37;37;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"3";2;5;5;8;10;12;15;16;18;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32;50;50;50;50;50;50;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63
"4";2;5;5;8;10;12;15;16;18;21;21;21;21;21;21;21;21;37;37;37;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"5";2;5;5;8;10;12;15;16;18;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32;50;50;50;50;50;50;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62
"6";2;5;5;8;10;12;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;78;78;83;83;83;89;89;93;93;93;93
"7";2;5;5;8;10;12;15;16;18;21;21;21;21;21;21;21;21;37;37;37;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"8";2;5;5;8;10;12;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;78;78;83;83;83;89;89;93;93;93;93
"9";2;5;5;8;10;12;15;16;18;21;21;21;21;21;21;21;21;37;37;37;43;43;43;43;43;52;54;54;54;54;54;54;54;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69
"10";2;5;5;8;10;12;15;16;18;20;20;20;20;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;73;73;73;73;73;73;84;84;84;84;84;84;84;84
"11";2;5;5;8;10;12;15;16;18;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51
"12";2;5;5;8;10;12;15;16;18;21;21;21;21;21;21;21;21;37;37;37;43;43;43;43;43;52;54;54;54;54;54;54;54;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68
"13";2;5;5;8;10;12;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;78;78;83;83;83;89;89;93;93;93;93
"14";2;4;6;6;6;6;6;6;6;6;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23
"15";2;5;5;8;10;12;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;78;78;83;83;83;89;89;93;93;93;93
