suisse;18;3;25;4;17;15;10;10;21;18;12;9;15;7;12;5;12;47;15;57;16;48
emji_drapeau_suisse;25;2;15;1;1;2;0;4;9;23;12;21;2;20;6;12;8;0;0;37;10;48
année;1;9;3;3;15;6;13;9;2;8;4;0;16;6;13;2;2;11;10;24;5;9
premier;7;5;1;0;4;2;2;4;7;3;6;21;0;5;13;2;4;5;9;8;11;12
émission;0;3;1;3;8;5;1;1;2;1;2;0;6;2;1;1;2;59;10;2;1;1
genève;2;0;4;4;4;7;2;1;7;9;4;1;4;2;2;6;4;3;6;4;10;14
petit;1;3;0;8;25;7;21;2;3;1;0;0;20;4;0;0;1;8;1;0;4;1
jeune;0;0;0;3;15;16;1;9;1;0;3;3;8;0;1;2;1;17;3;7;7;6
grand;3;0;5;5;5;4;8;6;10;5;6;4;10;3;7;1;1;5;1;2;3;8
retrouver;0;2;1;1;0;3;0;2;4;0;0;0;4;1;0;0;1;47;15;2;1;0
monde;13;0;2;1;4;2;6;8;23;2;1;0;1;2;4;1;3;5;4;2;2;2
rts;1;1;1;0;2;2;0;0;1;1;3;1;1;1;1;3;4;47;13;3;3;3
jour;4;4;2;2;1;1;7;0;5;1;10;6;2;6;3;5;2;2;0;2;3;4
femme;0;0;1;1;2;5;4;0;2;0;2;3;3;0;2;0;4;4;1;12;4;7
vie;1;0;1;2;2;7;20;2;5;0;0;2;8;0;2;1;3;10;5;2;5;1
enfant;0;0;0;13;7;2;3;3;1;1;0;5;0;0;1;2;12;7;0;5;7;2
miracle;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;44;1;0;1;0
archive;1;1;0;0;2;1;1;2;2;0;0;0;0;0;0;2;0;49;16;1;1;0
annoncer;3;0;4;0;0;0;0;1;2;2;17;7;1;4;7;3;14;0;1;1;3;3
samedi;2;0;3;0;0;0;0;0;1;2;3;1;0;5;2;10;3;44;1;0;0;1
mettre;0;2;4;1;3;0;1;2;2;5;10;4;4;1;1;4;3;2;1;2;6;5
lausanne;1;0;7;2;2;4;0;1;1;2;1;1;5;1;4;4;0;4;2;2;4;2
aller;4;0;5;1;8;4;1;6;0;4;3;1;3;1;3;0;1;1;0;0;2;8
pays;0;0;0;0;3;3;1;2;1;2;7;19;0;4;2;1;6;5;0;1;1;3
conseil;0;3;0;1;0;0;1;1;2;2;9;13;2;0;1;0;1;1;0;2;3;22
dernier;3;0;5;0;0;1;2;3;4;4;4;4;1;5;2;1;8;1;0;7;0;9
unir;6;0;0;0;0;0;0;1;2;0;39;1;0;1;5;2;3;0;0;0;1;1
prendre;2;2;1;0;3;1;12;1;7;2;2;4;1;2;0;2;4;3;4;6;3;3
heure;1;2;0;7;3;0;3;3;10;6;2;1;1;2;0;4;1;1;2;2;4;6
public;0;0;6;0;3;0;2;3;5;1;7;2;4;2;4;2;3;0;6;4;5;3
nouveau;4;0;1;1;1;2;1;4;0;4;1;5;4;5;4;0;3;0;1;5;8;6
homme;0;0;0;0;2;7;6;0;0;1;2;1;5;0;1;7;0;4;0;6;3;1
fin;3;4;1;1;4;3;1;0;2;5;6;7;4;4;3;3;2;1;1;5;1;3
passer;1;1;3;7;2;5;1;2;2;7;3;1;2;1;0;0;0;3;2;3;3;5
temps;1;1;3;2;7;4;2;1;1;2;0;2;0;0;0;0;1;8;1;0;3;5
novembre;2;0;3;0;0;0;0;2;2;2;2;5;0;10;7;2;3;0;2;5;1;6
noël;0;9;5;5;0;0;1;6;5;2;0;0;0;6;4;0;0;2;0;0;4;0
fédéral;0;2;1;0;1;1;0;1;1;3;6;7;1;0;1;1;1;0;1;16;2;13
canton;0;0;2;0;1;0;1;0;1;6;1;3;2;3;1;2;3;1;2;6;3;22
face;6;4;2;0;3;0;1;0;1;6;1;5;0;1;2;3;5;1;0;6;9;2
franc;0;1;6;0;1;0;1;1;1;3;0;0;0;2;1;4;4;0;0;5;0;15
décembre;1;3;1;0;3;1;0;0;0;4;3;0;0;6;10;2;1;2;1;3;3;5
devenir;0;1;5;0;2;4;3;9;4;1;0;9;0;2;6;0;1;4;2;0;0;1
partir;1;0;0;0;0;0;1;0;2;1;3;6;1;2;2;0;0;2;3;1;3;7
ville;1;0;12;3;2;0;2;1;3;3;1;2;0;6;2;1;3;0;2;3;1;2
notamment;1;0;2;0;0;2;1;3;0;0;2;4;0;2;5;2;1;0;0;4;11;6
mondial;5;1;1;0;4;1;0;1;5;1;1;0;1;1;11;1;0;1;2;1;0;1
jeudi;7;0;0;0;0;0;0;0;2;2;3;7;0;2;4;2;7;0;1;0;3;2
romand;0;0;0;1;0;4;0;2;5;3;0;0;4;2;0;2;0;4;8;3;1;2
fête;0;21;2;0;5;0;1;3;4;2;0;0;4;0;0;1;0;2;3;2;1;0
connaître;0;1;0;5;7;2;0;3;5;6;2;0;1;4;5;0;1;4;1;4;3;0
travail;0;0;8;0;3;1;2;1;1;0;3;2;1;0;2;0;0;2;1;3;1;8
national;0;1;2;0;3;0;1;1;1;3;4;6;1;1;1;0;1;1;1;5;2;13
lundi;2;0;1;0;1;1;0;1;0;2;5;2;3;3;2;11;5;1;0;1;1;4
lancer;1;2;2;0;1;1;0;4;4;5;0;3;2;1;3;2;5;2;0;2;4;3
dimanche;3;0;3;0;0;0;0;0;3;1;3;6;0;4;3;9;6;0;0;1;1;4
vaudois;0;2;0;3;1;1;3;1;10;1;0;4;1;0;1;1;0;3;1;1;2;1
révéler;0;0;0;0;0;1;1;2;0;0;0;0;0;3;1;1;0;0;0;16;20;1
permettre;1;1;5;0;0;1;3;1;1;5;1;3;2;3;1;1;0;0;0;1;11;7
voir;0;0;2;0;0;4;3;0;9;0;0;2;5;0;2;2;0;1;0;3;7;1
viser;0;0;5;0;0;0;1;1;0;7;9;6;0;1;0;1;6;0;0;5;1;5
rester;1;1;1;1;3;1;0;2;1;0;4;1;1;3;0;3;3;2;0;6;4;1
rencontre;0;0;0;2;1;4;13;5;1;1;5;1;3;0;0;0;3;2;3;0;0;0
près_de;0;1;5;1;0;0;0;0;1;0;2;3;3;2;2;5;2;2;2;13;1;0
place;2;0;5;1;2;4;0;1;4;5;0;6;1;0;1;2;0;0;0;0;1;0
diffuser;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;43;1;0;1;0
santé;0;0;0;1;1;0;2;0;0;0;4;1;1;0;2;0;1;2;0;4;12;1
projet;0;0;12;0;0;0;1;1;1;5;3;4;0;1;7;0;1;1;0;0;5;5
prix;1;0;10;0;1;2;0;0;1;0;3;2;2;1;3;0;0;0;1;2;4;0
nombreux;0;0;1;0;11;1;0;1;0;0;1;2;4;2;1;1;2;2;4;2;3;1
service;0;0;6;0;1;1;1;0;0;1;1;2;0;2;2;3;1;1;1;1;1;13
mort;0;0;0;0;1;2;2;0;1;1;8;4;0;1;2;7;5;0;3;4;0;1
mois;2;3;1;0;0;1;0;0;0;5;1;3;2;7;0;1;5;0;0;7;1;3
lien;0;0;0;0;1;0;0;1;2;1;0;0;0;1;1;0;0;14;28;0;0;0
état;5;0;0;1;0;3;0;1;1;0;10;4;0;1;2;2;6;1;0;1;1;3
suivre;0;5;2;2;1;0;0;1;2;1;3;2;3;0;1;0;0;5;3;3;2;5
semaine;0;3;0;0;1;0;1;1;1;10;1;6;2;4;0;0;3;0;0;1;1;2
nouvelle;1;2;4;1;0;3;1;1;0;8;1;1;0;5;5;1;1;0;2;4;6;0
français;0;0;0;0;1;9;0;0;4;1;1;6;2;1;2;0;1;1;1;1;3;1
vendredi;4;0;0;0;0;1;0;1;0;4;4;3;0;3;5;3;6;0;0;1;3;4
bio;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;14;29;0;0;0
beau;2;7;0;0;2;3;3;2;6;0;0;0;2;0;0;0;1;3;0;1;0;0
américain;2;0;1;1;0;0;0;1;0;0;26;0;1;1;2;0;2;2;2;1;0;0
question;0;0;0;10;13;0;0;1;0;0;0;3;1;0;0;0;0;2;1;1;3;1
président;0;0;0;0;0;0;0;0;1;0;15;15;0;0;3;1;2;1;0;1;0;1
aimer;1;2;0;2;1;1;16;0;1;0;0;0;0;0;0;0;0;1;5;0;0;0
proposer;1;6;4;0;2;0;1;4;3;3;1;1;0;0;0;0;0;1;3;4;2;3
offrir;0;2;8;0;1;0;0;3;1;5;1;0;3;5;5;0;0;0;0;1;6;1
mardi;1;0;2;0;0;0;0;0;0;1;6;5;0;0;0;3;6;0;0;3;2;3
journée;0;2;3;0;11;1;1;1;0;0;2;1;2;2;0;0;0;1;1;0;1;7
fois;1;0;1;0;0;2;1;0;3;4;3;5;1;3;3;0;0;5;2;1;1;1
atteindre;0;0;0;0;0;1;1;0;0;1;0;2;2;15;4;0;0;0;1;8;3;1
âge;0;0;0;1;6;1;3;2;4;0;3;2;1;0;6;1;0;0;2;1;3;0
présenter;0;0;0;0;0;0;0;1;2;7;4;1;10;1;1;0;0;5;3;2;3;1
début;1;0;0;0;2;1;8;0;2;1;1;0;2;3;2;0;2;0;3;3;4;2
clip;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;43;0;0;0;0
équipe;5;0;5;2;2;2;1;0;4;2;1;0;0;0;0;0;1;0;2;0;2;0
social;0;0;1;0;0;3;0;3;0;0;2;1;0;0;0;1;1;0;0;3;14;1
ski;5;0;5;0;2;0;1;0;2;0;0;1;13;1;0;0;0;0;0;1;0;0
prévoir;1;0;6;0;0;1;0;0;0;0;7;0;0;4;5;1;2;1;0;3;0;4
jeu;1;0;1;9;3;1;0;4;2;0;0;1;0;0;3;0;0;1;1;0;3;0
initiative;0;0;1;0;0;0;0;0;0;5;0;6;0;2;1;1;0;0;0;1;0;17
europe;2;0;0;0;1;0;0;0;2;5;1;4;0;1;2;1;3;0;0;1;4;2
