"";"V1"
"639";5
"640";7
"641";5
"642";5
"643";18
"644";10
"645";8
"646";0
"647";5
"648";9
"649";5
"650";2
"651";9
"652";0
"653";7
"654";9
"655";18
"656";2
"657";2
"658";0
"659";4
"660";18
"661";6
"662";2
"663";7
"664";0
"665";7
"666";5
"667";19
"668";13
"669";13
"670";18
"671";0
"672";5
"673";0
"674";0
"675";0
"676";0
"677";4
"678";0
"679";2
"680";2
"681";13
"682";9
"683";6
"684";13
"685";2
"686";5
"687";0
"688";0
"689";8
"690";4
"691";7
"692";6
"693";6
"694";13
"695";13
"696";19
"697";7
"698";2
"699";7
"700";5
"701";4
"702";9
"703";2
"704";0
"705";0
"706";16
"707";13
"708";9
"709";5
"710";5
"711";9
"712";13
"713";6
"714";0
"715";19
"716";13
"717";6
"718";2
"719";0
"720";2
"721";9
"722";13
"723";10
"724";0
"725";5
"726";4
"727";0
"728";7
"729";0
"730";18
"731";13
"732";7
"733";0
"734";15
"735";18
"736";0
"737";7
"738";7
"739";18
"740";2
"741";13
"742";2
"743";13
"744";18
"745";0
"746";0
"747";6
"748";18
"749";0
"750";7
"751";0
"752";18
"753";0
"754";19
"755";6
"756";18
"757";0
"758";0
"759";9
"760";18
"761";0
"762";2
"763";21
"764";2
"765";1
"766";18
"767";0
"768";2
"769";19
"770";0
"771";18
"772";13
"773";0
"774";5
"775";6
"776";9
"777";8
"778";5
"779";5
"780";0
"781";7
"782";6
"783";0
"784";0
"785";7
"786";7
"787";13
"788";18
"789";6
"790";16
"791";11
"792";6
"793";7
"794";22
"795";13
"796";13
"797";7
"798";8
"799";0
"800";22
"801";8
"802";5
"803";2
"804";0
"805";13
"806";0
"807";0
"808";12
"809";13
"810";6
"811";7
"812";13
"813";22
"814";1
"815";13
"816";0
"817";4
"818";6
"819";10
"820";7
"821";5
"822";13
"823";22
"824";13
"825";5
"826";9
"827";5
"828";0
"829";2
"830";13
"831";8
"832";4
"833";6
"834";5
"835";7
"836";13
"837";5
"838";13
"839";5
"840";5
"841";7
"842";0
"843";3
"844";13
"845";5
"846";19
"847";3
"848";9
"849";9
"850";0
"851";13
"852";5
"853";15
"854";13
"855";7
"856";0
"857";5
"858";0
"859";5
"860";7
"861";0
"862";2
"863";0
"864";6
"865";0
"866";0
"867";4
"868";0
"869";2
"870";3
"871";0
"872";13
"873";5
"874";2
"875";0
"876";13
"877";0
"878";2
"879";6
"880";22
"881";13
"882";7
"883";7
"884";21
"885";0
"886";5
"887";7
"888";5
"889";9
"890";1
"891";0
"892";22
"893";0
"894";5
"895";0
"896";0
"897";7
"898";0
"899";19
"900";0
"901";2
"902";9
"903";8
"904";5
"905";5
"906";18
"907";0
"908";5
"909";9
"910";9
"911";13
"912";9
"913";5
"914";5
"915";2
"916";9
"917";9
"918";7
"919";5
"920";6
"921";9
"922";5
"923";18
"924";7
"925";7
"926";9
"927";5
"928";6
"929";4
"930";2
"931";13
"932";9
"933";17
"934";5
"935";14
"936";6
"937";4
"938";6
"939";9
"940";0
"941";6
"942";0
"943";6
"944";4
"945";5
"946";4
"947";7
"948";13
"949";0
"950";0
"951";15
"952";0
"953";2
"954";0
"955";19
"956";4
"957";0
"958";7
"959";5
"960";13
"961";5
"962";13
"963";0
"964";10
"965";9
"966";0
"967";0
"968";6
"969";6
"970";13
"971";13
"972";0
"973";0
"974";18
"975";6
"976";0
"977";0
"978";13
"979";6
"980";5
"981";19
"982";2
"983";0
"984";0
"985";5
"986";9
"987";12
"988";19
"989";9
"990";0
"991";14
"992";11
"993";12
"994";19
"995";3
"996";0
"997";20
"998";15
"999";15
"1000";10
"1001";10
"1002";11
"1003";16
"1004";1
"1005";21
"1006";11
"1007";9
"1008";17
"1009";16
"1010";0
"1011";11
"1012";16
"1013";20
"1014";12
"1015";11
"1016";1
"1017";12
"1018";15
"1019";20
"1020";15
"1021";15
"1022";14
"1023";20
"1024";13
"1025";17
"1026";3
"1027";21
"1028";15
"1029";12
"1030";17
"1031";10
"1032";20
"1033";10
"1034";22
"1035";10
"1036";15
"1037";16
