"";"";"";"";"territoire";""
"1";"territoire";"-2.02518031594445";"2.64871924455325";"1.12848387322466";"61"
"2";"emji_drapeau_suisse";"-0.721572884853565";"-0.527808291939329";"1.08655052589846";"93"
"3";"emji_voiture_de_police_de_face";"-1.2939333267612";"1.21481799432788";"1.07985750600527";"97"
"4";"découverte";"-0.259997503848145";"-1.15294857345917";"1.03736747592061";"127"
"5";"climatique";"-0.499077578895034";"-1.16962892051694";"1.03629772149537";"128"
"6";"hausse";"-0.820975713336438";"-0.497448652107362";"1.02783716971011";"136"
"7";"précédent";"-0.508290632412971";"-0.79113728935619";"1.02668532381819";"138"
"8";"qualification";"-0.401945245399825";"-3.29865505538846";"1.02604141887637";"141"
"9";"copper";"-0.401945245399825";"-3.29865505538846";"1.02604141887637";"146"
"10";"domestique";"-0.772985368027619";"-0.533763089339696";"1.02506145199282";"148"
"11";"dollar";"-0.544795154825886";"-1.21034691955169";"1.02498192588447";"149"
"12";"emji_trophée";"-0.500591967799205";"-0.940223428498881";"1.02498192588447";"150"
"13";"distinction";"-0.563927179842045";"-0.915650368227964";"1.01732689661606";"161"
"14";"présidence";"-1.8279419480493";"0.906648786317154";"1.015582452949";"162"
"15";"suffrage";"-1.8279419480493";"0.906648786317154";"1.015582452949";"163"
"16";"emji_drapeau_soudan";"-2.24393383723156";"3.11141344908236";"1.015582452949";"167"
"17";"recherche";"-0.395580135147556";"-0.42505357964459";"1.01309662072343";"171"
"18";"accuser";"-2.04900365413635";"2.11327573688525";"1.01294782994006";"173"
"19";"oscar";"-0.256768291782022";"-1.39010675226573";"1.01230392499825";"175"
"20";"douane";"-1.96506077506326";"1.47346124490199";"1.01076984071457";"179"
"21";"salaire";"-0.900640732888911";"-0.307730002293313";"1.00036731267054";"185"
"22";"aéroport";"0.22768666024671";"-0.755335556109866";"0.998415074978428";"192"
"23";"prévention";"-0.517729552043578";"-0.47761730048914";"0.994921056927634";"197"
"24";"hébergement";"-0.382256192715948";"-0.941937257171937";"0.993284358310595";"203"
"25";"glacier";"0.166335263899792";"-1.67117102969199";"0.991842626926934";"206"
"26";"capturer";"-0.252488951858063";"-1.6057025137142";"0.991842626926934";"207"
"27";"victime";"-0.935988853807907";"0.129827175782867";"0.991773362251918";"208"
"28";"célèbre";"0.354701238548584";"-0.881290220246029";"0.991031973693416";"209"
"29";"interpeller";"-1.29175654966878";"1.5576097096076";"0.989813428484806";"211"
"30";"vraisemblablement";"-1.29175654966878";"1.5576097096076";"0.989813428484806";"212"
"31";"contenu";"-1.29175654966878";"1.5576097096076";"0.989813428484806";"213"
"32";"franc";"-0.676418903020561";"-0.102442568855905";"0.987432775950932";"214"
"33";"emji_drapeau_brésil";"-1.6006359511347";"0.793870078836239";"0.985172695258751";"218"
"34";"précipitation";"-0.251419116877073";"-1.65960145407632";"0.983215326849973";"221"
"35";"nombre";"-0.670797910371967";"-0.652352760566891";"0.98123487021619";"222"
"36";"université";"-0.643523579418924";"-0.439664124169517";"0.976586440915133";"227"
"37";"association";"-0.571224674149694";"-0.689426664509671";"0.973915902889526";"231"
"38";"emji_drapeau_ukraine";"-2.06218877822164";"1.96316393686199";"0.973587537022785";"232"
"39";"cop30";"-1.61695063204496";"0.618566411185784";"0.967738520021456";"237"
"40";"refus";"-1.53880479698263";"0.536931577619336";"0.967738520021456";"238"
"41";"législatif";"-1.61695063204496";"0.618566411185784";"0.967738520021456";"239"
"42";"démission";"-1.66401636851836";"0.692447706659228";"0.967738520021456";"240"
"43";"service";"-0.545120647205704";"0.0118489956739391";"0.967115137946314";"242"
"44";"ambitieux";"-0.427364881435381";"-0.843433816717469";"0.966763683854568";"244"
"45";"martin";"0.78720351968025";"-0.783386856118032";"0.964934583362485";"245"
"46";"commerce";"-0.954744668524684";"-0.142414320794334";"0.964934583362485";"246"
"47";"prix";"-0.260218176703896";"-0.592364712117467";"0.964336854870683";"252"
"48";"guerre";"-1.43033118806162";"1.5723595271105";"0.964285547704004";"253"
"49";"monde";"0.679647052961636";"-0.832861489245889";"0.963900743953917";"254"
"50";"saison";"0.633595827262514";"-1.44581819993935";"0.961425173161688";"258"
"51";"lecornu";"-1.8279419480493";"0.906648786317154";"0.960642738869843";"260"
"52";"centriste";"-1.8279419480493";"0.906648786317154";"0.960642738869843";"262"
"53";"bulletin";"-1.8279419480493";"0.906648786317154";"0.960642738869843";"263"
"54";"chancellerie";"-1.8279419480493";"0.906648786317154";"0.960642738869843";"264"
"55";"oms";"-2.24393383723156";"3.11141344908236";"0.960642738869843";"265"
"56";"paramilitaire";"-2.24393383723156";"3.11141344908236";"0.960642738869843";"268"
"57";"utiliser";"-0.802258878747294";"-0.0324800229492501";"0.96049651344481";"270"
"58";"humain";"-0.532576992945669";"-0.600428061157979";"0.96049651344481";"271"
"59";"légendaire";"0.665595655160278";"-0.610678038875152";"0.960016791436368";"273"
"60";"situation";"-1.15535115032592";"1.43904522832818";"0.959488327619581";"274"
"61";"projet";"-0.565919490884674";"-0.402379821825635";"0.958813638377761";"275"
"62";"député";"-1.56306421282066";"0.554426514913554";"0.95851862216936";"277"
"63";"parmelin";"-1.6994901590391";"0.757050035405223";"0.95851862216936";"278"
"64";"animation";"-0.256768291782022";"-1.39010675226573";"0.958185125585951";"280"
"65";"exploit";"1.42256038828735";"-0.99562200152007";"0.957058933277362";"282"
"66";"emji_vague";"-0.5043744591171";"-0.98546523775928";"0.955968655985447";"283"
