"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"raconter";0,018;-1,076;-1,076;-1,095;0,091;-0,005;4,224;-0,98;0,081;-0,903;-0,058;-1,289;0,073;-1,133;-1,309;-1,095;-1,289;27,847;28,45;-1,546;-1,787;-0,124
"neige";-0,611;-0,713;-0,713;-0,726;-1,171;0,122;-1,104;0,245;-0,01;0,333;-0,893;-0,854;33,687;58,407;-0,867;-0,726;-0,854;-0,893;-0,662;-1,024;-1,184;-0,998
"haut";0,066;-0,954;0,011;-0,971;-1,567;1,225;2,084;6,02;0,211;0,077;-1,196;-1,144;-1,603;1,225;-0,008;-0,971;-1,144;7,866;0,031;0,438;-0,16;-1,336
"art";-0,68;-0,793;0,085;0,075;-1,302;-0,836;-0,019;8,146;0,537;0,217;0,005;-0,95;-0,048;1,943;11,154;-0,807;-0,95;0,005;-0,736;-1,14;-0,043;-0,002
"vivre";-0,784;-0,914;0,022;-0,93;0,29;0,009;26,483;1,94;-0,126;-0,767;-1,145;-1,095;-1,535;-0,963;-1,112;-0,93;-0,001;15,254;0,049;-1,313;-0,126;-0,034
"venir";-0,922;-1,076;1,005;-0,001;-0,264;-1,133;-0,206;-0,98;12,457;0,024;-0,058;-1,289;45,24;-1,133;-0,045;-1,095;-1,289;-0,058;0,003;-1,546;-1,787;-0,124
"vacance";-0,543;-0,633;3,403;-0,644;-1,039;3,099;1,382;0,384;1,154;-0,531;-0,793;-0,758;17,571;-0,667;-0,77;-0,644;0,118;0,09;-0,588;-0,909;-1,051;-0,886
"record";1,514;-1,076;0;-1,095;-0,264;-1,133;-1,666;-0,98;3,638;-0,903;-0,058;-1,289;-0,289;79,034;0,519;0,954;-0,039;-0,058;-0,999;-1,546;-1,787;-0,124
"musique";-0,749;0,037;-0,873;-0,889;-0,088;-0,921;-1,353;94,284;-1,451;-0,733;-0,001;-1,047;35,155;1,544;-1,063;-0,889;-1,047;-1,095;-0,811;-1,255;-1,451;-1,223
"genevois";0,12;-0,873;5,999;0,031;-0,088;1,544;28,228;-0,795;-1,451;0,135;-1,095;1,108;-1,467;0,02;-1,063;-0,889;0;-1,095;-0,811;-1,255;-0,095;-0,019
"désormais";-0,887;0;0;-1,054;-1,7;0,968;-1,603;-0,943;-1,719;1,747;12,572;-0,025;-1,739;0,968;-0,03;4,264;0,637;-0,041;0,009;-0,115;1,363;-1,449
"cas";-0,818;0,011;1,403;-0,971;9,404;-1,006;-1,478;-0,869;-1,585;-0,801;-1,196;-1,144;0,197;-1,006;-1,161;-0,971;-1,144;-1,196;-0,886;50,067;-0,16;6,515
"artiste";-0,922;-1,076;-1,076;-0,001;-1,766;-0,005;-0,206;93,339;-1,787;0,024;-1,348;-1,289;-1,807;0,858;52,492;-1,095;-0,039;-1,348;-0,999;-1,546;-0,276;-1,506
"affaire";-0,68;-0,793;-0,793;-0,807;-1,302;-0,836;3,243;-0,722;-1,317;-0,666;1,289;1,442;-0,048;-0,836;-0,965;-0,807;5,239;-0,994;0,134;15,56;-0,043;0,95
"violence";-0,714;-0,833;0,058;-0,848;-0,061;-0,878;-0,036;-0,759;-1,384;0,173;-1,044;1,265;-1,4;-0,878;0,002;6,316;1,265;-1,044;-0,774;45,354;-0,067;-1,167
"réponse";-0,887;0;-1,035;68,023;13,53;-1,091;-0,171;0,013;-1,719;0,038;-1,297;-1,241;-1,739;-1,091;-1,259;0;-1,241;-1,297;-0,961;0,294;3,974;-1,449
"remporter";58,224;-1,116;-1,116;-1,136;-1,833;-1,176;-1,728;-1,016;3,331;-0,937;-1,399;38,673;-1,875;-0,011;11,647;-0,005;-0,055;-1,399;-1,036;-1,604;-1,854;-1,563
