ton;61;11;92;2;11;21;91;29;14;222
surtout;71;13;71;22;43;22;149;27;22;126
toute;102;27;77;14;23;15;159;30;13;111
comment;95;7;72;5;25;23;124;22;10;145
ni;105;1;35;12;22;14;74;11;11;69
chez;60;20;128;8;37;20;112;40;12;76
vos;80;11;49;6;23;21;108;20;14;152
1;46;17;73;12;40;10;129;33;3;76
quel;90;33;71;5;16;19;96;21;13;130
mal;62;10;93;8;20;26;85;25;9;133
deux;99;11;57;22;30;21;85;30;12;86
toutes;96;33;40;20;28;25;119;28;5;86
aucun;111;6;37;8;33;24;101;25;13;104
bravo;73;162;38;2;8;16;51;7;9;77
elles;58;3;34;2;26;56;119;23;4;58
tant;78;14;43;10;37;31;106;18;8;93
chaque;55;4;47;21;41;18;117;43;5;78
quelle;77;42;70;7;12;28;83;17;12;75
ici;61;10;61;4;30;22;113;12;20;98
lui;67;24;76;3;14;21;72;14;9;101
sous;114;5;45;14;20;11;88;21;9;82
million;57;0;30;4;22;1;189;20;2;23
certains;68;8;34;11;34;17;94;25;12;94
ah;74;15;95;5;8;22;55;13;19;87
ma;18;18;74;11;13;23;76;17;11;126
aucune;86;2;35;5;15;15;93;9;12;103
3;36;7;54;15;19;22;93;29;5;63
point;47;5;29;8;34;18;80;14;10;113
maintenant;88;12;56;14;19;12;70;17;11;68
mes;17;45;57;4;17;10;65;23;4;88
autant;43;4;42;7;31;16;96;20;7;66
ailleurs;72;3;35;10;20;17;94;12;12;70
assez;27;6;51;9;18;15;102;34;6;64
pendant;69;3;49;6;14;21;100;33;2;30
ta;33;11;51;3;3;20;63;12;9;100
50;26;0;19;10;11;9;159;18;5;23
dont;76;1;26;6;18;16;82;7;6;68
plein;32;14;56;15;22;10;77;8;4;61
5;40;17;55;12;20;7;62;19;0;33
4;19;15;52;5;12;8;71;14;3;42
peut_être;37;5;42;8;6;12;76;17;9;85
souvent;25;0;18;21;20;21;91;9;7;82
enfin;52;42;44;8;15;10;49;10;9;56
10;44;3;52;8;16;5;79;24;2;33
aujourd_hui;64;5;23;5;15;17;78;14;10;54
bah;38;8;65;5;8;17;54;16;10;54
cet;47;7;29;4;13;7;81;13;5;62
force;71;19;21;7;11;9;51;10;5;66
pourtant;48;4;34;11;19;16;67;12;7;42
000;64;2;13;11;3;2;66;24;1;14
tes;24;7;36;2;9;11;55;10;8;71
quelques;32;5;26;7;21;3;63;23;3;58
plusieurs;42;2;25;6;14;9;62;11;9;53
quelque;33;2;31;4;15;8;44;1;2;92
selon;43;2;17;9;13;6;75;19;8;28
mêmes;34;0;24;3;18;11;52;15;3;51
voilà;43;6;39;1;7;10;36;7;6;55
sinon;37;5;36;4;4;7;47;10;7;59
fort;34;13;35;4;10;12;47;8;4;37
100;22;2;18;9;12;11;65;25;3;34
20;39;7;29;9;9;5;45;21;2;30
ben;37;5;45;12;14;9;29;9;6;40
loin;26;4;41;8;9;10;44;7;5;45
combien;25;4;24;7;5;9;65;23;1;27
7;97;5;22;2;9;4;28;11;0;17
quelqu_un;18;4;33;2;4;10;48;6;5;71
6;14;22;34;0;10;5;23;19;3;23
sauf;37;1;32;5;11;13;47;17;2;32
puis;32;3;17;8;15;6;48;11;8;40
ensuite;30;0;26;7;12;13;55;11;1;38
partout;41;2;25;10;14;10;36;12;6;30
ok;20;3;34;5;9;9;44;4;1;37
ainsi;43;3;5;6;8;7;46;10;5;40
certaines;17;2;15;2;16;16;60;6;5;36
hein;25;3;36;1;3;3;35;12;4;36
dommage;16;12;30;2;6;6;27;7;1;41
chacun;12;3;11;3;15;12;43;14;4;38
jusqu_à;33;4;16;9;13;4;43;6;0;17
30;7;1;20;21;13;5;42;10;2;22
plupart;27;1;9;6;11;10;34;11;4;29
vers;14;2;12;5;14;6;48;8;4;24
dès;26;0;13;6;8;8;38;10;5;25
15;8;0;27;6;8;4;40;14;1;18
2025;17;1;7;6;6;13;34;21;3;16
e;27;2;18;5;3;11;26;5;2;22
devant;34;4;28;9;4;8;14;5;5;25
vite;9;5;17;9;11;7;40;3;0;32
dessus;23;0;23;6;7;7;32;2;4;32
derrière;27;0;14;3;7;4;25;2;3;42
longtemps;18;2;13;2;21;5;37;7;1;24
celui;21;3;15;3;8;4;35;3;4;35
monsieur;26;16;16;1;5;10;13;1;2;35
attention;22;5;22;7;9;3;16;5;3;34
parfois;10;1;15;3;14;14;38;7;5;23
grâce;15;8;17;3;8;2;49;7;4;15
hors;12;1;14;5;20;7;19;10;1;37
presque;15;2;14;5;20;4;26;6;3;29
0;6;0;17;1;7;4;42;10;5;20
ouais;17;5;40;3;6;4;10;3;3;26
celle;28;2;18;3;10;8;27;4;7;15
vive;15;11;21;0;7;1;23;3;1;19
envers;27;2;8;0;2;11;25;1;2;24
lors;30;0;12;1;5;1;27;4;2;28
oh;16;10;23;2;6;4;7;4;5;25
certain;11;1;19;2;5;5;25;3;3;29
tiens;12;2;21;0;3;2;23;2;3;28
or;12;4;12;0;6;5;30;3;0;7
lorsqu;19;0;7;5;7;4;31;6;3;18
malgré;21;1;5;1;6;6;24;8;2;21
tard;8;6;19;1;4;3;25;8;0;19
lorsque;23;2;5;3;5;2;29;6;1;20
celles;18;1;6;3;4;7;30;2;2;22
puisque;17;1;9;4;3;7;25;6;2;17
2000;27;0;8;2;2;3;24;4;1;10
merde;4;3;31;0;4;3;24;6;0;16
80;11;2;14;7;8;3;25;5;2;9
tel;15;1;15;2;2;5;13;2;3;27
200;25;1;4;2;5;3;24;8;6;11
1948;37;0;2;0;0;1;0;0;0;0
environ;7;2;4;5;16;1;31;7;1;7
concernant;12;0;6;2;5;7;24;4;0;26
