"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"emji_dans_le_mille";-1,498;8,311;-0,038;-0,186;-0,377;-0,307;-0,147;-0,351;-0,185;2,002
"emji_croix_latine";18,697;-0,208;-0,822;-0,106;-0,215;-0,176;-1,006;-0,201;-0,105;-1,067
"emji_balance_à_poids";22,357;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;1,392;-0,185;-1,867
"emji_argent_dans_les_yeux_et_la_bouche";-1,284;-0,312;-0,001;-0,159;-0,323;-0,264;0,655;10,762;4,764;-1,6
"emirats";22,357;-0,364;-1,438;-0,186;-0,377;-0,307;-0,147;-0,351;-0,185;-1,867
"egalité";-1,498;-0,364;-0,038;-0,186;-0,377;48,69;-0,147;-0,351;-0,185;-0,193
"effondrement";0,578;-0,364;-1,438;-0,186;1,219;-0,307;5,985;-0,351;-0,185;-1,867
"détacher";-0,054;-0,364;-0,038;-0,186;1,219;-0,307;-0,147;1,392;-0,185;0,238
"désolant";-0,642;-0,156;0,563;-0,08;-0,161;6,317;-0,754;-0,15;-0,079;0,272
"dérisoire";-0,054;-0,364;-1,438;-0,186;7,962;-0,307;2,259;1,392;-0,185;-1,867
"déprimer";-0,054;-0,364;-1,438;-0,186;-0,377;1,765;0,313;-0,351;3,839;0,238
"dépouille";22,357;-0,364;-1,438;-0,186;-0,377;1,765;-1,761;-0,351;-0,185;-1,867
"dépeindre";1,02;1,753;-1,233;-0,159;-0,323;-0,264;-0,044;-0,301;22,687;-1,6
"démission";-1,07;-0,26;0,031;-0,133;-0,269;-0,22;0;13,644;-0,132;-0,003
"démenti";7,531;-0,364;-1,438;-0,186;1,219;-0,307;-0,147;-0,351;-0,185;-0,193
"délocalisation";-1,498;-0,364;-1,438;-0,186;-0,377;-0,307;27,841;-0,351;-0,185;-1,867
"délicat";0,578;-0,364;-1,438;-0,186;-0,377;-0,307;-0,147;-0,351;-0,185;5,486
"dégradant";0,578;-0,364;-1,438;-0,186;1,219;10,315;-1,761;1,392;-0,185;-0,193
"dégats";4,332;-0,312;-1,233;-0,159;-0,323;-0,264;0,655;1,866;-0,158;-1,6
"défensif";13,96;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;0,238
"défavorisé";-1,498;-0,364;-0,038;-0,186;-0,377;1,765;2,259;-0,351;-0,185;0,238
"déduction";-1,498;-0,364;-1,438;-0,186;-0,377;-0,307;2,259;22,327;-0,185;-0,193
"décalage";-1,498;-0,364;-1,438;-0,186;63,594;-0,307;-1,761;8,718;-0,185;-1,867
"dubaï";0,578;-0,364;-0,038;-0,186;-0,377;-0,307;0,313;1,392;3,839;-1,867
"dubai";3,07;-0,364;-1,438;3,805;-0,377;-0,307;-0,147;-0,351;-0,185;0,238
"douceur";-1,498;21,402;-1,438;-0,186;7,962;-0,307;0,313;-0,351;-0,185;-1,867
"do";-0,856;-0,208;0,179;-0,106;-0,215;-0,176;-1,006;-0,201;8,04;2,017
"djihadiste";22,357;-0,364;-0,038;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;-1,867
"dispo";-0,054;8,311;-0,038;-0,186;-0,377;-0,307;-0,147;8,718;-0,185;-1,867
"disparités";-1,498;-0,364;-1,438;-0,186;-0,377;-0,307;27,841;-0,351;-0,185;-1,867
"disparaitre";-0,054;-0,364;-1,438;-0,186;7,962;-0,307;5,985;-0,351;-0,185;-1,867
"discriminer";-1,284;-0,312;-1,233;-0,159;-0,323;2,312;-1,509;-0,301;22,687;3,025
"discernement";-1,498;-0,364;-1,438;-0,186;1,219;-0,307;-0,147;-0,351;-0,185;10,689
