"";"";"";"";"tu";""
"79";"20";"-0.0736357054502546";"0.00507786242648627";"0.834096073827405";"207"
"80";"encore";"-0.0879919400468551";"-0.0179137996587331";"0.834022212849712";"208"
"81";"mal";"-0.12060659959004";"0.133209553266358";"0.833015857028648";"212"
"82";"puisqu";"-0.276831507950506";"-0.393248261629884";"0.83222877598511";"214"
"83";"jamais";"0.0984334616009037";"0.0143818044163898";"0.832134141607442";"215"
"84";"parfois";"-0.49128943485798";"-0.285926012461524";"0.83101006985318";"231"
"85";"surtout";"-0.265101635795125";"-0.0780572566101939";"0.830901586542194";"232"
"86";"19";"-0.483900589285526";"-0.48829986807944";"0.830569212142577";"234"
"87";"dessous";"-0.577566798111363";"-0.470744009575804";"0.829805212654568";"238"
"88";"comment";"0.0761769742474993";"-0.0705814461789115";"0.829371279410623";"241"
"89";"aucun";"0.268018433754853";"-0.206933958442377";"0.829295110277377";"242"
"90";"chouette";"-0.39136896830201";"0.736618061522987";"0.828965044033313";"243"
"91";"1970";"0.277278887891173";"-0.150141863456231";"0.827986386078884";"244"
"92";"tes";"-0.209463941373617";"0.16617936754786";"0.827707099256984";"247"
"93";"néanmoins";"-0.341957035923501";"-0.00281388932776318";"0.8268438490802";"249"
"94";"quelques";"-0.320608603240101";"-0.203364639565915";"0.826813843058012";"250"
"95";"moi_même";"-0.409958506286003";"0.0293365892108374";"0.826529939925006";"253"
"96";"14";"-0.0585073266758981";"-0.205240184904031";"0.826342979325221";"254"
"97";"son";"0.0563846378060035";"0.181893572275517";"0.825285844081994";"255"
"98";"htag_hypocrisie";"-0.806580736131186";"-0.19521831469393";"0.824814980349203";"259"
"99";"2018";"-0.0696360710914363";"-0.527743598280708";"0.824595705571678";"264"
"100";"ailleurs";"0.129449697503216";"-0.236931082023397";"0.824431826527422";"267"
"101";"derrière";"0.266467723275247";"-0.184974030769313";"0.824378738949705";"268"
"102";"envers";"0.524432101921488";"-0.00885009109608032";"0.824173313105497";"273"
"103";"divers";"-0.246501297996937";"0.188635261403927";"0.824048672705641";"274"
"104";"nôtre";"-0.798994810040938";"-0.0217259389342339";"0.823743996172658";"275"
"105";"7000";"0.105001539235947";"-0.406769687474845";"0.823743996172658";"278"
"106";"sa";"0.00207321414140839";"0.35810155367546";"0.823623972083908";"280"
"107";"quelles";"0.0950997067471466";"-0.302814111292805";"0.823467017506311";"281"
"108";"voici";"-0.141710194102621";"0.121816246653376";"0.823457784884099";"282"
"109";"80";"-0.451320459455974";"-0.170636186565449";"0.82318773068441";"284"
"110";"peut_être";"-0.16596668410987";"-0.0307526072915024";"0.82262223257395";"286"
"111";"maintenant";"0.240451105408384";"0.105191222782078";"0.822608383640633";"287"
"112";"là";"0.00808430685390976";"0.0348629289513498";"0.822476818774118";"288"
"113";"tant";"-0.0259233006835822";"0.00214242775097404";"0.822444504596377";"289"
"114";"ici";"-0.101482967647347";"0.0102863071302801";"0.822331404974285";"290"
"115";"non";"0.10340520592158";"-0.0870163484720587";"0.822019803974644";"292"
"116";"certains";"-0.0719966261486901";"-0.163153524271885";"0.821728976374979";"294"
"117";"cinquante";"-0.47704173829085";"-0.535777099480389";"0.821615876752887";"295"
"118";"parce_que";"-0.102482983496499";"-0.204011459190365";"0.821500468975242";"296"
"119";"aujourd_hui";"0.197057395482777";"-0.179841072836601";"0.820669532976199";"298"
"120";"deux";"0.10147630010082";"-0.0557346290714098";"0.820496421309731";"299"
"121";"aucune";"0.319889621802064";"-0.195060642808232";"0.820459490820885";"300"
"122";"vite";"-0.574222123483461";"0.0588574460504246";"0.820207901865619";"301"
"123";"24";"0.160860442471269";"-0.622001171486662";"0.819986318932541";"302"
"124";"devant";"0.330254367910809";"0.233824938177772";"0.819157691089051";"305"
"125";"350";"-0.361044298655546";"0.0220639556271013";"0.818945340778184";"306"
"126";"66";"-0.962579887367465";"-0.372599094610126";"0.818945340778184";"307"
"127";"ben";"-0.0304545848525922";"0.12739297430766";"0.818746839400635";"308"
"128";"toutefois";"-0.518133876806798";"-0.564638291894909";"0.818536797245321";"310"
"129";"bah";"-0.122425687586127";"0.233134178474305";"0.818509099378687";"311"
"130";"tels";"0.00109647587139244";"-0.147355372530559";"0.818174416823516";"314"
"131";"18";"-0.272968254082446";"0.0128225506492359";"0.817982839912626";"316"
"132";"jusqu_à";"0.00173544356074224";"-0.177994164917562";"0.817950525734885";"317"
"133";"moindre";"-0.174278032449794";"-0.331201438768349";"0.817394260246637";"318"
"134";"91";"0.341134783954648";"-0.154470777854473";"0.81738041131332";"319"
"135";"quasi";"-1.0409886693474";"-0.621706667271706";"0.816872617091682";"324"
"136";"700";"-0.0133035640305423";"-0.150627937382999";"0.816611795514205";"325"
"137";"ceux_ci";"0.164939927346447";"-0.529462382578457";"0.816611795514205";"326"
"138";"25";"-0.387574104825936";"-0.113486959860919";"0.816415602292208";"328"
"139";"dix";"0.208431781166125";"-0.238919509421124";"0.816392520736679";"330"
"140";"lequel";"-0.37422247049806";"-0.239929857203875";"0.815584666293165";"333"
"141";"vôtre";"0.151469993507403";"0.0620529845181387";"0.815473874826626";"335"
"142";"38";"-0.64779036300169";"-0.765019348809264";"0.815434636182227";"336"
"143";"croire";"0.211045257213998";"0.107704150095857";"0.815390781226722";"339"
"144";"lors";"0.449998406178585";"-0.279467587218428";"0.815148424893668";"341"
"145";"plein";"-0.377050856243362";"0.259474220419699";"0.815148424893668";"342"
"146";"ci_dessus";"-0.120241467477622";"0.212700675827563";"0.814989162160518";"343"
"147";"siens";"-0.521297677245092";"-0.176610814660359";"0.814989162160518";"344"
"148";"1000";"-0.334471920080191";"-0.107110792054659";"0.814906068560613";"345"
"149";"27";"-0.443993501335148";"-0.312797318661557";"0.814707567183064";"346"
"150";"200";"0.360510577437829";"-0.385414831885947";"0.814354419383471";"347"
"151";"chacun";"-0.502756139357818";"-0.232409714031491";"0.814342878605706";"348"
"152";"toutes";"-0.00341402238598359";"0.324843764888933";"0.814248244228037";"349"
"153";"lendemain";"-0.0379658528895561";"0.159788881281501";"0.814033585761618";"350"
"154";"sauf";"-0.0443947504230393";"-0.246061074074819";"0.813754298939717";"351"
"155";"durant";"0.1622347581999";"-0.343649698600173";"0.813731217384188";"352"
"156";"mienne";"-0.340559039504433";"0.278403565562137";"0.813703519517554";"353"
"157";"39";"-0.123914364177342";"-0.283895025783791";"0.813687362428683";"354"
