"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"emji_visage_riant_aux_larmes";1;1;0;1;1;1;1;1;1;1
"aller";1;1;0;1;1;1;0,899;0,014;1;1
"suisse";1;1;1;1;1;1;0;1;1;1
"voir";1;1;1;1;1;1;1;1;1;0
"parler";0,008;1;1;1;0,206;0;1;1;0,403;0
"pays";0;1;1;1;1;1;0;1;0,875;1
"gens";1;1;1;1;1;1;0;1;0,064;0
"monde";1;1;1;1;1;0,662;0;1;1;0,026
"prendre";1;1;1;0;1;1;0;0;1;0,286
"enfant";0;1;1;1;1;0;0;0,036;1;1
"mettre";1;1;1;0,072;1;0,331;0,006;1;1;0
"payer";1;1;1;1;1;1;0;0;1;1
"femme";1;1;1;1;1;0;1;1;1;1
"penser";1;1;1;1;1;0,262;1;1;1;0
"comprendre";1;1;1;1;1;0,06;1;1;1;0
"passer";1;1;0,776;0,002;1;1;1;1;1;0
"problème";1;1;1;1;0;0,551;0;0,803;0,88;1
"chose";1;1;1;1;1;1;1;1;1;0
"emji_applaudissements";1;0;1;1;1;1;1;1;1;1
"temps";1;1;1;0,859;1;1;0,061;0,638;1;0
"droit";0;1;1;1;1;0;1;1;1;1
"vraiment";1;1;1;1;1;1;1;1;1;0
"arrêter";0;1;1;1;0,259;1;1;0,57;0,77;1
"rester";1;1;1;1;1;0,105;0;1;1;0,568
"vie";1;1;1;1;0,778;1;0;0,002;1;1
"police";0;1;1;0,888;1;1;1;1;1;0,093
"donner";1;1;1;1;1;0,872;0,218;0,643;1;0
"vrai";1;1;1;1;0,192;0,646;0,55;1;0,381;0
"grand";1;0,524;1;1;0;1;0;1;1;1
"venir";1;1;0;1;1;1;0,471;1;1;0,874
"travail";1;1;1;1;1;1;0;1;1;1
"homme";1;1;1;1;1;0;1;1;1;1
"jour";1;1;0;1;0,003;1;0,001;1;1;1
"trouver";1;1;1;1;1;0,136;0;0,051;1;0,192
"état";0;1;1;1;1;1;0;0,955;1;1
"vivre";1;1;1;1;1;1;0;1;1;0
"commentaire";1;1;1;1;1;0,588;1;1;0,112;0
"fois";1;1;1;1;1;1;0,012;1;1;0
"demander";0,001;1;1;1;1;0,014;0,077;0,756;1;0,453
"emji_visage_qui_pleure";1;0;1;1;1;1;1;0,175;1;1
"année";1;1;1;0,484;0,069;1;0;0;1;1
"cas";1;1;1;1;1;0,001;0;1;1;0,174
"seul";0,258;1;1;1;0,629;0,001;0;1;1;1
"riche";1;1;1;1;1;1;0;0,674;1;1
"palestinien";0;1;1;1;1;1;1;1;1;1
"israël";0;1;1;1;1;1;1;1;1;1
"emji_se_rouler_par_terre_de_rire";1;1;0;1;1;1;1;1;1;1
"question";1;1;1;1;0,505;1;1;1;1;0
"france";1;1;0;0,108;1;1;0;1;1;1
"petit";1;1;1;1;0,06;1;0;1;1;0,002
"guerre";0;1;1;1;1;1;1;1;1;1
"argent";1;1;1;1;1;1;0;0;1;1
"politique";1;1;1;1;1;1;0;1;0;0,207
"laisser";1;1;1;0,227;1;0;1;1;1;0
"sentir";1;1;1;0,453;1;0,001;0,134;1;1;0
"accord";0;1;1;1;0,959;1;0,059;1;0,307;0,509
"partir";1;1;1;1;1;1;0;1;0;1
"devenir";1;1;0,717;0,854;0,123;1;0;1;0,294;1
"besoin";1;1;1;1;0,819;0,298;0;0,225;1;1
"place";1;1;1;0;1;0,423;0;1;0,852;0,065
"hamas";0;1;1;1;1;1;1;1;1;1
"travailler";1;1;1;1;1;1;0;0,31;1;1
"français";1;1;0;0,769;1;1;0,003;1;1;0,228
"connaître";1;1;1;1;1;1;1;1;0,792;0
"peuple";0;1;1;1;1;1;1;1;0;1
"changer";1;1;1;1;0,003;1;0,629;0,305;1;0
"continuer";0;1;1;1;0;1;0,265;1;1;1
"raison";1;1;1;1;0,841;1;0,708;1;1;0
"manifestation";0;1;1;1;1;1;1;1;1;1
"etc";1;1;1;0;0,001;1;0;0;1;1
"arriver";1;1;1;1;1;1;0;0,278;1;0
"humain";0,101;1;1;1;0,001;0,698;0,001;1;1;0,194
"palestine";0;1;1;1;1;1;1;1;1;1
"plutôt";1;1;1;1;0,861;0,683;0;1;1;0
"utiliser";0,096;1;1;0,309;0,008;0,704;0,002;0,784;0,466;1
"rendre";0,037;1;1;1;1;1;0;1;1;0,047
"sujet";1;1;1;1;0,845;0,259;1;1;1;0
"gauche";1;1;1;0,305;1;1;1;1;0;1
"population";0;1;1;1;1;0,415;0;1;1;1
"cause";0,001;1;1;0,019;0,158;1;0,516;1;0;1
"part";1;1;1;1;1;1;0;1;1;0,456
"moment";1;1;1;1;1;1;1;0,767;1;0
"impôt";1;1;1;1;1;1;0;0;1;1
"exemple";1;1;1;0,005;1;0,274;0;1;1;0,745
"beau";1;0;0,18;1;1;0,42;1;1;1;0,001
"paix";0;0,148;1;1;1;1;1;1;1;1
"coup";1;1;0;0,157;1;0,003;1;0,706;0,017;1
"emji_coeur_rouge";1;0;1;1;1;1;1;1;1;1
"entreprise";1;1;1;1;0,436;1;0;0,543;1;1
"droite";1;1;1;1;1;1;1;1;0;1
"genre";1;1;1;1;1;0;1;1;0,845;0
"aimer";1;0,193;0,176;1;1;0,259;1;1;1;0
"gaza";0;1;1;1;1;1;1;1;1;1
"compte";1;1;1;1;1;1;0,001;0,874;1;0
"lire";1;1;1;1;1;0,418;1;1;1;0
"ca";1;1;0;1;1;0,352;1;0,717;1;0,003
"violence";0;1;1;1;1;0;1;1;0,01;1
"social";1;1;1;1;1;1;0;0,169;0,483;1
"société";1;1;1;1;1;0,004;0;1;0,018;1
"tellement";1;0,002;0;1;1;0,997;1;1;1;0
"manifester";0;1;1;1;1;1;1;1;1;1
"permettre";1;1;1;0,044;0,184;1;0;1;0,68;1
"niveau";1;1;1;1;0,346;0,509;0;0,876;1;0
"importer";1;1;1;1;0,209;0,086;1;1;0,13;0
"famille";1;0;1;1;1;0,404;0;0,982;1;1
"système";1;1;1;1;0,076;1;0;0,06;1;1
"article";1;1;1;1;1;1;1;1;0,781;0
"rts";0,552;1;1;1;1;1;1;1;0;0
"salaire";1;1;1;1;1;1;0;0;1;1
"exister";0,184;1;1;1;0;0,002;0,538;1;0,209;0,025
"idée";1;1;1;1;1;1;0,458;1;0;0
"aider";1;1;1;1;1;1;0;0,324;1;0,811
"loi";0;1;1;1;0,801;1;0;1;0,181;1
"armée";0;1;1;1;1;0;0,282;1;1;1
"public";1;1;1;0;1;1;0;1;1;1
"moyen";0,303;1;1;1;0,444;1;0;0;1;1
"sûr";1;1;0,253;0,762;1;1;1;1;0,746;0
"commencer";0,047;1;1;1;1;0,905;0,202;1;1;0,003
"tuer";0;1;1;1;1;0,001;1;1;1;1
"regarder";1;1;0,002;0,303;1;0,914;0,76;1;1;0
"cher";1;1;1;0;0;1;1;0;1;1
"soutenir";0;1;1;1;1;0,347;1;1;0,015;1
"partie";1;1;1;0,978;0,404;1;0;1;0,036;1
"premier";1;1;1;0,964;1;1;0,134;1;1;0
"lieu";1;1;1;1;1;1;0;1;1;0,214
"histoire";0,012;1;1;1;1;0,868;1;1;1;0
"faux";1;1;1;1;1;0,441;1;1;0;0
"sortir";1;1;0;1;1;0,732;1;0,943;1;0
"emji_visage_souriant_avec_une_goutte_de_sueur";1;1;0;1;1;1;1;1;1;1
"genève";1;1;0,015;0;1;1;0;1;1;1
"défendre";0;1;1;1;1;0,585;1;1;0,025;1
"trump";0;1;1;1;1;1;1;1;0;1
"israélien";0;1;1;1;1;1;1;1;1;1
"génocide";0;1;1;1;1;1;1;1;1;1
"perdre";1;1;1;1;1;0,852;0;0,82;0,169;0
"prix";1;1;1;0,047;0,003;1;1;0;1;1
"finir";1;1;0;1;1;1;0,01;1;1;1
"écrire";1;1;1;1;1;0,086;1;1;0,051;0
"servir";1;1;1;1;1;0,694;0;1;1;1
"attendre";1;0,681;1;1;1;1;1;0,769;1;0
"mort";0;1;1;0,431;1;1;1;1;1;1
"gouvernement";0;1;1;1;1;1;1;1;1;1
"emji_feu";1;0;1;1;1;1;1;1;1;1
"otage";0;1;1;1;1;1;1;1;1;1
"montrer";0,756;1;1;1;1;0,747;1;1;1;0
"jeune";1;1;1;1;1;0;0,121;1;0,636;0,001
"nouveau";1;1;1;0,664;0;1;0;1;0,651;1
"emji_visage_faisant_un_clin_d_oeil";1;1;0,902;0,797;1;1;1;1;0,514;0
"côté";1;1;1;0,031;1;1;1;1;0,702;0
"gros";1;1;0,746;1;0,417;0,283;0;1;1;1
"meilleur";1;0;1;1;0,004;1;0,001;1;0,331;1
"simplement";1;1;1;1;0,001;1;0;1;1;0,279
"service";1;1;1;1;1;0;0;0,026;1;1
"oublier";0,065;1;1;0,027;0,156;1;0;1;0,953;1
"revenir";1;1;1;1;0,605;1;0;0;1;1
"espérer";1;0,062;0;1;1;1;1;1;1;0,246
"réalité";1;1;1;1;0,022;0,003;0,01;1;1;0
"assurance";1;1;1;1;1;1;1;0;1;1
"agir";0;1;1;1;0,009;1;0,024;1;0,884;0,214
"ville";1;1;0;0;1;1;0,534;0,838;1;1
"créer";1;1;1;1;0,001;1;0;1;1;1
"europe";0;1;1;1;0,132;1;1;1;0,216;1
"emji_visage_en_pleine_réflexion";1;1;0,001;1;0,586;0,802;1;0,636;1;0,053
"manquer";1;1;1;1;0,673;0,357;0,001;1;0,783;0
"animal";1;0;1;0,372;0,029;0;1;1;0,362;0,043
"justice";0;1;1;1;1;1;1;1;0,48;1
"fin";0,338;1;1;1;1;1;1;0;1;0,003
"respecter";0;1;1;0;1;1;1;1;0,257;1
"pauvre";1;1;1;1;1;1;0;1;1;1
"santé";1;1;1;1;0;1;0;0;1;1
"protéger";0;1;1;0,742;0,424;0;0,082;1;1;1
"situation";0,358;1;1;1;1;1;0;1;1;0
"justement";1;1;1;1;1;0,105;0;1;0,466;0,04
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";1;0;1;1;1;1;1;1;1;1
"rapport";1;1;1;1;1;0;1;1;1;0
