être;2525;4862;4194;27846
de;1457;3192;3479;23984
avoir;1228;3208;2689;18142
la;1147;2732;2980;17752
les;780;2322;2797;16842
et;1174;2115;2938;17820
le;927;2692;2516;15255
pas;391;2134;2165;14790
c;1185;2588;1667;13147
à;742;1623;1731;12677
ne;301;1226;2044;12560
des;399;1211;2123;11433
en;500;1873;1686;11986
l;632;1710;1773;11666
que;574;1257;1654;12226
un;579;1528;1497;10029
pour;621;1117;1522;9841
d;414;847;1529;9750
qui;238;899;1550;9002
on;402;1407;987;8385
je;583;1720;575;7977
il;498;1248;1189;8296
une;543;1058;1139;7972
faire;379;1104;1128;7961
ce;529;723;1047;7382
ça;418;1384;669;6603
vous;393;567;911;5024
mais;307;1060;808;6747
qu;263;722;934;6175
plus;260;729;689;6165
dans;241;824;806;6185
du;280;807;942;5776
j;838;1475;207;4374
ils;219;544;792;4079
y;226;703;610;4310
avec;296;696;550;4263
tout;309;525;553;4306
bien;437;623;452;4173
au;198;648;632;3954
dire;213;818;491;3753
si;187;416;481;4193
sur;104;383;518;4112
se;95;507;620;3891
pouvoir;122;339;502;3855
comme;243;502;497;3575
tu;91;514;338;2908
par;65;283;713;3366
ou;75;395;455;3290
même;135;497;410;3350
s;129;355;487;2980
nous;196;299;285;2599
elle;388;388;257;2054
cette;436;250;261;2488
aussi;238;521;285;2241
quand;94;361;337;2488
non;75;366;426;2304
bon;330;356;209;2189
ces;228;187;401;2226
falloir;73;251;299;2414
oui;164;343;289;1943
savoir;95;318;244;2142
personne;149;135;335;2069
leur;50;115;313;2019
me;200;426;106;1911
rien;69;230;311;2086
vouloir;79;231;280;1977
devoir;62;190;313;2049
très;328;233;125;1758
moi;252;609;73;1472
tous;157;191;291;1727
donc;18;169;318;1831
mon;279;377;85;1563
aux;67;155;311;1740
encore;102;275;223;1698
son;150;175;211;1615
sans;42;164;257;1672
alors;36;205;246;1691
t;63;319;196;1409
merci;702;182;131;1099
toujours;137;255;177;1431
an;99;253;155;1364
trop;410;270;68;1084
quoi;41;264;197;1367
juste;59;147;162;1472
où;36;144;182;1379
sa;121;162;162;1233
déjà;55;162;143;1362
là;70;206;167;1233
votre;84;95;190;1201
moins;37;148;122;1250
autres;28;86;187;1344
jamais;62;201;185;1190
aujourd_hui;60;180;78;1310
peu;47;177;109;1241
beaucoup;136;120;71;1196
cela;34;85;150;1206
avant;63;143;148;1127
m;102;246;60;1029
pourquoi;26;153;237;940
nos;71;80;95;1109
après;32;211;141;1033
car;10;88;152;1142
toi;65;253;118;862
autre;36;123;138;1037
ma;122;262;26;904
ses;56;88;160;983
notre;76;73;124;985
leurs;26;57;189;964
mieux;56;158;69;965
quelle;314;149;87;689
contre;20;73;324;814
depuis;32;114;239;838
parce_que;7;89;151;970
quel;198;117;111;784
croire;40;159;137;799
maintenant;48;171;103;828
te;44;149;77;784
lui;74;144;83;780
chez;47;170;70;757
ceux;12;61;134;821
bravo;397;55;89;472
toute;121;84;127;728
eux;48;51;144;753
ton;22;107;75;753
2;41;123;114;692
surtout;40;90;88;786
mes;91;128;16;724
comment;37;115;113;710
entre;17;74;121;729
elles;60;61;61;635
mal;19;131;59;709
toutes;88;73;117;638
ni;3;40;117;435
deux;37;91;113;600
ah;65;188;100;503
vos;43;33;83;616
1;47;93;51;535
chaque;13;85;58;575
tant;48;33;84;557
aucun;8;37;121;515
certains;11;37;66;576
dame;238;64;10;371
ici;21;65;71;493
sous;9;76;117;412
monsieur;167;63;33;345
cet;59;66;56;438
ta;11;85;38;452
3;14;69;39;467
plein;44;58;36;440
point;7;34;46;486
autant;9;35;47;458
aucune;5;35;92;414
pendant;22;32;79;423
ailleurs;6;49;78;412
assez;15;51;40;433
peut_être;7;42;40;420
bah;8;91;47;369
50;11;34;28;372
10;14;46;42;367
madame;163;33;9;265
pourtant;11;41;56;369
dont;11;21;85;357
enfin;56;37;53;319
million;2;19;63;322
4;45;54;28;299
souvent;5;34;28;399
5;32;52;40;315
voilà;37;71;49;279
oh;150;96;19;179
ben;17;83;45;276
loin;9;49;36;313
quelques;9;31;34;343
tes;4;41;30;318
dommage;33;39;24;304
puis;13;30;41;305
fort;44;54;36;252
sinon;11;46;37;292
plusieurs;7;29;43;300
quelque;4;25;38;307
quelqu_un;17;42;21;282
force;29;20;78;238
vite;11;41;10;283
20;10;44;47;256
mêmes;8;38;40;261
ok;9;58;24;242
partout;10;41;43;250
sauf;3;41;39;266
vive;101;57;17;131
envers;13;25;34;239
hein;10;61;31;218
6;46;32;14;184
100;10;21;30;239
selon;1;16;49;239
chacun;7;15;13;266
ainsi;6;5;45;251
80;30;46;14;216
celui;12;39;31;212
longtemps;13;46;28;215
000;3;16;66;155
combien;4;23;29;222
certaines;5;12;15;259
2025;12;33;18;210
7;3;15;106;156
ensuite;1;15;33;233
30;8;36;10;217
presque;11;36;21;206
vers;5;13;14;235
parfois;4;30;11;228
devant;6;26;45;196
jusqu_à;4;26;34;197
tard;22;36;7;187
e;17;33;32;145
celle;10;36;29;168
grâce;24;17;16;187
derrière;6;35;31;168
60;16;32;10;170
dessus;1;22;27;182
dès;5;14;25;190
ouais;8;52;26;137
plupart;2;15;29;173
attention;6;17;22;166
15;4;15;9;178
70;13;31;22;150
2000;6;23;30;134
90;18;33;10;141
hors;3;10;11;173
merde;2;39;8;147
malgré;6;7;22;158
40;10;32;6;139
8;3;17;10;150
certain;7;12;13;152
0;2;24;9;133
con;12;30;8;125
or;22;12;20;108
lorsque;1;12;24;130
25;8;19;13;112
hier;21;23;20;91
tiens;4;20;14;107
autour;2;12;9;130
lors;0;7;32;115
celles;4;9;15;118
tel;3;11;18;113
lorsqu;1;2;22;117
puisque;0;6;19;117
soi;5;7;11;113
arrière;15;17;6;86
12;4;19;7;100
dehors;4;9;5;113
haha;13;34;4;77
eh;7;22;11;76
environ;3;3;8;100
trois;5;11;11;89
afin;3;1;19;91
200;4;8;26;77
ceci;5;7;16;83
9;3;7;7;90
concernant;1;2;14;95
certes;0;2;18;91
anti;0;3;17;85
durant;2;11;17;79
différents;1;13;4;90
2023;4;12;23;65
2024;6;7;9;83
dedans;0;30;5;70
16;1;11;4;85
d_abord;1;9;10;79
x;9;14;9;61
jusqu_au;4;13;9;74
14;4;19;7;67
quels;17;10;12;59
certaine;1;10;6;80
telle;7;1;12;72
moindre;0;2;8;85
ha;9;18;7;51
parmi;6;5;17;66
pardon;1;22;17;52
laquelle;2;4;9;76
1948;0;1;36;6
18;3;8;8;71
in;35;7;9;35
chouette;32;7;3;46
ouf;10;21;2;52
11;2;6;18;60
demain;1;4;10;69
gare;2;6;9;61
voire;0;5;10;66
quant;2;7;15;56
lequel;0;6;5;66
17;5;14;6;51
quasi;0;8;1;66
nul;2;10;9;51
près;3;8;4;60
cependant;0;0;8;65
quelles;5;1;11;56
ci;4;10;13;45
suivant;2;5;4;61
13;2;17;5;41
via;0;0;8;59
mille;7;9;4;44
hélas;5;5;5;51
euh;2;13;6;48
jusqu;2;8;14;40
35;1;9;3;47
davantage;2;2;3;56
45;0;6;8;49
hop;5;14;0;41
19;1;6;4;49
dessous;1;6;5;48
pseudo;3;2;11;42
pis;2;11;3;40
2026;5;6;4;42
300;1;7;6;45
24;4;9;5;36
uns;5;2;5;46
v;1;8;8;37
500;1;6;3;44
puisqu;0;2;4;49
22;1;4;12;36
o;7;7;7;31
mince;0;15;2;33
75;2;5;12;33
2022;1;2;6;38
1000;3;5;5;40
mme;3;12;4;29
eux_mêmes;0;0;6;46
tels;0;1;6;44
lendemain;0;3;3;43
g;3;5;7;31
salut;7;6;3;33
f;6;5;9;30
b;5;9;4;30
vôtre;3;4;6;34
voici;3;1;6;36
1967;4;0;6;32
1970;7;6;2;30
u;8;7;4;23
nulle;1;1;1;40
neuf;1;5;2;35
heu;1;11;3;26
tandis_que;0;1;6;35
n_est_ce_pas;2;3;5;29
demi;1;7;7;27
quatre;1;5;4;30
aïe;0;11;1;14
1980;6;4;1;28
mien;3;8;0;28
autrui;0;0;7;32
400;1;5;5;26
lui_même;0;3;9;27
ho;10;6;3;20
21;3;5;3;28
ciao;5;14;0;16
98;5;7;2;23
2016;3;6;1;24
celui_ci;0;2;7;26
2021;2;2;6;26
dix;0;2;3;30
99;0;4;5;24
39;3;2;5;26
celle_ci;0;0;5;30
mi;7;9;1;12
