"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"emji_visage_riant_aux_larmes";1;1;1;1;1;1;1;1;0;1
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";1;1;1;1;1;1;1;1;1;0
"emji_coeur_rouge";1;1;1;1;1;1;1;1;1;0
"emji_applaudissements";1;1;1;1;1;1;1;1;1;0
"voir";0,009;1;0,326;0;0,428;0;0;1;1;1
"emji_se_rouler_par_terre_de_rire";1;1;1;1;1;1;1;1;0;1
"époque";1;0,19;1;1;1;0;0;1;1;1
"aller";0,004;1;0,279;0;0,099;0,001;0,001;0,362;1;1
"beau";1;1;1;1;1;0,048;1;1;1;0
"aimer";0,001;1;1;1;1;0;1;1;0;1
"suisse";1;1;1;0;1;1;1;1;0;1
"femme";1;1;1;1;1;0;1;1;1;1
"emji_visage_qui_pleure";0,228;0,756;1;1;1;0;1;1;1;0
"parler";1;1;0;1;1;1;0;1;1;1
"emji_visage_souriant_avec_coeurs";1;1;1;1;1;1;1;1;1;0
"enfant";1;0;1;1;1;0;0;1;1;1
"homme";1;1;1;1;0;0;1;1;1;1
"vie";1;1;1;1;0,893;0;1;1;1;1
"souvenir";1;0;1;0,192;1;1;1;1;1;0
"petit";0;0,835;1;0,219;1;0;0,557;0,008;1;1
"gens";0,002;1;0,013;1;0,226;0;0;0,363;1;1
"emji_feu";1;1;1;1;1;1;1;1;1;0
"année";1;0;1;0;0,671;0,49;0;1;1;1
"emji_visage_souriant_avec_une_goutte_de_sueur";1;1;1;1;1;1;1;0,662;0;1
"temps";1;0,26;1;0;0,614;0;0;1;1;1
"tellement";1;0,658;1;1;1;0;1;1;1;0
"emji_mains_levées";1;1;1;1;1;1;1;1;1;0
"penser";0,203;1;0,879;1;0,002;0;0;1;1;1
"monde";1;1;1;0,103;0;0;0;1;1;1
"emji_mains_en_prière";1;1;1;1;1;1;1;1;1;0
"comprendre";0,832;1;0,99;1;0,01;0;0;1;1;1
"vrai";1;1;1;1;1;0;1;1;1;1
"chose";1;1;1;1;0;0;0;1;1;1
"grand";1;1;1;0,132;1;0;1;1;1;1
"passer";1;0,017;1;0;0,004;0,003;0,026;1;1;1
"français";1;1;0,007;1;1;1;0;0;0;1
"prendre";0;1;1;0;0,13;0;0,291;0;1;1
"connaître";1;0;0;1;1;0;0;0,156;1;1
"jour";0,108;0;1;0;0,534;1;1;0,011;1;1
"adorer";1;0,007;1;1;1;1;1;1;1;0
"vraiment";0,726;1;1;1;1;0,011;0;1;1;1
"emji_visage_faisant_un_clin_d_oeil";1;1;0,489;0,073;1;1;0,002;1;0;1
"changer";1;1;0;0;0,003;0;0;1;1;1
"vivre";1;1;1;1;1;0;1;1;1;1
"trouver";0,089;1;1;0,102;1;0;0;0,035;1;1
"jeune";1;1;0,418;1;1;0;0;1;1;1
"venir";0;1;0,046;0;1;0,914;1;0,123;1;1
"emji_visage_avec_bouche_ouverte";0,218;0,124;1;0,394;0,318;1;0,028;0,794;0,913;1
"mettre";0,016;0,061;0,993;0;1;0,593;0,002;0,573;1;1
"magnifique";1;1;1;1;1;1;1;1;1;0
"donner";0;1;1;0,008;0;0;0;1;1;1
"vidéo";1;1;1;0,003;1;1;0;1;1;1
"france";1;0,569;0,007;0,001;0,815;1;1;0;0,377;1
"emji_visage_qui_pleure_à_chaudes_larmes";1;1;1;1;1;1;1;1;0;1
"emji_pouce_vers_le_haut";1;1;1;1;1;1;1;1;1;0
"raison";0,005;1;0,805;1;0;0,114;0,001;1;1;0,063
"animal";0;1;1;1;1;1;1;1;1;1
"exister";0,001;0,552;0,078;1;0;0;0;0,626;1;1
"rester";0,001;1;0,023;0;0,007;0;0,299;0,207;1;1
"jouer";1;0;1;1;1;1;1;1;1;0,339
"devenir";0,056;1;1;0,002;1;0;0,001;1;1;1
"seul";0;0;1;1;0,001;0,035;0;1;1;1
"fois";1;1;1;0;0,452;0,389;0,002;0;1;1
"commentaire";1;1;0,012;1;1;1;0;1;1;1
"accent";1;1;1;1;1;1;1;1;0;1
"emji_visage_souriant_avec_yeux_rieurs";1;0,568;1;0,115;1;1;1;1;1;0
"demander";1;1;0,401;0;0;0;0,001;1;1;1
"question";1;1;0,603;1;0,014;1;0;1;1;1
"dieu";1;1;1;1;0;1;1;1;1;1
"mot";1;1;0;1;1;1;0,001;1;0,01;1
"appeler";1;1;0;1;0,998;1;1;0,269;0,718;1
"chat";0;1;1;1;1;1;1;1;1;1
