"";"";"";"";"que";""
"54";"dès";"0.32701249330544";"-0.475874811373872";"0.993203239818414";"105"
"55";"57";"0.205090373412515";"-0.209444749532417";"0.991978183480845";"106"
"56";"mal";"0.498190838449374";"-0.248037244106067";"0.989898102485385";"107"
"57";"2023";"0.360085824864189";"-0.209859215497963";"0.988080276952219";"110"
"58";"moins";"0.442145225907397";"-0.265509799900608";"0.987365361376923";"111"
"59";"1";"0.345955651149613";"0.0211165517705399";"0.982907018517914";"112"
"60";"cela";"0.335806395587505";"-0.309706253299585";"0.976081191417094";"115"
"61";"notre";"0.042821147055336";"-0.366503904204865";"0.975509977464973";"116"
"62";"70";"0.241255159812789";"-0.0778207364906096";"0.973458636794147";"118"
"63";"donc";"0.562504994706329";"-0.0646964381054149";"0.972352134295699";"119"
"64";"votre";"0.135794835298934";"-0.129961108827517";"0.966140631633953";"121"
"65";"juste";"0.342333591320026";"-0.209047274099561";"0.964951500702178";"123"
"66";"mes";"0.134017019333925";"-0.0568936810483408";"0.964369509128319";"124"
"67";"lui";"0.171083667996708";"-0.249275706798619";"0.962174466834319";"127"
"68";"peut_être";"0.454899292397151";"-0.411950711642272";"0.958998660962148";"129"
"69";"falloir";"0.381010167442321";"-0.271162554615529";"0.958743590581012";"130"
"70";"an";"0.195493096680334";"-0.195968261411018";"0.955679153466802";"131"
"71";"sous";"0.51575838414855";"0.0793710165766239";"0.950620856331036";"132"
"72";"1950";"0.606070622929412";"-0.458186957761178";"0.950132270812241";"133"
"73";"leurs";"0.332151284267327";"-0.47589925865506";"0.950024494594859";"134"
"74";"tous";"0.0571371536577016";"-0.23908304967706";"0.94678402299226";"136"
"75";"non";"0.493854590590027";"-0.0586589618613329";"0.937838596949607";"141"
"76";"m";"0.117140503843113";"-0.0724918745547771";"0.937712858029328";"142"
"77";"aussi";"0.0688516048599319";"0.18983952577268";"0.934113132368791";"144"
"78";"million";"0.545540192312491";"-0.404364929765542";"0.934019726313727";"146"
"79";"pendant";"0.159237357262287";"-0.231572660624142";"0.933994578529671";"147"
"80";"nos";"0.110839655138171";"-0.400295523033733";"0.931677389855972";"148"
"81";"pourquoi";"0.491772923160626";"-0.144227638649547";"0.931127731147327";"149"
"82";"contre";"0.417909548527861";"-0.301245393166563";"0.929618864103988";"150"
"83";"envers";"0.355236834347686";"-0.462262224209795";"0.928731506580881";"151"
"84";"environ";"0.286395915398622";"-0.388248829735612";"0.92688494072308";"152"
"85";"90";"0.124769071338875";"-0.0805931404460319";"0.922520003919135";"155"
"86";"chacun";"0.344837242392196";"-0.333145547018081";"0.920303406381659";"156"
"87";"certains";"0.468323220993509";"-0.499943347768252";"0.920048336000523";"157"
"88";"tant";"-0.0278948627413185";"-0.281738686342115";"0.919171756099154";"159"
"89";"encore";"0.23955551985821";"-0.0339194044587889";"0.91879094679774";"161"
"90";"ses";"0.267247418750604";"-0.331002552903012";"0.917641333812339";"162"
"91";"combien";"0.379286584182244";"-0.466132166045216";"0.916739606126915";"163"
"92";"mon";"-0.180763156655266";"0.00355273075140465";"0.916136059309579";"165"
"93";"alors";"0.499601759417407";"-0.211608383873128";"0.915252294327052";"167"
"94";"jamais";"0.360220380483354";"-0.0553287977305473";"0.913606910741696";"168"
"95";"quelque";"0.411606611559917";"-0.646470843088689";"0.90780136516542";"169"
"96";"bah";"0.502845129362965";"0.0889296057289724";"0.907654071001666";"170"
"97";"dehors";"0.443644384321254";"-0.402893594391977";"0.905879355955453";"171"
"98";"car";"0.551621945344811";"-0.399957199113156";"0.904650707077305";"172"
"99";"deux";"0.154292709162585";"-0.193012480549664";"0.904596818968614";"173"
"100";"vers";"0.380030091925106";"-0.511057229726135";"0.904244749991835";"174"
"101";"300";"0.422057317288233";"-0.360253095194574";"0.902175446618113";"175"
"102";"10";"0.355751644439751";"-0.248430647348974";"0.902060485319573";"176"
"103";"1973";"0.531764142644174";"-0.287011881406313";"0.901144387471831";"178"
"104";"malgré";"0.308621140043756";"-0.544930092650575";"0.900587543682028";"179"
"105";"aucune";"0.451536659900846";"-0.32917107957865";"0.900404324112479";"180"
"106";"certaines";"0.379635969480947";"-0.248648146323535";"0.898158986250367";"181"
"107";"surtout";"0.346011149092261";"-0.044259231177266";"0.896959077696855";"182"
"108";"15";"0.38337063087234";"-0.392776480695832";"0.895126882001372";"183"
"109";"parce_que";"0.610375254640885";"-0.113343289004609";"0.894702962213005";"184"
"110";"2025";"0.299775812043882";"-0.0771073345579085";"0.892461216891473";"185"
"111";"plusieurs";"0.573239022846761";"0.269702259147298";"0.89149123093504";"186"
"112";"point";"0.468467254628567";"-0.358013528148911";"0.89137986217708";"187"
"113";"néanmoins";"0.259312268851455";"-0.508999079533645";"0.8913762696365";"188"
"114";"2004";"0.380557327792727";"-0.267121069793298";"0.890039844540971";"190"
"115";"000";"0.451498701245111";"-0.0851914159876093";"0.890014696756916";"191"
"116";"elle_même";"0.720789595937281";"0.002148035188401";"0.888897416636729";"192"
"117";"quel";"-0.649495124673061";"-0.114088342345213";"0.888351350468663";"193"
"118";"jusqu_au";"0.423188241101791";"-0.284982960734092";"0.887956171004932";"194"
"119";"dessus";"0.581594710723612";"-0.188827311084073";"0.886386230771743";"195"
"120";"moi";"-0.00171000095455828";"0.238467088304678";"0.885495280708057";"196"
"121";"trois";"0.507084552262356";"-0.117384340604777";"0.881676410072177";"199"
"122";"8";"0.43278698517671";"-0.197741205072677";"0.880595055357784";"200"
"123";"toujours";"0.147581531822849";"0.0335248843847204";"0.880472908978086";"201"
"124";"tes";"0.555007943493648";"-0.282199717247909";"0.874620660374277";"203"
"125";"vos";"0.0588557982954261";"-0.260691616488849";"0.872975276788922";"205"
"126";"ceux";"0.457692383350723";"-0.347839253365068";"0.872971684248343";"206"
"127";"celui";"0.274780182597883";"-0.296329030557878";"0.869684509618211";"208"
"128";"67";"0.227708042589323";"-0.350000039832869";"0.86419510761292";"214"
"129";"autant";"0.417944258847206";"-0.295762429166311";"0.86216891472615";"216"
"130";"comment";"0.338170738206432";"0.00686361258003413";"0.86049479081616";"218"
"131";"ensuite";"0.545186934499277";"-0.371533887110918";"0.859417028642346";"219"
"132";"très";"-0.371185697385437";"0.0961295691049778";"0.859029034259773";"220"
"133";"afin";"0.471609658808235";"-0.629567008044193";"0.858888925177178";"221"
"134";"concernant";"0.475942614963789";"-0.91605162199106";"0.858766778797479";"222"
"135";"toutes";"-0.15635689836797";"-0.0344085402171885";"0.858565596525034";"223"
"136";"ta";"0.427194160009828";"-0.211882316881645";"0.857588425487443";"224"
"137";"tienne";"0.313436698105606";"-0.733548967124101";"0.85743035370195";"226"
"138";"vous_même";"0.605866188457298";"-0.887777554605126";"0.855364642868807";"228"
"139";"selon";"0.668768838644882";"-0.200138717113636";"0.854700022861622";"229"
"140";"ainsi";"0.47274576441105";"-0.655774825089731";"0.854182697018191";"230"
"141";"oui";"0.158872475109924";"-0.018743822859248";"0.852875012247297";"231"
"142";"assez";"0.331863114982382";"-0.258009010674322";"0.852752865867599";"232"
"143";"suivant";"0.381600224237189";"-0.0428714683609845";"0.85199124726477";"233"
"144";"parfois";"0.450518993583412";"-0.39561259248882";"0.849379470263562";"235"
"145";"entre";"0.444102252116175";"-0.149578514068905";"0.849304026911395";"236"
"146";"2017";"0.685321139019003";"-0.434029933035792";"0.848671739769424";"237"
"147";"1974";"-0.0721210936786279";"-0.181742011288088";"0.848528038146249";"238"
"148";"1972";"0.632081759077948";"-0.06058446790995";"0.848111303439041";"240"
"149";"jusqu_à";"0.470322141011498";"-0.156009005408605";"0.847062281589863";"241"
"150";"chacune";"0.752883699689259";"0.583554004165491";"0.846652731963813";"242"
"151";"divers";"0.643618757411867";"-0.861907075245974";"0.846652731963813";"243"
"152";"grâce";"-0.268674354384001";"-0.298538543702044";"0.843300891603253";"247"
"153";"250";"0.463684921627115";"0.138336433601923";"0.842259054835233";"251"
"154";"1976";"0.451788069439977";"0.44268827969053";"0.842259054835233";"252"
"155";"9";"0.370147877898132";"-0.231413165568477";"0.841335771906333";"253"
"156";"autour";"0.458926640546134";"-0.343700730431659";"0.841202847904896";"254"
"157";"nôtre";"0.361006804026637";"-0.186990202318312";"0.840362193409321";"255"
"158";"sauf";"0.611793674189894";"0.105689657278381";"0.839449688102159";"260"
"159";"pouce";"0.329605163931239";"-0.575262271456032";"0.839420947777524";"261"
"160";"auxquels";"-0.992593547889825";"-0.125920324625073";"0.839420947777524";"262"
"161";"48";"0.37860480610586";"0.154946526539071";"0.839420947777524";"264"
"162";"101";"0.520461313401789";"-0.799908289607988";"0.839420947777524";"265"
"163";"2021";"0.202709453582004";"-0.335349359648781";"0.838497664848623";"268"
"164";"parmi";"-0.268355656891446";"-0.460299486598524";"0.838415036415298";"269"
"165";"hier";"-0.189593534727333";"-0.0855861885136858";"0.83834318560371";"270"
"166";"vôtre";"-0.289172307315569";"-0.251741347506993";"0.837351644403802";"271"
"167";"1955";"0.503540140665399";"-0.434992831058454";"0.836755282667625";"272"
"168";"10000";"0.559908488698328";"-0.0795904451489944";"0.836047552173487";"273"
"169";"lorsqu";"0.448730386511729";"-0.701471782651755";"0.834923086972142";"276"
"170";"1983";"-0.56474289189203";"-0.435756440657474";"0.83290767170711";"279"
"171";"certain";"0.23453111044961";"-0.267857968020526";"0.832239459159346";"281"
"172";"hors";"0.500732915759133";"-0.0519650951656652";"0.830083934811718";"287"
"173";"puisque";"0.517140376082571";"-0.452642706156874";"0.829311538587152";"289"
"174";"mince";"0.100411684353737";"0.374958969984853";"0.829311538587152";"290"
"175";"toute";"-0.388455232042784";"-0.0634078870469541";"0.829135504098762";"291"
"176";"ben";"0.394509267927408";"0.385567989781204";"0.828970247232111";"292"
"177";"dm";"0.535853592722329";"-0.619190286833707";"0.82758711910905";"295"
"178";"aucunes";"0.30139121791988";"-0.751629736638253";"0.82758711910905";"296"
"179";"1963";"0.483778655366";"-0.647302242209934";"0.82758711910905";"298"
"180";"mme";"0.309687509713433";"-0.00852419208903698";"0.826512949475816";"299"
"181";"92";"0.285546223644298";"-0.465627772162523";"0.826279434338156";"300"
"182";"hip";"-0.26902068106852";"0.189119541479144";"0.825255560273033";"302"
"183";"soixante";"0.539851677978335";"-0.130616733896065";"0.823405401874653";"305"
"184";"quasi";"0.609241670168983";"0.115522386219403";"0.821706130180607";"308"
"185";"cependant";"0.687571178604832";"-0.767676599126531";"0.821634279369019";"309"
"186";"o";"0.308027436878547";"0.296552533640206";"0.821300173095137";"310"
"187";"ouais";"0.566321341892073";"0.534284333578213";"0.821084620660374";"311"
"188";"40";"0.12747711120877";"-0.109230576173564";"0.820743329305333";"312"
"189";"hello";"0.550929204921846";"-0.715909118214903";"0.820524184329991";"313"
"190";"1964";"-0.386740131196954";"0.104320640070859";"0.820524184329991";"314"
"191";"5000";"0.574803889653249";"0.296278028886212";"0.819816453835854";"315"
"192";"02";"0.574803889653249";"0.296278028886212";"0.819816453835854";"316"
"193";"600";"-0.809568787875369";"-0.126128429712252";"0.819816453835854";"317"
"194";"heu";"0.372999377817962";"0.320356280727428";"0.819694307456155";"319"
"195";"1971";"-0.355370486684147";"0.20674669072831";"0.819345831019955";"320"
"196";"durant";"0.48069559836501";"0.443527818781378";"0.819184166693883";"321"
"197";"quant";"0.472648855144805";"-0.189816307233935";"0.818066886573696";"323"
"198";"hum";"0.606142571023251";"0.113794286475548";"0.81781540873314";"327"
"199";"quelconque";"0.732105834339826";"-0.997448672319617";"0.817197491753486";"330"
"200";"alerte";"-0.320077191461305";"-0.0424313031426819";"0.816651425585421";"332"
"201";"hé";"-0.37104777451104";"0.0973699709793121";"0.815990398118815";"335"
"202";"51";"0.544165607911297";"0.639724998751023";"0.81584669649564";"336"
"203";"wouah";"-0.664724948094784";"-0.162974388090908";"0.814941376269637";"337"
"204";"2019";"0.541952498251488";"0.290976731191012";"0.814679120807342";"338"
"205";"1979";"-0.61931041833891";"-0.352253707865175";"0.814636010320389";"340"
"206";"quatre";"0.271983693240547";"0.0877855113759962";"0.814578529671119";"342"
"207";"alléluia";"0.508799068630257";"1.02770496764626";"0.814330644371142";"343"
"208";"1291";"0.508799068630257";"1.02770496764626";"0.814330644371142";"346"
"209";"pardon";"0.652194229282763";"0.480231918887521";"0.814323459289983";"347"
"210";"1987";"-0.0486753287854326";"0.174235868758304";"0.814129462098697";"349"
"211";"950";"0.313311432909183";"0.250344454350189";"0.813597766092949";"350"
"212";"17";"-0.00654342527395865";"0.146688377732445";"0.813558248146576";"351"
"213";"44";"0.138709779851459";"0.026238643969244";"0.813525915281361";"352"
"214";"82";"-0.0104954798341545";"0.167811178494887";"0.812688853326366";"355"
"215";"26";"0.556161110946301";"-0.0247639415755237";"0.812688853326366";"356"
"216";"103";"-0.0104954798341545";"0.167811178494887";"0.812688853326366";"357"
"217";"boum";"-0.686457323888306";"-0.230844856455539";"0.812688853326366";"358"
"218";"vingt";"0.471124924010013";"0.521060961214392";"0.811851791371371";"360"
"219";"23";"0.14910342101706";"0.132096712372633";"0.811417093961266";"362"
"220";"2018";"0.545733236754198";"-0.0797651488502725";"0.811417093961266";"363"
"221";"ah";"-0.0389032024168723";"0.234632756032529";"0.811363205852575";"365"
"222";"jusque";"0.191549750909398";"0.50319433239058";"0.810659067899017";"367"
"223";"bof";"0.483097888045405";"0.228552377275301";"0.810659067899017";"368"
"224";"mouais";"0.628229792756064";"0.00722024685449744";"0.810195630164277";"370"
"225";"quelles";"-0.780693386189226";"-0.33821642580571";"0.809757340213593";"374"
"226";"87";"0.0676299508189509";"0.492870109982556";"0.808690355661517";"376"
"227";"mille";"0.11066617744842";"0.421886481777005";"0.808029328194912";"377"
"228";"octante";"0.531920736492053";"0.555836792690498";"0.807497632189164";"380"
"229";"88";"0.440037941156236";"0.0851867584996801";"0.807490447108005";"381"
"230";"2007";"0.484695653410323";"0.358370536636599";"0.806736013586335";"382"
"231";"1998";"0.540416915938231";"0.125217113069971";"0.806682125477645";"384"
"232";"celui_là";"-0.414982628017008";"0.393830336508486";"0.806401907312453";"387"
"233";"zut";"0.591304748972894";"0.138659161284834";"0.805137333028512";"389"
"234";"chic";"-0.898309402596964";"-0.0874977128923414";"0.8050870374604";"392"
"235";"1986";"0.178053301834249";"0.291934630643079";"0.804487083183644";"393"
"236";"1993";"-1.02549852572764";"0.0806295267672259";"0.804041608151801";"394"
"237";"84";"-0.849158360153332";"0.168815235950614";"0.803800907932983";"395"
"238";"1995";"-0.50700870537555";"-0.0251707953124509";"0.803218916359123";"397"
"239";"gna_gna";"0.446625102922703";"0.15595656221684";"0.803143473006957";"398"
"240";"peuchère";"0.446625102922703";"0.15595656221684";"0.803143473006957";"399"
"241";"htag_cqfd";"0.446625102922703";"0.15595656221684";"0.803143473006957";"400"
"242";"cinquante";"0.446625102922703";"0.15595656221684";"0.803143473006957";"401"
"243";"auprès";"0.43345077938977";"0.0144169547825204";"0.803143473006957";"402"
"244";"allô";"0.446625102922703";"0.15595656221684";"0.803143473006957";"403"
"245";"1952";"-0.937747574605916";"-0.266449896381624";"0.803143473006957";"406"
"246";"33";"-0.0979371111213619";"0.203428211659588";"0.801896861425912";"408"
"247";"06";"0.561629566120316";"0.154738421451893";"0.801763937424475";"410"
"248";"1962";"-0.525981434326014";"0.102625944720507";"0.801002318821647";"412"
"249";"nôtres";"-0.552989245935076";"-0.414779355330417";"0.800894542604265";"413"
