"";"";"";"";"que";""
"1";"que";"0.268460201676086";"-0.233312832579123";"2.2186583493909";"9"
"2";"avoir";"0.238531787522157";"-0.0528625589976149";"2.1719337666155";"11"
"3";"se";"0.517686132193868";"0.241650192942844";"1.83690420980437";"15"
"4";"aujourd_hui";"0.339131227390819";"-0.419436631665762";"1.7053130409223";"18"
"5";"qui";"0.401300969230526";"-0.285791659565945";"1.64212743721219";"21"
"6";"du";"0.348687743063879";"-0.114260197485136";"1.59709853359025";"22"
"7";"au";"0.36617718863279";"0.0806195775822787";"1.56541591822071";"24"
"8";"mais";"0.340616812236194";"-0.0814475307193896";"1.5512720859597";"25"
"9";"pour";"0.236686275448114";"-0.0237660232137976";"1.54906985858454";"26"
"10";"bien";"0.0686592444828578";"-0.149678002273416";"1.47044351546425";"29"
"11";"un";"0.260777573849782";"-0.0074974566798375";"1.47033214670629";"30"
"12";"sa";"0.107442215648923";"-0.276167119003796";"1.41603089584898";"34"
"13";"on";"0.358149436308762";"0.0425394979311468";"1.40105000163297";"36"
"14";"une";"0.181564170172502";"-0.0338986691307094";"1.39004604983834";"37"
"15";"croire";"0.413338903889062";"-0.152175647457481";"1.38588948038799";"38"
"16";"par";"0.482911248496777";"-0.21408614517809";"1.36277866684085";"40"
"17";"faire";"0.312662721248784";"-0.120731473920364";"1.34925634410007";"43"
"18";"tout";"0.196804870539567";"-0.249179364368825";"1.32966262778014";"44"
"19";"y";"0.322063233749299";"0.0492482592352571";"1.32307390835756";"45"
"20";"dans";"0.362720899379754";"0.018389466940936";"1.30627878114896";"46"
"21";"c";"0.145091815263009";"0.081902075664348";"1.25820340311571";"49"
"22";"dire";"0.365288702767815";"0.0442061272685083";"1.24704856461674";"50"
"23";"il";"0.252547012259403";"-0.0763676275406406";"1.24701982429211";"51"
"24";"tu";"0.462776222852915";"-0.0622978350163889";"1.23725170645678";"53"
"25";"savoir";"0.369756416026817";"-0.060416667466847";"1.22585976027957";"55"
"26";"ça";"0.272572827068688";"0.00150520807825392";"1.18765668375845";"58"
"27";"avec";"0.196509319554256";"-0.0762178699012199";"1.18725791175414";"59"
"28";"devoir";"0.356569108857189";"-0.274543043558934";"1.1864639602861";"60"
"29";"ma";"0.0664739494917022";"-0.00130936205129606";"1.11861164636337";"65"
"30";"pouvoir";"0.375603221877995";"-0.28803485306246";"1.11367908814788";"66"
"31";"quand";"0.410066523349694";"-0.0556740921256181";"1.09535353865247";"68"
"32";"avant";"0.308786179644278";"-0.227956008370991";"1.0878056108952";"69"
"33";"autres";"0.338876544184088";"-0.412983064951844";"1.08528005486789";"71"
"34";"nous";"0.150338613483031";"-0.181964712002075";"1.05843659165877";"76"
"35";"2";"0.350162579833529";"-0.0781575808303365";"1.05787974786897";"77"
"36";"me";"0.159267223302477";"0.0129228756045939";"1.05613736568797";"78"
"37";"mieux";"0.334244037602784";"-0.045894714686851";"1.0497031255103";"81"
"38";"vouloir";"0.316889499739531";"-0.214954049758207";"1.0402619288677";"85"
"39";"depuis";"0.387451872922744";"-0.042809663276108";"1.03666938828832";"86"
"40";"elles";"-0.0834634844601134";"-0.251866376052649";"1.03604428622751";"87"
"41";"sans";"0.465014807308645";"-0.0915927597808753";"1.03512459583918";"88"
"42";"quoi";"0.472091962996079";"0.0152900200596005";"1.03303732976257";"89"
"43";"comme";"0.183994051510321";"-0.201695396750022";"1.03207452888729";"90"
"44";"où";"0.381863827334288";"-0.160355074427855";"1.02453737875176";"92"
"45";"personne";"-0.0377821395833888";"-0.254404280985773";"1.02235311407949";"93"
"46";"déjà";"0.306594341238203";"-0.275132287773737";"1.01678826872204";"95"
"47";"maintenant";"0.371080407106917";"-0.161303293701271";"1.0145465234005";"96"
"48";"autre";"0.396591105607763";"-0.279059072850601";"1.01038636140958";"97"
"49";"ton";"0.401511349369751";"-0.273689416463742";"1.00733270191711";"98"
"50";"aux";"0.411065049025124";"-0.031028232760965";"1.00259414089291";"100"
"51";"peu";"0.341614731794795";"-0.194211817663971";"1.00041706130181";"102"
"52";"quelques";"0.424886702135797";"-0.25833735205706";"0.993727750743003";"103"
"53";"lors";"0.674188772602347";"0.357920734111084";"0.993458310199549";"104"
