"";"";"";"";"pas";""
"1";"pas";"-0.332881506576596";"-0.306318435096099";"2.54794640260964";"7"
"2";"être";"-0.0225533196203837";"0.0118729864315118";"2.29169647212481";"8"
"3";"user_utilisateurice";"-0.179542525106274";"-0.107394901994636";"2.21764175931384";"9"
"4";"que";"-0.121579879600386";"-0.273358492493529";"2.11273819870694";"13"
"5";"qui";"-0.215875966293179";"-0.355760532330994";"1.87981803708217";"15"
"6";"pour";"-0.179534833925438";"-0.0481636143435485";"1.83785311721927";"18"
"7";"faire";"-0.17322322270133";"-0.217030308333087";"1.77585829391492";"19"
"8";"aujourd_hui";"-0.0906611406725581";"-0.424770990681567";"1.66090832100598";"23"
"9";"le";"-0.23040979844349";"0.00292211885858165";"1.62408545837908";"25"
"10";"qu";"-0.152188428463645";"-0.242425183877756";"1.58733949939542";"26"
"11";"tout";"-0.048913734884972";"-0.224032205786411";"1.51460613099995";"29"
"12";"dire";"-0.334559220377096";"-0.137107941074908";"1.49747409666025";"30"
"13";"en";"-0.322681106454651";"-0.039170371127326";"1.48082795352096";"31"
"14";"un";"-0.187382148905008";"-0.0495209021539999";"1.4448055879077";"32"
"15";"vous";"-0.0541791754447505";"-0.0514452060231751";"1.38925668815414";"36"
"16";"ton";"-0.267942297336849";"-0.348863263411131";"1.33958742148758";"38"
"17";"nous";"0.0241985586247784";"-0.0823245940211774";"1.28258084813278";"42"
"18";"même";"-0.22671837465143";"-0.272090745936238";"1.24919068449009";"45"
"19";"sur";"-0.219175824490545";"-0.348377035275622";"1.23951480792362";"46"
"20";"devoir";"-0.221612755717125";"-0.392708842519475";"1.23867935470852";"47"
"21";"mais";"-0.203654859504191";"-0.21423901642972";"1.23361769673589";"48"
"22";"pouvoir";"-0.184483266921711";"-0.306561987574471";"1.20902600900281";"50"
"23";"aux";"-0.302235552072294";"-0.0861450041036782";"1.19909844778576";"51"
"24";"nos";"0.15569703859081";"-0.212745874951967";"1.19493865981101";"52"
"25";"si";"-0.125914638474031";"-0.250971006061891";"1.18102609162656";"53"
"26";"y";"-0.252568952768491";"-0.0225731023370214";"1.18033745445763";"54"
"27";"s";"-0.217222230481018";"-0.247519162170508";"1.16686883003183";"55"
"28";"non";"-0.368700937570798";"-0.356794656991037";"1.15412729459657";"57"
"29";"bien";"0.0762154648881628";"-0.0699801434217362";"1.14961444898699";"59"
"30";"du";"-0.178485916024191";"-0.179190238161206";"1.14902368918217";"60"
"31";"ça";"-0.157585609252073";"-0.12248328576794";"1.13692185223378";"62"
"32";"ou";"-0.4643456149135";"-0.233183963330089";"1.13561099467871";"63"
"33";"pourquoi";"-0.321997595510515";"-0.425088272705952";"1.12962299736716";"64"
"34";"vouloir";"-0.200746528514786";"-0.35407021506208";"1.12959852802613";"65"
"35";"cela";"-0.168179086274982";"-0.420269413755868";"1.10844303489741";"67"
"36";"tous";"0.0798654258701698";"-0.107474455351406";"1.09176193555665";"69"
"37";"comme";"-0.014511333121864";"-0.175184624499795";"1.08884309273404";"70"
"38";"rien";"-0.150658355115975";"-0.439531378713376";"1.08437918580651";"73"
"39";"chez";"-0.479316599095678";"0.0223170346539139";"1.07819543376674";"75"
"40";"sans";"-0.344289610621511";"-0.134722890652747";"1.07512278365766";"76"
"41";"autres";"-0.190621685401471";"-0.477913772948568";"1.0729694816472";"77"
"42";"autre";"-0.145054395896478";"-0.357592925170529";"1.06684165952978";"79"
"43";"savoir";"-0.250824279422896";"-0.215708392334324";"1.06337749996425";"80"
"44";"juste";"-0.20308040890471";"-0.239900166169965";"1.0554424422309";"83"
"45";"jamais";"-0.289484308257024";"-0.187545117741823";"1.05174058049539";"84"
"46";"maintenant";"-0.201406180167906";"-0.233860204021507";"1.05096455282279";"85"
"47";"car";"-0.295357040269596";"-0.539998409893176";"1.04850363623941";"86"
"48";"votre";"-0.0706604930616769";"0.0358905736108073";"1.04168717695306";"87"
"49";"moins";"-0.277597080300398";"-0.401496326544352";"1.0364297642522";"92"
"50";"certains";"-0.276163160960379";"-0.509076414414287";"1.03558731979681";"93"
"51";"croire";"-0.241505334316411";"-0.35002035246783";"1.03550692053343";"94"
"52";"falloir";"-0.268696218225695";"-0.388201551596484";"1.03283277112109";"95"
"53";"elles";"0.163986109357301";"-0.213078362115429";"1.02493616520936";"96"
"54";"quand";"-0.252334380386046";"-0.13025607360172";"1.02267449897435";"97"
"55";"cette";"0.527764694652349";"0.158039430365289";"1.01115643059049";"98"
"56";"vers";"0.030620678891752";"-0.423638540429534";"1.00417917277738";"99"
"57";"depuis";"-0.281388753649915";"-0.174670201661167";"1.00172175181415";"100"
"58";"son";"0.0765225496382688";"-0.163978694332761";"0.996460843493141";"101"
"59";"te";"-0.490996487847692";"-0.145233324573639";"0.975141056217517";"106"
"60";"hors";"-0.504641215911873";"-0.198159058625587";"0.97378475560054";"107"
"61";"certaines";"-0.358060259476051";"-0.483674753983736";"0.956215768742482";"110"
"62";"ta";"-0.265447656861567";"-0.35540981593028";"0.955411776108708";"112"
"63";"donc";"-0.549388394192469";"-0.34663125295288";"0.954314151382597";"113"
"64";"encore";"-0.103479926221527";"-0.0213297275832645";"0.948074469420474";"114"
"65";"aucune";"-0.374877688919876";"-0.409270797372761";"0.942603823890657";"116"
"66";"74";"-0.241889535214803";"-0.676691058357399";"0.93957312122334";"118"
"67";"avant";"-0.0858764651774016";"-0.308291009145359";"0.934791112862452";"119"
"68";"ces";"0.416287319674532";"0.037326890258615";"0.934570888793201";"120"
"69";"ainsi";"-0.0550936940864249";"-0.495924716711709";"0.925492763271837";"121"
"70";"beaucoup";"0.164437943264914";"0.188355077273794";"0.925286521683173";"122"
"71";"nonante";"-0.412249115418129";"0.293675116767715";"0.920294776113474";"123"
"72";"contre";"-0.207586417863492";"-0.426317832302642";"0.915344977985538";"128"
"73";"personne";"0.172047999628069";"-0.0690128236601103";"0.913418891284625";"129"
"74";"ceux";"-0.272265139351958";"-0.480470317613243";"0.912908530743185";"130"
"75";"60";"0.0629429766198025";"-0.102308415694656";"0.908168469824059";"131"
"76";"avec";"-0.0214976430933859";"0.0282838187726167";"0.898758260388745";"137"
"77";"assez";"-0.120209309938358";"-0.39883750334151";"0.898038162638494";"138"
"78";"mal";"-0.337038478819448";"-0.508412277724217";"0.894147537415052";"139"
"79";"selon";"-0.555264713577525";"-0.376947842688707";"0.89294154846439";"140"
"80";"chacun";"-0.197364293068067";"-0.450270564719278";"0.889285129790787";"143"
"81";"950";"-0.26900076835187";"-0.145295821183193";"0.884961047669136";"147"
"82";"environ";"-0.0730576337148683";"-0.482509538065731";"0.884440200267256";"148"
"83";"moi";"0.0066440421584762";"0.152829124058156";"0.881367550158177";"151"
"84";"surtout";"-0.295810822412549";"-0.149774451560791";"0.878801764970391";"154"
"85";"87";"-0.459347981962232";"-0.0828158701134976";"0.877857947530742";"156"
"86";"elle";"0.305903294727665";"0.0322713682019672";"0.876382795828772";"157"
"87";"toutes";"0.304790205873595";"0.226195039715596";"0.876145093658786";"158"
"88";"pendant";"0.0759443864344415";"-0.12234210055494";"0.876047216294675";"159"
"89";"con";"-0.295637271218049";"-0.494353608075405";"0.871412023979954";"160"
"90";"autrui";"-0.181295810861608";"-0.890157278946394";"0.871160339329381";"161"
"91";"combien";"-0.141847629292672";"-0.606124578559866";"0.870667456888676";"163"
"92";"déjà";"-0.10445954464444";"-0.360228710185734";"0.870622013826767";"164"
"93";"quoi";"-0.333351051248587";"-0.271394749435248";"0.868681944645266";"166"
"94";"501";"-0.459347981962232";"-0.0828158701134976";"0.868087689220302";"167"
"95";"entre";"-0.388330283249021";"-0.225830061421161";"0.867416530152107";"168"
"96";"tant";"0.196708504137068";"-0.00898381916891936";"0.866647493719801";"170"
"97";"mieux";"-0.214060293271784";"-0.0900710409037049";"0.865378583606495";"172"
"98";"point";"-0.308718409769762";"-0.423792050796769";"0.86419706399686";"174"
"99";"plupart";"-0.646391560099843";"-0.197918226466433";"0.863414045083966";"175"
"100";"bon";"0.26340056800628";"0.0525718365951667";"0.86238982838094";"178"
"101";"parfois";"-0.232424955700184";"-0.515949639708315";"0.861774599235095";"179"
"102";"ses";"-0.0163110290433933";"-0.22632503441293";"0.861054501484844";"180"
"103";"autant";"-0.258195786809663";"-0.261747963392633";"0.859530411100819";"181"
"104";"grâce";"0.488988564726421";"0.036224451727734";"0.85937310819421";"182"
"105";"79";"-0.522802663430403";"-0.804602323016662";"0.859121423543637";"183"
"106";"20";"-0.215950682243127";"-0.477040412409815";"0.858810313350568";"185"
"107";"2004";"-0.235703029290965";"-0.194586528983226";"0.852402841621396";"186"
"108";"bah";"-0.45992414132594";"-0.202435225469447";"0.849529441860687";"189"
"109";"10000";"-0.455767311517435";"-0.893580385632486";"0.849372138954079";"190"
"110";"1100";"-0.459347981962232";"-0.0828158701134976";"0.848557659459863";"191"
"111";"2006";"-0.690492390117338";"-0.0847949363259871";"0.847522955896396";"192"
"112";"comment";"-0.357450970163111";"-0.0748118869549815";"0.8474635303539";"193"
"113";"souvent";"-0.428823763133496";"-0.157383855911895";"0.846072273535454";"194"
"114";"2021";"-0.0205442451106221";"-0.268857779725156";"0.845719215900623";"195"
"115";"sous";"-0.508353308893094";"-0.132630954710562";"0.844869780204939";"196"
"116";"500";"-0.427088678130474";"-0.739556154093881";"0.844506235709667";"197"
"117";"10";"-0.230864403097078";"-0.408676326418695";"0.844387384624674";"198"
"118";"13";"-0.427599877347094";"0.0623389804090504";"0.842027841025552";"200"
"119";"sauf";"-0.554398282832512";"-0.355647463835086";"0.841846068777915";"201"
"120";"jadis";"-0.580398369899055";"-0.918152334274183";"0.841503498003524";"203"
"121";"50000";"-0.580398369899055";"-0.918152334274183";"0.841503498003524";"205"
"122";"aussi";"-0.0737804115267785";"0.1745451390888";"0.837703758903901";"208"
"123";"200";"-0.124238321030269";"-0.200084068772176";"0.837420613672006";"209"
"124";"50";"-0.0797077819709132";"-0.329181337312205";"0.836039843714001";"211"
"125";"x";"-0.367322589583248";"-0.596109426580885";"0.835920992629008";"212"
"126";"quant";"-0.439817268885447";"-0.647184077646548";"0.835347710924925";"214"
"127";"ouais";"-0.54939173104803";"0.0711426568119974";"0.835057574452737";"215"
"128";"1864";"0.0830052627479397";"0.118617858161616";"0.834840846003632";"216"
"129";"trois";"-0.372246653867158";"-0.340162232035089";"0.834655578135849";"218"
"130";"1990";"-0.32440856562613";"-0.524993698658445";"0.833016132286978";"219"
"131";"mme";"-0.0428722104283459";"-0.208198401559057";"0.831949968142189";"221"
"132";"afin";"-0.174926294001726";"-0.799622661426671";"0.831488546282805";"222"
"133";"hein";"-0.431375969509373";"-0.187021491802958";"0.830736987951233";"223"
"134";"4";"-0.116234189373399";"-0.0615460260565659";"0.83036295659552";"224"
"135";"56";"-0.459347981962232";"-0.0828158701134976";"0.829027629699424";"227"
"136";"vlan";"-0.459347981962232";"-0.0828158701134976";"0.829027629699424";"228"
"137";"htag_cqfd";"-0.459347981962232";"-0.0828158701134976";"0.829027629699424";"229"
"138";"180";"-0.459347981962232";"-0.0828158701134976";"0.829027629699424";"230"
"139";"1291";"-0.459347981962232";"-0.0828158701134976";"0.829027629699424";"231"
"140";"06";"-0.459347981962232";"-0.0828158701134976";"0.829027629699424";"232"
"141";"100";"0.0519061127816867";"-0.0637516832718032";"0.828104785980657";"233"
"142";"1976";"-0.205911756437682";"-0.216342224576438";"0.827258845905119";"234"
"143";"youpi";"-0.373570080916576";"-1.01352583050871";"0.826087813155925";"242"
"144";"250";"-0.0849463685782221";"-0.0522662417658855";"0.826063343814897";"243"
"145";"86";"-0.409386317488267";"-0.374991899814114";"0.826063343814897";"244"
"146";"85";"-0.0849463685782221";"-0.0522662417658855";"0.826063343814897";"245"
"147";"1998";"-0.386459690003708";"-0.336906816200566";"0.826063343814897";"246"
"148";"hip";"0.168376901250962";"0.345635746721073";"0.825636878156982";"247"
"149";"96";"-0.456882936259323";"-0.303823588270125";"0.825636878156982";"248"
"150";"300";"-0.0869561633062563";"-0.18550312203092";"0.825343246064647";"249"
"151";"vingt";"-0.39687230314064";"-0.300608109616699";"0.825336254824353";"250"
"152";"92";"-0.230758656345182";"-0.324454075095129";"0.823637383432985";"253"
"153";"demi";"-0.245748548555254";"-0.672312017147703";"0.823319281999622";"254"
"154";"16";"-0.362544080103504";"-0.612542345745683";"0.822994189325965";"255"
"155";"ah";"0.0654954222410393";"0.161858857872524";"0.822253117854833";"256"
"156";"0";"-0.414851996945423";"-0.342102898964573";"0.822165727351162";"258"
"157";"17";"0.0409581828741125";"0.314722143269507";"0.822015415684848";"259"
"158";"1975";"-0.124907655331544";"-0.158385309186162";"0.821823156576771";"261"
"159";"1986";"0.118422306350989";"0.0836589343500098";"0.821823156576771";"262"
"160";"g";"-0.379664699806733";"0.230403356949801";"0.821365230337534";"263"
"161";"plusieurs";"-0.525271377092162";"-0.0116310961787111";"0.818740019607251";"269"
"162";"150";"-0.0522344156977633";"-0.1160395730829";"0.818547760499175";"270"
"163";"67";"0.485262200931413";"0.04397543830055";"0.818495326196972";"271"
"164";"2009";"0.0761191853722091";"-0.3975320342521";"0.81743265767233";"274"
"165";"celle_là";"-0.554263117157481";"-0.557611727614162";"0.81743265767233";"275"
"166";"c_est_à_dire";"-0.420849631230546";"-0.394034441620888";"0.817285841626163";"277"
"167";"ouh";"-0.439633962953936";"-0.484157154768177";"0.817285841626163";"278"
"168";"parmi";"0.611634560421994";"0.0812195731731161";"0.817275354765722";"279"
"169";"15";"-0.0101411518057387";"-0.279617308444703";"0.816890836549569";"280"
"170";"octante";"-0.404681762993339";"-0.273384079678799";"0.816771985464576";"281"
"171";"97";"-0.404681762993339";"-0.273384079678799";"0.816771985464576";"282"
"172";"tiens";"-0.183787768926151";"-0.132359356784655";"0.816513309573709";"283"
"173";"jusque";"-0.679965017725086";"0.407331077530098";"0.815576483374354";"284"
"174";"2003";"-0.479988880238646";"-0.549713331648249";"0.814045401750035";"289"
"175";"80";"0.102796479060437";"0.240923683095974";"0.81376225651814";"291"
"176";"heu";"-0.299160978190882";"0.0144401349372683";"0.813744778417406";"292"
"177";"23";"-0.0377236437741559";"-0.0988781401813602";"0.813545528069035";"293"
"178";"1966";"-0.0835768987432725";"-0.175048307408456";"0.813545528069035";"294"
"179";"9";"-0.648658569446966";"-0.023053738801785";"0.813244904736406";"297"
"180";"lors";"-0.278047676103871";"0.279419633942337";"0.813227426635672";"298"
"181";"dix";"-0.274089280331379";"-0.48570925992808";"0.812849899659813";"299"
"182";"2000";"-0.0934827259344424";"-0.410365911584699";"0.812416442761604";"300"
"183";"1987";"-0.107744356725811";"-0.29496259996393";"0.812248652994555";"301"
"184";"o";"-0.349857663384154";"0.302525146304338";"0.811853647917961";"302"
"185";"72";"-0.393797651112979";"-0.566141271238066";"0.811808204856052";"303"
"186";"davantage";"0.543296727673776";"-0.0227707238821298";"0.811682362530765";"304"
"187";"huit";"0.0515026134402129";"0.00542875955085128";"0.811675371290472";"305"
"188";"boum";"0.439162598130124";"0.37139521239544";"0.811675371290472";"306"
"189";"83";"0.0220255209600665";"-0.0435377765237106";"0.811675371290472";"307"
"190";"33";"0.46863969061027";"0.420361748470002";"0.811675371290472";"308"
"191";"40";"0.0702670466609691";"-0.252760874725085";"0.811629928228563";"309"
"192";"mien";"-0.0916869999452889";"0.463843869872136";"0.811567007065919";"310"
"193";"telle";"0.617359979954913";"0.032975857428771";"0.811560015825626";"311"
"194";"2005";"0.0253315146833685";"-0.160990729621977";"0.810871378656697";"312"
"195";"nôtre";"-0.473130557973756";"0.359748620590413";"0.810399469936872";"313"
"196";"mon";"0.244437912154556";"0.212963598984756";"0.810018447340866";"318"
"197";"celui_là";"0.546510027414151";"0.352824669890558";"0.809584990442657";"319"
"198";"celui_ci";"-0.69402321454112";"0.134928032579294";"0.809420696295755";"320"
"199";"wouah";"0.912485673170969";"0.372049286064961";"0.809134055443713";"323"
"200";"extra";"0.828094021864438";"0.254857667843401";"0.808767015328294";"324"
"201";"au_dessus";"0.732636740643473";"0.123088265769983";"0.808539800018749";"325"
"202";"arrière";"0.335287652909928";"0.490644433657456";"0.808466391995666";"329"
"203";"53";"0.574238439260309";"-0.0113718505947376";"0.807977005175107";"330"
"204";"soi_même";"0.814421016772069";"0.133672633612361";"0.807823197888645";"331"
"205";"1962";"0.744969283546954";"0.625246806668671";"0.80778474606703";"332"
"206";"120";"0.696192594664211";"0.250133738813517";"0.805802729443767";"339"
"207";"1993";"0.588914361478849";"0.447097059480263";"0.805771268862446";"340"
"208";"alentour";"0.933912337769663";"0.382391802219256";"0.804918337546615";"341"
"209";"2013";"1.16463044503965";"0.797744962407627";"0.804855416383972";"342"
