"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"htag_sms";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;8,525;-0,208;-0,085;-0,148;-0,175;5,356;-0,208;3,951;-0,129
"htag_skinautique";-0,125;-0,161;4,645;-0,143;-0,24;-0,271;-0,114;-0,125;-0,24;-0,155;-0,215;-0,173;-0,228;5,943;-0,278;-0,114;18,563;-0,234;-0,203;-0,278;-0,259;-0,173
"htag_sida";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;-0,085;-0,148;4,496;5,356;3,603;-0,194;-0,129
"htag_selfdefense";-0,125;-0,161;-0,167;-0,143;-0,24;2,371;-0,114;-0,125;-0,24;-0,155;-0,215;-0,173;-0,228;-0,137;-0,278;-0,114;-0,197;-0,234;-0,203;31,29;-0,259;-0,173
"htag_saintvalentin";-0,125;-0,161;-0,167;-0,143;-0,24;32,052;-0,114;-0,125;-0,24;-0,155;-0,215;-0,173;3,061;-0,137;-0,278;-0,114;-0,197;-0,234;-0,203;-0,278;-0,259;-0,173
"htag_running";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;3,603;-0,085;-0,148;4,496;-0,152;-0,208;3,951;-0,129
"htag_recyclage";-0,094;7,083;-0,125;-0,107;4,35;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;8,525;-0,208;-0,085;-0,148;-0,175;-0,152;-0,208;-0,194;-0,129
"htag_raclette";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;4,984;-0,129;-0,171;-0,103;-0,208;-0,085;5,559;-0,175;5,356;-0,208;-0,194;-0,129
"htag_protectioncivile";41,637;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;4,984;-0,129;-0,171;-0,103;-0,208;-0,085;-0,148;-0,175;-0,152;-0,208;-0,194;-0,129
"htag_peur";-0,125;-0,161;-0,167;-0,143;2,839;-0,271;-0,114;-0,125;-0,24;-0,155;-0,215;-0,173;3,061;-0,137;-0,278;7,455;-0,197;-0,234;-0,203;2,29;-0,259;-0,173
"htag_nosmoking";6,629;-0,161;-0,167;-0,143;-0,24;-0,271;-0,114;-0,125;-0,24;-0,155;-0,215;-0,173;3,061;-0,137;-0,278;-0,114;-0,197;-0,234;3,583;2,29;-0,259;-0,173
"htag_montreuxjazzfestival";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;9,444;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;-0,085;-0,148;-0,175;-0,152;-0,208;19,496;-0,129
"htag_jeune";-0,125;-0,161;-0,167;-0,143;-0,24;2,371;-0,114;-0,125;2,839;-0,155;-0,215;4,438;-0,228;-0,137;-0,278;-0,114;-0,197;2,947;-0,203;-0,278;-0,259;-0,173
"htag_internet";-0,094;7,083;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;-0,085;-0,148;-0,175;5,356;-0,208;3,951;-0,129
"htag_hopsuisse";-0,094;-0,12;6,784;-0,107;-0,18;-0,203;-0,085;9,444;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;-0,085;-0,148;-0,175;-0,152;-0,208;3,951;-0,129
"htag_hiv";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;-0,085;-0,148;4,496;5,356;3,603;-0,194;-0,129
"htag_green";6,629;-0,161;-0,167;-0,143;-0,24;-0,271;-0,114;-0,125;-0,24;-0,155;-0,215;-0,173;-0,228;-0,137;-0,278;-0,114;-0,197;15,342;3,583;-0,278;-0,259;-0,173
"htag_geneva";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;6,506;-0,171;8,525;-0,208;-0,085;5,559;-0,175;-0,152;-0,208;-0,194;-0,129
"htag_france";-0,125;-0,161;-0,167;-0,143;-0,24;-0,271;-0,114;-0,125;-0,24;-0,155;-0,215;-0,173;3,061;5,943;-0,278;-0,114;-0,197;-0,234;-0,203;2,29;2,545;-0,173
