"";"";"";"";"18h45";""
"202";"simple";"0.0995741152337707";"0.60736663620146";"0.865490576415989";"387"
"203";"haut";"0.605946246335045";"0.331491725387066";"0.864934400333399";"389"
"204";"cinéma";"0.437079361625168";"-0.189155475753981";"0.864934400333399";"390"
"205";"droit";"0.341579004813839";"0.59178303054493";"0.864742266777595";"391"
"206";"jazz";"0.392210425611074";"0.241654767735219";"0.864307438203934";"394"
"207";"mythique";"0.168598040114736";"0.47259435415339";"0.864307438203934";"395"
"208";"populaire";"-1.60358487495264";"-0.0120421961398443";"0.864307438203934";"396"
"209";"dernier";"0.109949650194818";"-0.569024002066437";"0.863107446171195";"397"
"210";"ménage";"0.371871803289286";"0.639861351847165";"0.862615314607206";"398"
"211";"regard";"0.68923859779091";"0.759070224081897";"0.862615314607206";"399"
"212";"abri";"0.535603198232574";"0.315862972891725";"0.862615314607206";"400"
"213";"gymnastique";"0.663889674843536";"0.780621841437912";"0.861162515264199";"407"
"214";"pratiquer";"0.864249246351328";"1.34154040365941";"0.861162515264199";"408"
"215";"affectueux";"0.67329678564542";"1.04242383697705";"0.861064763104229";"409"
"216";"noir";"0.853946348081595";"0.918965790284818";"0.861064763104229";"410"
"217";"possible";"0.842507482948321";"0.873585795704155";"0.861064763104229";"411"
"218";"soulever";"0.931516942375929";"0.899541705580921";"0.861064763104229";"412"
"219";"sensation";"0.983531944362709";"0.735314983610341";"0.861064763104229";"413"
"220";"paradis";"0.641362381831729";"0.772698162948252";"0.861064763104229";"414"
"221";"gentil";"0.822188751224475";"0.499722919381435";"0.861064763104229";"415"
"222";"convivialité";"0.742994006128964";"0.940715198086084";"0.861064763104229";"417"
"223";"évoquer";"-0.456428170173034";"0.39760342826029";"0.861020943170449";"418"
"224";"enseignant";"0.542269615338412";"0.649630014542327";"0.859544548478483";"420"
"225";"exprimer";"0.606771395470588";"0.369692322529983";"0.859544548478483";"422"
"226";"cimetière";"0.366233457236843";"0.575092537005726";"0.859544548478483";"423"
"227";"démonstration";"0.419707233644925";"0.0317950279008098";"0.859544548478483";"424"
"228";"orientation";"0.419707233644925";"0.0317950279008098";"0.859544548478483";"425"
"229";"préféré";"0.419707233644925";"0.0317950279008098";"0.859544548478483";"426"
"230";"leçon";"0.559611550243035";"0.544831989982317";"0.859544548478483";"427"
"231";"guy";"0.452331065313278";"0.480813212584936";"0.859544548478483";"428"
"232";"noeud";"0.607436466018594";"0.105532738617851";"0.859544548478483";"429"
"233";"supplémentaire";"-1.38902390509313";"0.11599535865492";"0.859544548478483";"430"
"234";"gêner";"0.465746934056201";"0.507963134623797";"0.859544548478483";"431"
"235";"cuit";"0.520743150899786";"0.870718162619419";"0.859544548478483";"432"
"236";"cliché";"0.465746934056201";"0.507963134623797";"0.859544548478483";"433"
"237";"objet";"0.668661481444064";"0.781298237046154";"0.859092866084137";"434"
"238";"paléo";"0.309552235116623";"0.218620181969355";"0.859092866084137";"435"
"239";"hippie";"0.0408490130558967";"0.17699400828521";"0.858570397642917";"436"
"240";"agent";"0.356686292363696";"0.364642191241391";"0.858570397642917";"437"
"241";"festival";"0.232802925247449";"-0.320881484808684";"0.857987255447232";"438"
"242";"conseil";"0.563384060138533";"0.818846271697488";"0.857973772390684";"439"
"243";"beau";"0.591760508855484";"0.198345434924738";"0.857286136506755";"440"
"244";"âge";"0.623457442198604";"0.642216004700176";"0.856494006934581";"441"
