"";"V1"
"1";20
"2";20
"3";20
"4";13
"5";13
"6";0
"7";15
"8";0
"9";15
"10";16
"11";0
"12";21
"13";18
"14";0
"15";18
"16";13
"17";14
"18";9
"19";11
"20";0
"21";16
"22";20
"23";1
"24";18
"25";0
"26";12
"27";0
"28";0
"29";13
"30";12
"31";0
"32";1
"33";5
"34";0
"35";0
"36";0
"37";0
"38";0
"39";18
"40";10
"41";18
"42";22
"43";19
"44";18
"45";19
"46";0
"47";11
"48";14
"49";19
"50";0
"51";18
"52";0
"53";9
"54";0
"55";11
"56";20
"57";18
"58";0
"59";6
"60";0
"61";2
"62";8
"63";0
"64";0
"65";0
"66";0
"67";18
"68";0
"69";0
"70";18
"71";8
"72";17
"73";0
"74";15
"75";0
"76";7
"77";0
"78";11
"79";5
"80";18
"81";0
"82";18
"83";5
"84";0
"85";0
"86";5
"87";18
"88";5
"89";21
"90";18
"91";18
"92";18
"93";16
"94";0
"95";6
"96";0
"97";18
"98";6
"99";21
"100";5
"101";0
"102";0
"103";14
"104";0
"105";6
"106";0
"107";18
"108";5
"109";9
"110";4
"111";21
"112";6
"113";0
"114";5
"115";0
"116";7
"117";3
"118";9
"119";6
"120";0
"121";0
"122";17
"123";1
"124";6
"125";17
"126";11
"127";0
"128";3
"129";13
"130";12
"131";0
"132";9
"133";20
"134";5
"135";20
"136";0
"137";1
"138";0
"139";18
"140";0
"141";6
"142";13
"143";20
"144";0
"145";6
"146";0
"147";4
"148";0
"149";18
"150";13
"151";17
"152";15
"153";9
"154";7
"155";4
"156";0
"157";0
"158";20
"159";0
"160";0
"161";4
"162";0
"163";21
"164";13
"165";7
"166";15
"167";21
"168";21
"169";12
"170";0
"171";0
"172";6
"173";0
"174";10
"175";8
"176";10
"177";21
"178";0
"179";0
"180";0
"181";2
"182";0
"183";14
"184";8
"185";9
"186";0
"187";13
"188";10
"189";5
"190";20
"191";8
"192";12
"193";7
"194";11
"195";0
"196";5
"197";15
"198";15
"199";0
"200";10
"201";8
"202";6
"203";18
"204";15
"205";0
"206";0
"207";11
"208";1
"209";11
"210";9
"211";19
"212";12
"213";20
"214";10
"215";11
"216";1
"217";16
"218";9
"219";21
"220";5
"221";16
"222";1
"223";11
"224";18
"225";5
"226";19
"227";9
"228";13
"229";0
"230";0
"231";0
"232";6
"233";0
"234";13
"235";17
"236";14
"237";16
"238";13
"239";0
"240";0
"241";17
"242";0
"243";13
"244";0
"245";0
"246";0
"247";0
"248";19
"249";15
"250";17
"251";3
"252";0
"253";8
"254";22
"255";5
"256";9
"257";20
"258";0
"259";10
"260";17
"261";22
"262";9
"263";2
"264";8
"265";0
"266";6
"267";21
"268";18
"269";14
"270";22
"271";6
"272";3
"273";9
"274";22
"275";0
"276";1
"277";15
"278";22
"279";4
"280";15
"281";18
"282";0
"283";22
"284";0
"285";4
"286";19
"287";20
"288";22
"289";0
"290";5
"291";7
