"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"noël";1;1;0,639;0,532;1;1;1;1;1;1;1;1;0;1;0,32;1;0,762;1;1;1;1;0,088
"ski";1;1;0,773;0,657;1;1;1;0,563;1;0,111;1;1;1;1;0,009;0;0,02;1;1;1;1;1
"raconter";1;0,703;0,73;0,07;1;1;1;1;1;0,092;1;0,757;1;1;1;1;1;0;1;1;1;0,007
"journée";1;0,703;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0,991;1;1;0,055;1
"jeu";1;0,613;1;0,532;0;1;0,386;1;1;1;1;0,665;0,873;1;1;1;1;0,893;0,785;1;1;1
"jean";1;0,362;1;1;0,616;0,703;1;1;1;1;1;1;1;1;1;1;1;0,001;1;1;0,669;0
"histoire";1;1;1;1;1;0,772;0,233;0,278;1;1;0,605;0,027;1;1;1;1;1;0;1;1;1;1
"vacance";1;0,006;1;1;0;1;1;1;1;0,716;0,274;1;1;1;1;1;0,02;1;1;1;1;0,8
"public";1;1;1;1;0,914;1;1;1;1;1;0,012;0;0,016;0,503;1;1;1;1;1;1;0,273;1
"découvrir";1;0,517;0,542;1;1;0,898;1;1;1;1;0,723;1;1;1;1;0,31;0,658;0;1;0,916;0,862;1
"connaître";1;0,272;0,002;1;1;1;0;0,771;1;1;1;1;0,55;0,841;1;1;1;1;1;0,251;0,676;0,044
"voir";0,672;0,862;1;1;0,475;1;0,6;0,672;1;1;0;0,919;1;1;1;1;1;1;1;0;1;1
"vaudois";1;1;0;0;0,601;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002
"mode";1;0,02;1;1;0,517;1;0;1;1;1;1;1;1;1;0,657;0;1;1;1;1;1;1
"mettre";1;1;1;0,442;0,804;1;1;0;1;1;0,113;1;1;1;0,916;1;0,085;0,785;1;1;1;0,566
"devenir";1;1;0,639;0,044;0,914;1;0,386;1;0,914;0,587;1;1;1;1;1;1;1;0,214;0,785;1;0,001;0,665
"vivre";1;1;1;1;0,964;1;1;1;0,964;1;0,204;1;1;1;0;1;1;1;1;0,004;1;0,109
"rue";0;1;1;1;1;0,015;1;1;1;1;0,051;0;1;0,703;0,562;1;1;0,411;1;1;1;1
"pays";1;0,517;0,542;0,442;1;1;1;1;1;1;0;0,566;1;1;1;1;1;0,785;1;1;0,191;0,001
"passion";0,525;1;1;1;1;0,397;1;1;0;1;1;1;1;1;1;0,028;1;0,29;1;1;1;0
"école";1;1;1;1;0,228;1;1;1;0,228;0,587;1;0,665;1;1;0,32;1;1;1;0,785;0;0,972;0,665
"voiture";0;0,566;1;1;1;1;1;1;1;0,046;1;0;0,166;1;1;1;1;0,84;1;1;0,231;1
"soleil";1;0,566;1;1;0,191;0;1;1;1;1;1;1;1;1;0,273;1;0,108;1;1;1;1;1
"musique";0,08;1;0,161;1;1;1;1;1;1;1;1;1;1;1;0,397;1;0;1;1;1;1;1
"festival";1;1;1;1;1;1;1;0,115;1;1;0;0,231;1;1;1;1;1;0,382;1;1;0,024;1
"venir";1;1;1;1;1;1;0,424;0;1;1;0,879;0,109;0,235;0,546;1;1;0;1;1;1;1;0,712
"place";1;1;1;1;0,616;1;1;1;0,616;1;0;0;1;1;1;1;0,484;1;1;1;1;0,403
"parler";1;1;1;1;1;1;0;1;0,04;1;1;1;1;0;1;1;1;0,991;0,881;1;1;0,757
"lancer";1;1;1;1;1;0,397;1;1;1;1;0,926;1;1;0,587;0,416;0,028;1;1;1;0,416;0;0,757
"fois";1;1;0,49;1;0,745;0,837;1;0,321;1;1;1;1;1;0,37;0,855;1;0,602;0,726;1;1;1;0
"sport";1;1;0,111;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0,228;1;1;1;0,121
"proposer";1;0,566;1;1;1;1;1;1;1;0,54;1;0,616;0,82;0;0,001;0,348;1;0,84;1;1;1;0,616
"champion";1;1;0;1;0,682;1;1;1;1;1;0,605;1;1;1;1;0,233;1;1;1;1;0,737;0,027
"évoquer";1;1;1;0,001;1;1;1;1;0;0,002;0,879;1;0,922;1;1;1;1;1;1;1;1;0,005
"équipe";1;1;1;1;1;1;0,09;1;0,397;1;0,01;0,231;1;1;0,484;1;1;1;1;1;0,024;1
"ville";0,033;1;0,685;0,575;1;0,35;1;1;1;1;0;1;1;1;1;1;1;0,026;1;1;1;1
"réponse";1;1;1;1;0,546;1;0,001;1;1;1;1;1;0;0,232;1;1;1;1;1;0,002;1;1
"rester";0,486;0,659;1;1;0,03;1;1;1;0,267;1;0,879;1;1;0,546;0;1;1;1;1;1;1;0,712
"prêt";0,065;0;0,163;1;1;1;1;0,065;1;1;0,041;0,841;1;0,665;1;0,001;0,944;1;1;1;1;1
"plutôt";1;1;1;0,442;0,804;1;0,31;0,363;1;0,492;1;0,566;1;1;1;1;0,658;0,785;0;1;1;1
"métier";1;0,613;1;0,532;0,914;1;1;1;0;0,001;1;1;1;1;1;1;1;0,214;1;1;1;0,088
"genevois";1;1;1;0;0,804;1;0,31;1;1;1;1;1;0,764;0,416;0,229;1;1;0,785;1;1;0,862;1
"danse";1;1;1;1;1;1;1;0;1;1;0,407;0,288;1;1;1;0,122;1;1;1;1;0,521;1
"voyage";1;0;1;0,617;1;1;1;1;1;1;1;1;1;1;1;1;1;0,29;1;1;1;1
"travail";1;0,517;0,542;1;0;1;1;1;0,156;0;1;1;1;1;0,916;1;1;1;1;0,916;1;0,566
"secret";0,278;0,415;1;1;1;0;1;1;0,682;1;1;1;1;1;0,147;1;0,544;0,087;1;1;1;1
"présenter";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,484;0,09;0;0,382;1;1;0,441;0,231
"partager";1;1;1;1;1;1;1;1;0;0,54;0,142;1;1;1;1;0,348;1;0,178;0,734;1;0,919;1
"mot";0,405;1;1;1;1;1;1;1;0,861;1;0,778;1;0,011;0;0,973;1;1;1;1;1;1;1
"début";1;0,415;0,437;1;1;1;0,233;1;0,095;1;0,605;0,459;1;0,324;1;1;1;0,663;1;0,147;1;0,459
"donner";1;0,02;1;1;1;0,007;1;1;1;1;1;1;1;1;0,79;1;1;0,087;0,565;0,008;1;1
"cinéma";1;1;1;1;1;1;1;1;1;1;0,018;0;1;1;0,567;1;1;1;1;0,567;0,04;1
"nouveau";1;1;1;1;0,682;1;1;0,005;1;1;1;0,027;1;1;1;0;1;0,087;1;1;0,737;1
"meilleur";0,009;1;0;1;1;1;1;1;1;1;1;1;0,706;1;0,186;1;1;0,726;1;1;1;0,513
"image";1;1;1;1;1;0,384;1;1;1;1;1;1;0,292;1;1;1;1;0,305;1;1;1;0
"eau";1;1;0,639;0,001;1;1;1;0,446;1;1;1;0,665;1;0,503;1;0,386;0;0,893;1;1;1;1
"couper";1;1;1;1;1;1;1;1;1;1;1;1;0,217;1;1;1;0,001;0,003;1;1;1;0,121
"chose";1;1;1;0;1;1;1;1;0,095;1;1;1;1;1;0,147;1;1;1;0;1;1;0,459
"valoir";1;1;0,271;0,203;0,473;1;1;0,001;1;1;0;1;1;1;1;0,122;1;1;1;1;1;1
"tour";0;1;1;1;1;1;1;0;1;0,443;0,088;1;0,706;1;1;1;0,602;1;0,624;1;1;1
"retour";1;1;1;1;1;1;1;0,446;1;0,587;0;1;0,873;1;1;1;1;0,893;0,785;1;0,273;1
"plaisir";0,363;0,517;1;1;1;1;1;0,363;0,804;1;1;1;0;1;1;1;1;1;1;0,229;0,191;1
"matin";0,115;0,201;1;0,157;1;1;1;0,115;0,397;0,186;1;0,003;1;1;1;1;1;1;1;1;1;1
"laisser";1;1;0,111;1;1;1;1;1;1;1;0,195;0,121;1;0,066;0,307;1;0,162;1;1;1;1;1
"journaliste";1;1;1;1;1;1;1;1;0,473;1;1;1;1;1;1;1;0,357;0;1;0,001;1;1
"français";1;0,254;1;1;1;1;1;1;1;1;0,407;1;1;0,001;1;1;1;0,457;1;0,567;0,04;0,288
"famille";1;1;1;1;0,861;0;1;1;1;0;0,142;1;1;1;0,973;1;1;1;1;1;1;0,616
