"";"";"";"";"htag_suissitude";""
"1";"htag_suissitude";"-4.68931348663468";"-0.533622913779141";"2.72700145161049";"3"
"2";"plein";"-3.44579724105205";"-0.371728918504771";"2.50520933619997";"4"
"3";"htag_droitsdesfemmes";"0.393018229630955";"0.840552639357087";"1.00366610630844";"27"
"4";"htag_ecole";"0.564240316085673";"0.669631443105998";"0.950722063980605";"41"
"5";"htag_rentreescolaire";"0.685123780413519";"0.682428074150346";"0.949397822750544";"42"
"6";"htag_summer";"0.793481977730334";"1.20523324356919";"0.946913955912943";"44"
"7";"htag_danse";"0.794447857264031";"0.278043238516579";"0.934267817978354";"50"
"8";"jusqu_à";"0.30266282060914";"0.859370531654849";"0.927485654330472";"54"
"9";"htag_insolite";"0.58133036765271";"0.736968705054519";"0.927064969961806";"55"
"10";"htag_jura";"0.715295909867589";"1.12797423404693";"0.920908345679505";"59"
"11";"croire";"0.617226505175199";"0.150163573084111";"0.912172743311035";"63"
"12";"htag_saintvalentin";"0.890068051052339";"0.804365978910927";"0.91152159707084";"66"
"13";"htag_selfdefense";"0.513167523703912";"0.60820277717041";"0.90873410586281";"68"
"14";"htag_lavaux";"0.555776313084542";"-0.192920801867793";"0.907475710881758";"70"
"15";"htag_fridaythe13th";"0.73859740156166";"0.0645917166620665";"0.903378610943447";"78"
"16";"htag_vacances";"0.269969710048753";"0.821186811197916";"0.899683904749078";"81"
"17";"bon";"0.502718049513743";"0.671913388624256";"0.89727685853532";"84"
"18";"htag_changementdheure";"0.842426277695445";"0.0881426952386389";"0.894939316695516";"86"
"19";"htag_swisswatch";"0.624810357287298";"-0.00698996173586196";"0.894939316695516";"87"
"20";"htag_cinema";"0.599227179242925";"-0.239601404788202";"0.892462766107805";"88"
"21";"htag_mountain";"0.537719871535266";"0.738585186983345";"0.88993134364592";"90"
"22";"htag_winter";"0.530521126074433";"0.923950521963614";"0.88993134364592";"91"
"23";"chic";"0.356763816128785";"0.635251064655346";"0.88993134364592";"92"
"24";"htag_maman";"0.839991281399257";"1.44887778125061";"0.889404573653852";"94"
"25";"htag_foodie";"0.717428899705768";"0.831042794609095";"0.889404573653852";"95"
"26";"htag_fetedesmeres";"0.763468600117044";"1.30721090133208";"0.889404573653852";"96"
"27";"htag_paleofestival";"0.897002660722191";"0.362066233813615";"0.886408569323962";"97"
"28";"htag_mode";"0.418657568628191";"0.859167433674716";"0.88625126995133";"98"
"29";"htag_montagne";"0.586823870229355";"0.76068405693083";"0.884136873733166";"99"
"30";"htag_travel";"0.392186068304423";"-0.201797326832242";"0.880906749406802";"104"
"31";"htag_commeunlundi";"0.79017849113463";"0.843036499579212";"0.876242640102028";"111"
"32";"htag_velomoteur";"0.600003280836361";"-0.194960749632948";"0.875726844484795";"112"
"33";"htag_babibouchettes";"-0.846815061459055";"-0.407527095123821";"0.873685610765529";"113"
"34";"htag_rtssportxarchives";"0.0349120905324766";"0.109872991895399";"0.871761437044501";"121"
"35";"1988";"0.54349835306091";"0.570728849232508";"0.871761437044501";"122"
"36";"htag_holidays";"0.6373108316914";"1.03387264645079";"0.871512684548247";"123"
"37";"htag_sunglasses";"0.723933604912342";"0.957703379502255";"0.871512684548247";"124"
"38";"htag_lunettesdesoleil";"0.723933604912342";"0.957703379502255";"0.871512684548247";"125"
"39";"htag_rollerskating";"0.307761471431876";"0.811028649244737";"0.871512684548247";"126"
"40";"htag_roller";"0.307761471431876";"0.811028649244737";"0.871512684548247";"127"
"41";"htag_grevedesfemmes";"0.454449212791151";"0.715959650104696";"0.871512684548247";"128"
"42";"htag_enfant";"0.127932698514796";"0.456151735644345";"0.866874182118088";"131"
"43";"1982";"0.0819752668937918";"0.548763621101927";"0.865590180262421";"133"
"44";"htag_montreuxjazzfestival";"0.39221042561107";"0.241654767735219";"0.865590180262421";"134"
"45";"htag_portrait";"0.628217726595891";"0.515486124559481";"0.863753801540071";"136"
"46";"htag_velo";"0.754180359999613";"-0.0100480761856311";"0.863655032166558";"140"
"47";"1973";"0.591805768885452";"0.407638289976478";"0.86219178218859";"142"
"48";"htag_automobile";"0.312996536191616";"0.571838215222983";"0.86219178218859";"143"
"49";"1984";"-0.561404940013608";"0.451174941659686";"0.86219178218859";"144"
"50";"htag_foodporn";"0.53698165186637";"0.907250372392583";"0.86217714968881";"145"
"51";"htag_skinautique";"0.713020356421375";"0.576962017977347";"0.86217714968881";"146"
"52";"htag_tradition";"0.686201667593911";"0.488310150049991";"0.86217714968881";"148"
"53";"htag_cochon";"0.748642866761492";"0.836716940345634";"0.862071064065407";"149"
"54";"htag_football";"-0.437954640282367";"0.0622588493540023";"0.861686960946191";"150"
"55";"quelques";"0.382497250169023";"0.363967559186262";"0.861661354071576";"151"
"56";"htag_champignons";"0.664915031563142";"0.627080839921502";"0.860421249715248";"155"
"57";"htag_gym";"0.383159009974246";"0.600631908948153";"0.860421249715248";"156"
"58";"htag_etreunefemme";"0.383159009974246";"0.600631908948153";"0.860421249715248";"157"
"59";"htag_an2000";"0.383159009974246";"0.600631908948153";"0.860421249715248";"158"
"60";"htag_maisonderetraite";"-0.0486155696134536";"0.317227905706081";"0.860421249715248";"159"
