"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"emji_visage_riant_aux_larmes";-93,139;11384,926;-220,114;-83,469;-0,29;-242,228;-86,157;-17,861;-216,348;-240,057
"aller";-152,018;-79,263;-33,258;10,39;-1,292;110,422;4,293;1,027;57,548;-7,128
"suisse";-104,465;-113,125;-88,213;0,757;168,786;806,871;-1,625;-14,131;-10,162;-22,478
"voir";-125,266;-107,55;-18,148;2,377;-15,902;-4,75;-3,89;0,817;283,481;19,459
"parler";-84,848;-96,916;17,785;-10,638;287,12;-2,657;-13,819;15,343;-0,234;70,028
"pays";-61,014;-105,031;65,778;-6,916;45,653;54,858;-1,374;-4,371;0,534;-2,802
"gens";-79,103;-108,35;-33,677;12,797;1,918;7,677;-2,972;-4,252;203,289;0,26
"monde";-68,048;-74,733;-0,004;-11,793;-8,757;16,597;-6,378;-0,009;293,748;-25,753
"emji_applaudissements";1909,892;-2,001;-28,395;-0,379;0,047;-35,082;-27,591;-2,414;-5,802;-42,69
"prendre";-58,949;-62,214;-29,333;-0,297;-4,566;57,227;20,481;1,128;0,73;12,657
"enfant";-54,169;-56,382;53,83;-10,39;-3,186;25,823;-8,232;125,395;23,732;-42,172
"mettre";-58,643;-63,626;-10,182;-0,035;-1,984;4,392;28,748;1,301;91,856;-7,281
"payer";-57,241;-74,542;-78,315;-10,658;-10,679;2595,64;-13,358;0,309;-160,777;-169,475
"emji_visage_qui_pleure";720,024;-0,307;-3,624;-5,525;-1,584;-11,744;-8,679;-0,319;2,257;-54,616
"femme";-45,454;-83,001;-28,67;-23,16;-9,732;-41,766;-77,157;6344,741;-6,608;-0,124
"comprendre";-52,283;-46,912;-23,1;-0,355;7,437;-6,408;-12,59;2,512;18,975;159,425
"penser";-51,165;-45,196;-26,212;-4,038;-1,843;-0,291;-0,738;6,16;136,412;10,686
"passer";-51,97;-44,768;-0,948;0,1;0,002;2,105;7,86;-0,787;87,38;-7,811
"problème";-50,697;-58;-46,558;-3,296;-1,808;10,874;2,571;7,069;1,202;100,253
"chose";-44,716;-58,482;-19,163;-0,522;-1,188;-15,352;-10,503;2,608;363,093;0,173
"temps";-39,291;-49,264;-22,287;-5,216;-0,091;2,136;2,478;8,198;178,353;-9,663
"emji_se_rouler_par_terre_de_rire";-20,366;1590,445;-40,491;-2,199;-3,979;-15,977;-12,696;-12,158;-23,791;-42,573
"vraiment";-36,03;-17,783;-22,08;-9,897;-4,847;-5,786;-0,027;0,09;322,94;-7,088
"droit";-39,848;-65,101;8,501;661,737;-1,14;-28,762;-37,961;16,784;-8,356;19,276
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";5482,911;-23,386;-62,595;-24,496;-8,006;-69,386;-23,086;-15,062;-35,317;-90,339
"rester";-37,15;-42,406;-16,917;-1,042;0,525;48,516;6,407;35,138;3,519;-1,149
"arrêter";-44,367;-42,497;46,674;2,834;-3,279;1,101;1,391;0,005;4,008;-2,04
"vie";-34,422;-47,954;-34,131;-6,059;-0,433;145,712;-1,662;3,136;32,312;-4,904
"police";-31,274;-48,13;-10,373;4312,502;-11,793;-114,61;-35,337;-4,151;-6,859;-26,057
"grand";-20,781;-39,214;-19,104;-6,833;-4,418;120,687;18,881;1,316;1,813;-7,902
"vrai";-35,073;-20,817;-1,55;-2,629;-0,74;-4,566;1,694;2,953;0,214;75,557
"donner";-43,14;-52,989;-9,108;-2,053;0,001;0,399;-20,004;9,257;85,171;21,422
"emji_coeur_rouge";4219,249;-30,613;-31,848;-20,65;-4,164;-66,313;-34,303;-7,241;-4,067;-98,626
"venir";-41,856;-35,318;-1,621;12,257;1,074;8,402;0,134;-2,692;51,189;-6,671
"travail";-23,635;-54,711;-64,999;10,107;-0,005;348,556;-4,712;11,598;-0,038;-19,042
"homme";-30,134;-44,892;-23,398;-2,946;-8,944;-55,983;-59,464;5489,114;-18,937;-0,395
"jour";-34,011;-36,032;-1,022;-5,122;-0,029;1,294;148,609;5,83;9,064;-20,921
"trouver";-36,56;-45,351;-21,198;-1,712;-1,654;35,711;-1,674;6,248;71,691;-0,85
"état";-33,229;-53,831;222,486;-0,141;-8,126;52,554;-16,651;-7,15;-23,158;-0,483
"vivre";-34,445;-42,117;-12,523;-14,157;4,863;22,462;-1,823;0,088;157,435;-13,859
"fois";-34,04;-32,825;-1,883;-2,085;0,935;1,618;0,564;1,123;70,699;-2,159
"commentaire";-31,381;-10,714;-40,798;-3,288;0,689;-79,266;-39,747;1,231;5,419;487,29
"demander";-35,342;-43,828;-0,647;59,01;1,889;1,01;-3,634;9,559;2,438;3,523
"emji_mains_levées";3548,606;-24,312;-27,029;-11,418;-0,176;-56,808;-21,811;-5,29;-32,915;-46,003
"seul";-31,527;-40,686;1,448;0,827;-4,932;1,74;0,996;34,861;1,782;1,29
"cas";-33,287;-45,844;-13,424;3,672;-3,531;2,661;-1,218;18,34;-0,115;72,887
"année";-33,808;-19,515;-7,786;-9,772;-4,992;216,122;29,057;-0,334;-6,663;-17,236
"palestinien";-24,132;-53,685;3577,972;-18,287;-9,704;-110,286;-66,178;-14,313;-112,91;-101,971
"israël";-30,858;-47,726;3628,786;-26,692;-9,406;-104,204;-64,15;-15,668;-113,323;-104,112
"riche";-29,934;-34,718;-68,055;-25,886;-7,197;1580,195;-12,1;-13,274;-79,86;-51,974
"question";-33,198;-42,165;-16,659;-2,646;-5,797;-5,614;-5,265;-2,242;-32,881;541,058
"petit";-24,95;-26,311;-9,052;-0,642;-0,51;25,484;18,998;-2,171;21,094;-5,426
"france";-32,909;-13,229;-40,035;-0,039;0,405;195,661;2,023;-7,349;-2,075;-0,672
"guerre";-30,05;-29,79;1765,156;-9,545;-9,175;-50,868;-25,657;-2,689;-40,144;-58,811
"argent";-32,793;-29,169;-27,878;-14,133;-7,409;1061,655;-11,144;-6,011;-32,914;-56,269
"emji_feu";2455,42;-8,588;-13,641;-8,794;-4,463;-40,058;-14,871;-6,519;-10,063;-58,247
"politique";-28,838;-46,36;-0,677;-1,221;-0,795;-6,206;-20,893;-3,13;-20,934;424,812
"accord";-22,689;-22,914;40,327;-10,979;0,137;3,101;-0,757;-0,044;-2,634;10,225
"laisser";-30,423;-41,415;-2,197;1,073;-2,397;-0,232;0,611;-1,438;235,646;-33,676
"partir";-27,628;-36,391;-17,048;0,109;-0,192;120,879;-0,133;-2,701;-6,355;13,513
"sentir";-23,656;-34,534;-18,178;-4,725;-0,007;-10,833;-1,566;0,502;78,2;46,362
"devenir";-30,019;-35,01;-32,095;-0,118;0,89;61,046;1,768;2,094;1,81;2,394
"besoin";-19,491;-31,879;-23,331;2,836;0,103;71,169;-0,285;-0,636;3,146;0,267
"place";-23,262;-38,955;-5,021;0,001;0;5,112;14,729;-0,09;7,182;2,261
"palestine";102,202;-41,172;683,594;4,706;-2,981;-74,919;-39,676;-12,956;-14,33;-26,995
"hamas";-25,468;-33,094;2783,072;-20,164;-7,267;-90,842;-45,172;-13,671;-79,049;-81,791
"travailler";-25,87;-28,202;-46,831;-7,524;1,136;721,4;-11,954;0,219;-16,936;-32,07
"français";-26,388;-11,607;-31,92;-15,33;913,499;49,682;-3,386;-4,419;-1,047;-0,693
"connaître";-23,429;-19,616;-10,362;-3,502;7,292;-15,722;-5,099;-0,002;1,341;172,686
"peuple";-22,173;-36,414;287,858;0,007;-2,597;-0,957;-21,517;-6,998;-12,361;5,857
"continuer";-15,392;-37,093;81,992;-0,751;-1,608;2,552;1,462;-1,703;-0,28;-1,997
"changer";-22,515;-27,666;-20,78;-2,304;-7,595;1,561;3,421;-0,038;154,884;-7,89
"raison";-24,179;-19,173;-1,788;0,28;1,033;-5,506;-0,16;10,129;53,984;0,16
"manifestation";-24,433;-33,313;0,942;4339,167;-6,972;-75,447;-36,992;-7,612;-53,036;-50,126
"arriver";-25,64;-22,776;-7,567;-1,87;3,439;36,518;-0,503;-4,1;53,532;-8,005
"etc";-23,17;-35,244;-3,767;-2,788;-4,718;44,349;55,856;0,81;-0,078;-3,727
"humain";-17,305;-38,564;3,122;-1,122;-7,168;-30,512;-0,33;-3,882;153,906;1,249
"plutôt";-25,238;-25,439;-6,259;-2,341;-0,591;2,397;-0,585;0,719;0,073;65,585
"rendre";-20,634;-16,874;15,754;-0,095;-0,112;-4,889;0;0,868;16,683;0,036
"utiliser";-23,917;-32,443;1,312;-0,026;-6,824;0,166;16,203;-3,384;-34,643;99,665
"gauche";-21,486;-10,243;-10,626;-0,109;-3,246;-17,44;-7,841;-5,696;-44,596;488,585
"sujet";-21,772;-26,695;-26,323;-4,035;-2,041;-35,493;-16,132;0,616;-10,32;562,76
"moment";-19,894;-18,655;-0,67;4,605;-1,092;-0,617;-5,75;-0,156;166,564;-19,977
"cause";-21,429;-33,768;3,016;25,617;-3,231;-1,964;5,524;0,066;-0,861;12,853
"population";-23,572;-35,927;33,495;1,704;-4,829;39,89;-0,959;-1,479;-8,178;0,089
"impôt";-22,253;-27,721;-46,178;-15,421;-4,463;1499,902;-34,802;-6,519;-72,931;-66,383
"exemple";-20,914;-32,894;-10,665;-0,485;-0,312;9,212;8,178;2,316;3,923;5,388
"beau";-1,273;-10,316;-35,822;-8,458;0,321;-6,873;-4,63;0,282;322,889;-20,092
"part";-23,4;-27,758;-1,559;0,764;0,354;39,367;-8,568;-0,812;0;12,363
"paix";-3,056;-9,453;917,517;0,457;-6,3;-56,29;-32,494;-3,733;-10,517;-36,407
"aimer";-5,43;-5,535;-17,259;-0,834;-1,823;-11,781;-7,898;-0,693;263,687;-8,052
"coup";-21,257;-20,774;-3,378;0,785;-0,35;1,067;0,335;6,944;5,459;5,223
"emji_visage_souriant_avec_une_goutte_de_sueur";-14,47;873,661;-28,215;-6,046;-1,287;-10,764;-4,859;-2,015;-6,857;-24,651
"entreprise";-20,992;-33,653;-35,117;-16,271;-5,99;991,573;-0,616;-11,269;-51,321;-40,514
"genre";-22,712;-18,237;-28,538;-1,848;-3,025;-19,76;-7,678;3,507;71,632;75,889
"droite";-21,565;-24,729;-11,307;-4,589;-2,734;-12,558;-19,387;-6,177;-59,501;679,267
"gaza";-15,977;-29,067;1996,885;-4,812;-4,368;-55,68;-34,142;-11,761;-65,025;-67,083
"compte";-22,195;-23,975;-5,938;-1,621;0,556;3,205;-7,961;-0,192;18,661;25,32
"tellement";-11,189;0,112;-21,14;-2,264;-2,879;-18,236;-6,085;-2,679;328,736;-19,105
"lire";-17,964;-15,723;-12,112;-0,077;-0,003;-29,76;-23,379;-0,012;-2,287;350,8
"ca";-18,686;-4,208;-2,916;-1,622;-4,051;-0,391;-1,558;-2,161;122,04;-4,119
"violence";-20,42;-34,854;-1,638;212,632;-5,826;-60,889;-37,527;103,848;0,133;67,125
"social";-21,68;-26,767;-33,048;-4,663;-4,304;171,319;-15,275;3,139;-2,28;17,144
"importer";-19,485;-6,77;-4,421;-0,036;0,685;-17,883;0,009;-2,459;42,408;17,653
"emji_visage_qui_pleure_à_chaudes_larmes";3,08;1194,315;-19,108;-5,956;-3,175;-31,634;-8,859;-4,083;-33,248;-37,577
"société";-21,622;-32,614;-22,975;-8,307;-4,288;22,88;-10,276;7,284;0,254;83,521
"manifester";-18,8;-23,598;8,404;2837,52;-5,957;-48,086;-32,162;-9,224;-36,635;-36,785
"permettre";-21,68;-34,825;-11,507;1,56;24,376;21,318;12,3;-0,445;-1,237;3,205
"niveau";-17,603;-21,628;-39,869;-13,206;370,924;5,772;0,105;0,072;-0,073;19,717
"famille";-4,606;-25,012;3,715;0,069;0;2,966;-9,358;20,26;70,563;-41,627
"système";-20,649;-35,245;-38,17;-8,995;-2,504;290,85;1,165;-0,691;-7,43;0
"emji_visage_avec_bouche_ouverte";35,793;-1,287;0,028;-0,783;-1,253;-0,997;0,248;0,231;-0,161;-1,302
"article";-16,831;-23,598;-4,252;2,832;-0,578;-13,935;-6,295;-5,837;-39,978;384,33
"rts";-11,685;-20,318;2,482;-0,67;-1,417;-44,697;-16,922;-11,269;-16,527;385,475
"salaire";-19,676;-21,628;-46,356;-17,178;-5,614;1240,365;-38,287;0,823;-60,52;-51,823
"idée";-15,027;-1,827;-24,557;-9,222;-1,405;0,485;-1,677;0,004;-0,89;110,681
"exister";-14,748;-23,222;2,91;-3,071;1,89;-2,885;2,053;-0,269;-1,201;43,226
"aider";-18,059;-20,628;-4,694;0,365;-5,745;36,093;-16,919;-1,154;56,345;-2,687
"sûr";-18,629;-1,227;-6,219;-0,267;-2,518;-0,214;-1,985;-0,046;5,158;29,94
"loi";-20,134;-30,085;-5,427;174,969;2,11;-1,485;-9,243;0,036;-3,402;36,944
"armée";-20,076;-29,988;173,844;-5,841;-5,728;-4,192;-12,703;182,184;-1,615;-5,26
"public";-20,076;-32,092;-4,622;44,684;-1,229;89,223;-0,771;-8,799;-24,887;8,966
"moyen";-20,076;-24,103;0,619;-0,156;-0,063;94,664;0,039;-2,889;-0,991;-4,09
"commencer";-17,888;-18,678;5,295;1,968;-2,333;-0,75;-6,974;9,465;38,856;-1,68
"tuer";-19,333;-22,871;624,807;-3,206;-3,657;-35,484;-2,473;6,678;-14,168;-14,345
"regarder";-19,619;-12,21;-15,946;-0,092;-3,736;-0,088;0,117;1,532;25,483;13,324
"cher";-17,66;-6,58;-32,117;-11,464;-0,416;312,802;104,822;-6,844;-46,537;-34,193
"partie";-15,814;-25,61;-0,013;0,025;-0,051;14,034;-0,399;0,31;-22,813;53,914
"soutenir";-17,546;-31,312;195,753;-0,002;-2,249;-1,692;-14,624;2,428;-8,355;2,539
"faux";-19,447;-14,767;0,001;0;-3,688;-15,769;-6,318;-0,96;-24,243;283,206
"premier";-15,475;-17,953;-0,025;-0,629;0,061;0,816;1,655;-3,807;-0,566;30,264
"lieu";-19,905;-29,696;-1,245;-0,011;-2,319;2,964;0,624;-0,008;11,315;5,782
"histoire";-11,967;-8,46;8,767;-6,74;-2,235;-25,146;-24,01;-1,733;3,509;114,177
