"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"mass";"chi.distance";"inertie"
"classe 1";6,79515826962236;0,133258231856931;0,947525701576995;-0,0958091547497321;0,0115208559576829;0,0210569120142448;0,122145420683606;0,149074390255038;-0,186580193747469;-0,0870178066202941;-0,0737927753574868;0,0556075574295594;0,0291056600712788;0,989195025795705;0,0193988682630836;0,137934640169262;-0,0139472747423428;0,00167713141534848;0,00306532854668393;0,0177811373583593;0,0217012819220187;-0,0271611333016459;-0,0126674873562925;-0,0107422731637629;0,00809498719873468;0,00423701303525483;0,98762270046878;0,000253475456962052;0,0113509548451424;0,000111020397886366;1,34466775343564e-06;4,1152744128175e-06;0,000128581332802488;0,000182583023383929;0,000248734918259028;4,58027988033575e-05;3,19647218481275e-05;1,55589877383782e-05;3,16310621503632e-06;0,958200943679996;0,000368506823662213;0,0186311404226404;0,000190489682777807;2,75439952416232e-06;9,20124947570518e-06;0,000309607747905046;0,000461172629853802;0,000722417936908318;0,000157135280650068;0,000113001739835271;6,41689716049445e-05;1,75797359172191e-05;0,0207518796992481;4,68712535803735;0,45590103591429
"classe 2";0,487696085564246;-1,62008168529233;-4,36210138365182;0,373610288942123;0,35858170380113;-0,0937012213973992;0,703535532879789;0,010074747908492;0,30987848562037;0,00462399197569521;-0,175627583078462;0,417522875992147;0,11558009533962;0,101742492194976;-0,337979231533867;-0,91001564112703;0,077942068906865;0,0748068259724462;-0,0195478210075335;0,146770623307537;0,00210178016758158;0,0646464270225689;0,000964650899242922;-0,0366391868409389;0,0871030529242561;0,0241121618484608;0,0174071552905523;0,128191432345366;0,823150529817054;0,00577648661513794;0,0044571690185878;0,00027882858360361;0,0145959703094446;2,85338281002166e-06;0,00234760962439821;4,42534617537031e-07;0,00061953528147997;0,00300131518036277;0,000170672016667071;0,00991980748234845;0,10946581856575;0,793590050944125;0,00582159997233345;0,00536266856994856;0,000366180495535625;0,0206431884808098;4,23324184184269e-06;0,00400486198353404;8,9174123155436e-07;0,00128644183146835;0,00727051634088046;0,000557148288652289;0,0417065920615492;2,5338907851024;0,267781449708415
"classe 3";-0,190651710540723;-0,743548659480837;1,29150842619229;9,15366398330873;-0,512246696912367;0,38115491267792;0,377274413519906;0,0717219300750874;0,11702705295357;-0,143745986846336;0,0575669295307625;0,100903437034175;-0,105658548478264;-0,0204799549923025;-0,0798725751663358;0,138734839386337;0,983293702747977;-0,0550259384925899;0,0409439570964217;0,0405271108594884;0,00770442549785101;0,0125711370255919;-0,0154413056803299;0,00618388433280402;0,0108391256662086;-0,0113499234349888;0,000741303182080556;0,00752469936480036;0,0201079329109841;0,966276095602536;0,00253469887143793;0,00128568631156903;0,00116966310424737;4,02977491221659e-05;9,33041060939158e-05;0,000119176259718198;1,85486332389982e-05;4,88481545954667e-05;3,97457495492968e-05;0,000414643888008822;0,00630685208816009;0,0190277897418696;0,955836890399137;0,00299331339485669;0,00165728385399429;0,00162371035797071;5,86810386345707e-05;0,000156230705099558;0,000235713964999829;3,78041943948469e-05;0,000116146405876972;0,000127351227706357;0,0114075887392901;4,80004488178537;0,262835759708537
"classe 4";-0,230954730847534;0,642667033837496;0,0833848696601423;-0,383110664709495;-1,90881857416203;2,39291346906089;2,02652611295128;1,77116043331214;0,595936129133103;0,438111157776048;0,209529369497378;0,0221445763208317;-0,288587576180589;-0,0545757684260433;0,15186546335317;0,0197042655073906;-0,0905309834615853;-0,451063462040834;0,565457528719084;0,47887834747482;0,418534148658018;0,140822714741235;0,103527877536468;0,0495128474146427;0,00523287513853263;-0,0681947006258225;0,00694000206350154;0,0358619442662686;0,000534735319249981;0,010798196071271;0,22453743902134;0,323278920472902;0,215298952113075;0,156777623930496;0,01543544209776;0,0070624980941379;0,00156764245490889;1,5009368330799e-05;0,00189159472675382;0,0028209901951392;0,0218433828237007;0,00036772432527238;0,00776240565247843;0,192697977278982;0,302832052265279;0,217196218540785;0,165906596780773;0,0187822355450357;0,0101511788391883;0,00232186873474879;2,59347820404611e-05;0,00440456590295254;0,0528868683336248;1,90041997739395;0,191006006911344
"classe 5";-0,13463361909;-0,611607665024648;-0,124969220843508;-0,00474794105012331;-1,66134786357801;-3,65692148898994;-3,87225348558188;6,67130821547955;1,55463871741714;-0,149025559375259;0,572899132128273;0,143475370516205;0,0106517590649842;-0,0151638183086112;-0,0688855248137391;-0,0140753147085267;-0,000534761792119232;-0,187118026841838;-0,411879985123405;-0,436132881943833;0,751391118682265;0,175099348927751;-0,0167847861550461;0,0645257730385072;0,0161596669908578;0,00119971029688022;0,000576659206590695;0,00794170845885103;0,000293681643133948;4,05526909086723e-07;0,0415898094296309;0,184612450565831;0,192207965496382;0,543871875431923;0,0256853161565769;0,000199810153119211;0,00286562824020853;0,000154059572901175;6,30117901271122e-07;0,000227060986873123;0,0046857738012042;0,000195632770270299;2,82387921593732e-07;0,0345745578762236;0,167520034446273;0,18782916998337;0,557516200530943;0,0302757171615394;0,00027819992074609;0,00411141967006576;0,000257863688498472;1,42127510670148e-06;0,0125266655009617;3,84323047407555;0,185024116622218
"classe 6";-0,0585582351797055;-0,133879434618908;0,190487166985582;-0,178971099341074;-1,03790716580914;-0,362773263645878;-0,59035786074475;-1,45720295482221;1,98838252072609;0,580990417496244;0,555569956406239;-0,0117496218372868;-0,334924688300544;-0,0201058121403078;-0,0459671428559592;0,0654032551151554;-0,0614492443437414;-0,356362626551118;-0,124557221815288;-0,20269777952259;-0,5003267050321;0,682705776601779;0,199481493143544;0,190753446377326;-0,00403420097370041;-0,114995488567177;0,00110654918926049;0,00385992099561568;0,00692125257992032;0,00584463545565655;0,164651378884023;0,0184281964799138;0,0453165771504498;0,263206889048065;0,426195054659608;0,0308046689452529;0,0273352846057469;1,0480073614956e-05;0,00631911193290563;0,000361613962551118;0,00189015304907678;0,0038264908358372;0,00337780864980758;0,113602072020595;0,0138784120049484;0,0367536040736972;0,223928472866819;0,416935721435302;0,0355964895463657;0,0325496809938395;1,45585127107602e-05;0,0118294228353057;0,105455499213149;1,20671619573398;0,153560499135663
"classe 7";-0,165293562026555;-0,887752857937015;0,354724827864847;-0,181424118885726;1,22530536059221;1,72276457233043;-1,38208545724167;0,208083422105024;-0,00540080165362643;0,113905817389761;0,183825495365831;-0,0422952130718981;0,00780668460020639;-0,0605769017298855;-0,325344296392112;0,129999806255414;-0,0664884396369053;0,449050776737278;0,631359981128742;-0,506507657643569;0,076258559970105;-0,00197928961674727;0,0417442846647187;0,0673684977908241;-0,0155003796547703;0,00286099930369302;0,00793109303125213;0,152672647279736;0,0215905063428879;0,00540266529931492;0,206425535509515;0,373844121234736;0,223420281463112;0,00482790293918616;2,82846878402208e-06;0,00106511577836591;0,00269205536141963;0,000122158978110071;3,08831359640848e-06;0,00323506549207404;0,0933158374573855;0,0148989057570548;0,00389727673407238;0,177770570762278;0,35141724047363;0,226173122672021;0,00512679748896339;3,4537242159623e-06;0,00153625393948035;0,00400113025343857;0,00021181349880111;7,21613197107851e-06;0,118405315614618;1,27230707093562;0,19167041421033
"classe 8";-0,134526930102164;0,133242851740218;-0,232665881980473;-0,0937022669062232;-0,907478800983658;-0,360674824516726;-0,267081008845215;-0,465057114539344;-2,47275405189262;-0,126219259648255;3,53869431466367;0,549217532815174;-0,477739473829511;-0,0296956239577034;0,0294121750739771;-0,0513589251894211;-0,0206839424635528;-0,200317878384149;-0,0796157613328832;-0,0589557585153276;-0,102657223960489;-0,545838475680114;-0,0278617795551257;0,781135313128095;0,121234888160097;-0,105456742035356;0,00290967357844551;0,00190488848450603;0,00514457734490752;0,000798220457315232;0,0627122481866596;0,00907559254812989;0,00462107967366454;0,0133567498610638;0,328398692018041;0,000724370750485968;0,552539376989207;0,0114087058451559;0,00640582426244552;0,000840857903630564;0,000824882301362666;0,00251518279526199;0,000407947562662104;0,0382628331823141;0,00604415795638299;0,00331428738096465;0,0100488585397647;0,284096570795233;0,000740210777446252;0,58182214063886;0,0140149945427494;0,0106044073247147;0,0464626682986536;1,70958075678827;0,135794877817269
"classe 9";-0,12282882523762;-0,0354250615981037;-0,209947889840397;-0,0762320556080197;-0,804667083804843;-0,171348055389006;-0,353563676303389;-0,303846000707031;-0,968565250177493;-0,621985893313206;-0,973564981166955;-2,72607008735392;-0,781334832460542;-0,036579588808898;-0,010549919241527;-0,0625244723036348;-0,022702628986346;-0,239637487346261;-0,0510290756034557;-0,105294615265759;-0,0904882200541245;-0,288447915361392;-0,185233296649358;-0,289936882657105;-0,811849520393374;-0,23268892166138;0,00504879916950524;0,0002802622722085;0,00871904692124487;0,00109966299905858;0,102629817785748;0,00426347169432208;0,0168559958133414;0,0118674373773282;0,104871875245269;0,0366127551281209;0,0870499883997444;0,585036987435595;0,0356638997585153;0,00122906035532109;0,000102233644252841;0,00359083658914603;0,000473421389090096;0,0527478893219292;0,00239183366327649;0,0101837539053023;0,0075210705544084;0,0764241084403501;0,0315161881001616;0,0772151469021147;0,605405899396949;0,0497332666028818;0,0814652911348138;1,18497387202781;0,114390553900217
"classe 10";-0,27212222390992;-0,690927659658392;0,753686930289434;-0,295684049004875;0,89663909852152;-0,684263048246454;1,28968238307398;0,167623485592364;0,626425990524884;-1,93131401398578;0,403149735220373;0,0356425852486407;-0,10763655527227;-0,0935120765397662;-0,237430369578359;0,258996964303722;-0,101608861727092;0,308121045039111;-0,235140142622595;0,443186432865273;0,0576021318264852;0,215265017060323;-0,663676715937562;0,138538368367126;0,0122482174074446;-0,0369882240798869;0,0226063981341409;0,0972577947324945;0,102504706103674;0,0150923196100201;0,116249817612898;0,0620250394071789;0,204597591592245;0,0032948487544303;0,0400181173071352;0,322027510137446;0,0136171881031847;9,12354320065331e-05;0,000617433073154057;0,00782094524855497;0,0504192499165511;0,0599947421172932;0,00923393930932519;0,0849115107053577;0,0494512641217842;0,175669658635542;0,00296756989642018;0,0414448678510057;0,393946282064976;0,0171657973133707;0,000134174385965109;0,00122363193621479;0,105616366497639;1,24065448477645;0,162567198641537
