être;220;971;216;1159;259;2339;2247;1077;1805;1947;2046;1226;2297;2587
de;106;592;199;1020;223;1954;2203;908;1586;1944;1960;1114;2011;2253
la;131;509;153;987;150;1325;1558;753;1110;1347;1529;836;1451;1847
les;77;379;145;756;135;1477;1680;617;935;1604;1482;669;1236;1786
et;124;359;163;791;193;1499;1703;632;1022;1496;1521;747;1480;1933
avoir;85;562;137;779;160;1371;1326;591;1231;1259;1224;668;1363;1736
le;116;438;142;565;142;1246;1411;551;1027;1316;1188;663;1306;1704
pas;37;412;100;647;188;1268;1199;540;1078;1105;1242;681;1400;1339
des;27;224;85;564;105;945;1115;414;670;1068;992;545;948;1419
ne;28;240;77;597;136;1015;1024;419;793;914;1037;686;1324;1305
à;113;304;97;505;123;1055;1162;431;826;983;1012;590;1085;1104
que;52;254;92;519;97;1020;981;434;902;955;1042;609;1245;1054
en;40;315;135;490;137;980;1239;359;700;992;1097;471;923;1068
c;100;468;82;477;106;1110;1055;499;895;866;943;549;1097;1010
l;44;253;158;362;149;998;1088;423;684;896;979;609;849;1143
pour;109;263;74;457;94;940;988;349;644;1021;990;390;837;939
un;54;281;72;346;124;918;899;344;653;793;812;527;826;1006
d;23;165;89;359;116;862;921;412;636;843;808;500;830;969
qui;14;163;52;432;94;697;776;379;622;801;927;434;817;978
on;55;243;55;304;72;723;724;306;521;709;712;344;706;585
une;42;174;60;413;102;743;698;247;464;586;642;471;694;631
faire;51;247;57;398;74;692;646;284;581;635;701;336;714;649
il;31;212;55;348;93;622;723;259;521;584;611;395;724;742
vous;51;163;18;257;49;375;314;231;558;291;383;318;595;616
je;45;253;46;208;80;592;479;214;657;485;409;363;729;337
ce;35;137;31;299;53;553;570;244;569;469;538;421;776;679
mais;27;205;49;265;54;584;637;229;489;520;532;317;675;488
plus;29;142;70;170;62;526;632;185;318;603;678;235;469;435
qu;16;126;43;236;55;520;472;213;437;461;529;276;595;621
ça;34;259;42;222;49;540;483;232;462;492;474;215;589;374
