emji_visage_riant_aux_larmes;40;1834;13;31;36;121;139;73;125;87;108;38;83;92
aller;13;137;27;183;31;272;344;160;321;342;462;120;305;260
suisse;32;85;19;131;98;200;292;87;157;400;783;97;222;190
voir;5;70;13;135;13;232;219;113;409;193;200;164;309;211
parler;2;27;23;46;93;201;110;72;163;102;152;119;185;239
pays;10;17;52;51;47;108;139;61;89;112;267;69;155;269
gens;2;17;1;107;26;102;138;94;163;114;180;54;322;106
monde;5;29;50;37;8;162;123;56;143;152;163;47;260;164
emji_applaudissements;303;48;5;31;10;66;34;27;35;33;35;13;37;39
prendre;3;29;15;55;6;121;154;34;102;210;113;67;156;78
enfant;2;18;1;27;9;217;75;31;62;138;114;23;94;200
mettre;1;25;9;56;8;135;164;38;132;120;102;37;139;94
payer;0;12;1;25;2;46;62;4;14;485;285;5;18;32
emji_visage_qui_pleure;183;48;5;13;2;87;46;18;22;42;45;15;40;61
femme;4;7;1;15;1;643;15;20;33;51;30;16;35;61
comprendre;2;27;2;44;18;109;63;48;111;70;72;79;257;74
penser;2;26;6;38;8;110;99;42;157;86;86;35;201;67
passer;1;25;12;50;13;82;117;47;142;94;99;43;120;107
problème;0;14;4;32;7;106;97;43;57;106;104;60;212;40
chose;3;16;9;37;8;97;67;37;103;55;57;35;300;68
temps;4;17;4;31;10;154;87;32;85;114;74;45;113;57
emji_se_rouler_par_terre_de_rire;3;294;2;12;1;9;21;12;20;21;28;7;21;13
vraiment;5;35;5;22;5;100;86;36;159;62;64;39;127;56
droit;1;2;3;185;8;100;25;45;42;32;42;39;89;121
emji_visage_souriant_avec_yeux_en_forme_de_coeur;392;14;2;2;0;21;22;6;9;8;5;3;7;3
rester;5;24;8;27;14;111;102;31;50;90;141;54;80;58
arrêter;0;17;6;51;6;68;93;37;85;81;76;29;68;154
vie;5;16;1;22;6;128;61;25;58;124;142;46;93;41
police;5;10;1;424;0;27;24;20;36;13;6;26;68;59
grand;12;19;7;22;3;91;109;29;46;61;214;39;74;54
vrai;4;33;7;27;10;77;85;51;51;58;59;34;185;81
donner;0;9;3;36;10;98;46;33;104;64;74;47;159;67
emji_coeur_rouge;374;11;1;4;4;52;21;8;22;9;13;4;20;31
venir;0;23;5;51;9;68;88;32;105;50;122;28;75;78
travail;10;8;1;57;7;101;56;13;38;150;165;38;48;17
homme;4;11;0;24;0;475;9;5;16;22;20;15;24;42
jour;2;17;2;21;9;70;172;25;73;63;67;28;55;73
trouver;2;11;4;25;6;112;68;22;79;105;93;33;109;44
état;0;3;4;25;1;22;31;24;37;90;91;25;64;201
vivre;1;9;4;12;14;99;61;31;31;50;125;24;130;49
fois;1;17;9;28;9;51;83;21;109;52;77;38;76;67
commentaire;3;38;1;17;11;43;16;59;309;15;13;33;64;28
demander;1;7;1;68;14;80;56;28;63;71;52;34;75;69
emji_mains_levées;310;9;0;6;6;21;16;3;14;8;13;7;16;18
seul;2;10;14;38;3;80;68;20;57;70;57;21;115;83
cas;1;7;9;48;5;82;59;15;39;61;63;44;152;43
année;1;23;4;13;2;46;107;10;52;193;73;18;30;55
palestinien;5;1;0;6;0;4;1;2;6;1;7;5;11;546
israël;0;4;2;1;0;4;2;3;4;6;0;6;5;543
riche;1;11;0;2;0;6;35;16;13;22;429;7;15;5
question;0;6;7;20;2;40;42;21;59;43;43;54;208;40
petit;4;17;7;27;5;60;89;32;48;82;72;19;75;46
france;0;29;7;24;4;31;82;23;20;24;267;21;30;20
guerre;1;12;0;11;0;17;14;10;17;20;21;10;32;399
argent;0;13;0;7;1;17;31;11;18;160;238;8;40;30
emji_feu;239;17;2;6;2;19;20;4;17;10;11;6;15;24
politique;1;3;1;16;5;32;23;111;43;37;44;59;107;60
accord;2;15;6;10;7;32;49;24;53;48;63;25;61;110
laisser;0;4;3;33;3;103;61;21;54;43;56;26;69;56
partir;1;9;2;28;7;47;50;50;37;31;153;26;49;33
sentir;4;13;2;13;5;77;49;15;56;30;39;42;145;32
devenir;0;6;1;21;8;60;73;25;32;53;132;34;56;24
besoin;5;9;1;32;7;53;49;23;44;81;87;28;63;29
place;1;3;36;25;5;45;70;22;45;60;41;26;62;39
palestine;75;3;0;31;2;13;11;9;26;5;8;15;38;250
hamas;0;6;0;1;0;5;3;1;6;0;0;3;4;419
travailler;0;9;0;11;5;36;25;6;19;102;191;13;28;8
français;0;19;3;7;46;30;29;20;50;52;138;23;36;15
connaître;2;15;4;16;12;43;35;23;67;33;24;50;123;36
peuple;2;3;2;19;2;19;19;39;18;29;45;22;66;179
continuer;6;5;3;20;3;38;60;19;39;46;46;20;38;119
changer;2;9;2;25;0;43;59;9;34;73;31;14;143;25
raison;1;15;4;26;5;89;48;25;34;44;30;30;69;44
manifestation;0;3;1;310;0;5;4;4;9;5;2;7;21;60
arriver;0;14;6;22;11;49;39;17;46;69;74;23;45;36
etc;0;3;4;15;1;54;93;10;22;84;42;16;31;36
humain;4;3;0;19;0;73;43;20;23;15;17;34;121;65
plutôt;0;11;2;14;1;38;45;18;28;44;51;33;122;37
rendre;2;9;3;17;4;62;45;13;33;24;32;25;81;80
utiliser;0;5;2;22;1;28;54;20;24;50;34;74;48;58
gauche;1;18;0;17;1;10;28;225;16;19;27;8;15;29
sujet;1;14;0;11;2;43;14;19;56;11;16;113;109;17
moment;2;10;5;30;4;103;20;25;45;35;33;20;43;47
cause;1;4;3;42;1;48;54;22;17;42;23;16;83;61
population;0;2;1;26;1;32;32;10;18;40;89;22;57;87
impôt;0;4;1;2;1;3;4;4;6;102;256;2;3;4
exemple;1;6;6;21;3;45;60;14;31;47;65;28;50;30
beau;16;21;2;9;9;174;36;19;21;25;29;16;28;10
part;0;7;4;24;5;36;25;9;29;41;74;26;89;44
paix;12;14;0;25;0;23;9;9;15;5;8;5;26;238
aimer;11;23;1;15;1;108;23;17;51;18;30;21;62;22
coup;1;12;2;30;4;43;62;22;79;36;50;12;20;39
emji_visage_souriant_avec_une_goutte_de_sueur;3;197;4;8;3;18;24;6;24;23;17;9;17;12
entreprise;0;1;0;1;0;4;33;0;4;110;191;4;14;8
genre;0;12;1;13;2;59;26;21;88;18;17;30;97;14
droite;0;8;0;10;1;13;12;240;5;17;28;8;13;27
gaza;3;3;0;10;0;6;5;4;4;10;3;3;5;330
compte;0;8;5;13;7;26;25;17;82;51;41;26;61;32
tellement;6;35;0;13;2;99;25;28;54;22;21;6;55;18
lire;2;13;3;19;5;29;11;13;205;11;12;15;25;26
ca;1;23;1;10;1;42;35;17;111;34;33;5;19;35
violence;0;0;0;77;0;113;1;27;24;4;3;21;56;35
social;0;4;1;9;1;50;15;15;27;85;80;25;59;10
importer;1;17;8;17;8;37;40;19;21;20;20;13;133;35
emji_visage_qui_pleure_à_chaudes_larmes;16;154;0;1;0;2;6;0;5;2;4;0;3;3
société;0;3;0;7;1;80;22;21;15;42;56;46;71;16
manifester;1;1;0;236;0;8;3;8;10;7;5;4;19;67
permettre;0;2;2;25;16;39;63;19;22;55;52;23;43;25
niveau;1;7;25;4;50;38;39;11;27;42;38;37;48;4
famille;10;9;0;18;5;88;21;19;21;45;43;14;29;59
système;0;0;6;5;2;20;31;18;14;81;120;17;46;6
emji_visage_avec_bouche_ouverte;18;4;0;4;0;7;9;3;6;8;4;1;5;10
article;2;7;0;26;2;16;24;21;124;17;19;39;38;32
rts;5;9;1;17;2;8;14;53;107;9;11;31;47;55
salaire;0;4;0;2;0;16;1;1;4;251;55;7;5;1
idée;3;25;2;6;3;36;29;24;87;27;42;28;50;14
exister;3;6;4;10;6;32;47;15;27;30;21;32;76;57
aider;1;4;1;23;4;20;15;15;24;44;73;3;103;29
sûr;1;23;2;16;2;36;26;17;73;32;30;25;53;29
loi;0;2;0;70;9;37;20;18;31;25;26;32;54;31
armée;0;2;0;7;1;81;10;8;22;41;19;10;29;122
public;0;0;0;46;1;19;33;14;14;65;66;33;33;30
moyen;0;4;5;16;4;28;40;9;11;80;56;11;47;48
commencer;1;9;5;22;2;66;18;24;38;32;29;21;32;57
tuer;0;6;0;8;0;43;27;6;15;5;13;3;20;194
regarder;0;14;6;19;1;27;39;17;99;18;43;14;32;21
cher;1;17;0;4;4;3;85;7;6;180;13;5;15;8
partie;2;5;3;20;5;34;31;20;22;27;71;16;55;41
soutenir;1;3;0;19;2;27;14;26;21;23;28;16;39;126
faux;0;12;2;17;1;18;20;33;84;17;16;39;41;40
premier;2;7;6;13;5;15;50;20;90;34;31;17;20;42
lieu;0;3;1;20;2;26;40;14;36;51;27;19;74;36
histoire;4;13;3;6;3;20;8;15;52;16;10;51;82;62
genève;2;15;1;14;3;2;140;3;10;53;61;6;10;11
sortir;1;13;5;15;3;40;27;11;86;29;36;20;35;32
trump;1;14;2;5;0;20;15;36;28;28;34;7;30;118
génocide;0;2;0;12;0;3;0;3;7;4;5;7;15;279
défendre;0;6;0;27;1;28;12;18;23;12;40;20;42;107
israélien;0;3;0;1;0;0;0;2;2;2;4;5;0;315
perdre;1;6;10;7;2;32;17;12;22;39;74;10;72;27
prix;0;9;2;2;0;6;55;9;3;168;25;3;9;37
finir;3;12;1;21;0;34;59;7;33;30;52;12;33;36
écrire;1;14;1;16;44;27;11;19;80;8;3;30;39;24
emji_mains_en_prière;146;4;0;0;0;20;7;12;13;8;6;3;11;18
attendre;5;12;5;15;4;35;21;9;33;22;24;54;47;36
