"";"";"";"";"que";""
"1";"que";"-0.169644550386755";"-0.0074745726435884";"1.79528062061274";"11"
"2";"pour";"-0.0865643364506837";"-0.0829358980965418";"1.55890203700059";"16"
"3";"pas";"-0.181517537292303";"-0.0118486267181112";"1.52642360427737";"18"
"4";"être";"-0.0923503347282934";"4.23791581963653e-06";"1.49283113560323";"21"
"5";"une";"-0.153433583601779";"-0.0473392525438371";"1.42275511710293";"22"
"6";"qui";"-0.213652069197727";"0.0696989206845708";"1.3887657449321";"25"
"7";"en";"-0.174222087294651";"-0.0996411032999276";"1.37492824575215";"26"
"8";"vous";"-0.0853979569120688";"0.226554910132224";"1.32577535590107";"27"
"9";"54";"-0.225123491588465";"0.342862084248513";"1.32103957554287";"28"
"10";"l";"-0.169247762041181";"-0.0106804979557906";"1.30962860001312";"31"
"11";"quelque";"-0.233096490671391";"0.0162908623612442";"1.26550465787575";"33"
"12";"et";"-0.133440176340849";"0.0644297356427255";"1.26480105622253";"34"
"13";"ton";"-0.164580152058799";"-0.10839448226571";"1.25631273371384";"35"
"14";"le";"-0.113869305782864";"0.05427285973685";"1.24900159089418";"36"
"15";"mais";"-0.159396244862176";"-0.143473284173306";"1.24394558157843";"37"
"16";"sur";"-0.210970817078362";"-0.122808655951426";"1.23653972315161";"39"
"17";"votre";"0.0173425139943649";"0.253536018566996";"1.22828593452732";"40"
"18";"10";"-0.195495981049909";"-0.33649451941073";"1.22500697041265";"41"
"19";"elles";"-0.203784456449146";"-0.172374851389577";"1.1873101587614";"43"
"20";"avoir";"-0.135012690899869";"0.061921414172569";"1.16427171488552";"48"
"21";"quoi";"-0.128931847356436";"-0.0336790788290924";"1.16310806599751";"49"
"22";"c";"-0.089014896457568";"-0.0884545440188484";"1.15194515515318";"52"
"23";"se";"-0.198601057645577";"0.0926610887072098";"1.12446860854163";"54"
"24";"qu";"-0.18787553934194";"0.0751510966605216";"1.12180755100702";"56"
"25";"personne";"-0.218635493895957";"0.154605989227524";"1.11860977169848";"59"
"26";"tout";"-0.0542717601358174";"-0.054852707322689";"1.11475800367382";"61"
"27";"leur";"-0.224166420561181";"0.0118252132002229";"1.11094682805222";"63"
"28";"nos";"-0.215492610262896";"-0.451316138581719";"1.1030764121236";"64"
"29";"on";"-0.123176970626586";"-0.167780883999065";"1.09939152397822";"65"
"30";"déjà";"-0.157634065416109";"-0.280388412123841";"1.08370481532507";"67"
"31";"d";"-0.198201551875998";"0.0179692353623024";"1.0797402906252";"68"
"32";"à";"-0.0979363551002739";"-0.038543967977009";"1.07369653283474";"70"
"33";"dans";"-0.192354284931723";"-0.0463343889082861";"1.07265917142295";"71"
"34";"il";"-0.163928452140281";"0.00306733796277809";"1.07190144656564";"72"
"35";"pouvoir";"-0.203734476945583";"-0.0644623999013277";"1.06495563537361";"74"
