"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14"
"humeur";-0,276;-0,489;-0,054;-0,252;14,576;0,569;-0,593;-0,247;5,962;-0,49;-0,515;2,477;-0,523;-0,686
"hui";-0,276;-0,489;-0,054;-0,252;-0,062;5,063;0,467;-0,247;-0,489;-0,49;-0,515;2,477;-0,523;0,297
"htag_";-0,276;51,181;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"hostile";-0,276;-0,489;-0,054;33,343;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;0,646;0,297
"hormonal";-0,276;-0,489;-0,054;-0,252;-0,062;5,063;12,882;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"horloger";-0,221;1,279;-0,043;-0,202;-0,05;-0,441;0,876;-0,197;1,278;-0,392;1,16;-0,204;-0,419;-0,549
"homme_femme";-0,221;-0,391;-0,043;-0,202;-0,05;36,325;-0,474;-0,197;-0,391;-0,392;-0,412;-0,204;-0,419;-0,549
"hm";-0,276;-0,489;-0,054;2,528;-0,062;0,569;4,563;-0,247;-0,489;-0,49;-0,515;-0,256;0,646;-0,686
"hasbara";-0,276;0,76;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;21,766
"habitat";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;4,563;-0,247;-0,489;0,754;0,672;-0,256;-0,523;-0,686
"gén0";-0,276;-0,489;-0,054;2,528;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;21,766
"gym";-0,276;-0,489;-0,054;-0,252;-0,062;27,483;0,467;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"guérison";12,183;-0,489;-0,054;-0,252;-0,062;0,569;0,467;-0,247;-0,489;0,754;-0,515;-0,256;-0,523;-0,686
"guerrier";-0,276;31,175;-0,054;-0,252;-0,062;0,569;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"gueguerre";-0,276;-0,489;-0,054;2,528;-0,062;0,569;0,467;-0,247;0,759;-0,49;-0,515;-0,256;-0,523;0,297
"gu";-0,276;-0,489;-0,054;2,528;-0,062;-0,551;-0,593;-0,247;-0,489;0,754;-0,515;2,477;-0,523;3,681
"gréviste";30,232;-0,489;-0,054;-0,252;-0,062;0,569;-0,593;-0,247;-0,489;-0,49;0,672;-0,256;-0,523;-0,686
"gré";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;0,876;-0,197;-0,391;-0,392;-0,412;-0,204;1,124;5,43
"grandissant";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;31,065;0,672;-0,256;-0,523;-0,686
"gourmand";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;12,882;-0,247;-0,489;0,754;0,672;-0,256;-0,523;-0,686
"gouffre";-0,276;-0,489;-0,054;-0,252;-0,062;27,483;0,467;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"goal";-0,276;5,965;72,336;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;0,672;-0,256;-0,523;-0,686
"glutamate";-0,276;51,181;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"glucide";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;25,423;-0,247;0,759;-0,49;-0,515;-0,256;-0,523;-0,686
"giec";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;4,563;-0,247;0,759;-0,49;-0,515;13,345;-0,523;-0,686
"genocides";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;21,766
"gen";-0,276;16,103;-0,054;-0,252;-0,062;-0,551;0,467;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;0,297
"gel";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;12,882;-0,247;-0,489;5,938;-0,515;-0,256;-0,523;-0,686
"game";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;0,467;-0,247;16,097;-0,49;-0,515;2,477;-0,523;-0,686
"galère";-0,276;0,76;-0,054;-0,252;-0,062;0,569;-0,593;2,613;-0,489;-0,49;0,672;2,477;-0,523;-0,686
"gage";-0,276;-0,489;-0,054;-0,252;14,576;-0,551;-0,593;2,613;0,759;-0,49;-0,515;-0,256;-0,523;3,681
"gadget";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;4,563;-0,247;0,759;5,938;-0,515;-0,256;-0,523;-0,686
"fumisterie";-0,221;-0,391;-0,043;3,572;-0,05;-0,441;-0,474;-0,197;1,278;1,271;-0,412;-0,204;-0,419;0,632
"full";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;12,882;-0,247;-0,489;0,754;-0,515;-0,256;0,646;-0,686
"from";-0,221;-0,391;-0,043;-0,202;18,698;-0,441;-0,474;-0,197;1,278;-0,392;-0,412;-0,204;1,124;0,632
"frisson";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;0,759;0,754;-0,515;-0,256;0,646;3,681
"frileux";-0,276;-0,489;-0,054;2,528;-0,062;0,569;0,467;-0,247;0,759;-0,49;0,672;-0,256;-0,523;-0,686
"french";-0,276;0,76;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;31,065;-0,515;-0,256;-0,523;-0,686
"françois";-0,276;-0,489;-0,054;-0,252;-0,062;14,034;-0,593;-0,247;-0,489;-0,49;-0,515;2,477;0,646;-0,686
"foutu";-0,276;-0,489;-0,054;2,528;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;14,882;0,297
"footballeur";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;29,511;-0,256;0,646;-0,686
"fonte";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;42,186;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"foireux";-0,276;0,76;-0,054;-0,252;-0,062;0,569;-0,593;-0,247;0,759;-0,49;-0,515;2,477;0,646;-0,686
"focaliser";-0,276;-0,489;-0,054;2,528;-0,062;-0,551;-0,593;-0,247;5,962;-0,49;0,672;-0,256;0,646;-0,686
"flocon";-0,276;51,181;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"fleuve";-0,221;-0,391;21,872;-0,202;-0,05;-0,441;-0,474;-0,197;-0,391;-0,392;1,16;-0,204;-0,419;5,43
"flamme";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;-0,593;-0,247;5,962;-0,49;-0,515;13,345;-0,523;-0,686
"financées";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;0,467;2,613;-0,489;-0,49;-0,515;-0,256;0,646;0,297
"finale";-0,276;-0,489;297,269;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;0,754;-0,515;-0,256;-0,523;-0,686
"filière";-0,221;-0,391;21,872;-0,202;-0,05;-0,441;0,876;-0,197;-0,391;1,271;-0,412;-0,204;1,124;-0,549
"fibre";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;42,186;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"fiabilité";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;-0,474;-0,197;-0,391;1,271;-0,412;-0,204;1,124;5,43
"fesse";-0,276;0,76;-0,054;-0,252;-0,062;0,569;-0,593;-0,247;0,759;-0,49;-0,515;-0,256;5,432;-0,686
"fermeté";2,197;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;0,754;0,672;-0,256;-0,523;3,681
"femelle";-0,276;-0,489;17,113;-0,252;-0,062;5,063;0,467;-0,247;-0,489;-0,49;-0,515;2,477;-0,523;-0,686
"façonner";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;0,467;2,613;-0,489;0,754;-0,515;2,477;0,646;-0,686
"façade";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;0,467;-0,247;-0,489;-0,49;-0,515;-0,256;5,432;3,681
"fatigant";-0,221;-0,391;-0,043;3,572;-0,05;-0,441;-0,474;3,68;-0,391;-0,392;-0,412;3,507;-0,419;0,632
"fantôme";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;4,563;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;10,837
"fanatique";-0,276;-0,489;-0,054;2,528;-0,062;0,569;-0,593;-0,247;-0,489;0,754;-0,515;-0,256;-0,523;3,681
"faiseur";-0,276;-0,489;-0,054;2,528;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;0,672;-0,256;-0,523;10,837
"faiblement";-0,276;-0,489;-0,054;2,528;-0,062;-0,551;0,467;2,613;-0,489;0,754;0,672;-0,256;-0,523;-0,686
"extraction";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;42,186;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"expo";-0,276;-0,489;-0,054;-0,252;-0,062;27,483;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;0,297
"exit";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;2,042;-0,153;1,991;-0,411
"exiler";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;5,558;-0,256;-0,523;10,837
"exclusivement";-0,276;0,76;-0,054;-0,252;-0,062;5,063;4,563;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"etres";-0,276;-0,489;-0,054;-0,252;-0,062;14,034;-0,593;-0,247;-0,489;-0,49;-0,515;2,477;0,646;-0,686
"escroquerie";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;-0,474;-0,197;-0,391;40,806;-0,412;-0,204;-0,419;-0,549
"esclavagisme";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;12,882;-0,247;-0,489;-0,49;5,558;-0,256;-0,523;-0,686
"enquêteur";-0,221;-0,391;-0,043;-0,202;18,698;1,018;-0,474;-0,197;-0,391;-0,392;-0,412;-0,204;1,124;0,632
"enquêter";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;5,962;-0,49;-0,515;13,345;-0,523;0,297
"enjamber";-0,276;-0,489;-0,054;99,174;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"energie";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;6,555;-0,197;1,278;1,271;-0,412;-0,204;-0,419;-0,549
"endommager";-0,221;-0,391;-0,043;43,14;-0,05;-0,441;0,876;-0,197;-0,391;-0,392;-0,412;-0,204;-0,419;-0,549
"endiguer";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;4,563;-0,247;-0,489;16,041;-0,515;-0,256;-0,523;-0,686
"encyclopédie";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;12,343;-0,294;-0,309;-0,153;-0,314;-0,411
"encercler";-0,276;-0,489;-0,054;61,881;-0,062;-0,551;0,467;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"emji_trophée";39,248;1,279;-0,043;-0,202;-0,05;-0,441;-0,474;-0,197;-0,391;-0,392;-0,412;-0,204;-0,419;-0,549
"emji_singe_ne_rien_dire";-0,221;40,944;-0,043;-0,202;-0,05;-0,441;-0,474;-0,197;-0,391;-0,392;-0,412;-0,204;-0,419;-0,549
"emji_poing_levé_peau_légèrement_mate";2,197;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;21,766
"emji_poing_de_face";12,183;-0,489;-0,054;-0,252;-0,062;-0,551;4,563;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;0,297
"emji_patin_à_roulettes";22,823;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"emji_médaille_d";72,416;-0,391;-0,043;-0,202;-0,05;-0,441;-0,474;-0,197;-0,391;-0,392;-0,412;-0,204;-0,419;-0,549
"emji_monstre_japonais";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"emji_moai";3,15;-0,391;-0,043;-0,202;-0,05;1,018;0,876;3,68;-0,391;-0,392;-0,412;-0,204;-0,419;-0,549
"emji_homme_qui_hausse_les_épaules_peau_mate";-0,276;-0,489;-0,054;2,528;-0,062;0,569;-0,593;-0,247;0,759;0,754;-0,515;-0,256;0,646;-0,686
"emji_goutte_de_sang";56,345;-0,489;-0,054;-0,252;-0,062;0,569;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"emji_drapeau_venezuela";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;2,613;-0,489;-0,49;-0,515;-0,256;-0,523;21,766
"emji_drapeau_russie";4,775;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;8,436
"emji_drapeau_portugal";12,183;0,76;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;0,759;0,754;-0,515;-0,256;-0,523;-0,686
"emji_coeur_rose";12,183;0,76;-0,054;-0,252;-0,062;-0,551;0,467;2,613;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"emji_coeur_orange";30,232;-0,489;-0,054;-0,252;-0,062;0,569;-0,593;-0,247;0,759;-0,49;-0,515;-0,256;-0,523;-0,686
"emji_chien";16,159;-0,391;-0,043;-0,202;-0,05;1,018;-0,474;-0,197;-0,391;-0,392;1,16;-0,204;-0,419;-0,549
"emji_bébé";12,183;-0,489;-0,054;-0,252;-0,062;0,569;-0,593;2,613;-0,489;-0,49;-0,515;-0,256;-0,523;0,297
"emji_bout_des_doigts_joints_peau_moyennement_claire";-0,276;51,181;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"emji_bout_des_doigts_joints_peau_claire";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"emji_boisson_chaude";-0,276;51,181;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"emji_ballon_de_football";90,522;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"emissions";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;42,186;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"embouteillage";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;42,186;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"embauche";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;0,467;-0,247;-0,489;0,754;0,672;-0,256;0,646;-0,686
"email";-0,276;16,103;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;0,759;-0,49;-0,515;-0,256;0,646;-0,686
"economique";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;0,754;15,171;-0,256;-0,523;0,297
"economie";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;0,467;-0,247;-0,489;0,754;5,558;-0,256;0,646;-0,686
"easyjet";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;25,423;-0,247;0,759;-0,49;-0,515;-0,256;-0,523;-0,686
"easy";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;0,467;-0,247;-0,489;31,065;-0,515;-0,256;-0,523;-0,686
"dévouement";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;-0,593;2,613;0,759;-0,49;-0,515;2,477;0,646;-0,686
"détériorer";-0,276;-0,489;-0,054;2,528;-0,062;-0,551;-0,593;-0,247;-0,489;16,041;0,672;-0,256;-0,523;-0,686
"détermination";-0,276;-0,489;-0,054;-0,252;-0,062;27,483;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;0,297
"désinformation";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;2,613;0,759;-0,49;-0,515;2,477;-0,523;3,681
"désengorger";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;42,186;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"désamianté";-0,221;-0,391;-0,043;-0,202;-0,05;1,018;6,555;-0,197;1,278;-0,392;-0,412;-0,204;-0,419;-0,549
"dépôt";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;0,759;5,938;-0,515;-0,256;-0,523;3,681
"déplorer";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;-0,593;-0,247;-0,489;-0,49;-0,515;2,477;5,432;0,297
"déplacé";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;12,882;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;3,681
"dépassement";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;4,563;2,613;-0,489;-0,49;0,672;2,477;-0,523;-0,686
"déménagement";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;0,759;31,065;-0,515;-0,256;-0,523;-0,686
"démon";-0,221;1,279;-0,043;-0,202;-0,05;1,018;-0,474;-0,197;-0,391;1,271;-0,412;-0,204;1,124;-0,549
"démagogie";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;4,563;-0,247;-0,489;5,938;0,672;-0,256;-0,523;-0,686
"délégation";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;31,065;-0,515;-0,256;-0,523;0,297
"défunt";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;2,613;-0,489;0,754;0,672;-0,256;5,432;-0,686
"défiler";-0,276;-0,489;-0,054;13,558;-0,062;0,569;0,467;-0,247;-0,489;-0,49;-0,515;-0,256;0,646;-0,686
"défensive";-0,276;-0,489;-0,054;2,528;-0,062;-0,551;-0,593;-0,247;0,759;-0,49;-0,515;-0,256;0,646;3,681
"décoration";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;25,423;-0,247;0,759;-0,49;-0,515;-0,256;-0,523;-0,686
"décor";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;0,467;-0,247;-0,489;0,754;0,672;2,477;-0,523;-0,686
"décompresser";-0,276;-0,489;17,113;-0,252;-0,062;-0,551;25,423;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"décolonisation";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;-0,474;-0,197;-0,391;-0,392;-0,412;-0,204;-0,419;29,172
"déchéance";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;25,423;-0,247;-0,489;-0,49;-0,515;-0,256;0,646;-0,686
"déchetterie";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;42,186;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"déc";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;12,301;-0,309;5,257;-0,314;-0,411
"débiter";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;-0,474;-0,197;1,278;8,299;-0,412;-0,204;-0,419;0,632
"dysfonctionnement";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;2,477;28,996;-0,686
"duty";-0,276;-0,489;-0,054;2,528;14,576;5,063;-0,593;-0,247;-0,489;-0,49;0,672;-0,256;-0,523;-0,686
"durablement";-0,276;-0,489;-0,054;2,528;-0,062;0,569;-0,593;-0,247;-0,489;-0,49;0,672;2,477;-0,523;0,297
"dt";2,197;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;5,962;-0,49;-0,515;-0,256;-0,523;3,681
"douloureux";-0,276;-0,489;-0,054;-0,252;-0,062;27,483;0,467;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"dodo";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;-0,474;3,68;-0,391;8,299;-0,412;-0,204;1,124;-0,549
"divulguer";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;13,345;5,432;0,297
"divorcer";-0,276;-0,489;-0,054;-0,252;-0,062;45,407;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"dissiper";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;12,882;-0,247;-0,489;-0,49;-0,515;2,477;0,646;-0,686
"disney";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;0,759;31,065;-0,515;-0,256;-0,523;-0,686
"discriminatoire";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;-0,474;81,11;-0,391;-0,392;-0,412;-0,204;-0,419;-0,549
"discriminant";-0,276;-0,489;-0,054;-0,252;-0,062;27,483;-0,593;-0,247;0,759;-0,49;-0,515;-0,256;-0,523;-0,686
"diplômé";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;31,065;-0,515;-0,256;0,646;-0,686
"diplômer";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;16,041;5,558;-0,256;-0,523;-0,686
"différer";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;0,467;-0,247;-0,489;5,938;0,672;2,477;-0,523;-0,686
"devise";-0,221;-0,391;-0,043;3,572;-0,05;-0,441;-0,474;-0,197;-0,391;-0,392;1,16;-0,204;1,124;0,632
"denrée";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;4,563;-0,247;-0,489;5,938;-0,515;-0,256;-0,523;0,297
"delphine";2,197;0,76;-0,054;-0,252;62,167;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;0,646;-0,686
"defend";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;0,876;3,68;-0,391;-0,392;1,16;-0,204;1,124;-0,549
"cynisme";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;0,646;21,766
"cylindrée";-0,276;-0,489;297,269;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;0,646;-0,686
"cumulées";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;4,563;-0,247;-0,489;0,754;0,672;2,477;-0,523;-0,686
"cuivre";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;0,876;-0,197;-0,391;8,299;1,16;-0,204;-0,419;-0,549
"créature";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;15,171;-0,256;0,646;0,297
"crypto";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;16,041;5,558;-0,256;-0,523;-0,686
"croître";-0,276;0,76;-0,054;-0,252;-0,062;-0,551;0,467;-0,247;-0,489;0,754;-0,515;-0,256;0,646;0,297
"criminaliser";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;2,613;-0,489;-0,49;-0,515;-0,256;-0,523;21,766
"creux";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;0,876;3,68;-0,391;1,271;-0,412;3,507;-0,419;-0,549
"correcteur";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;-0,474;3,68;8,33;-0,392;-0,412;-0,204;1,124;-0,549
"corporation";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;34,139;-0,489;0,754;-0,515;-0,256;0,646;-0,686
"corne";-0,276;5,965;-0,054;2,528;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;0,672;2,477;-0,523;-0,686
"corde";-0,276;-0,489;-0,054;33,343;-0,062;0,569;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;0,646;-0,686
"conversion";-0,276;-0,489;-0,054;2,528;-0,062;-0,551;4,563;-0,247;-0,489;-0,49;-0,515;2,477;-0,523;0,297
"contrôleur";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;6,555;-0,197;1,278;1,271;-0,412;-0,204;-0,419;-0,549
"control";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;0,467;2,613;-0,489;-0,49;-0,515;2,477;-0,523;3,681
"conter";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;25,311;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"contemporain";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;-0,593;-0,247;-0,489;0,754;-0,515;2,477;-0,523;3,681
"confier";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;-0,593;-0,247;-0,489;-0,49;0,672;-0,256;0,646;3,681
"condamnable";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;2,613;-0,489;-0,49;-0,515;13,345;5,432;-0,686
"compliment";-0,276;5,965;-0,054;-0,252;-0,062;5,063;-0,593;2,613;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"complaisance";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;-0,474;3,68;-0,391;1,271;-0,412;-0,204;-0,419;5,43
"communautaire";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;0,467;-0,247;-0,489;0,754;-0,515;2,477;0,646;-0,686
"come";-0,221;-0,391;-0,043;-0,202;-0,05;-0,441;-0,474;-0,197;1,278;-0,392;1,16;-0,204;1,124;0,632
"colonialiste";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;0,467;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;21,766
"collection";-0,276;0,76;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;29,511;-0,256;-0,523;-0,686
"cola";-0,221;1,279;-0,043;-0,202;-0,05;-0,441;-0,474;-0,197;8,33;-0,392;1,16;-0,204;-0,419;-0,549
"coiffeur";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;0,467;-0,247;-0,489;0,754;5,558;-0,256;-0,523;-0,686
"cliquer";-0,276;-0,489;-0,054;-0,252;-0,062;0,569;-0,593;-0,247;0,759;-0,49;-0,515;-0,256;0,646;3,681
"clinton";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;-0,489;-0,49;-0,515;-0,256;0,646;21,766
"climato";-0,276;16,103;-0,054;-0,252;-0,062;-0,551;-0,593;-0,247;0,759;-0,49;-0,515;2,477;-0,523;-0,686
"climatisation";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;42,186;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
"clandestin";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;-0,593;13,911;-0,489;-0,49;-0,515;-0,256;-0,523;10,837
"civique";-0,276;-0,489;-0,054;2,528;14,576;-0,551;-0,593;2,613;-0,489;-0,49;-0,515;2,477;0,646;-0,686
"citoyenneté";-0,276;-0,489;-0,054;-0,252;14,576;0,569;-0,593;-0,247;-0,489;-0,49;5,558;2,477;-0,523;-0,686
"ciment";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;12,882;-0,247;-0,489;-0,49;-0,515;2,477;-0,523;0,297
"cil";-0,276;-0,489;-0,054;-0,252;-0,062;5,063;-0,593;2,613;5,962;-0,49;-0,515;-0,256;-0,523;-0,686
"cigogne";-0,276;-0,489;-0,054;-0,252;-0,062;-0,551;42,186;-0,247;-0,489;-0,49;-0,515;-0,256;-0,523;-0,686
