"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14"
"vivre";-33,817;-45,053;-1,171;-12,179;4,988;22,407;-0,78;0,03;-13,215;-0,996;79,938;-1,741;89,05;-11,89
"fois";-33,703;-31,095;0,763;-0,24;0,186;-2,693;3,981;-2,872;53,506;-0,482;5,735;1,676;4,488;-1,483
"commentaire";-30,348;-7,603;-5,17;-6,902;1,196;-8,076;-46,162;28,255;1216,015;-35,618;-41,988;0,066;0,106;-37,436
"demander";-32,621;-46,811;-4,836;52,635;5,594;6,348;-1,596;-0,044;1,259;4,996;-0,646;0,539;5,112;-0,493
"emji_mains_levées";3745,897;-26,445;-4,841;-11,828;0,052;-13,796;-23,5;-16,383;-18,564;-28,331;-22,051;-10,62;-18,321;-27,502
"seul";-31,654;-43;7,965;1,896;-3,049;4,976;0,003;-3,547;0,001;3,33;-0,122;-3,459;55,249;0,552
"cas";-33,134;-47,701;0,85;11,285;-0,967;7,026;-0,974;-7,612;-5,705;0,484;0,368;6,338;161,349;-16,344
"année";-33,077;-21,508;-1,08;-10,365;-4,318;-4,759;28,126;-13,713;-0,292;374,117;4,016;-5,463;-16,34;-6,491
"palestinien";-23,513;-56,804;-6,468;-19,003;-7,487;-57,805;-69,341;-25,681;-46,415;-57,003;-47,486;-21,123;-40,958;3618,156
"israël";-32,512;-48,936;-2,868;-27,582;-7,295;-56,115;-65,296;-22,99;-48,954;-45,101;-60,582;-18,644;-50,904;3691,703
"riche";-29,384;-33,891;-6,104;-24,638;-7,066;-49,989;-11,488;-4,371;-30,522;-17,621;3023,943;-16,121;-30,786;-67,057
"question";-32,796;-45,407;0,106;-2,479;-3,823;-6,313;-7,32;-1,635;1,023;-1,818;-2,758;24,485;470,761;-15,264
"petit";-24,677;-26,134;0,113;-0,037;-0,658;0,091;13,609;0,821;-0,327;19,2;6,363;-3,289;7,922;-9,696
"france";-32,625;-11,181;0,116;-0,591;-1,409;-13,947;7,601;-0,738;-21,762;-16,766;932,021;-2,009;-12,855;-41,407
