"";"X.rts_a";"X.rts_i"
"venir";0,7941;-0,7941
"on";3,3722;-3,3722
"ça";0,5528;-0,5528
"emji_visage_avec_un_sourire_malin";-0,6069;0,6069
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";4,2729;-4,2729
"emji_visage_riant_aux_larmes";-65,1652;65,1652
"aller";-9,676;9,676
"danser";0,8245;-0,8245
"non";-3,3156;3,3156
"emji_visage_grimaçant";-1,2649;1,2649
"tu";-1,7132;1,7132
"manger";2,8403;-2,8403
"quand";1,0425;-1,0425
"emji_se_rouler_par_terre_de_rire";-2,7829;2,7829
"l";9,667;-9,667
"c";0,7799;-0,7799
"être";-0,3115;0,3115
"de";0,6403;-0,6403
"la";3,576;-3,576
"et";0,9499;-0,9499
"eau";0,6056;-0,6056
"reconnaître";1,0767;-1,0767
"emji_visage_souriant_avec_une_goutte_de_sueur";-1,3053;1,3053
"genial";-0,7152;0,7152
"y";0,8059;-0,8059
"avoir";3,804;-3,804
"idée";-2,1499;2,1499
"quelle";-0,8229;0,8229
"super";-0,6421;0,6421
"se";2,3954;-2,3954
"sentir";-0,4684;0,4684
"tout";-0,6866;0,6866
"à";0,7517;-0,7517
"coup";0,3859;-0,3859
"je";4,5307;-4,5307
"comprendre";0,2766;-0,2766
"mieux";-2,8817;2,8817
"où";2,2801;-2,2801
"ton";-1,1566;1,1566
"si";-3,0218;3,0218
"spécial";0,5804;-0,5804
"emji_visage_avec_lunettes_de_soleil";0,5141;-0,5141
"mon";1,7199;-1,7199
"dieu";0,6432;-0,6432
"pas";-3,0267;3,0267
"possible";-0,253;0,253
"il";0,9978;-0,9978
"grand";1,3169;-1,3169
"temps";0,6567;-0,6567
"le";3,4171;-3,4171
"dès";0,2179;-0,2179
"école";1,5511;-1,5511
"pleurer";-1,5653;1,5653
"comme";0,6807;-0,6807
"rire";-0,5767;0,5767
"mais";-1,1841;1,1841
"journaliste";1,0288;-1,0288
"suisse";-1,6359;1,6359
"rts";-0,3427;0,3427
"honte";-1,3044;1,3044
"emji_visage_qui_hurle_de_peur";-6,7301;6,7301
"t";-5,1486;5,1486
"en";2,8657;-2,8657
"plus";-0,6163;0,6163
"ne";-0,6933;0,6933
"ce";-0,2922;0,2922
"que";-0,6022;0,6022
"vous";-5,0875;5,0875
"dire";2,6625;-2,6625
"monsieur";3,2783;-3,2783
"laisser";-0,4806;0,4806
"nous";0,4338;-0,4338
"chanter";0,6957;-0,6957
"beaucoup";1,4499;-1,4499
"purée";0,3219;-0,3219
"ils";-2,1083;2,1083
"pouvoir";-1,3315;1,3315
"au";0,6448;-0,6448
"les";0,9753;-0,9753
"pour";-3,159;3,159
"emji_visage_faisant_un_clin_d_oeil";1,6382;-1,6382
"regarder";-0,784;0,784
"aussi";3,8262;-3,8262
"emji_visage_avec_les_sourcils_relevés";-1,8709;1,8709
"elle";10,972;-10,972
"faire";-3,7801;3,7801
"raison";-0,7544;0,7544
"emji_visage_souriant_aux_yeux_rieurs";0,6068;-0,6068
"m";1,271;-1,271
"attendre";-1,1829;1,1829
"te";-0,432;0,432
"voir";0,5254;-0,5254
"plupart";-0,3455;0,3455
"d";-1,18;1,18
"entre";0,3631;-0,3631
"eux";-2,1318;2,1318
"maintenant";4,5387;-4,5387
"parent";1,3094;-1,3094
"j";16,0842;-16,0842
"avouer";-0,2905;0,2905
"meuf";1,3185;-1,3185
"vidéo";4,1544;-4,1544
"moi";8,2768;-8,2768
"rajeunir";1,4489;-1,4489
"archive";3,7898;-3,7898
"un";0,5277;-0,5277
"reportage";1,3474;-1,3474
"vouloir";0,368;-0,368
"peut_être";-0,4605;0,4605
"tecktonik";3,6783;-3,6783
