"";"X.rts_a";"X.rts_i"
"ver";2,4599;-2,4599
"pro_per";11,207;-11,207
"pro_dem";1,2685;-1,2685
"nom";-35,8278;35,8278
"nr";-3,7179;3,7179
"con";0,3918;-0,3918
"art_def";13,4608;-13,4608
"aux";3,1511;-3,1511
"pre";1,3538;-1,3538
"adj_int";-0,7305;0,7305
"adj";3,4331;-3,4331
"pro_ind";-0,7854;0,7854
"adv_sup";0,5065;-0,5065
"pro_rel";-0,6835;0,6835
"nom_sup";0,4587;-0,4587
"adj_pos";3,5922;-3,5922
"ver_sup";-2,0914;2,0914
"adv";-1,4143;1,4143
"art_ind";2,2328;-2,2328
"num";-1,7994;1,7994
"ono";-1,5331;1,5331
"adj_dem";1,0702;-1,0702
"adj_num";3,3305;-3,3305
"adj_ind";-1,0627;1,0627
"adj_sup";-1,9309;1,9309
"pro_pos";-0,364;0,364
