"";"*rts_a";"*rts_i"
"venir";124;29
"on";1289;306
"ça";1172;330
"emji_visage_avec_un_sourire_malin";43;16
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";107;10
"emji_visage_riant_aux_larmes";9566;3847
"aller";330;177
"danser";22;3
"non";268;115
"emji_visage_grimaçant";56;25
"tu";440;157
"manger";97;12
"quand";299;73
"emji_se_rouler_par_terre_de_rire";1525;519
"l";1649;337
"c";2244;628
"être";4670;1368
"de";3068;872
"la";2587;652
"et";1931;532
"eau";91;22
"reconnaître";35;5
"emji_visage_souriant_avec_une_goutte_de_sueur";736;244
"genial";9;5
"y";579;154
"avoir";3079;782
"idée";39;23
"quelle";111;40
"super";70;25
"se";449;98
"sentir";50;17
"tout";417;133
"à";1404;389
"coup";75;20
"je";1629;381
"comprendre";107;31
"mieux";106;53
"où";125;20
"ton";81;33
"si";309;127
"spécial";14;2
"emji_visage_avec_lunettes_de_soleil";13;2
"mon";323;72
"dieu";47;10
"pas";1768;600
"possible";13;4
"il";1091;293
"grand";104;20
"temps";104;25
"le";2525;638
"dès";11;3
"école";52;7
"pleurer";33;18
"comme";409;109
"rire";133;44
"mais";828;270
"journaliste";25;3
"suisse";277;103
"rts";21;7
"honte";9;7
"emji_visage_qui_hurle_de_peur";168;97
"t";232;114
"en";1713;427
"plus";591;184
"ne";1032;319
"ce";584;171
"que";1066;326
"vous";492;208
"dire";708;162
"monsieur";59;4
"laisser";18;7
"nous";253;70
"chanter";20;3
"beaucoup";103;19
"purée";41;11
"ils";428;158
"pouvoir";257;93
"au";527;143
"les";2219;613
"pour";890;322
"emji_visage_faisant_un_clin_d_oeil";226;48
"regarder";60;23
"aussi";453;88
"emji_visage_avec_les_sourcils_relevés";25;16
"elle";405;47
"faire";851;317
"raison";28;12
"emji_visage_souriant_aux_yeux_rieurs";211;55
"m";206;46
"attendre";38;18
"te";117;37
"voir";309;84
"plupart";11;4
"d";686;226
"entre";60;16
"eux";32;20
"maintenant";154;18
"parent";48;7
"j";1453;250
"avouer";19;6
"meuf";29;3
"vidéo";88;7
"moi";543;85
"rajeunir";13;0
"archive";34;0
"un";1356;384
"reportage";44;6
"vouloir";182;51
"peut_être";31;11
"tecktonik";33;0
"dans";710;178
"bien";508;149
