"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Coord. facteur 16";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"Corr. facteur 16";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"COR -facteur 16";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"CTR -facteur 16";"mass";"chi.distance";"inertie"
"classe 1";0,946568877485194;0,62491739145252;-0,274747260317756;2,73714649216882;0,124560615185673;1,2206336931454;1,6134671793833;0,880036065103892;-0,28970814707011;0,0489386555893935;0,297373029349788;0,318154827728591;0,058442281358331;-0,0675116621355169;0,0280720375986663;-0,122207929775036;0,252648903627078;0,166796835986658;-0,0733328506196425;0,730572361675784;0,0332465007146477;0,325799602795708;0,430650873492132;0,23489061629777;-0,0773260641355077;0,0130622271381797;0,0793718995210277;0,0849187738169086;0,0155988419457394;-0,0180195523287177;0,00749271362135197;-0,0326185449433188;0,0907468908466505;0,0367673590207832;0,00595331323019279;0,569833964379462;0,00101628324627541;0,0936818644396436;0,146370959732743;0,041851485780006;0,00440618980342577;0,000115323476616371;0,00403313489277344;0,00433789525927304;0,000141727460358168;0,000179833567573125;2,94397587140211e-05;0,000534335105507886;0,05958646534555;0,0259709839777545;0,00502007173127402;0,498240773113985;0,00103182173227171;0,0990863632878686;0,173126461603642;0,0515043751656433;0,00558167568318805;0,000159274866909955;0,00588093441198919;0,00673162968878961;0,000227142030258466;0,00030311036162282;5,24072119031864e-05;0,000993211995433795;0,0665032977919132;1,62044999689983;0,174628229332014
"classe 2";-0,534068415749168;-1,03090810585857;-0,961637004188167;-0,245652837570921;0,608613727130976;-0,000893133560803249;0,525258981004176;-0,554042975354203;-2,24942368379437;0,599819817974749;-0,172634486710689;-1,46194515469447;-0,986994226397762;0,0663151572461758;-0,245154277854941;-0,227386264340031;-0,154407270740974;-0,298051152841679;-0,278023827812275;-0,0710219572634608;0,17595944970826;-0,000258218444424107;0,151860329683175;-0,160182218560234;-0,650342468328856;0,173416997333404;-0,0499112457181624;-0,42267049436487;-0,285354984944014;0,019172716710418;-0,0708778160958206;-0,0657408141829149;0,042269194414824;0,146406376117901;0,106712966944273;0,0067158144315999;0,0355009220629029;7,33872315667304e-08;0,0226978379873991;0,0242716730954939;0,388675512529895;0,0253488433517662;0,00198882961436584;0,13401921059161;0,0591468713064083;0,000253887684892;0,00328524825394304;0,00270673822549131;0,0220024720697032;0,0819818278824525;0,0713345657767719;0,00465501686277179;0,0285733509511153;6,15333424344878e-08;0,0212825989857527;0,0236790674224537;0,390319469860197;0,0277535990440401;0,00229896735315084;0,164869320810115;0,0751461807426394;0,000339237064012386;0,00463614104730987;0,0039884682757609;0,0771396543184129;1,33962794945439;0,138435058372657
"classe 3";2,3551954684887;0,930481928018539;-0,874239288310833;-1,98287164587761;-0,118892937669379;-0,232779079414339;0,663152701181871;0,564931995697151;-0,122376967152996;-0,094467816531133;0,167490343165161;0,125658821176929;0,0566881695530655;0,0522592269593376;0,0158101702975401;0,103489877260185;0,679300553716605;0,268375554124127;-0,25215369194449;-0,571912533382184;-0,0342918621712652;-0,0671396322111938;0,191270747221917;0,162941302589867;-0,0352967482578135;-0,0272470123760792;0,0483086369588197;0,0362433216040611;0,0163503647496776;0,0150729407750854;0,00456007052542624;0,0298492128859342;0,533649025380348;0,0774297029148159;0,0572568071222201;0,284063836345725;0,000879508189090031;0,00323628831533823;0,0234874695258334;0,0163823718183024;0,000746819502298173;0,000408183933708663;0,00121532836108582;0,000642780189048781;0,000126665705322366;0,000102356073110309;8,87021124408009e-06;0,000363986412504407;0,426009594015759;0,0664938303322652;0,0586983786252113;0,301963653223982;0,00108561936518343;0,00416153314864985;0,0337747817716796;0,0245108182867106;0,00115017742057561;0,000685382830340488;0,00215449261836483;0,00121269455654185;0,000246802942704407;0,000209744908882759;1,91972297069904e-05;0,000822547921802875;0,0768007508016372;1,66264062218724;0,212305986296827
"classe 4";-0,0404270572994042;-0,616164265803442;0,687278620864232;0,232277371641537;0,0715658144789371;-1,24516318613217;-0,319270454826561;0,767019821828472;-0,108691174608613;-0,211369855698955;0,212508893310316;1,20530048617662;-1,34581605304431;1,98596674552989;1,02383255350404;-0,35715278379076;-0,0118499505950794;-0,180609636119416;0,201454625845732;0,0680849797679357;0,0209773211933613;-0,364981357144075;-0,0935843311113082;0,224828310574264;-0,0318594806368011;-0,0619565834033287;0,0622904573066554;0,3532968305766;-0,394484654683855;0,582125175317834;0,300105077814696;-0,104688372726994;0,000298680614470613;0,0644979176272537;0,0672191668666113;0,00740459856489328;0,000605340843717751;0,175902829857599;0,0103415961755205;0,0573665296583855;0,00111909205494447;0,00388181847956353;0,00371645840776064;0,112338379198106;0,135614633954577;0,28079706704375;0,0706609878638418;0,00823490278898234;0,000129311062054122;0,0300389283204761;0,0373729248594989;0,00426879426831479;0,000405230994269197;0,122671581060504;0,00806508372981197;0,0465483823999861;0,000934716658769081;0,0035349031583469;0,00357310384130675;0,114942881986026;0,143305489600809;0,31205803018989;0,0829371842660218;0,0100925171874241;0,0791209364164863;1,20633492756726;0,115140264629358
"classe 5";0,025420154103145;-0,656928657067157;0,35438158279058;0,220256610818745;0,161136973709852;-0,492294429678722;-0,657433846702778;1,19386743768282;0,598153817115501;-0,457018385808993;0,13416462798778;-0,647017352875213;0,230441493250038;0,341527666909842;-2,80150274219294;0,640380123193706;0,00728862258429725;-0,188358616031338;0,101610462206713;0,0631533271372126;0,0462021819766085;-0,141153680017862;-0,18850346710394;0,342312998325826;0,171506333227628;-0,131039116235506;0,0384685054857551;-0,18551678606917;0,0660735991310773;0,0979249085627473;-0,803264058662487;0,183613718843161;0,000122366354262576;0,075968224973326;0,0185187909960362;0,00689903747160638;0,00317996275956173;0,0284913489980008;0,0454377814658264;0,144012604481007;0,0351193033324473;0,0188043944401338;0,00153494919725416;0,0335437980005737;0,00412002067963858;0,00860484977273217;0,548209840724616;0,0274327263529859;4,90883719519525e-05;0,0327837542435213;0,00954035549228213;0,0036853621838858;0,00197248030969578;0,018410776850432;0,0328341961931036;0,10827656880588;0,0271799108355684;0,015866809762381;0,00136740867938768;0,0318019776230267;0,00403407187878073;0,00886082283505461;0,596217026739368;0,0311528624353383;0,0759665267603431;1,18507669839784;0,106687905317741
"classe 6";-0,507364512084859;-1,05701364579375;-0,766897535620557;-0,392056135077865;0,210348912554025;0,978210646533436;-0,25458780291688;0,0684891418124619;2,02108005112068;0,481603711741304;3,3072946779662;-0,918725649569616;-0,685701428986311;-0,592335803500895;1,04313916558005;0,204370931761578;-0,11009623465049;-0,229368076805132;-0,166413947021272;-0,0850747405771997;0,0456449410303847;0,212268115552275;-0,0552446176692813;0,0148618920882159;0,438566943993099;0,104506235642175;0,717670791414719;-0,199360089807627;-0,148794690262504;-0,128534692633792;0,22635736558494;0,0443477411664116;0,023865283253501;0,0962891845092031;0,0424586111514369;0,0107015790595607;0,00265297359115242;0,0550742632238322;0,00333586865744656;0,000232034464219253;0,196294405602948;0,0102233308424867;0,456651075624322;0,0331110395785732;0,0178594837045561;0,0126720895932548;0,0372108836274471;0,00136789351605262;0,0115760927165036;0,0502438615906299;0,0264482235457917;0,00691223239696117;0,00198976764636304;0,0430315107017936;0,00291472112684705;0,000210943074433848;0,183691412406228;0,0104304122410953;0,491889561769302;0,0379571420808811;0,0211442327942966;0,0157782121428638;0,0489335051714888;0,00187827886851039;0,0449698897260095;1,69369841330805;0,129001269422894
"classe 7";0,106547786904467;-0,8998941346799;3,3326713206107;-1,08720078172754;-0,466147872956578;1,38570162352905;1,55164781828029;-0,635357449753167;0,0257823204419316;-0,0664086294405299;-0,330122509244141;-0,313763477903322;0,124804535237945;-0,137352760971855;0,134463605768578;0,298002227856011;0,0248306821314927;-0,209717966552101;0,776670305550544;-0,253369289109611;-0,10863453851026;0,322934126954643;0,361607452159356;-0,148068386336754;0,00600850212008535;-0,0154763568191651;-0,0769341844598033;-0,0731217551357926;0,0290853694205842;-0,0320097004983598;0,0313363904600626;0,0694486371735148;0,000851647322734746;0,0564733644808544;0,64881452996487;0,066590973950613;0,0105425166951556;0,0894268382573561;0,100268511089901;0,0161580816775498;2,58481457807786e-05;0,000157291878218996;0,00368157349871429;0,00312500281755143;0,000478744750230388;0,000551355299252404;0,000500310347521228;0,00235340982369945;0,0005848015706097;0,0417159853065883;0,572143056578451;0,0608890468109968;0,0111935302478375;0,0989143075459546;0,124024068435064;0,020794855960237;3,42423582889021e-05;0,000227179269084157;0,00561396807301194;0,00507136003676823;0,000802380560065067;0,000971839285447095;0,000931384850542095;0,00457465856114393;0,0515133345499101;1,88284179903765;0,182619574093218
"classe 8";0,699539544517014;0,174049593222806;0,414535670144025;0,769461825466992;0,200230634583613;-0,991636362273613;-0,886725991029582;0,220909929760605;1,03265195203842;-0,772467581715754;-1,6682641497735;-1,85840556383843;-0,853752745782974;-1,52195846644605;1,37963196700674;0,0707219823689916;0,174909105393745;0,0435184242025446;0,103648269475243;0,192392096461098;0,0500645909755139;-0,247943422728073;-0,221712197739229;0,055235130722596;0,258198740199672;-0,193143639587749;-0,417123795623027;-0,46466573216267;-0,213467744837006;-0,380542309436289;0,344955756987791;0,017682944109147;0,0639613178438493;0,00368068617501617;0,0174896596191338;0,0581154970667367;0,00338906482580807;0,0797912477624096;0,0570530777280562;0,00340334492119522;0,072246244447488;0,0370800006823764;0,163807876031805;0,191006686889476;0,0390327780161867;0,117946297480238;0,0917652857347424;0,000230934775481665;0,0287931262882847;0,00178242107076857;0,0101108599768425;0,0348368147610912;0,00235898581707374;0,0578587663243875;0,0462639978364611;0,00287140701738438;0,0627440030237509;0,0351095131248893;0,163754753828511;0,203210093798473;0,0428872805822219;0,136291849203196;0,111992974541077;0,000294288393062418;0,0588388644125238;1,4264378647053;0,119720907324731
"classe 9";-0,635105190902048;-1,01565459574368;-1,16429225664013;-0,188502628728975;0,259663845283776;0,316523012529398;0,48002847195378;0,0162474977077382;0,994484383218818;-0,381493964408043;-1,21796978505287;-0,792591454595897;2,89889461556601;1,81929077041949;1,00817730849338;-0,578318025074003;-0,143694854128316;-0,229795537921608;-0,263425348079754;-0,0426494037933186;0,0587498872705708;0,071614480191962;0,108608183719719;0,00367605531573061;0,225005700514823;-0,0863143938228357;-0,27557008366959;-0,179326692779421;0,655885426358234;0,411621138698485;0,228103774547446;-0,130846551788932;0,0428215353409755;0,101801197600517;0,112062319741007;0,00283289624057461;0,00462934815157033;0,0066029650259829;0,0135803899970543;1,49529370877319e-05;0,0544228545330348;0,00734569002509913;0,0709179577583335;0,0282191803553778;0,365517467844298;0,136886616649469;0,0398019002472944;0,0125427275523263;0,0196426880616814;0,0502344522451999;0,0660136297915273;0,00173039167492601;0,00328346630096811;0,00487888044569882;0,0112213107666929;1,28553102931047e-05;0,0481621127780886;0,00708736725762929;0,0722408129033509;0,0305920349217207;0,409236583470643;0,161180993219299;0,0494975190868963;0,016287073354843;0,0486978284105425;1,58275551488033;0,121993661386988
"classe 10";-0,904116594817292;-1,10432463368402;-1,75068125323833;-0,499744633469492;-0,184913947131615;0,983572603104332;0,909245218990881;-0,872528345270424;1,55063358413318;-0,629309065109439;-1,97777323920814;2,35530522461142;-1,72070587000935;-0,968055540955044;-0,757838803452593;0,561630069690186;-0,18086498642936;-0,22091582106756;-0,350216933218745;-0,0999719581177149;-0,0369913114417699;0,196759849926994;0,181890947623829;-0,174545880731742;0,310198179923724;-0,125890815602044;-0,39564579626151;0,471169592426774;-0,344220475115883;-0,193655722371829;-0,151602686741741;0,112351897437923;0,06073978757312;0,0842379536859059;0,177338581401756;0,0139362395205597;0,00164319721646765;0,0446266965537191;0,0341030935860981;0,0301832571569996;0,0926098607395496;0,0139906762880195;0,13088493492607;0,174418879571887;0,0901384403467079;0,0271275632408865;0,0157411741941864;0,00827966399806589;0,0314534263648022;0,0469258988848654;0,117932428875874;0,0096098223429698;0,00131570467784455;0,0372247617714823;0,0318112791665183;0,0292939657663471;0,0925203894801425;0,0152386697139414;0,150512328030823;0,213458509001716;0,113928495217314;0,0360594942212173;0,0220990069183046;0,0121372356611481;0,0384785839046899;1,89185173097706;0,137718814011662
