"";"";"";"";"pourtant";""
"1";"pourtant";"-0.809054638056274";"0.454946328241945";"0.84768380045234";"128"
"2";"cette";"-0.144071411275843";"-0.100546641913928";"0.835785865872249";"174"
"3";"2023";"-0.297281049535526";"0.024058022246368";"0.835246644813534";"177"
"4";"devoir";"0.225965371900291";"-0.150927245037736";"0.832550539519962";"191"
"5";"aussi";"-0.364593888579619";"0.0571869429927743";"0.829683461695577";"198"
"6";"avoir";"0.0323243936328321";"0.166303513614726";"0.829429194854883";"199"
"7";"autre";"-0.573962296333736";"0.466917825214739";"0.82933274881186";"200"
"8";"malgré";"0.503862545901281";"0.104946814735927";"0.829214383213606";"201"
"9";"trop";"0.361578126814085";"-0.172740456113699";"0.828600635667102";"207"
"10";"moins";"-0.275685267503838";"-0.116508358895283";"0.828324449271175";"209"
"11";"oui";"-0.680815516761293";"0.371430622213542";"0.828065798519434";"210"
"12";"mais";"-0.15308106931686";"0.109443893264762";"0.827338069285721";"218"
"13";"10";"-0.493640781512253";"0.304481177720301";"0.827197784132235";"220"
"14";"dehors";"-0.452444209307063";"0.189508655980731";"0.826570884852591";"222"
"15";"neuf";"-0.255348024543834";"0.267735913952237";"0.824142198132852";"231"
"16";"80";"-0.275732976839536";"0.073958255901728";"0.82341446889914";"234"
"17";"ensuite";"-0.497535186355999";"0.798164852726377";"0.822629748821824";"245"
"18";"cet";"0.12167039644673";"0.106681568716502";"0.822542070600895";"246"
"19";"15";"-0.0362123318778132";"0.0921885653117147";"0.821691591857882";"249"
"20";"1970";"-0.457510719328537";"0.461597998964075";"0.820972630446262";"256"
"21";"beaucoup";"-0.507584711973767";"0.801633584071099";"0.820713979694521";"265"
"22";"celui";"-0.473935427487142";"0.412316743905366";"0.820551774985802";"266"
"23";"13";"-0.0974117930781249";"0.412003691861628";"0.820551774985802";"267"
"24";"enfin";"0.121655248584195";"-0.876730835579013";"0.820012553927088";"270"
"25";"36";"-0.948510162987997";"0.68481882870352";"0.819999402193948";"273"
"26";"2024";"-0.241568711031806";"0.533773787572543";"0.819635537577092";"276"
"27";"celui_ci";"-0.48888037178849";"-0.687270438402278";"0.819109468251517";"279"
"28";"180";"0.0529861509706466";"-0.0296231756948385";"0.819109468251517";"280"
"29";"jusqu_au";"-0.00693438918482163";"-0.198681116562059";"0.818885888788147";"285"
"30";"un";"-0.07606440587881";"0.0306171676862023";"0.818855201410822";"286"
"31";"avec";"-0.276674146471087";"0.0510435587762005";"0.818828897944544";"287"
"32";"tant";"-0.531220302662238";"0.35004945268483";"0.818714916257336";"289"
"33";"alors";"0.35646553034539";"0.645106571346439";"0.818688612791057";"290"
"34";"hors";"0.0272238063206516";"-0.0992958993302966";"0.818342283818387";"291"
"35";"pour";"-0.0408363394921211";"-0.0345832808416266";"0.818228302131179";"296"
"36";"nous";"-0.60860572744012";"0.326614372877133";"0.818123088266064";"297"
"37";"quand";"-0.995599116236634";"0.394304224244061";"0.818022258311995";"299"
"38";"puis";"-1.03894477004727";"0.461528116572499";"0.818022258311995";"300"
