"";"";"";"";"pourtant";""
"39";"cinq";"0.25349324767237";"-0.161208352425696";"0.817531260274792";"301"
"40";"notre";"-0.52399770604412";"-0.140369484078495";"0.81727260952305";"304"
"41";"être";"-0.0167389649343546";"-0.0474328418439377";"0.817224386501539";"305"
"42";"maintenant";"-0.388237088310847";"-0.419231572060682";"0.816838602329451";"307"
"43";"afin";"-0.374171637347778";"0.244133443912446";"0.816807914952126";"308"
"44";"des";"-0.0219902608574863";"-0.136144469131846";"0.816777227574801";"309"
"45";"ils";"0.116555786118111";"0.246799624507549";"0.816137176562017";"311"
"46";"falloir";"-0.744623065275967";"-0.2393266927016";"0.81593551665388";"312"
"47";"tels";"-0.750096190895947";"0.0461759861191416";"0.81593551665388";"314"
"48";"50";"-0.511439118032209";"0.0754446516273039";"0.815777695856208";"315"
"49";"elle";"-0.435897514676304";"0.0153704924396128";"0.815742624567836";"316"
"50";"18";"-0.123432967102373";"-0.0165435029139447";"0.815405063417259";"318"
"51";"elle_même";"-0.0522997697032841";"0.651939172677973";"0.815326153018422";"320"
"52";"40";"-0.121641735915597";"-0.100944851705861";"0.815115725288192";"324"
"53";"certaines";"-0.320518854773767";"-0.832413712983422";"0.815089421821914";"325"
"54";"plein";"-0.165100599401323";"0.0494694596096214";"0.815001743600984";"326"
"55";"quoi";"-0.618384967432252";"0.829162723963819";"0.814646646806221";"332"
"56";"croire";"-0.91805991556526";"0.571122981029936";"0.814646646806221";"333"
"57";"57";"0.448332127375984";"-0.11929135023329";"0.814646646806221";"334"
"58";"140";"0.44221564947334";"-0.319265899946013";"0.814081122281228";"335"
"59";"onze";"0.484777141338385";"-0.346594379228382";"0.814081122281228";"336"
"60";"au";"-0.0264026334063528";"0.211458443746846";"0.813914533661462";"337"
"61";"400";"-0.0523673191119861";"-0.537196383118518";"0.813822471529487";"338"
"62";"lorsqu";"-0.76494889262559";"0.339031725993441";"0.813498062112049";"341"
"63";"d_abord";"-0.653971775070059";"0.542577605037763";"0.813423535624259";"342"
"64";"tandis_que";"0.12146744737546";"-0.280474668976269";"0.813388464335887";"343"
"65";"une";"-0.0623192843154176";"-0.101753881984655";"0.813138581406239";"344"
"66";"81";"-0.691167012983835";"-0.315750704090976";"0.813072822740542";"345"
"67";"aujourd_hui";"-0.460428219407116";"-0.436107896052985";"0.813007064074845";"348"
"68";"peu";"-0.392999016066487";"0.729840676111364";"0.812897466298684";"349"
"69";"le";"-0.0247101340508581";"-0.0277657528036428";"0.812353861328923";"353"
"70";"les";"-0.0698317676323453";"-0.104581918688589";"0.812103978399275";"356"
"71";"ses";"-0.124267404349875";"0.365652801957089";"0.811669971205675";"360"
"72";"aucune";"0.309938469671513";"0.364913561051233";"0.811025536281846";"362"
"73";"000";"-0.244908234579651";"-0.105636306113101";"0.810635368198711";"363"
"74";"ailleurs";"0.536902005244517";"0.110925276588256";"0.81022766447139";"364"
"75";"dans";"0.0342539972142272";"0.0334781178377927";"0.809749818167326";"366"
"76";"dix";"-0.129838035851696";"0.256372171750379";"0.809710362967908";"367"
"77";"4000";"0.174137887223144";"-0.194373413203311";"0.809662139946397";"368"
"78";"douze";"-0.596612949121706";"-0.772784783867423";"0.809662139946397";"369"
"79";"cependant";"0.0187631492970285";"-0.58388556003366";"0.809526238703957";"370"
"80";"sous";"0.520840911813511";"0.0751536051722349";"0.809333346617912";"371"
"81";"contre";"0.103939084292483";"0.0510178583749016";"0.80881604511443";"373"
"82";"encore";"0.161354100494999";"0.301593794439861";"0.808798509470244";"374"
"83";"en";"-0.0484733274200338";"-0.029691240210946";"0.808631920850479";"376"
"84";"et";"-0.0648017160223472";"-0.0594244668012212";"0.808241752767344";"378"
"85";"12";"-0.366275817238863";"-0.448816061285806";"0.808097083702811";"379"
"86";"quinze";"-0.524476561062006";"-0.835289349011396";"0.807860352506302";"383"
"87";"20";"-0.237301630444481";"0.0755970515784803";"0.807062480695846";"384"
"88";"aux";"-0.158781665956302";"-0.264978038942563";"0.806930963364452";"385"
"89";"quatre";"0.127980539263096";"0.0301491606122083";"0.80690904380922";"386"
"90";"100";"-0.276952805239443";"0.181062425358011";"0.806545179192364";"389"
"91";"huit";"-0.543937831644631";"-0.675714525013323";"0.806400510127831";"390"
"92";"différents";"-0.533742141710876";"-0.673000395210316";"0.806400510127831";"391"
"93";"pendant";"-0.0419538168407004";"-0.00157155903332976";"0.806111171998765";"392"
"94";"toutes";"-0.816876541725253";"-0.41372398117922";"0.805913896001674";"393"
"95";"la";"-0.035235926393705";"-0.0476537572673071";"0.805826217780745";"394"
"96";"2021";"-0.184389029717235";"0.68861001007729";"0.805567567029004";"395"
"97";"trois";"-0.128499382002824";"0.19812066437901";"0.805475504897028";"396"
"98";"tandis_qu";"-0.379344388407513";"-0.320490398353406";"0.805387826676099";"397"
"99";"ainsi";"-0.210426704425567";"-0.293264512546725";"0.805067801169707";"398"
"100";"2020";"-0.727070490093981";"0.10953628353509";"0.804774079129594";"400"
"101";"autour";"0.359107902047561";"0.0278138179430305";"0.804541731844132";"401"
"102";"chacun";"-0.362920784259889";"-0.673960560914175";"0.804502276644714";"402"
"103";"auparavant";"0.76172149377573";"0.249796526038907";"0.804103340739486";"404"
"104";"44";"-0.406771908965306";"-0.958030896675647";"0.802902149112756";"406"
"105";"longtemps";"0.238254453982045";"-0.537625123935144";"0.801223111181962";"408"
"106";"de";"-0.042003286097054";"-0.0587825780476694";"0.8";"409"
